标题,开发商,房子信息,发布信息,售价/万,单价
奥体谷德锦商圈 电梯三室，楼层采光好，交通便利,鸢都新城 -奥体中心,3室1厅 | 118.47平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 8天以前发布,73.8,"6,230元/平"
房主急售 精装 带家电家具 看房方便,鲁发名城崇文郡 -福乐多,3室2厅 | 108.71平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 14天以前发布,68,"6,256元/平"
北海 双语近 急售大三居11层小高 出税 看房方便,康城小区 -潍坊学院,3室2厅 | 146.25平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 3天以前发布,90,"6,154元/平"
茂华紫苑公馆 3室精装 物业好 楼层好 南北通透,茂华紫苑公馆 -上城佳乐家,3室2厅 | 113.13平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 12天以前发布,79.8,"7,054元/平"
锦光公寓 H房型 不挡光 出税 4室 带地下室 双阳台,新富锦光公寓1 -谷德广场,4室2厅 | 168.49平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 15天以前发布,119.9,"7,117元/平"
加州市府植物园近唐宁府 楼层好 出税带地下室 有车位,唐宁府北区 -梨园,3室2厅 | 122.53平米 | 南 北 | 简装 | 中楼层(共17层)  | 板楼,0人关注 / 11天以前发布,93,"7,590元/平"
精装修 自主 房主好说话 带地下室 提前打电话随时看房,三友翡翠城 -福乐多,3室2厅 | 118.87平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 10天以前发布,75.8,"6,377元/平"
精装未住，大客厅，南北通透，楼层好,鲁发名城崇文郡 -福乐多,3室1厅 | 109平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 7天以前发布,66.8,"6,129元/平"
金华苑  精装微住  大客厅双阳台 拎包入住 位置佳,金华苑 -潍坊学院,3室2厅 | 138.83平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,1人关注 / 29天以前发布,105,"7,564元/平"
东明近132平大三室带精装双卫 西邻谷德南邻潍坊学院,东方世纪城 -潍坊学院,3室2厅 | 132.26平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 21天以前发布,109.8,"8,302元/平"
雷沃花苑 泰华近 虞舜公园边多层2楼拎包入住,雷沃花苑 -坊子泰华,3室2厅 | 100.57平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 30天以前发布,68,"6,762元/平"
高新南，凤凰街，佳乐家近，渤海路，精装电梯房，,福园小区 -坊子佳乐家,3室2厅 | 97.11平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 24天以前发布,67,"6,900元/平"
新华日向一巷之隔 单位房三室 采光好带储藏室停车方便,环保局宿舍 -新华中学,3室2厅 | 89.53平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 16天以前发布,88,"9,830元/平"
春景花园，经典户型，精装修，拎包入住，高新实验近,春景花园 -高新实验,3室2厅 | 107.09平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 18天以前发布,90,"8,405元/平"
高新南，渤海路旁精装短住，大H户型，带车库。,龙泉太阳城 -坊子佳乐家,3室2厅 | 149平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 30天以前发布,78,"5,235元/平"
区政府近单位房多层二楼，精装修领包入住，看房方便,新城花园(潍城区) -潍城区政府,3室2厅 | 139.86平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 13天以前发布,68,"4,863元/平"
万达北 虞河畔 观景房精装三室 楼层好 随时看房,盛世香榭里 -锦绣学校,3室2厅 | 128.25平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 5天以前发布,103,"8,032元/平"
领包入住，虞河边观景房.急急急急,虞河生活城 -则尔庄,2室1厅 | 92.98平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 15天以前发布,69.8,"7,507元/平"
多层电梯洋房，带阁楼和露台和地下室，精装修,阳光新城 -寒亭实验小学,3室2厅 | 99.88平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 15天以前发布,76,"7,610元/平"
智谷隔壁，大三室高新城市广场精装修全明户型,高新城市广场 -智谷学校,3室2厅 | 136.78平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 15天以前发布,120,"8,774元/平"
白沙河旁  多层一楼  适合居住  精装,凤凰太阳城 -雷沃重工,3室2厅 | 114.79平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 14天以前发布,79,"6,883元/平"
多层五楼带阁楼 阁楼利用率大 南北通透 社区环境优美,金色嘉园 -开发区管委会,3室1厅 | 87.75平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 13天以前发布,39.9,"4,548元/平"
鸢都新城 2室1厅 南,鸢都新城 -奥体中心,2室1厅 | 74.9平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 11天以前发布,40,"5,341元/平"
经开区虞河路乐川街锦绣近 多层3楼92平三室好房,吉祥家园 -锦绣学校,3室2厅 | 91.35平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 15天以前发布,55,"6,021元/平"
高新南   白沙河畔  龙泉实验近    精装三居室,恒信伯爵公馆 -雷沃重工,3室2厅 | 107.2平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 9天以前发布,73,"6,810元/平"
北海路泰华近电梯精装好楼层122平,嘉和未来城 -坊子泰华,3室2厅 | 122.26平米 | 南 北 | 精装 | 低楼层(共17层)  | 塔楼,0人关注 / 13天以前发布,72,"5,890元/平"
30万精装未住，三楼，带车位地下室,凤中街7号 -坊子泰华,3室2厅 | 120.68平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 7天以前发布,82,"6,795元/平"
高铁北站近     南北通透     精装修,雍翠园 -高铁北站,3室2厅 | 103平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 8天以前发布,43.5,"4,224元/平"
房主 急 售 ! 加州沿河观景 楼座位置好 好楼层 采光好,加州世纪尊品 -梨园,3室1厅 | 132.61平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 6天以前发布,99,"7,466元/平"
谷德锦商圈，两室年轻人过渡好房。,鸢都新城 -奥体中心,2室1厅 | 78.8平米 | 南 | 简装 | 中楼层(共15层)  | 板塔结合,0人关注 / 7天以前发布,42,"5,330元/平"
万达北，虞河畔，精装三室，客厅朝阳，看房方便,虞河生活城 -则尔庄,3室2厅 | 131.67平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,0人关注 / 5天以前发布,114,"8,659元/平"
城投悦动生态城 好楼层，带车位。看房方便、,城投悦动生态城悦府 -寿光市,4室2厅 | 151平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,0人关注 / 7天以前发布,118.8,"7,868元/平"
鲁发名城 多层5楼 拎包入住 随时看房,鲁发名城安定郡 -福乐多,3室2厅 | 97.5平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,50,"5,129元/平"
楼层很好次顶楼看小区观景位置好，利昌福乐多佳乐家,三友翡翠城 -福乐多,3室2厅 | 121.61平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,4人关注 / 6个月以前发布,75.8,"6,234元/平"
H户型全天采光近谷德银行单位房落地出窗,金宸公馆 -金融广场,3室2厅 | 153.91平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板楼,1人关注 / 4个月以前发布,129,"8,382元/平"
日向新华 中间层 带地下室 免费停车 无物业费,日向友好学校家属院 -新华中学,3室2厅 | 86.18平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,23人关注 / 一年前发布,78.8,"9,144元/平"
鲁发名城，精装修，精装，采光无遮挡，三卧朝阳,鲁发名城安定郡 -福乐多,3室2厅 | 97.5平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,62,"6,359元/平"
电梯洋房，带地下室 南北通透 格局采光充足 交通便利,宏鼎凡尔赛丽都 -潍城区政府,3室2厅 | 121.14平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,66,"5,449元/平"
精装修，拎包入住，带着家具家电一起卖。九成新，,奥文国际城 -上城佳乐家,3室2厅 | 139.24平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,5人关注 / 一年前发布,90.8,"6,522元/平"
房主急售 3室朝阳 精装 南面是多层 采光好 有玥匙,鲁发名城德胜郡 -福乐多,3室2厅 | 123.66平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,71,"5,742元/平"
业主急售茂华大平层，精装出税，楼栋位置好，楼层好,茂华紫苑公馆 -上城佳乐家,3室2厅 | 144.61平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 11个月以前发布,91.6,"6,335元/平"
谷德锦近，多层三室，年轻人过渡好房。,鸢都新城 -奥体中心,3室2厅 | 121.09平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,63,"5,203元/平"
新上精装好房！东风街上城佳乐家近茂华大H户型出税！,茂华紫苑公馆 -上城佳乐家,3室2厅 | 142.32平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,92.8,"6,521元/平"
上城国际B区三室视野开阔，采光好，,上城国际B区 -上城佳乐家,3室2厅 | 124.54平米 | 南 北 | 简装 | 中楼层(共33层)  | 板楼,1人关注 / 一年前发布,78.8,"6,328元/平"
业主急售奥文国际精装未住三室，出税，楼层好,奥文国际城 -上城佳乐家,3室2厅 | 113.58平米 | 南 北 | 精装 | 高楼层(共21层)  | 板塔结合,0人关注 / 2个月以前发布,79.8,"7,026元/平"
房子精装3室，干净整洁，可拎包入住,上城国际C区 -上城佳乐家,3室2厅 | 116.68平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,5人关注 / 4个月以前发布,76.99,"6,599元/平"
多层四楼  简装修  客厅朝阳  带地下室  采光很好,泰华金泰名苑 -福乐多,3室2厅 | 95.5平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,2人关注 / 6个月以前发布,57,"5,969元/平"
奥体板块，高档小区，精装三室，生活方便,恒大翡翠华庭 -福乐多,3室2厅 | 127.63平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 7个月以前发布,70,"5,485元/平"
奥体近，精装微住，户型好，楼层好，采光好，看房方便,鸢都新城 -奥体中心,3室2厅 | 119.5平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,6人关注 / 6个月以前发布,62,"5,189元/平"
渤海路，十甲农贸市场旁，精装，三室，带地下室,水岸华府 -市府东南,3室1厅 | 81.44平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 22天以前发布,61,"7,491元/平"
房主急售 带车位 带地下室 随时可以看房,新城花园(潍城区) -潍城区政府,2室2厅 | 117.42平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 30天以前发布,59.8,"5,093元/平"
福海花园 2室2厅 南 北,福海花园 -谷德广场,2室2厅 | 83平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 22天以前发布,59.8,"7,205元/平"
精装微住，楼层视野好，两室一卫，配套好，绿化高,恒大名都 -市府东南,2室2厅 | 91.62平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 21天以前发布,68,"7,422元/平"
精装修30万中间楼层，采光好 出税，高新实验旁,金隅园 -高新实验,3室2厅 | 114.49平米 | 南 北 | 精装 | 中楼层(共13层)  | 板塔结合,0人关注 / 31天以前发布,96,"8,386元/平"
政府单位房  植物园近  虞河畔多层精装三楼,宝通陆号 -植物园,3室2厅 | 90.99平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,103,"11,320元/平"
明德近 新华路 怡新苑 低楼层 房子干净明亮，装修很好,怡新苑 -新华路北,3室2厅 | 95.46平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 29天以前发布,75,"7,857元/平"
三楼好楼层，可拎包入住，实验，崇文近,恒信书香门第 -坊子人民医院,3室2厅 | 88.71平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 29天以前发布,68,"7,666元/平"
德润玫瑰园 中间楼层采光好 精装三室 中新双语北邻,德润玫瑰园 -新华路北,3室1厅 | 126.28平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 22天以前发布,108,"8,553元/平"
万达北，虞河旁，沿河景观，精装修,虞河生活城 -则尔庄,3室2厅 | 111.37平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 22天以前发布,85,"7,633元/平"
金都家园 电梯好楼层 精装一室 中 央空调 随时看房,金都家园 -上城佳乐家,1室1厅 | 53.22平米 | 北 | 精装 | 高楼层(共16层)  | 板塔结合,0人关注 / 22天以前发布,26,"4,886元/平"
恒大名都 三居室 重新装修 带地下室  带全屋固定装修,恒大名都 -市府东南,3室1厅 | 107.22平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 28天以前发布,78,"7,275元/平"
万达北，多层双气，出门口菜市场，房子精装房主保养好,同心园小区 -则尔庄,2室2厅 | 70.44平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 19天以前发布,35,"4,969元/平"
2001年建成 低公摊 位置佳 采光好 东苑公园近,潍柴东宿舍 -广文,2室2厅 | 75.5平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 26天以前发布,71.7,"9,497元/平"
巴龙国际多层四室，带车库，楼层好，采光好,巴龙国际 -寿光市,4室2厅 | 168.19平米 | 南 北 | 精装 | 7层  | 暂无数据,0人关注 / 20天以前发布,95,"5,649元/平"
新上小3居，精装修未住，好楼层，密码钥匙 福乐多近,三友翡翠城 -福乐多,3室1厅 | 86平米 | 南 | 精装 | 高楼层(共23层)  | 板塔结合,0人关注 / 29天以前发布,55.8,"6,489元/平"
上城国际B区 3室2厅 北 南,上城国际B区 -上城佳乐家,3室2厅 | 139.23平米 | 北 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 21天以前发布,106,"7,614元/平"
房间采光好，标准户型，地理位置市好,世纪花苑 -泰华,3室2厅 | 133.89平米 | 南 北 | 简装 | 中楼层(共5层)  | 塔楼,0人关注 / 21天以前发布,89.9,"6,715元/平"
新城明珠 带车储 证全满五 小高中上层 无遮挡 可议价,新城明珠鼎园 -寿光市,3室2厅 | 136平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 7天以前发布,93,"6,839元/平"
房子自带恒大的装修，三居室 电梯房 近利昌单价低,恒大翡翠华庭 -福乐多,3室2厅 | 143.49平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,79.9,"5,569元/平"
佳乐家近  三室精装 双卫  中间楼层 有地下室 有车位,茂华紫苑公馆 -上城佳乐家,3室2厅 | 141.86平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,5人关注 / 8个月以前发布,92,"6,486元/平"
茂华紫苑公馆大H户型 南北通透 户型方正,茂华紫苑公馆 -上城佳乐家,3室2厅 | 143平米 | 南 北 | 简装 | 中楼层(共27层)  | 板楼,0人关注 / 11天以前发布,86,"6,014元/平"
茂华紫苑公馆，落地窗，精装修未住，密码锁随时看房,茂华紫苑公馆 -上城佳乐家,3室1厅 | 136.67平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,2人关注 / 3个月以前发布,92,"6,732元/平"
日向新华 虞河畔人民医院近帝景苑好楼层,帝景苑 -新华中学,2室2厅 | 83.62平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 18天以前发布,71.6,"8,563元/平"
吉祥家园新的一批 前面是花园 精装三室 满五唯一,吉祥家园 -锦绣学校,3室2厅 | 88.86平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 12天以前发布,36.8,"4,142元/平"
附属旁德润品质！精装微住大两室 客厅朝阳双卧朝阳,德润玫瑰熙园 -新华路北,2室2厅 | 87.92平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 9天以前发布,75,"8,531元/平"
鲁发公园道1号3-2-1-2 119.00m² 108 万 价格可议,鲁发公园道1号 -上城佳乐家,3室2厅 | 119平米 | 南 北 | 毛坯 | 低楼层(共8层)  | 板塔结合,0人关注 / 4天以前发布,108,"9,076元/平"
白浪河边中医院近泰华 繁华商圈 出则繁华 入则宁静,泰华水印 -泰华,1室1厅 | 57平米 | 南 | 简装 | 中楼层(共17层)  | 塔楼,0人关注 / 8天以前发布,33,"5,790元/平"
精装修 家具家电齐全 拎包入住 位置好 人车分流,中海大观天下三期 -市府东南,4室2厅 | 141.47平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 16天以前发布,136,"9,614元/平"
谷德广场近，电梯房3室，带地下室，北海，,铭海花园东区 -谷德广场,3室2厅 | 113平米 | 南 北 | 简装 | 低楼层(共16层)  | 板塔结合,0人关注 / 12天以前发布,79.8,"7,062元/平"
红旗小区 2室2厅 南 北,红旗小区 -新华路北,2室2厅 | 60.11平米 | 南 北 | 精装 | 低楼层(共5层)  | 板塔结合,0人关注 / 7天以前发布,39,"6,489元/平"
此房南北通透，采光好，视野开阔。,潍坊职业学院宿舍院 -新华路佳乐家,3室1厅 | 63平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 8天以前发布,36,"5,715元/平"
中医院单位房 昌大建设 大H户型 南北通透 瀚声国际近,中颐和园 -凤凰山片区,3室2厅 | 143.5平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 11天以前发布,123,"8,572元/平"
渤海路品质社区！人车分流。双阳台大面宽客厅落地窗！,中南保利樾府 -高新实验,3室2厅 | 137平米 | 南 北 | 毛坯 | 中楼层(共20层)  | 板楼,0人关注 / 15天以前发布,110,"8,030元/平"
单价6900买东明正对过精装三居室户型方正南北通透全明,银枫家园 -东明学校,3室2厅 | 98.45平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 10天以前发布,68,"6,908元/平"
北海路明德多层130平3室2厅精装修拎包入住带地下室,圣荣广场 -新华路北,3室2厅 | 129.12平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 15天以前发布,85,"6,584元/平"
品质社区，人车分流大开间客厅朝阳双阳台！观景楼座,中南熙悦 -高新实验,3室2厅 | 127.7平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 12天以前发布,136,"10,650元/平"
位置佳 采光好 南北通透 大有近 全明户型,华府一品 -广文,3室1厅 | 126.3平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 9天以前发布,145,"11,481元/平"
金宸公馆  采光好  毛胚  三室,金宸公馆 -金融广场,3室2厅 | 145.41平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板楼,6人关注 / 一年前发布,126.8,"8,721元/平"
蓉花路 东华近上品领域 位置佳，交通便利，楼层好，,上品领域 -东明学校,3室1厅 | 133.07平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 5个月以前发布,113,"8,492元/平"
高新南 佳乐家商圈 多层三室 出税 楼栋位置佳,海正新苑 -坊子佳乐家,3室2厅 | 96.74平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 11个月以前发布,41,"4,239元/平"
市府东南，含车位，中上楼层，精装，满五唯一，金樱,金华丽 -市府东南,3室2厅 | 134.51平米 | 北 南 | 精装 | 高楼层(共17层)  | 板楼,4人关注 / 6个月以前发布,105,"7,807元/平"
单位房，小区环境优美，户型好，配套齐全,新城花园(潍城区) -潍城区政府,3室2厅 | 141.06平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,21人关注 / 一年前发布,65,"4,608元/平"
荣昌花园 精装三室 南北通透 带地下室,荣昌花园 -东明学校,3室2厅 | 143.32平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,3人关注 / 一年前发布,110,"7,676元/平"
房子客厅朝阳，商圈成熟谷德，东明近与未来一街之隔,金域华府(高新技术产业开发区) -潍坊学院,3室2厅 | 104.1平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 6个月以前发布,79.9,"7,676元/平"
H户型，客厅朝阳，南北通透，双卧朝阳，视野好采光好,东方天韵 -新华路北,3室2厅 | 134.04平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,1人关注 / 9个月以前发布,102,"7,610元/平"
北海校旁，公路局单位房，公摊低，钥匙看房,潍坊市公路局宿舍小区 -谷德广场,3室2厅 | 107.43平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 4个月以前发布,83,"7,726元/平"
市府近 精装未住大三居 电梯洋房带阁楼带露台中样空调,锦绣城(高新技术产业开发区) -人民广场,3室2厅 | 133.01平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 7个月以前发布,177,"13,308元/平"
玄武街新华路 好位置 多层三楼 好楼层,东城新海枫景 -锦绣学校,3室2厅 | 106.19平米 | 南 北 | 精装 | 中楼层(共6层)  | 塔楼,2人关注 / 6个月以前发布,71,"6,687元/平"
