标题,开发商,房子信息,发布信息,售价/万,单价
清江嘉园 4室2厅 南,清江嘉园 -钱清,4室2厅 | 188.49平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 16天以前发布,355,"18,834元/平"
此房精装，装修配置高，拎包入住，高层采光视野好,亲亲家园南区 -斗门,3室2厅 | 87.23平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 9天以前发布,160,"18,343元/平"
东边套，自带大花园，全屋空调加地暖，房子利用率很高,绍兴艺境 -斗门,4室2厅 | 125.79平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 14天以前发布,235,"18,682元/平"
精装修未入住！品牌家电实木家具，即买即住！,阳光城君悦龙山 -上虞城南,3室2厅 | 106.85平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 10天以前发布,185.8,"17,389元/平"
群贤府新小区，全新装修，拎包入住，采光好,祥生群贤府御园 -柯北,3室2厅 | 85.31平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 6天以前发布,210,"24,617元/平"
房子是东边套，精装无遮挡，湖景房，业主诚售看房方便,中海·世纪公館 -斗门,3室1厅 | 114.33平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 16天以前发布,185,"16,182元/平"
丁香园，离万达近，尚德小区，交通方便,锦江丁香园 -城北新区,3室2厅 | 89.78平米 | 南 | 毛坯 | 中楼层(共21层)  | 板塔结合,0人关注 / 29天以前发布,208,"23,168元/平"
亚厦江与城，精装修，三房两卫带书房，直接拎包入住,亚厦江与城 -城北新区,4室1厅 | 122.99平米 | 南 | 精装 | 低楼层(共23层)  | 板塔结合,0人关注 / 30天以前发布,330,"26,832元/平"
看房24小时专车接房东诚意出售南北双阳台难得,金地·格林自在城三期 -柯西,3室2厅 | 101平米 | 南 | 毛坯 | 中楼层(共8层)  | 板楼,1人关注 / 31天以前发布,205,"20,298元/平"
君越龙山小区青山缭绕，晨起空气质量佳,阳光城君悦龙山 -上虞城南,3室1厅 | 118.47平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 17天以前发布,174,"14,688元/平"
距离萧山一桥之隔，现房电梯房，中间楼层，价格美丽,江桥商城 -杨汛桥,3室2厅 | 100平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 25天以前发布,117,"11,700元/平"
江东路好房出售，交通便利，户型方正，视野好,江东路 -老城区,4室2厅 | 155平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 11天以前发布,150,"9,678元/平"
澜山刚需小面积精装，采光无挡，有钥匙，诚心出售。,光明▪澜山 -蓝天,3室2厅 | 93.99平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 15天以前发布,208,"22,131元/平"
婚房装修，目前自住，看房方便提前预约,金湖湾小区 -斗门,3室2厅 | 142.63平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,12人关注 / 一年前发布,170,"11,919元/平"
楼层好无遮挡，视野开阔阳光充足。真正的地铁口,光明海樾府东区 -镜湖,4室2厅 | 142.15平米 | 南 | 毛坯 | 中楼层(共18层)  | 平房,0人关注 / 1个月以前发布,309,"21,738元/平"
房子满5唯一税少，精装，拎包可入住业主诚售,亲亲家园南区 -斗门,3室2厅 | 104.8平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,5人关注 / 1个月以前发布,170,"16,222元/平"
全新毛坯房房东诚心出售，看房方便有钥匙,亚厦江与城 -城北新区,4室2厅 | 174.41平米 | 南 | 毛坯 | 3层  | 板楼 | 联排别墅 ,0人关注 / 1个月以前发布,565,"32,395元/平"
房子精装修拎包入住，楼层好，采光充足，诚心出售,世纪星城 -万达,3室2厅 | 116.89平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 3天以前发布,198,"16,940元/平"
越秀里  5 1 1 1 2 148.平米95万,越秀里 -嵊州城北,5室1厅 | 148平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 7天以前发布,95,"6,419元/平"
房子西边套，采光很好，户型方正，附房朝南已装修,珠峰新村西二区 -上虞城北,2室1厅 | 71平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 16天以前发布,129,"18,170元/平"
此房楼层好采光好，生活配套充足，交通出行便捷,金色华庭北区 -柯桥市区,2室2厅 | 99.3平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 12天以前发布,182.8,"18,409元/平"
松下伞城壕装大平层，全天采光，房东人家好，看房方便,中国伞城商业广场 -上虞北其他,4室3厅 | 253.68平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,1人关注 / 13天以前发布,258.8,"10,202元/平"
越泉车家弄新村 3室2厅 南,越泉车家弄新村 -上虞区,3室2厅 | 134.7平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 8天以前发布,128,"9,503元/平"
