标题,开发商,房子信息,发布信息,售价/万,单价
石桥区樊华精装修，拎包入住，户型通透，采光好,樊华似锦二期 -高新,2室1厅 | 81.07平米 | 东 | 精装 | 低楼层(共23层)  | 塔楼,0人关注 / 6天以前发布,78,"9,622元/平"
优质电梯好房    采光好  ，户型方正,三鹏广场 -涪城,3室2厅 | 143.97平米 | 东南 | 简装 | 高楼层(共15层)  | 塔楼,0人关注 / 21天以前发布,108,"7,502元/平"
富临原山小三室带入户花园，客厅带阳台，保护层色很新,富临原山 -越王楼,3室2厅 | 89.21平米 | 东南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 20天以前发布,81,"9,080元/平"
石桥铺 英郦庄园精装三室双卫 拎包入住 环境很好,泰格 · 英郦庄园 -高新,3室2厅 | 98.98平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,2人关注 / 31天以前发布,115.8,"11,700元/平"
此房满2年，证在手，交易简单。户型方正。标准大3室。,天泰·紫玉三号 -经开区,3室2厅 | 92.1平米 | 东南 | 其他 | 高楼层(共30层)  | 塔楼,0人关注 / 7天以前发布,69,"7,492元/平"
满两年，正临江，连接板，业主诚意出售,博雅海润广场 -经开区,3室2厅 | 104.99平米 | 东南 | 毛坯 | 中楼层(共31层)  | 塔楼,0人关注 / 10天以前发布,95,"9,049元/平"
枫璟398 房东自住 精装3室  拎包入住,枫璟•398A区 -高新,3室2厅 | 81.35平米 | 西南 | 精装 | 高楼层(共30层)  | 塔楼,0人关注 / 8天以前发布,78.8,"9,687元/平"
会仙路，富乐路旁边，崇尚国际旁边。,会仙路5号苑 -大都会,3室1厅 | 74.78平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 6天以前发布,45,"6,018元/平"
青年广场旁小区通风采光电梯满五带家具家电,南河花园(涪城区) -南河坝,4室2厅 | 163.99平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 6个月以前发布,102,"6,220元/平"
中华苑148平，6室2厅2卫简装，电梯，单价4700,中华苑 -高新,6室2厅 | 148.15平米 | 东北 | 简装 | 高楼层(共22层)  | 塔楼,1人关注 / 1个月以前发布,69.8,"4,712元/平"
五里堆品质大盘，精装3室，房东急售,富临原山 -越王楼,3室2厅 | 89.7平米 | 北 | 简装 | 中楼层(共15层)  | 板塔结合,0人关注 / 16天以前发布,78,"8,696元/平"
花园小区  满五不唯一中间楼层，自住精装单价5000多,花园小区(涪城区) -火车站,4室3厅 | 149.54平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 22天以前发布,85.5,"5,718元/平"
海赋长兴 精装三连跃 带露台 带菜园 满两年,海赋长兴 -经开区,6室3厅 | 139.46平米 | 西南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 23天以前发布,268,"19,217元/平"
准现房，年底交房，户型方正  86平3房双卫，好楼层,海天瑞府 -芙蓉,3室2厅 | 86平米 | 东南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 6天以前发布,71,"8,256元/平"
樊华似锦四房两厅双卫，中间楼层，朝南朝中庭  毛坯房,樊华似锦四期 -高新,4室2厅 | 126.31平米 | 东南 南 | 其他 | 中楼层(共27层)  | 塔楼,0人关注 / 7天以前发布,126,"9,976元/平"
小区封闭式管理模式，有散步走廊，老少公共健身器,滨江华城B区 -江油,3室2厅 | 90.5平米 | 南 | 精装 | 中楼层(共15层)  | 塔楼,0人关注 / 7天以前发布,49,"5,415元/平"
房东急售，清水大三房！户型方正！,东原华宇·朗阅 -经开区,3室2厅 | 96平米 | 东 东南 | 毛坯 | 低楼层(共25层)  | 塔楼,0人关注 / 5天以前发布,78.8,"8,209元/平"
南街，长城春天花园旁边，干休所，三桥,九鼎商住楼 -涪城,3室2厅 | 100平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 17天以前发布,65,"6,500元/平"
"万达旁精装三室,带地暖,拎包入住!",中玮海润城 -经开区,3室2厅 | 87平米 | 东南 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 14天以前发布,79,"9,081元/平"
高新区 精装修 中间楼层 拎包入住,普明北路东段居委会 -科创园区,3室2厅 | 86平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 10天以前发布,53.5,"6,221元/平"
城市奥莱旁精装三室双卫的房子朝小区中庭,文泉.理想城邦 -高新,3室1厅 | 105.25平米 | 东南 | 精装 | 中楼层(共26层)  | 塔楼,2人关注 / 16天以前发布,94,"8,932元/平"
富临原山三室两厅两卫.产权104平方....,富临原山 -越王楼,3室2厅 | 104平米 | 西南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 10天以前发布,89.8,"8,635元/平"
中间楼层 新精装修 朝南 直接入住,青春园 -科创园区,3室2厅 | 93.19平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 16天以前发布,53.8,"5,774元/平"
园艺山品质华润精装两室视野开阔。,华润中央公园 -科创园区,2室2厅 | 73平米 | 南 西南 西 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 3天以前发布,92,"12,603元/平"
学校小区  三楼正规三室  可拎包入住,学校小区 -江油,3室2厅 | 104平米 | 东 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 10天以前发布,34,"3,270元/平"
绵阳水文局家属院 3室2厅 南,绵阳水文局家属院 -1958,3室2厅 | 76平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 15天以前发布,45,"5,922元/平"
大4室单位房双卫，步梯4楼采光好南北朝向,金河小区(涪城区) -高新,4室2厅 | 168.19平米 | 南 | 简装 | 中楼层(共8层)  | 塔楼,1人关注 / 3个月以前发布,72,"4,281元/平"
跃层！！！新上房源，随时看房哦,翡翠园B区 -科创园区,3室2厅 | 103.63平米 | 西北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 2个月以前发布,40,"3,860元/平"
急售急售急售！园艺山东辰旁边大精装三室,东辰阳光清華B区 -科创园区,3室2厅 | 134.35平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,15人关注 / 6个月以前发布,98,"7,295元/平"
中原爱心小区三室出售，家具家电齐全，拎包入住,中原爱心小区 -江油,3室2厅 | 82.74平米 | 东南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,36,"4,351元/平"
东辰旁精装大三室 满两年 朝南保养的好 带暖气证在手,田森·奥林春天一期 -科创园区,3室1厅 | 135.63平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,4人关注 / 3个月以前发布,140,"10,323元/平"
此房我亲自看过    采光不错   视野好,晶蓝湖 -经开区,3室2厅 | 92.09平米 | 东南 | 精装 | 中楼层(共16层)  | 塔楼,0人关注 / 4个月以前发布,72.3,"7,852元/平"
经开万达中间楼层大套三双卫精装拧包入住无增值税,万达观澜 -经开区,3室2厅 | 111.8平米 | 西南 | 精装 | 中楼层(共33层)  | 塔楼,6人关注 / 4个月以前发布,109.8,"9,822元/平"
江岸山景一期山下 大三室，楼层好,江岸山景 -经开区,3室2厅 | 124.51平米 | 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,71,"5,703元/平"
虹色景苑三室二厅，楼层好，采光充足，急售,虹色景苑 -科创园区,3室2厅 | 116.92平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,58人关注 / 一年前发布,61,"5,218元/平"
