标题,开发商,房子信息,发布信息,售价/万,单价
伟星长江之歌 5室2厅 南,伟星长江之歌 -城南滨江版块,5室2厅 | 240平米 | 南 | 其他 | 高楼层(共40层)  | 塔楼,0人关注 / 5天以前发布,361,"15,042元/平"
此房楼层采光无遮挡，南边的视野开阔,东方龙城采薇苑 -大砻坊,3室2厅 | 104.08平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 23天以前发布,146,"14,028元/平"
翰林公馆  洋房  入户花园  纯毛坯  好楼层,翰林公馆 -中央城财富街,3室2厅 | 127.79平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,0人关注 / 25天以前发布,225,"17,608元/平"
天香苑二期新出精装修二居室 房东诚心卖 看中价格可谈,天香苑二期 -华强城,2室1厅 | 62.3平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 7天以前发布,80,"12,842元/平"
此房是纯边户，中间楼层，南北通透户型方正,绿地镜湖世纪城阳光花寓 -绿地镜湖新城,3室2厅 | 93.81平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,1人关注 / 9天以前发布,110,"11,726元/平"
汀海 精装大三房 格局好 采光视野好,汀海壹品 -汀棠公园,4室2厅 | 167.45平米 | 南 | 精装 | 高楼层(共10层)  | 板塔结合,4人关注 / 11个月以前发布,345,"20,604元/平"
锦绣家园新出好房，客厅改的很大,锦绣家园 -五一广场,2室2厅 | 102.56平米 | 南 西南 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 5天以前发布,132.6,"12,930元/平"
采光通风效此房好诚意出售，格局方正，配套设施齐全,宏业家园南区 -无为县,5室2厅 | 264平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 5天以前发布,180,"6,819元/平"
此房满五唯一，户型方正，，楼层好，房东诚心出售。,青山街小区一期 -中山路步行街,2室1厅 | 58.12平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,76.5,"13,163元/平"
二街居之安边 全新装潢 60平陪读两居 另有大阳台8平,上二街中级法院宿舍 -中山路步行街,2室1厅 | 59.5平米 | 南 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 10天以前发布,65,"10,925元/平"
左岸B区，上镜湖上荟萃，出行方便。看房提前约。,伟星 · 左岸生活b区 -左岸,3室2厅 | 130.92平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 10天以前发布,275,"21,006元/平"
无为县碧桂园浅月湾小区，南北通，采光好，环境好,无为县碧桂园浅月湾 -无为县,3室2厅 | 93.65平米 | 南 | 精装 | 高楼层(共9层)  | 暂无数据,0人关注 / 4天以前发布,82,"8,757元/平"
通透户型，采光无遮挡，小区环境优美，交通便捷,东方龙城清荷苑 -大砻坊,3室2厅 | 106.57平米 | 南 | 其他 | 低楼层(共26层)  | 板楼,0人关注 / 27天以前发布,160,"15,014元/平"
此房满二，通透户型，配备入户花园,万科城南区 -伟星星悦广场,3室2厅 | 132.56平米 | 南 北 | 其他 | 中楼层(共14层)  | 板楼,0人关注 / 18天以前发布,180,"13,579元/平"
北城水岸复式毛坯，观景银湖，长江！满五唯一四室两卫,北城水岸 -波尔卡商业区,4室2厅 | 156.64平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 21天以前发布,110,"7,023元/平"
户型方正，南北通透，诚心出售，简单装修。,城东小区 -雕塑公园,3室2厅 | 106.48平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 18天以前发布,119,"11,176元/平"
"精装通透格局,拎包入住,阳光充足,交通便捷,配套齐全",望江苑 -红旗,2室1厅 | 61.83平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,0人关注 / 8天以前发布,78,"12,616元/平"
蓝湖郡 精装修 拎包入住  房东去外地 诚心出售,信达▪蓝湖郡 -汀棠公园,3室2厅 | 89.45平米 | 南 北 | 其他 | 中楼层(共15层)  | 板楼,0人关注 / 5天以前发布,166,"18,558元/平"
金安小区 2室2厅 南,金安小区 -波尔卡商业区,2室2厅 | 82.14平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 6天以前发布,51,"6,209元/平"
翰林公馆 装修三房 采光好 位置好 楼层好 户型好,翰林公馆 -中央城财富街,3室2厅 | 101.25平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 8天以前发布,158,"15,605元/平"
赛纳丽城，户型方正没浪费，南北朝向,城市庄园住宅赛纳丽城小区 -华强城,3室2厅 | 113平米 | 南 北 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 4天以前发布,130,"11,505元/平"
