标题,开发商,房子信息,发布信息,售价/万,单价
开发商统装大三房，满5唯一，自住保养新,澜调国际 -湖东,3室2厅 | 141.36平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,1人关注 / 6天以前发布,550,"38,908元/平"
房东诚心出售，带储藏，带车位。。。,中天景悦府 -开发区,3室2厅 | 120.47平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 6天以前发布,435,"36,109元/平"
万科精装2房 采光视线佳 楼层好 看房方便拎包入住,万科魅力花园 -花桥,2室2厅 | 66.6平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,1人关注 / 7天以前发布,140,"21,022元/平"
高得房率 不靠高架 楼层好 采光无遮挡 毛坯房,恒基旭辉城 -浒墅关经济技术开发区,4室1厅 | 89平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 2天以前发布,168,"18,877元/平"
东港新村 2室1厅 南,东港新村 -东环,2室1厅 | 91.37平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 6天以前发布,259,"28,347元/平"
满五唯一 带院子 万科品质精装洋房 位置安静 采光充足,万科魅力花园（相城） -元和,3室2厅 | 84.98平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,2人关注 / 5天以前发布,218,"25,654元/平"
春漪园，6个房间，家庭人多的看过来啊！带有车库！,春漪园 -金鹰,6室3厅 | 204.38平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 13天以前发布,255,"12,477元/平"
此房精装修，诚心出售，直接拎包入住，还带个车库哦。,善景园 -千灯,3室2厅 | 105.85平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 7天以前发布,143,"13,510元/平"
地铁口精装三房，南北通风，中间楼层，远离高架,旭辉美澜城 -郭巷,3室2厅 | 83.71平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,1人关注 / 7天以前发布,198,"23,654元/平"
翡翠公馆 3室2厅 南,翡翠公馆 -城东,3室2厅 | 110.85平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 8天以前发布,135,"12,179元/平"
房子这边满两年空关 未住过人 三开间朝南 大阳台,中南世纪城(昆山) -开发区,4室2厅 | 143.1平米 | 南 北 | 精装 | 5层  | 塔楼,0人关注 / 5天以前发布,400,"27,953元/平"
仁恒次新方正朝南户型，统一精装空调 地暖 视野好,仁恒棠悦湾 -横塘,3室1厅 | 142.38平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 4天以前发布,618,"43,405元/平"
理想家园 3室2厅 南,理想家园 -浒墅关经济技术开发区,3室2厅 | 111.77平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 3天以前发布,190,"17,000元/平"
园区双湖蝴蝶湾大四房诚售，户型方正，位置安静！,蝴蝶湾北苑 -斜塘,4室2厅 | 138.52平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,1人关注 / 7天以前发布,595,"42,955元/平"
新上 婚房 装修 三房两卫 边户 从未入住过 随时看房,阳光天地 -尹山湖,3室2厅 | 102.43平米 | 东 | 精装 | 33层  | 板楼,1人关注 / 5天以前发布,250,"24,407元/平"
此房户型方正，楼层好，南北通风，中上楼层车位另卖,颐景园 -周市,3室2厅 | 100.18平米 | 南 北 | 精装 | 中楼层(共26层)  | 塔楼,0人关注 / 7天以前发布,240,"23,957元/平"
急售 临湖洋房，带南北花园，品质小区，享岛居生活,保利独墅西岸 -郭巷,4室2厅 | 348.18平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 3天以前发布,860,"24,700元/平"
绿城北区二期，明卫户型，区别其他户型，大阳台,绿城春江明月 -木渎,3室2厅 | 106.95平米 | 南 | 毛坯 | 高楼层(共15层)  | 板楼,0人关注 / 5天以前发布,218,"20,384元/平"
新上房源、店长推荐、看房有钥匙,阳光城丽景湾 -甪直,3室2厅 | 89.17平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 7天以前发布,185,"20,747元/平"
万泾花园好楼层，价格实惠，房龄新，有车位免费使用。,万泾花园 -元和,3室2厅 | 108平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,1人关注 / 4天以前发布,185,"17,130元/平"
店长力荐房源：全新毛坯，四开间朝南，好楼层好位置,九龙仓风华里 -东沙湖,3室2厅 | 98.42平米 | 南 | 毛坯 | 30层  | 板楼,1人关注 / 13天以前发布,439,"44,605元/平"
楼幢位置楼层都不错，三楼采光好，近地铁，近石湖,湖畔佳苑 -横塘,3室2厅 | 92平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,2人关注 / 16天以前发布,205,"22,283元/平"
地铁口，大两房。诚心出售，有钥匙，看房随时,建滔裕景园 -开发区,2室2厅 | 81.55平米 | 南 | 简装 | 高楼层(共34层)  | 塔楼,0人关注 / 8天以前发布,170,"20,847元/平"
城东人气小区，中南明星户型，满5唯一，户型好厨房大,中南世纪城(昆山) -开发区,4室2厅 | 112.16平米 | 南 | 简装 | 低楼层(共33层)  | 板塔结合,0人关注 / 8天以前发布,245,"21,844元/平"
环秀湖次新房户型方正交通便利看房方便,环秀湖花园 -高铁新城,3室2厅 | 85.87平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 8天以前发布,178,"20,730元/平"
万科精装修江景三房诚心出售，视野开阔阳光刺眼,万科魅力花园 -花桥,3室1厅 | 82.45平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 9天以前发布,180,"21,832元/平"
满五年，全新装修，南北朝向，小三房，保养好，急售,路劲凤凰城 -湖东,4室1厅 | 103.94平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,5人关注 / 12天以前发布,305,"29,344元/平"
新上世家苑三房 市场遗珠 诚心出售,世茂运河城世家苑 -沧浪新城,3室2厅 | 127.62平米 | 南 北 | 精装 | 28层  | 板楼,3人关注 / 10天以前发布,420,"32,911元/平"
姑苏区梅亭苑 满五年唯一 不靠高架 大车库 中间楼层,梅亭苑 -胥江,2室1厅 | 78.71平米 | 南 北 | 精装 | 5层  | 板塔结合,1人关注 / 9天以前发布,173,"21,980元/平"
万科总高9层洋房一梯两户南北通，满五唯一少税,万科魅力花园 -花桥,3室2厅 | 89平米 | 南 北 | 精装 | 低楼层(共9层)  | 板塔结合,1人关注 / 10天以前发布,193,"21,686元/平"
礼和苑人车分流，99平，带储藏室。,礼和苑 -玉山高新区,2室2厅 | 99.05平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,1人关注 / 7天以前发布,140,"14,135元/平"
次顶楼，两电梯三户人家，满五年唯一，有学府,湖畔天城 -湖东CBD,3室1厅 | 115.29平米 | 东 西 南 北 | 精装 | 16层  | 板塔结合,4人关注 / 15天以前发布,495,"42,936元/平"
山湖湾北区不靠高架 中间位置，精装3房，诚心出售,山湖湾北区 -科技城,3室2厅 | 97.66平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,2人关注 / 11天以前发布,220,"22,528元/平"
新上清树湾地铁中间楼层三房 采光好  诚心出售,新城红树湾 -太湖新城（吴江）,3室1厅 | 84.88平米 | 南 | 简装 | 中楼层(共34层)  | 板楼,1人关注 / 13天以前发布,165,"19,440元/平"
世茂东壹号 3室2厅 南,世茂东壹号 -开发区,3室2厅 | 107.74平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 5天以前发布,213,"19,770元/平"
津华园南区，朱棣文，实中，小面积房诚心出售,津华园南区 -娄江新城,3室1厅 | 80平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 12天以前发布,143,"17,875元/平"
精装修.楼层好.采光无遮挡上个月装修好的可以关注一下,宝带东路229号 -苏苑,3室1厅 | 89.94平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,0人关注 / 8天以前发布,229,"25,462元/平"
金枫美地 2室2厅 南,金枫美地 -木渎,2室2厅 | 83.21平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,163,"19,589元/平"
花苑新村（花桥） 2室1厅 南 北,花苑新村（花桥） -花桥,2室1厅 | 79.5平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 4天以前发布,142,"17,862元/平"
新上！诚售！拎包入住大4房！视野采光刺眼！看房方便,蓝光天悦城 -太湖新城（吴江）,4室2厅 | 117.33平米 | 南 | 精装 | 低楼层(共23层)  | 板楼,0人关注 / 9天以前发布,265,"22,586元/平"
新上花好月圆，新装修，四房三卫，全屋空调，有钥匙,花好月圆 -元和,4室2厅 | 151.69平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 10天以前发布,271,"17,866元/平"
绿地滨江汇 全南户型 精装全配  业主急售 随时看房,滨江汇 -花桥,3室2厅 | 87.68平米 | 南 | 精装 | 34层  | 塔楼,1人关注 / 10天以前发布,202.5,"23,096元/平"
产证满二，精装修保养好，拎包入住，诚意出售随时看房,蓝光天悦城 -太湖新城（吴江）,3室1厅 | 106.58平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 9天以前发布,246,"23,082元/平"
淀山湖花园大两房，中间楼层  采光充足，带车库满二,淀山湖花园C区（乐苑） -淀山湖,2室2厅 | 86.22平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,138,"16,006元/平"
此房满二年，配套设施完善，门口自带幼儿园。,黄城花园西区 -花桥,3室2厅 | 137.97平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 7天以前发布,191,"13,844元/平"
电梯洋房景观楼层满五唯一税费少 纯毛坯,韵湖国际 -淀山湖,3室2厅 | 84.07平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,0人关注 / 8天以前发布,145,"17,248元/平"
星泽 好房 店长主推 边户精装家具家电齐全拎包入住,阳光城丽景湾 -甪直,3室2厅 | 92.98平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 7天以前发布,200,"21,511元/平"
维纳阳光花园南区 3室1厅 南,维纳阳光花园南区 -青剑湖,3室1厅 | 78.58平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 6天以前发布,195,"24,816元/平"
衡山城精装修三房两卫，边套满两年可当婚房,衡山城国际花园 -玉山城南,3室2厅 | 134.89平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 7天以前发布,285,"21,129元/平"
胜利小区 三室两厅二卫 采光好 带车库,胜利新村 -玉山城北,3室2厅 | 104.08平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 7天以前发布,141,"13,548元/平"
一楼带院干净整洁采光充足地铁2.5换乘出口处位置安静,银桥新村（姑苏） -胥江,3室1厅 | 75.33平米 | 南 | 精装 | 低楼层(共4层)  | 板楼,0人关注 / 7天以前发布,190,"25,223元/平"
东园边上，护城河畔，娄门新村，二楼，敬文和平江,娄门新村 -娄门,3室1厅 | 74.7平米 | 南 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 5天以前发布,170,"22,758元/平"
朝阳新村业主急售，好楼层，经典三房适合陪读，有车库,朝阳新村 -葛江,3室1厅 | 73.76平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 4天以前发布,238,"32,267元/平"
沁怡家园 3室2厅 南,沁怡家园 -狮山,3室2厅 | 107平米 | 南 | 精装 | 高楼层(共12层)  | 板塔结合,2人关注 / 6天以前发布,428,"40,000元/平"
次新小区 精装边户三房，地铁高架 配套齐全，,新城招商香溪源 -太湖新城（吴江）,3室1厅 | 88.03平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 5天以前发布,193,"21,925元/平"
店长推荐：精装婚房大平层，景观层视野宽阔，采光好,鑫苑国际花园南区(虎丘区) -枫桥,2室1厅 | 63.86平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,0人关注 / 5天以前发布,205,"32,102元/平"
单价低，装修很好，顶带阁面积很大，采光刺眼！,阳光嘉园 -松陵,4室1厅 | 160.12平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 4天以前发布,175,"10,930元/平"
兆丰地铁站站旁 启航社河东 满5唯一 精装2房 户型方正,启航社河东 -花桥,2室2厅 | 70.42平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,2人关注 / 1个月以前发布,155,"22,011元/平"
满五唯一 精装修 带独立电动车库,梅亭苑 -胥江,4室2厅 | 133.38平米 | 南 | 精装 | 5层  | 板塔结合,1人关注 / 11天以前发布,210,"15,745元/平"
翰林缘 3室1厅 南,翰林缘 -独墅湖高教区,3室1厅 | 122.46平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,4人关注 / 23天以前发布,380,"31,031元/平"
洋房！精装修保养好，品牌家电家具，满两年！,祥瑞香逸尚城 -花桥,3室2厅 | 83.39平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 19天以前发布,220,"26,383元/平"
精装大3房2卫，全新婚房装修，一天未住,海上印象 -张浦,3室2厅 | 117.11平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,4人关注 / 25天以前发布,190,"16,225元/平"
盛大花苑136平  3室2厅2卫  精装修  电梯房,盛大花苑 -城厢,3室2厅 | 136.13平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,1人关注 / 21天以前发布,155,"11,387元/平"
纯洋房一梯两户，次新小区，5号线地铁口，精装四房,佳兆业广场 -狮山,4室2厅 | 125平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,2人关注 / 26天以前发布,555,"44,400元/平"
紫桂苑东区新上边户三房，毛坯空关,新湖明珠城紫桂苑东区 -太湖新城（吴江）,3室1厅 | 89.76平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,183,"20,388元/平"
诚售园区南挑高5.48，有燃气，通透户型,格林悦城花园 -松陵,2室1厅 | 54.22平米 | 南 北 | 简装 | 高楼层(共14层)  | 板楼,0人关注 / 20天以前发布,67,"12,358元/平"
樾玺高楼层湖景房 满二年精装修 看中可谈价格,中航樾玺 -科技城,3室2厅 | 102.33平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,8人关注 / 26天以前发布,266,"25,995元/平"
地铁5号线，次新小区，品质物业，满二年，急售！,旭辉公元弘庭 -胥口,3室2厅 | 93.72平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 25天以前发布,186,"19,847元/平"
黄浦君庭 3室1厅 南,黄浦君庭 -千灯,3室1厅 | 91.35平米 | 南 | 精装 | 高楼层(共16层)  | 板塔结合,0人关注 / 18天以前发布,139.5,"15,271元/平"
悦澜湾三房满五唯一 税费少， 业主置换诚意卖,首开悦澜湾 -青剑湖,3室2厅 | 89.86平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,51人关注 / 23天以前发布,255,"28,378元/平"
丽湾国际 近地铁 楼层佳 采光充足 带2个长租车位,丽湾国际 -太湖新城（吴江）,3室2厅 | 135.15平米 | 南 北 | 精装 | 高楼层(共24层)  | 板塔结合,0人关注 / 22天以前发布,216,"15,983元/平"
一楼采光好 前面无遮挡  地铁口  看房有钥匙,东吴新村 -苏苑,3室1厅 | 78.4平米 | 南 | 精装 | 低楼层(共5层)  | 板楼,1人关注 / 1个月以前发布,190,"24,235元/平"
急售急售  园区南电梯洋房新精装 好楼层好位置,千邑悦庭 -松陵,3室2厅 | 103.63平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,4人关注 / 29天以前发布,230,"22,195元/平"
满二精装修 中上楼层 采光好 业主诚心卖,天城花园 -松陵,3室2厅 | 103.24平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,3人关注 / 17天以前发布,172,"16,661元/平"
诚心急售3室2厅2卫 满两年税费少 采光全天无遮挡,山湖鸿雅苑 -松陵,3室2厅 | 122.24平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 26天以前发布,160,"13,090元/平"
毛坯中间楼层，中间位置采光视野好，诚意卖,东城郡 -湖东CBD,3室2厅 | 135.34平米 | 南 | 毛坯 | 11层  | 板楼,1人关注 / 31天以前发布,670,"49,505元/平"
急售大鱼湾智谷小镇旁 精装修三房 拎包入住 配套齐全,神州通城西印象 -巴城,3室2厅 | 94.32平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,2人关注 / 23天以前发布,157.5,"16,699元/平"
电梯洋房景观楼层，三房148万，税费少,韵湖国际 -淀山湖,3室1厅 | 84.07平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,2人关注 / 31天以前发布,146,"17,367元/平"
可逸兰亭 南北双阳台三房 精装全配 好户型采光无遮挡,可逸兰亭 -花桥,3室1厅 | 93.36平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 29天以前发布,172.8,"18,509元/平"
新上 4号线地铁 万科樾碧花园 复式精装好房,樾碧花园 -太湖新城（吴江）,3室2厅 | 94.13平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 17天以前发布,185,"19,654元/平"
保利开发万科物业 满五唯一省个税 拎包入住很省事儿,保利居上 -尹山湖,3室2厅 | 86.67平米 | 南 北 | 精装 | 26层  | 板塔结合,5人关注 / 20天以前发布,235,"27,115元/平"
一号线地铁口世纪花园大三房出售 通透飞机户型,世纪花园（高新） -狮山,3室2厅 | 122.99平米 | 南 | 简装 | 低楼层(共5层)  | 板塔结合,1人关注 / 25天以前发布,317,"25,775元/平"
驿东苑93平边户    3房1卫客厅带大窗户采光好   通透,驿东苑 -胥江,3室2厅 | 92.31平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,1人关注 / 24天以前发布,220,"23,833元/平"
和乐家园中间楼层精装中户带独库房东诚心出售！,和乐家园 -狮山,3室2厅 | 92.51平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,2人关注 / 24天以前发布,385,"41,618元/平"
