标题,开发商,房子信息,发布信息,售价/万,单价
此房为毛坯4房 看小区园林 户型很好 楼层好,珠江·云锦 -雁峰区,4室2厅 | 128.22平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 5天以前发布,68.8,"5,366元/平"
蒸湘区，复式楼带平台楼上还有一个菜园子，,雁能领秀天地 -蒸湘区,4室3厅 | 220平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 19天以前发布,94.8,"4,310元/平"
一中正对 面  明兴翰苑 3房2厅2卫   满五唯一,明兴翰苑 -蒸湘区,3室2厅 | 117.87平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 13天以前发布,68.8,"5,837元/平"
悦华小区 中间楼层 房邻新 户型通透 有家电,悦华小区 -蒸湘区,3室2厅 | 128.56平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 7天以前发布,46.8,"3,641元/平"
房子原房东装修，户型方正，采光通透，卧室宽敞,丰越大厦 -蒸湘区,4室2厅 | 163平米 | 南 | 简装 | 中楼层(共27层)  | 暂无数据,0人关注 / 4天以前发布,70.8,"4,344元/平"
房东诚信出售、英伦首府楼梯洋房、小区环境优美、,英伦首府 -蒸湘区,3室2厅 | 115.64平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 25天以前发布,65.8,"5,691元/平"
西湖水岸 大平层 精装修 拎包入住,西湖水岸 -石鼓区,5室2厅 | 210.58平米 | 南 西北 | 精装 | 高楼层(共19层)  | 板塔结合,0人关注 / 16天以前发布,140,"6,649元/平"
大型高档小区，南北通透大5房，户型方正，视野开阔,融冠乐城 -蒸湘区,5室2厅 | 150.32平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 暂无数据,0人关注 / 6天以前发布,89.8,"5,974元/平"
蒸水河畔 蒸水湾毛坯4房2卫 户型采光好证满2年,华鑫.蒸水湾 -蒸湘区,4室2厅 | 132平米 | 南 | 毛坯 | 高楼层(共28层)  | 暂无数据,0人关注 / 2天以前发布,71,"5,379元/平"
愉景新城 3室2厅 南,愉景新城 -蒸湘区,3室2厅 | 135平米 | 南 | 精装 | 中楼层(共28层)  | 暂无数据,0人关注 / 5天以前发布,85.8,"6,356元/平"
愉景新城4房3卫大户型中间楼层双阳台,愉景新城 -蒸湘区,4室2厅 | 177平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 3天以前发布,79.8,"4,509元/平"
楼层好，视野宽阔，采光充足，配套设施齐全。,融冠亲城 -蒸湘区,4室2厅 | 122平米 | 东 东南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 2天以前发布,79,"6,476元/平"
蒸湘平湖公园旁边 带小区房东精装修,彩霞满天 -蒸湘区,3室2厅 | 84.42平米 | 南 | 精装 | 高楼层(共25层)  | 暂无数据,1人关注 / 15天以前发布,56.8,"6,729元/平"
蒸水河畔 金孺大厦 精装3房 单价4千5的电梯房,金孺大厦 -石鼓区,3室2厅 | 129平米 | 南 北 | 精装 | 中楼层(共28层)  | 暂无数据,0人关注 / 14天以前发布,56,"4,342元/平"
房子毛胚房，装修随意，看房方便，满两年,珠江帝景山莊 -石鼓区,3室2厅 | 125平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 13天以前发布,70,"5,600元/平"
