标题,开发商,房子信息,发布信息,售价/万,单价
交通便利适合开店做生意。。。。。,通浦路 -沈家商圈,6室3厅 | 352.19平米 | 东 西 | 简装 | 低楼层(共3层)  | 板楼,1人关注 / 一年前发布,470,"13,346元/平"
满二，看房方便，楼层好，毛坯好房。,凤馨苑 -东港,3室2厅 | 115.76平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 14天以前发布,115,"9,935元/平"
藏珑郡6-2-1-5 317.18m² 毛坯房 随意装修,藏珑郡 -南区,6室2厅 | 317.18平米 | 南 北 | 其他 | 4层  | 暂无数据 | 联排别墅 ,3人关注 / 一年前发布,500,"15,764元/平"
金桂苑，小区环境优美。看房方便，房东急卖，,金桂苑 -南区,6室3厅 | 240.52平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,10人关注 / 一年前发布,220,"9,147元/平"
嘉荷花苑 6楼带阁楼 实用面积大 有露台,嘉荷花苑 -南区,4室2厅 | 193.68平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,203,"10,482元/平"
新湖兰馨苑边套排屋 南北通透三个大阳台,新湖兰馨苑 -西区,5室3厅 | 219.08平米 | 南 北 | 精装 | 3层  | 板塔结合 | 联排别墅 ,26人关注 / 一年前发布,509,"23,234元/平"
空间布局有致，和谐有序，清新空气自由穿行,白云小区 -西区,5室3厅 | 152平米 | 南 | 其他 | 高楼层(共5层)  | 板塔结合,17人关注 / 一年前发布,209,"13,750元/平"
小区位置好，楼层好中间楼层，小区管理严格，环境好,和谐家园 -沈家商圈,4室3厅 | 179.87平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,11人关注 / 一年前发布,168,"9,341元/平"
三衢世家   精装修 家具齐全 可拎包居住,三衢世家 -南区,4室2厅 | 175.5平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,198,"11,283元/平"
嘉城苑 房东自住 家电齐全  可拎包入住,嘉城苑 -南区,5室2厅 | 224.91平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,196,"8,715元/平"
金桂小区北区楼层好，视野宽阔，采光充足，房东急售,金桂小区北区 -南区,4室1厅 | 129.94平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,138,"10,621元/平"
急售 裕丰花园二楼，自住精装，带地面车库,裕豐花園 -南区,3室2厅 | 112.14平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,2人关注 / 一年前发布,179,"15,963元/平"
龙城花园5楼带阁楼 ，双露台，实用面积大，自住装修,松园北区 -南区,3室2厅 | 147.48平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,215,"14,579元/平"
迎和小区 满五唯一 税费低  3室1厅1卫,迎和小区 -北区,3室1厅 | 91.3平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,248,"27,164元/平"
荷花西区4-2-2户型 2楼好楼层大客厅,荷花西区 -南区,3室2厅 | 136.5平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,7人关注 / 一年前发布,150,"10,990元/平"
裕丰花园，三室两厅精装修出售！,裕豐花園 -南区,3室2厅 | 145平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,3人关注 / 一年前发布,205.8,"14,194元/平"
急君悦东方131平米，低层精装修带车库满5唯一税费低！,君悦东方 -沈家商圈,3室2厅 | 130.95平米 | 南 北 | 简装 | 低楼层(共17层)  | 板楼,2人关注 / 一年前发布,193,"14,739元/平"
飞扬地带复式小楼，全新现代装修带露台,南苑飞扬地带 -南区,2室2厅 | 38平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,54人关注 / 一年前发布,69,"18,158元/平"
地理位置优越，出行方便，配套设施齐全，生活方便,通策兰堡 -沈家商圈,3室2厅 | 93平米 | 南 北 | 毛坯 | 中楼层(共15层)  | 板楼,3人关注 / 一年前发布,150,"16,130元/平"
南区金都花园满两年储5平上证看房提前联系,金都花园 -南区,3室2厅 | 150平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,160,"10,667元/平"
汇丰花苑3室2厅2卫，居家装修，带储藏间，,汇丰花苑 -南区,3室2厅 | 133平米 | 南 北 | 精装 | 低楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,175,"13,158元/平"
楼层好 交通方便 风景优美 小区环境好,云栖新语 -南区,4室2厅 | 121.39平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,2人关注 / 一年前发布,218,"17,959元/平"
三衢世家 精装修南北通透 交通便利,三衢世家 -南区,2室2厅 | 143平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,172,"12,028元/平"
摩根公寓，电梯高层，视野开阔 三室二厅二卫,摩根公寓 -南区,3室2厅 | 132.93平米 | 南 | 其他 | 高楼层(共14层)  | 板楼,1人关注 / 一年前发布,155,"11,661元/平"
汇丰花苑，小区环境好，交通方便，环境优美,汇丰花苑 -南区,3室2厅 | 110.2平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,133,"12,069元/平"
全新精装修，边套采光好， 户型方正，地理位置优越。,和谐家园 -沈家商圈,3室2厅 | 121.88平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,148,"12,144元/平"
吾悦华府3房2厅2卫  满2年，毛坯  楼层好,新城吾悦华府 -西区,3室2厅 | 139.93平米 | 南 | 毛坯 | 低楼层(共28层)  | 板塔结合,9人关注 / 一年前发布,350,"25,013元/平"
誉江南  4室2厅2卫   南北通透,誉江南 -南区,4室2厅 | 135.61平米 | 南 北 | 毛坯 | 低楼层(共8层)  | 板塔结合,9人关注 / 一年前发布,200,"14,749元/平"
冠苑小区3楼边套带储藏间119+8.33,冠苑小区 -南区,3室1厅 | 127.33平米 | 南 | 精装 | 中楼层(共6层)  | 平房,1人关注 / 3天以前发布,166,"13,037元/平"
南湖府苑自住精装好房，看房方便。,南湖府苑 -北区,5室1厅 | 134.95平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 7天以前发布,259,"19,193元/平"
聚龙嘉苑上叠排，满二，房东急售,聚龙嘉苑 -西区,6室2厅 | 282.33平米 | 南 北 | 其他 | 4层  | 板楼,6人关注 / 一年前发布,575,"20,367元/平"
玫瑰园排屋 实用面积500多平  精装修 地面共四层,新湖玫瑰园 -西区,5室3厅 | 301平米 | 南 北 | 精装 | 3层  | 板塔结合 | 联排别墅 ,5人关注 / 一年前发布,868,"28,838元/平"
已经满2年，精装修保养的好 楼层好 拎包入住,天和家园 -西区,5室2厅 | 186平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,18人关注 / 一年前发布,265,"14,248元/平"
急售  急售  君悦东方，纯毛坯，顶复3层大户型,君悦东方 -沈家商圈,9室2厅 | 210.23平米 | 南 北 | 其他 | 高楼层(共21层)  | 板楼,3人关注 / 一年前发布,328,"15,602元/平"
公园三号电梯顶复 带露台 精装修 诚心可议,公园3号 -南区,5室3厅 | 120.19平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,5人关注 / 一年前发布,328,"27,291元/平"
房东买房 摇号到手 置换该房子 只要有缘 价格都可以谈,紫荆花苑 -北区,4室2厅 | 180平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,12人关注 / 一年前发布,280,"15,556元/平"
佳美二区 带阁楼  小区人文化好,佳美二区 -南区,2室2厅 | 84.18平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,4人关注 / 一年前发布,120,"14,256元/平"
世纪锋尚 边套排屋 毛坯房 业主诚心售 看房方便 可谈,世纪锋尚 -南区,6室2厅 | 303平米 | 南 北 | 毛坯 | 3层  | 板塔结合 | 联排别墅 ,3人关注 / 一年前发布,570,"18,812元/平"
沐霞人家电梯房，顶楼复式，东边套，满2年,沐霞人家 -西区,7室3厅 | 253.48平米 | 南 | 精装 | 高楼层(共11层)  | 塔楼,6人关注 / 一年前发布,500,"19,726元/平"
好楼层，带露台，采光佳，适宜三代同堂，,梅花小区 -南区,5室2厅 | 217平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,190,"8,756元/平"
巨化烂柯山 双拼别墅  东边套 带双车位，满五唯一,上林名墅 -东港,7室5厅 | 348平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,5人关注 / 11个月以前发布,400,"11,495元/平"
豪 华装修双拼别墅 地位位置优越 有天有地有花园,欧景·御花苑 -南区,5室2厅 | 290.6平米 | 南 北 | 其他 | 3层  | 平房 | 双拼别墅 ,4人关注 / 一年前发布,700,"24,089元/平"
新湖兰馨苑 顶楼精装复式 含大车库,新湖兰馨苑 -西区,3室2厅 | 146.83平米 | 南 北 | 其他 | 高楼层(共5层)  | 板塔结合,14人关注 / 一年前发布,360,"24,519元/平"
观棠府大4房，有车位，储藏室，看房方便,祥生湛景观棠府 -西区,4室2厅 | 145平米 | 南 北 | 毛坯 | 高楼层(共20层)  | 板楼,0人关注 / 1个月以前发布,410,"28,276元/平"
绿都城市假日4-2-1-2 140.58m²满5不唯一,绿都城市假日 -南区,4室2厅 | 140.58平米 | 东 | 其他 | 高楼层(共11层)  | 平房,2人关注 / 一年前发布,170,"12,093元/平"
房东诚心出售，采光好，环境优美,世通华庭 -北区,3室2厅 | 142.38平米 | 南 | 其他 | 中楼层(共11层)  | 塔楼,2人关注 / 一年前发布,238,"16,716元/平"
学院新村自住精装，满五年，位置好,学苑新村 -北区,3室2厅 | 173平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,263.5,"15,232元/平"
房东换房 急售本房子 房子看中价格可以谈,南湖府苑 -北区,3室2厅 | 114平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,22人关注 / 一年前发布,146,"12,808元/平"
房东换房 急售本房子  房子看中价格可以谈,紫荆花苑 -北区,5室2厅 | 222平米 | 南 | 其他 | 高楼层(共12层)  | 板塔结合,9人关注 / 一年前发布,375,"16,892元/平"
有故事的房子-花心思的家-真的很温馨,荷花西区 -南区,3室2厅 | 78平米 | 南 | 其他 | 高楼层(共7层)  | 板塔结合,8人关注 / 一年前发布,128,"16,411元/平"
万达旁裕丰花园，精装修未入住，三室，看房方便,裕豐花園 -南区,3室2厅 | 67.84平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,6人关注 / 3个月以前发布,99,"14,594元/平"
月亮湾 毛坯 上证136.1平 305w,滨江月亮湾 -西区,3室2厅 | 136.1平米 | 北 南 | 其他 | 高楼层(共18层)  | 板楼,15人关注 / 一年前发布,288,"21,161元/平"
带车库，房东急卖价格好谈，贝壳找房李家乐为您推荐。,锦江花苑A区 -沈家商圈,3室2厅 | 94.47平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,155,"16,408元/平"
体育场路，3室2厅2卫，157平精装修，满五,体育场路 -北区,3室2厅 | 157平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,200,"12,739元/平"
裕丰满五好房，全是品牌家具家电，采光充足，配套齐全,裕豐花園 -南区,3室2厅 | 105.1平米 | 南 | 其他 | 高楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,169,"16,080元/平"
房子 装修业主自住清爽拎包入住 房东诚心出售 满两年,宜园小区 -沈家商圈,3室2厅 | 119平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,13人关注 / 一年前发布,135,"11,345元/平"
世通华庭 3房2卫 自住精装修 150.34平诚心出售,世通华庭 -北区,3室2厅 | 150.34平米 | 南 | 其他 | 中楼层(共15层)  | 塔楼,6人关注 / 一年前发布,235,"15,632元/平"
安静舒适，全明户型，采光通风无遮挡,衢江•润园 -沈家商圈,3室2厅 | 99.82平米 | 南 北 | 其他 | 低楼层(共7层)  | 平房,8人关注 / 一年前发布,116,"11,621元/平"
