标题,开发商,房子信息,发布信息,售价/万,单价
清河庄园精装修全屋暖气拎包入住中间楼层税费低,清河庄园 -樊城东区,3室2厅 | 108.53平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 14天以前发布,99,"9,122元/平"
房子满两年 边户餐客一体的 三房一卫，高楼层视野开阔,东津世纪城10区御华苑 -东津区,3室2厅 | 99.76平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 12天以前发布,72,"7,218元/平"
距离商场近采光好视野好房本满二,东津世纪城11区观澜郡 -东津区,3室2厅 | 102平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 26天以前发布,69,"6,765元/平"
民发世界城紫荆花园复式买一层得两层 看房有钥匙满二,紫荆花園 -襄州区,3室2厅 | 182平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,90.5,"4,973元/平"
华洋堂 学堂37 楼层好 正3房 四面采光,金桥嘉苑 -樊城东区,3室2厅 | 139.4平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,5人关注 / 一年前发布,93,"6,672元/平"
好房出售地段好位置佳交通方便万达商圈休闲娱乐上班,民发盛特公园 -樊城西区,3室2厅 | 142.11平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,25人关注 / 一年前发布,187,"13,159元/平"
骧龙国际 三室毛坯 中间楼层 诚意出售,海容骧龙国际 -襄城区,3室2厅 | 116.71平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 30天以前发布,95,"8,140元/平"
沃尔玛商圈，精装两房满二无划拨,银河生活三区 -樊城西区,2室2厅 | 70.41平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,3人关注 / 30天以前发布,52,"7,386元/平"
艺品苑小区 3室1厅 东南,艺品苑小区 -樊城东区,3室1厅 | 98.42平米 | 东南 | 精装 | 低楼层(共8层)  | 板塔结合,0人关注 / 19天以前发布,90,"9,145元/平"
檀溪路大型国企单位院，小区物业好，费用低，户型方正,东方社区 -襄城区,3室2厅 | 110.64平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 23天以前发布,95,"8,587元/平"
长征路 花园小区 普鑫上东郡精装5房全屋空调带暖气,普鑫 · 上東郡 -樊城东区,4室2厅 | 176.49平米 | 南 北 | 精装 | 中楼层(共31层)  | 板塔结合,1人关注 / 26天以前发布,199,"11,276元/平"
鹿鸣岛花园龙行天下  户型端正 满五唯一,鹿鸣岛花园龙行天下 -鱼梁洲,4室2厅 | 151.55平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,5人关注 / 一年前发布,102,"6,731元/平"
户型方正，视野好，楼层好，光照足,恒大名都 -襄城区,2室2厅 | 91.69平米 | 南 北 | 精装 | 中楼层(共23层)  | 板塔结合,1人关注 / 15天以前发布,105,"11,452元/平"
长虹路主干道 万达吾悦广场 民发天地精装三室,民发天地 -樊城东区,3室2厅 | 127.01平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,110,"8,661元/平"
纯毛坯，随意装修，高楼层，视野开阔，采光良好,东津世纪城7区两江汇 -东津区,4室2厅 | 177.2平米 | 东南 | 毛坯 | 高楼层(共25层)  | 板塔结合,5人关注 / 一年前发布,120,"6,773元/平"
东津世纪城边户大三房双阳台，中层，满二，仅契税,东津世纪城8区新外滩 -东津区,3室2厅 | 116.41平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,81,"6,959元/平"
楼层好，视野宽广 采光充足，配套齐全,汉江明珠城 -樊城东区,3室2厅 | 135.85平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,76人关注 / 一年前发布,150,"11,042元/平"
此房满两年 环境好 小区南排 带精装家私电器挨着商场,东津世纪城9区菁华园 -东津区,3室2厅 | 102.23平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,1人关注 / 1个月以前发布,76,"7,435元/平"
三元路供电局单位家属院暖气房。,襄阳供电公司检修公司董台生活区 -樊城东区,3室1厅 | 77.43平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,55,"7,104元/平"
此房交通便利小区绿化好空气优住宅品质高采光好,民发世界城学院派 -襄州区,3室2厅 | 89.7平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 1个月以前发布,92,"10,257元/平"
近江边产证满2年看房有钥匙中高层采光好可议价,东津世纪城8区新外滩 -东津区,3室2厅 | 102.03平米 | 东南 | 毛坯 | 高楼层(共33层)  | 板塔结合,31人关注 / 一年前发布,65.5,"6,420元/平"
电梯入园小区边户近小区大门口中高层首付三成换房诚售,东津世纪城16区天境台 -东津区,3室2厅 | 122.53平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,6人关注 / 一年前发布,84,"6,856元/平"
精装修，拎包入住，中间楼层，出行方便，采光良好,东津世纪城7区两江汇 -东津区,3室2厅 | 102.23平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,2人关注 / 4个月以前发布,81,"7,924元/平"
民发商圈精装 看江效果好 采光充足，中间楼层,百洋欧典二期 -襄州区,3室2厅 | 112.04平米 | 南 北 | 精装 | 低楼层(共16层)  | 板塔结合,10人关注 / 6个月以前发布,92.5,"8,256元/平"
东津世纪城11区99平精装 本满两年无贷款钥匙房,东津世纪城11区观澜郡 -东津区,3室2厅 | 98.58平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,6人关注 / 4个月以前发布,77,"7,811元/平"
东津103平毛坯3房视野开阔通风效果好出行方便,东津世纪城16区天境台 -东津区,3室2厅 | 103.27平米 | 南 | 毛坯 | 高楼层(共23层)  | 板塔结合,0人关注 / 3个月以前发布,72,"6,973元/平"
朝向好，格局好采光充足，视野宽阔，每个卧室都有飘窗,盛世龙城 -樊城东区,3室2厅 | 105.72平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,8人关注 / 8个月以前发布,128,"12,108元/平"
民发悦华里满五唯一采光好小区环境好,民发世界城悦华里 -襄州区,3室2厅 | 143.3平米 | 东南 | 精装 | 高楼层(共29层)  | 板塔结合,14人关注 / 一年前发布,143,"9,980元/平"
东津137平毛坯3房中间楼层小区入口出行方便阳光充足,东津世纪城10区御华苑 -东津区,3室2厅 | 136.45平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,2人关注 / 6个月以前发布,97,"7,109元/平"
