标题,开发商,房子信息,发布信息,售价/万,单价
龙记帝景湾 3室2厅 南 北,龙记帝景湾 -城北,3室2厅 | 120.01平米 | 南 北 | 精装 | 低楼层(共23层)  | 板塔结合,0人关注 / 3天以前发布,170,"14,166元/平"
绿地香树花城 4室2厅 南 北,绿地香树花城 -经开南,4室2厅 | 160.42平米 | 南 北 | 精装 | 6层  | 板楼,1人关注 / 30天以前发布,325,"20,260元/平"
高山流水星币传说 4室2厅 南 北,高山流水星币传说 -城东,4室2厅 | 156.84平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 5天以前发布,310,"19,766元/平"
中航华府 4室1厅 南 北,中航华府 -城西,4室1厅 | 108.94平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 7天以前发布,235,"21,572元/平"
中建国熙台 3室2厅 南 北,中建国熙台 -高新六路,3室2厅 | 120.28平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,3人关注 / 7天以前发布,268,"22,282元/平"
大华曲江公园世家三期 2室1厅 南 北,大华曲江公园世家三期 -曲江,2室1厅 | 118.01平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 4天以前发布,177,"14,999元/平"
金地翔悦天下 3室2厅 东南,金地翔悦天下 -曲江,3室2厅 | 94.7平米 | 东南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 7天以前发布,215,"22,704元/平"
紫薇田园都市H区 2室2厅 南 北,紫薇田园都市H区 -紫薇田园都市,2室2厅 | 97.21平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 7天以前发布,215,"22,118元/平"
御锦城智慧树 3室1厅 南 北,御锦城智慧树 -浐河西路,3室1厅 | 109.66平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 7天以前发布,198,"18,056元/平"
蓝光公园华府二期 4室2厅 南 北,蓝光公园华府二期 -西咸,4室2厅 | 127平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 7天以前发布,155,"12,205元/平"
212所南区 2室2厅 南 北,212所南区 -城南,2室2厅 | 94.06平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,109,"11,589元/平"
吉源美郡国际城 2室2厅 南,吉源美郡国际城 -长安,2室2厅 | 88.4平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 6天以前发布,147.5,"16,686元/平"
紫薇田园都市B区 3室2厅 南 西,紫薇田园都市B区 -紫薇田园都市,3室2厅 | 122.52平米 | 南 西 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 2天以前发布,219,"17,875元/平"
智慧新城 2室1厅 东,智慧新城 -长安,2室1厅 | 87.76平米 | 东 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 4天以前发布,141,"16,067元/平"
振业泊墅 4室2厅 南 北,振业泊墅 -浐河西路,4室2厅 | 261.34平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 27天以前发布,370,"14,158元/平"
逸翠园一期 5室3厅 南 北,逸翠园一期 -逸翠园,5室3厅 | 139.97平米 | 南 北 | 精装 | 18层  | 板楼,1人关注 / 30天以前发布,574,"41,009元/平"
水岸东方2期 3室2厅 东南,水岸东方2期 -半坡立交,3室2厅 | 140.95平米 | 东南 | 简装 | 中楼层(共26层)  | 板楼,0人关注 / 17天以前发布,170,"12,062元/平"
曲江兰亭 3室2厅 东 南 西 北,曲江兰亭 -曲江,3室2厅 | 139.3平米 | 东 南 西 北 | 精装 | 中楼层(共11层)  | 板楼,4人关注 / 16天以前发布,320,"22,973元/平"
泾渭上城 2室1厅 南 北,泾渭上城 -高陵,2室1厅 | 47.81平米 | 南 北 | 简装 | 低楼层(共12层)  | 板楼,1人关注 / 14天以前发布,44,"9,204元/平"
水榭花都 1室1厅 南,水榭花都 -高陵,1室1厅 | 22.6平米 | 南 | 简装 | 低楼层(共8层)  | 板塔结合,1人关注 / 9天以前发布,18,"7,965元/平"
西岸国际花园西苑 2室2厅 南,西岸国际花园西苑 -广泰门,2室2厅 | 83平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 8天以前发布,126,"15,181元/平"
海德堡PARK 3室2厅 东南 南,海德堡PARK -曲江,3室2厅 | 99.72平米 | 东南 南 | 精装 | 33层  | 板塔结合,0人关注 / 8天以前发布,243,"24,369元/平"
莲湖生活家 4室3厅 南 北,莲湖生活家 -城西,4室3厅 | 145.33平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 9天以前发布,119,"8,189元/平"
天正银河湾 3室2厅 南,天正银河湾 -高陵,3室2厅 | 96.81平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 27天以前发布,97,"10,020元/平"
万科城一期 3室2厅 南 北,万科城一期 -长安,3室2厅 | 89.72平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 27天以前发布,180,"20,063元/平"
太阳水岸新城 2室2厅 南 北,太阳水岸新城 -长安,2室2厅 | 90.42平米 | 南 北 | 精装 | 中楼层(共23层)  | 板塔结合,0人关注 / 19天以前发布,146,"16,147元/平"
车城温泉花园 3室2厅 南 北,车城温泉花园 -高陵,3室2厅 | 131.23平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,3人关注 / 22天以前发布,96.5,"7,354元/平"
金泰经开花城 3室1厅 南,金泰经开花城 -草滩,3室1厅 | 95.25平米 | 南 | 其他 | 高楼层(共27层)  | 板塔结合,2人关注 / 14天以前发布,135,"14,174元/平"
东方名苑 3室2厅 南 北,东方名苑 -城北,3室2厅 | 96.67平米 | 南 北 | 简装 | 低楼层(共24层)  | 板塔结合,2人关注 / 14天以前发布,115,"11,897元/平"
菊花园小区 4室2厅 南 北,菊花园小区 -临潼,4室2厅 | 115.2平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 16天以前发布,78,"6,771元/平"
浩林方里 2室2厅 西南,浩林方里 -城西,2室2厅 | 89.54平米 | 西南 | 简装 | 高楼层(共33层)  | 板塔结合,0人关注 / 6天以前发布,138,"15,413元/平"
中海华庭 3室2厅 南,中海华庭 -高新四路,3室2厅 | 132.38平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,1人关注 / 13天以前发布,235,"17,752元/平"
旗远锦樾 3室1厅 南,旗远锦樾 -锦业路,3室1厅 | 88.74平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,2人关注 / 13天以前发布,135,"15,213元/平"
吉源花园 3室1厅 南 北,吉源花园 -长安,3室1厅 | 102.93平米 | 南 北 | 简装 | 低楼层(共12层)  | 板楼,4人关注 / 17天以前发布,98,"9,522元/平"
九锦台 2室1厅 南 北,九锦台 -黄雁村,2室1厅 | 126.24平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 17天以前发布,290,"22,973元/平"
西安航天城A区 3室2厅 南 北,西安航天城A区 -长安,3室2厅 | 109.43平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 4天以前发布,185,"16,906元/平"
恒大城 3室2厅 南 北,恒大城 -城西,3室2厅 | 94.41平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,1人关注 / 11天以前发布,173,"18,325元/平"
西北一路 3室1厅 南 北,西北一路 -城内,3室1厅 | 75.76平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 12天以前发布,62,"8,184元/平"
乐园小区 3室1厅 南 北,乐园小区 -长安,3室1厅 | 80.7平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,1人关注 / 10天以前发布,79,"9,790元/平"
丰硕佳园 2室2厅 西南,丰硕佳园 -城南,2室2厅 | 78.95平米 | 西南 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 10天以前发布,120,"15,200元/平"
华府新桃园 3室2厅 东南,华府新桃园 -唐延路,3室2厅 | 124.01平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,2人关注 / 14天以前发布,165,"13,306元/平"
金辉悦府 3室1厅 南 北,金辉悦府 -城西,3室1厅 | 114.74平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 12天以前发布,213.99,"18,650元/平"
城市风景夏日景色二期 2室1厅 南 北,城市风景夏日景色二期 -高新六路,2室1厅 | 92.4平米 | 南 北 | 精装 | 32层  | 板塔结合,0人关注 / 11天以前发布,159,"17,208元/平"
御锦城繁花里 2室1厅 南,御锦城繁花里 -浐河西路,2室1厅 | 72.87平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 11天以前发布,104,"14,272元/平"
恒大名都 3室2厅 南 北,恒大名都 -浐河西路,3室2厅 | 107.38平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 11天以前发布,153,"14,249元/平"
曲江美好时光 3室2厅 南,曲江美好时光 -曲江,3室2厅 | 93.82平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 10天以前发布,188,"20,039元/平"
臻园 3室2厅 南 北,臻园 -城西,3室2厅 | 131.04平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 13天以前发布,253,"19,308元/平"
华山幸福嘉苑 3室2厅 南 北,华山幸福嘉苑 -安装四处,3室2厅 | 128.69平米 | 南 北 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 11天以前发布,145,"11,268元/平"
御溪望城 3室2厅 西南,御溪望城 -城西,3室2厅 | 114.44平米 | 西南 | 毛坯 | 高楼层(共31层)  | 塔楼,0人关注 / 9天以前发布,180,"15,729元/平"
沁水新城 3室2厅 南 北,沁水新城 -安装四处,3室2厅 | 143.82平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 8天以前发布,176,"12,238元/平"
隆源国际城 3室2厅 南 北,隆源国际城 -北客站,3室2厅 | 118.5平米 | 南 北 | 简装 | 低楼层(共26层)  | 板塔结合,0人关注 / 16天以前发布,145,"12,237元/平"
