标题,开发商,房子信息,发布信息,售价/万,单价
主城区电梯小高层户型方正得房率高配套齐全,金石•凤凰城 -魏都区,3室2厅 | 143.76平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 7天以前发布,121,"8,417元/平"
此房满五年唯一，出行方便，户型方正，居住方便舒适,市委家属院 -魏都区,3室2厅 | 100.87平米 | 南 北 | 简装 | 低楼层(共6层)  | 塔楼,0人关注 / 10天以前发布,51,"5,057元/平"
恒实御湖城 现房 有证 可按揭 南北通透 采光刺眼,恒实御湖城 -建安区,3室2厅 | 141.91平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 30天以前发布,88.8,"6,258元/平"
茂源·金色家园 3室1厅 南,茂源·金色家园 -魏都区,3室1厅 | 117.01平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 5天以前发布,78,"6,667元/平"
学府名苑 2室2厅 南 北,学府名苑 -魏都区,2室2厅 | 85.11平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 15天以前发布,61,"7,168元/平"
潩水庄园 二期  经典两室   可按揭,潩水庄园北区 -建安区,2室2厅 | 85.37平米 | 南 | 毛坯 | 中楼层(共21层)  | 板楼,8人关注 / 一年前发布,40,"4,686元/平"
中间楼层 布局合理 采光好 业主诚心出售,北海腾飞花园 -建安区,3室2厅 | 130.38平米 | 南 | 毛坯 | 高楼层(共22层)  | 板塔结合,0人关注 / 7天以前发布,67.6,"5,185元/平"
鹿鸣湖旁 恒大绿洲 精装2室 低层好楼层,恒大绿洲 -魏都区,2室2厅 | 94.98平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 13天以前发布,68,"7,160元/平"
东区精装两室，带储藏室，拎包入住，低首付，无压力,腾飞鹿鸣湖畔 -建安区,2室2厅 | 94.6平米 | 南 北 | 简装 | 低楼层(共32层)  | 板楼,1人关注 / 15天以前发布,73,"7,717元/平"
房子满两年各付税，南北通透有储藏室价格可以谈,市交警支队家属院南院 -魏都区,3室2厅 | 139.6平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,62,"4,442元/平"
此房满五唯一 ，楼层好，视野宽阔,葛天名苑 -长葛市,3室2厅 | 129.68平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,5人关注 / 一年前发布,73.5,"5,668元/平"
满五，采光好，阳台上能看到清潩河风景，带储藏室,青竹苑 -魏都区,3室2厅 | 125.23平米 | 东 东南 | 简装 | 中楼层(共6层)  | 板楼,6人关注 / 7个月以前发布,64,"5,111元/平"
全小区价位  低价房东诚心卖房无抵押，全款按揭均可,天宝盛世花园 -建安区,3室1厅 | 133.58平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,21人关注 / 一年前发布,78,"5,840元/平"
北海  小三居  精装未入住过,北海腾飞花园 -建安区,3室2厅 | 88.51平米 | 南 北 | 精装 | 低楼层(共22层)  | 板塔结合,7人关注 / 4个月以前发布,51,"5,763元/平"
文峰路 广杰御翠花园 3室2厅 诚心售房采光好无遮挡,广杰御萃花园 -建安区,3室1厅 | 138.55平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,1人关注 / 4个月以前发布,73,"5,269元/平"
奢华精装现房，拎包入住，不临街，中间好楼层 ！！！,建业森林半岛 -魏都区,3室2厅 | 141.66平米 | 南 北 | 精装 | 中楼层(共26层)  | 塔楼,28人关注 / 9个月以前发布,110,"7,766元/平"
