标题,开发商,房子信息,发布信息,售价/万,单价
适合老年人居住。一楼带花园不潮湿,广信四季家园 -贵阳北站,3室1厅 | 90.6平米 | 南 | 其他 | 低楼层(共7层)  | 板塔结合,0人关注 / 21天以前发布,58.8,"6,491元/平"
金典小3房 清爽 明亮 舒适 干净,万科城 -贵阳普天,3室1厅 | 76.44平米 | 东 西 | 精装 | 低楼层(共34层)  | 板塔结合,1人关注 / 15天以前发布,58,"7,588元/平"
黔灵山公园门口 枣山路 金色家园 复式楼带楼顶花园,金色家园 -黔灵山,4室2厅 | 250.16平米 | 南 | 其他 | 高楼层(共12层)  | 塔楼,0人关注 / 15天以前发布,160,"6,396元/平"
泉湖公园旁新世界 精装118.11平大四居135万 有车位,碧潭园D区 -新世界,4室2厅 | 118.11平米 | 东南 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 11天以前发布,130,"11,007元/平"
精装修全屋实木家具，产权满二，税少，价格可谈,万科城E区 -贵阳普天,3室2厅 | 114.56平米 | 南 北 | 精装 | 中楼层(共35层)  | 板塔结合,0人关注 / 13天以前发布,95,"8,293元/平"
中铁逸都A区洋房，带100平米大露台，得房率高,中铁逸都国际A区 -奥体中心,4室2厅 | 166.44平米 | 南 | 毛坯 | 高楼层(共5层)  | 板塔结合,0人关注 / 10天以前发布,171,"10,274元/平"
地铁口精装修，金典三房，朝小区看湖，生活配套齐全。,恒大城 -南湖,3室2厅 | 112.18平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 10天以前发布,75,"6,686元/平"
恒大城三期 楼层好 视野开阔 近地铁,恒大城 -南湖,3室2厅 | 106.72平米 | 西南 | 精装 | 高楼层(共30层)  | 塔楼,0人关注 / 22天以前发布,71,"6,653元/平"
急卖 金元国际 精装大复式楼 小区性价 比很高的一套,金元国际新城北区 -观山湖公园,3室1厅 | 168.13平米 | 东南 西南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 22天以前发布,163,"9,695元/平"
白云区地铁口恒大城三房两卫，产权满五没有尾款,恒大城 -南湖,3室2厅 | 126平米 | 东南 西北 | 精装 | 低楼层(共32层)  | 塔楼,2人关注 / 19天以前发布,85,"6,747元/平"
急售精装关门卖满五唯一 四房154平米118万要车位加6万,龙耀苑 -世纪城,4室2厅 | 154平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,26人关注 / 一年前发布,118,"7,663元/平"
急售阳关地铁口精装三房全屋带地暖96平128万！,美的林城时代北区 -会展城,3室2厅 | 95.52平米 | 东南 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 12天以前发布,132,"13,820元/平"
经理推荐银行社区小高层纯毛坯满二中间楼层大三房,中天会展城B区七组团 -会展城,3室2厅 | 139.46平米 | 南 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 15天以前发布,125,"8,964元/平"
龙耀苑三房（全新精装修，婚房标准）河景房 双阳台！,龙耀苑 -世纪城,3室2厅 | 113.64平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 9天以前发布,115,"10,120元/平"
次南门老卫校宿舍临妇幼保健院4楼3室2厅1卫急售,花溪大道北段42号 -钻石广场,3室2厅 | 78.96平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,1人关注 / 8天以前发布,55.6,"7,042元/平"
没有入住过  产权满二无尾款  带车位  精装房,万科玲珑湾 -蟠桃宫,3室1厅 | 88.92平米 | 东 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 12天以前发布,100,"11,247元/平"
花溪贵州大学宿舍楼石园村小区3房步梯2楼业主急卖,石园村 -花溪公园,3室2厅 | 71.23平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,1人关注 / 9天以前发布,40,"5,616元/平"
房屋满五唯一，钥匙在手，随时可以看房,金阳新世界翰临境 -新世界,2室1厅 | 65.34平米 | 西 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 2天以前发布,62,"9,489元/平"
3楼正规3室0公、摊产权清晰可以贷款位置闹中取静。,中国科学院地球化学研究所 -钻石广场,3室2厅 | 70.49平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 10天以前发布,135,"19,152元/平"
贝壳热推 龙泽 关门出售 购物广场 地铁口 公园房,世纪城龙泽苑南区 -世纪城,2室1厅 | 94.31平米 | 南 | 精装 | 中楼层(共15层)  | 塔楼,0人关注 / 10天以前发布,84,"8,907元/平"
急售花果园U区 产权清晰且满二 精装三室 近公园近地铁,花果园U区 -花果园,3室1厅 | 98.88平米 | 西南 | 精装 | 低楼层(共47层)  | 板塔结合,0人关注 / 7天以前发布,63.8,"6,453元/平"
华润悦府3房2卫全景看卡斯特公园，2号线地铁口,华润悦府F区 -奥体中心,3室1厅 | 128平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 7天以前发布,178,"13,907元/平"
业主诚心出售    看房提前预约,帝璟佳苑 -大山洞,3室2厅 | 131平米 | 东南 | 简装 | 高楼层(共28层)  | 塔楼,0人关注 / 7天以前发布,68,"5,191元/平"
美景苑满二二楼带大露台看洋房好户型,美的林城时代北区 -会展城,3室2厅 | 96.21平米 | 南 | 其他 | 低楼层(共32层)  | 塔楼,2人关注 / 30天以前发布,137,"14,240元/平"
房子已经满二，户型朝南，明厨明卫，小区绿化好,睿力上城 -世纪城,3室1厅 | 123.13平米 | 南 | 其他 | 低楼层(共26层)  | 板塔结合,2人关注 / 26天以前发布,150,"12,183元/平"
满二 省增值税，全屋精装修加地暖,花果园一期 -花果园,3室1厅 | 133.46平米 | 东南 | 其他 | 中楼层(共43层)  | 塔楼,0人关注 / 1个月以前发布,117,"8,767元/平"
此房为万科大都会南区精装小三房小区中间不吵户型好用,万科大都会南区 -小河大都会,3室1厅 | 83.16平米 | 东南 | 精装 | 中楼层(共35层)  | 塔楼,0人关注 / 23天以前发布,75,"9,019元/平"
此房满二 产权清晰 带车库以及小院子,台子巷8号 -花溪公园,3室1厅 | 69.1平米 | 东南 | 简装 | 低楼层(共6层)  | 平房,1人关注 / 19天以前发布,43,"6,223元/平"
精装修 产权满二 税费省关门卖 价格可以谈,保利凤凰湾E区 -凤凰湾,3室2厅 | 117.58平米 | 南 北 | 精装 | 中楼层(共39层)  | 塔楼,0人关注 / 26天以前发布,118,"10,036元/平"
贵医附院宿舍标准2室2号线站口新装修关门,贵医附院宿舍楼 -喷水池,2室1厅 | 74.53平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 24天以前发布,60,"8,051元/平"
花果园U区B6户型精装两房 产权满二 正常首付诚心出售,花果园U区 -花果园,2室1厅 | 73.41平米 | 东南 | 精装 | 低楼层(共45层)  | 板塔结合,0人关注 / 24天以前发布,55.8,"7,602元/平"
绿苑小区，三室两厅两卫，看药用植物园。产权清晰,绿苑小区悠然居 -望城坡,3室2厅 | 123.39平米 | 西南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 29天以前发布,76,"6,160元/平"
观山湖公园房，满五唯一，精装两房另售车位,远大生态风景 -高新区,2室2厅 | 96.44平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 20天以前发布,86,"8,918元/平"
山水黔城七组团 精装 满五 楼层视野好,山水黔城七组团 -小河山水黔城,3室2厅 | 139.29平米 | 东南 | 精装 | 中楼层(共20层)  | 平房,0人关注 / 19天以前发布,90,"6,462元/平"
满五唯一无尾款    简装两房   交通便利  出入方便,睿力上城 -世纪城,2室2厅 | 90.74平米 | 南 北 | 简装 | 高楼层(共25层)  | 塔楼,0人关注 / 22天以前发布,137,"15,099元/平"
边套户型，户型方正，居家三房，世纪城小 学家门口,龙凯苑 -世纪城,3室2厅 | 107.81平米 | 南 北 | 简装 | 低楼层(共33层)  | 板楼,0人关注 / 23天以前发布,77,"7,143元/平"
满五唯一，采光好，视野好........,龙宇苑 -世纪城,3室2厅 | 113平米 | 西南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 21天以前发布,86,"7,611元/平"
南明主城区，单价五千多，看房方便,南厂路197号 -油榨街,3室1厅 | 66.18平米 | 东南 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 24天以前发布,36.8,"5,561元/平"
精装大三房  保养九成新  产权满2年  税费低,兴隆珠江湾畔 -小河转盘,3室2厅 | 136.12平米 | 南 北 | 精装 | 中楼层(共7层)  | 平房,3人关注 / 18天以前发布,99,"7,273元/平"
优品全新装修两房，产权满二，正常首付,优品道·优品城邦 -南湖,2室1厅 | 65.39平米 | 东南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 22天以前发布,57.8,"8,840元/平"
世纪城龙贤苑+精装修+ 拎包入住,龙贤苑北区 -世纪城,2室2厅 | 84.89平米 | 南 | 精装 | 中楼层(共25层)  | 塔楼,0人关注 / 17天以前发布,73.8,"8,694元/平"
"小区环境优美,产权满2，户型通透，业主诚心出售",山水黔城七组团 -小河山水黔城,3室2厅 | 148.19平米 | 东南 | 精装 | 中楼层(共21层)  | 板塔结合,0人关注 / 18天以前发布,101.6,"6,857元/平"
满五不唯一，中间楼层，优质户型,贵筑路建国楼 -花溪公园,3室2厅 | 101平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 19天以前发布,53,"5,248元/平"
满二 精装修带暖气  拎包入住,中央国际智苑  -贵阳普天,3室2厅 | 85.78平米 | 东 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 25天以前发布,73.5,"8,569元/平"
花果园T2区三室一厅精装修满二出售,花果园T2区 -花果园,3室1厅 | 86.29平米 | 东 | 精装 | 高楼层(共47层)  | 塔楼,0人关注 / 16天以前发布,62,"7,186元/平"
优品城邦 精装修三房 全屋带地暖 产权满二,优品道·优品城邦 -南湖,3室2厅 | 77.82平米 | 东 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 28天以前发布,62.8,"8,070元/平"
宇虹万花城三房满二中间楼层南朝向,贵阳宇虹万花城 -阅山湖,3室2厅 | 95.61平米 | 南 | 简装 | 中楼层(共32层)  | 板塔结合,0人关注 / 16天以前发布,82,"8,577元/平"
婚房选择，全新装修三房，中间楼层带地暖，看房有钥匙,龙耀苑 -世纪城,3室2厅 | 113.67平米 | 东南 | 精装 | 中楼层(共30层)  | 板塔结合,1人关注 / 23天以前发布,106.8,"9,396元/平"
花果园T1区毛坯复式6房大平方的,花果园T1区 -花果园,6室2厅 | 215.87平米 | 东南 东 | 毛坯 | 高楼层(共42层)  | 塔楼,0人关注 / 9天以前发布,129,"5,976元/平"
可公积金产权满五不唯一，税费少家私家电装修9成新,龙慈苑 -世纪城,2室1厅 | 95.29平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 12天以前发布,72,"7,556元/平"
恒大帝景 3室2厅 东南,恒大帝景 -贵阳北站,3室2厅 | 123.31平米 | 东南 | 其他 | 高楼层(共43层)  | 暂无数据,3人关注 / 10天以前发布,95,"7,705元/平"
公园旁，精装修带地暖，带花园，可拎包入住,颐和花园 -花溪公园,3室2厅 | 132.46平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 26天以前发布,93.8,"7,082元/平"
急售花溪政府旁精装修小三房 出入方便地铁口绿化好,榕筑南溪绿园 -花溪保利溪湖,3室2厅 | 125.53平米 | 东南 | 精装 | 低楼层(共15层)  | 板塔结合,0人关注 / 27天以前发布,70,"5,577元/平"
满五带车位，近公园，临地铁楼层居中，采光充足,中天会展城A区 -会展城,4室2厅 | 169.09平米 | 南 | 简装 | 中楼层(共32层)  | 板塔结合,0人关注 / 20天以前发布,149.9,"8,866元/平"
碧园花城 55平 精装两房 家电全齐关门卖满二无贷,碧园花城 -小河转盘,2室1厅 | 54.76平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 15天以前发布,43,"7,853元/平"
云岩区大营坡商圈蛮坡世纪园精装景观房急卖,世纪园 -市北,2室1厅 | 85.73平米 | 西南 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 14天以前发布,43.8,"5,110元/平"
小康苑 2室2厅 东南,小康苑 -喷水池,2室2厅 | 66.12平米 | 东南 | 简装 | 低楼层(共11层)  | 板楼,1人关注 / 12天以前发布,68,"10,285元/平"
产权满五不唯一，简单装修。空房出售。价格可以商量,花果园A北区 -花果园,2室1厅 | 59.58平米 | 东南 | 简装 | 中楼层(共32层)  | 板塔结合,0人关注 / 13天以前发布,42.8,"7,184元/平"
中天托斯卡纳叠拼别墅精装修业主急卖产权满五年,中天托斯卡纳22组团 -南湖,4室3厅 | 200.17平米 | 南 | 精装 | 低楼层(共5层)  | 板塔结合,3人关注 / 4个月以前发布,153,"7,644元/平"
精装修横厅设计大阳台产权满二无贷拎包入住,保利·云山国际 -鹿冲关,2室2厅 | 89.58平米 | 东南 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 14天以前发布,83.8,"9,355元/平"
地铁口，精装修，生活设施配套齐全。,恒大城 -南湖,2室1厅 | 91.73平米 | 西南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 14天以前发布,58,"6,323元/平"
小河复地，二十五中旁，临地铁好房出售,华峰二区 -小河转盘,2室2厅 | 62.2平米 | 东南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 8天以前发布,38,"6,110元/平"
急售黔灵山公园正门口  二楼带大花园便宜出售！,北新区路98号 -黔灵山,2室1厅 | 71.95平米 | 南 北 | 简装 | 低楼层(共9层)  | 板塔结合,0人关注 / 8天以前发布,68,"9,452元/平"
好房出售小河万科大都会正规两房产权清晰,万科大都会北区 -小河大都会,2室1厅 | 76.24平米 | 东南 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 3天以前发布,67,"8,789元/平"
精装小两房，业主诚心出售，看房随时可看,碧潭园·珑玥 -新世界,3室2厅 | 84.87平米 | 南 | 精装 | 低楼层(共25层)  | 板塔结合,0人关注 / 15天以前发布,95,"11,194元/平"
云城尚品  纯毛坯两房  高层视野好 低税,云城尚品A1区 -白云公园,2室2厅 | 76.45平米 | 东 南 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 5天以前发布,54.6,"7,142元/平"
房子为全新装修从未入住过房本在手满两年，支持按揭。,利海米兰春天·2期 -南湖,4室2厅 | 86.17平米 | 东南 | 精装 | 中楼层(共22层)  | 板塔结合,2人关注 / 13天以前发布,65.8,"7,637元/平"
满二精装修二居室，能够全款买卖还有商量空间,云城尚品A3区 -白云公园,2室1厅 | 74.56平米 | 南 西南 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 6天以前发布,56,"7,511元/平"
花果园一期 2室1厅 东南,花果园一期 -花果园,2室1厅 | 70平米 | 东南 | 精装 | 中楼层(共48层)  | 塔楼,0人关注 / 6天以前发布,53.8,"7,686元/平"
南明区 山水4房 全新拎包入住 产权清晰 看房有钥匙,山水黔城一组团 -小河山水黔城,4室2厅 | 153平米 | 东南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 8天以前发布,119.8,"7,831元/平"
房子满五唯一，只要契税，中间楼层,中天会展城B区六组团 -会展城,3室1厅 | 137平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 7天以前发布,126,"9,198元/平"
云岩区北京西路2号地铁口，出行方便生活配套完善,国水电九局 -高新区,3室2厅 | 105平米 | 东南 | 简装 | 高楼层(共9层)  | 板楼,0人关注 / 3天以前发布,63.8,"6,077元/平"
精装修两室，产权满二，拎包入住,花果园C区 -花果园,2室1厅 | 73.05平米 | 东南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 4天以前发布,66.79,"9,144元/平"
总价低，采光好户型好，出行方便,观山湖一号 -观山湖公园,3室2厅 | 137平米 | 南 北 | 简装 | 高楼层(共31层)  | 板塔结合,0人关注 / 9天以前发布,120,"8,760元/平"
麒麟苑 3室1厅 南,麒麟苑 -花果园,3室1厅 | 72平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 2天以前发布,55,"7,639元/平"
稀有毛坯 房子带车位 视野开阔  满二省税,保利温泉新城二期 -保利温泉,4室2厅 | 154平米 | 东南 | 毛坯 | 中楼层(共17层)  | 板塔结合,7人关注 / 8个月以前发布,105,"6,819元/平"
会展SOHO 1室1厅 南,会展SOHO -会展城,1室1厅 | 69.27平米 | 南 | 其他 | 高楼层(共17层)  | 塔楼,0人关注 / 1个月以前发布,46,"6,641元/平"
金融商圈 近地铁 会展城B区 大三室出售,中天会展城B区 -会展城,5室1厅 | 135.06平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,4人关注 / 5个月以前发布,118.6,"8,782元/平"
此房满二年，税费低，精装修，户型方正,恒大雅苑 -中天花园,3室2厅 | 112.61平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,17人关注 / 8个月以前发布,73,"6,483元/平"
二桥地铁口贝地精装三房 无抵无贷 产权满二 低税费,贝地卢加诺 -花果园,3室2厅 | 123平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,82,"6,667元/平"
地铁口 复式楼带花园  满五三房,五柳街34号 -花果园,3室2厅 | 65.64平米 | 西南 | 精装 | 高楼层(共6层)  | 暂无数据,10人关注 / 1个月以前发布,47,"7,161元/平"
关门卖 楼层好 采光好 户型好用,万科城 -贵阳普天,3室2厅 | 76.55平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,11人关注 / 4个月以前发布,57,"7,447元/平"
万科城A区精装修三房（产权清晰随时可以签）有钥匙,万科城A区 -贵阳普天,3室2厅 | 75.65平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,22人关注 / 7个月以前发布,55.8,"7,377元/平"
宇虹万花城满2年3室2厅精装室视野开阔采光足可贷款,贵阳宇虹万花城 -阅山湖,3室2厅 | 97.45平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,17人关注 / 6个月以前发布,93,"9,544元/平"
远大美域 126平米 房本已办  随时过户 看观山湖公园,远大美域 -高新区,3室2厅 | 126.58平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,21人关注 / 9个月以前发布,136,"10,745元/平"
