标题,开发商,房子信息,发布信息,售价/万,单价
老城区 西门九曲小区套三简装104平2楼  公摊小,九曲河小区 -雁江区,3室1厅 | 104平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,4人关注 / 7个月以前发布,39,"3,750元/平"
万达旁 爱琴海 标准套三 精装 中间楼层 诚心出售,爱琴海 -雁江区,3室2厅 | 94平米 | 南 | 精装 | 中楼层(共22层)  | 暂无数据,0人关注 / 5个月以前发布,61.5,"6,543元/平"
恒大城二期，套二精装家电家具齐全，拎包入住,恒大城二期 -雁江区,2室2厅 | 90.52平米 | 东南 | 精装 | 低楼层(共32层)  | 暂无数据,1人关注 / 3个月以前发布,51.8,"5,723元/平"
万达商圈马鞍九义 校旁 恒大名都套三精装修拎包入住,恒大名都（资阳） -雁江区,3室1厅 | 92平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 2个月以前发布,63.8,"6,935元/平"
世纪城桂花苑 套三双卫 电梯房 中间楼层 户型通透,桂花苑 -雁江区,3室2厅 | 116.45平米 | 东南 | 精装 | 中楼层(共25层)  | 暂无数据,1人关注 / 5个月以前发布,65.8,"5,651元/平"
紫韵东城 精装套三双卫沱东好位置 配套完善,博邦紫韵东城 -雁江区,3室2厅 | 100.18平米 | 东南 | 其他 | 高楼层(共27层)  | 板塔结合,1人关注 / 7个月以前发布,69.8,"6,968元/平"
书台雅居 3室1厅交通便利小区环境干净舒适适合居住,书台雅居 -雁江区,3室1厅 | 98.6平米 | 东南 | 简装 | 低楼层(共5层)  | 暂无数据,1人关注 / 6个月以前发布,56.8,"5,761元/平"
急售！单价五千多买恒大城一期精装房价格可谈,恒大城一期 -雁江区,2室2厅 | 90平米 | 东 东南 | 精装 | 高楼层(共32层)  | 暂无数据,4人关注 / 5个月以前发布,51.5,"5,723元/平"
急卖！临空经济区四海国际套二精装修拎包入住户型方正,四海国际社区 -雁江区,2室2厅 | 77.81平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,2人关注 / 5个月以前发布,54.8,"7,043元/平"
刘家湾 狮子山小区 便宜房子 五楼 随时看房,狮子山小区 -雁江区,2室2厅 | 57.17平米 | 东 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 11天以前发布,15.8,"2,764元/平"
沱东圣高广场 中医院旁 上东逸景 电梯 套三双卫清水,上东逸景 -雁江区,3室2厅 | 106.23平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 20天以前发布,56.8,"5,347元/平"
资溪花园C区精装套三，几乎无公摊面积,资溪花园C区 -雁江区,3室2厅 | 108平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 7天以前发布,53.8,"4,982元/平"
圣高商圈 中医院旁 圣桦名城 套三双卫精装 1楼带花园,圣桦名城 -雁江区,3室2厅 | 84平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 3天以前发布,68.8,"8,191元/平"
资阳教育园区优品道精装套三双卫中间楼层小区环境优美,优品道资溪学府 -雁江区,3室2厅 | 104平米 | 南 | 精装 | 低楼层(共34层)  | 暂无数据,0人关注 / 5天以前发布,89,"8,558元/平"
优品道横厅套三双卫对中庭有免费车位一起！,优品道资溪学府 -雁江区,3室2厅 | 110平米 | 南 | 简装 | 低楼层(共32层)  | 塔楼,0人关注 / 6天以前发布,68,"6,182元/平"
雅香居 精装修 三房两厅双卫 带20平后花园 低楼层,雅香居 -雁江区,3室2厅 | 115平米 | 东南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 23天以前发布,57,"4,957元/平"
中铁滨江国际 地铁口 清水套三,中铁滨江国际二期 -雁江区,3室1厅 | 76.93平米 | 东南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,42.9,"5,577元/平"
