标题,开发商,房子信息,发布信息,售价/万,单价
恒大名都 3室2厅 南 北,恒大名都 -盐湖区,3室2厅 | 151.46平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 1天以前发布,86.6,"5,718元/平"
二郎庙商业金街，步梯4楼，3室2厅1卫，,二郎庙商业金街 -盐湖区,3室2厅 | 113平米 | 南 北 | 其他 | 高楼层(共4层)  | 暂无数据,0人关注 / 6天以前发布,32,"2,832元/平"
业主急售，业主不在本地发展，电梯中层,中建城市花园 -盐湖区,3室2厅 | 127.6平米 | 南 北 | 其他 | 高楼层(共12层)  | 暂无数据,0人关注 / 6天以前发布,78,"6,113元/平"
学苑花都！电梯小高层！4卧2卫带阁楼,学苑花都 -盐湖区,4室2厅 | 154.74平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 16天以前发布,115,"7,432元/平"
房东包税带地下室  户型方正付款方式灵活,弘丰源天玺城 -盐湖区,3室2厅 | 139平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 板塔结合,0人关注 / 13天以前发布,90,"6,475元/平"
金鑫槐东花园 3室2厅 南 北,金鑫槐东花园 -盐湖区,3室2厅 | 138.93平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 11天以前发布,72,"5,183元/平"
美林山  独梯独户 大红本在手 满二  业主诚意出售,美林山 -盐湖区,3室2厅 | 158平米 | 南 北 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 7天以前发布,103,"6,519元/平"
新出好房：水岸华庭，183平米大四室，南北通透。,水岸华庭 -盐湖区,4室2厅 | 163.27平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 7天以前发布,125,"7,657元/平"
楼中楼 电梯中层 满二可按揭 精装带家具家电,香榭丽舍 -盐湖区,3室2厅 | 180平米 | 南 | 精装 | 中楼层(共19层)  | 板塔结合,0人关注 / 3天以前发布,118,"6,556元/平"
急售：港府名电梯好楼层，三居室，全屋品牌家具家电。,港府名都 -盐湖区,3室2厅 | 113.6平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 4天以前发布,83,"7,307元/平"
港府名都 3室2厅 南 北,港府名都 -盐湖区,3室2厅 | 140.68平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 6天以前发布,84.4,"6,000元/平"
六院 电梯低层 三室一卫 简装空房 看房方便,市委六院小区 -盐湖区,3室2厅 | 123平米 | 南 北 | 简装 | 低楼层(共19层)  | 暂无数据,0人关注 / 6天以前发布,69.8,"5,675元/平"
业主急售！金鑫槐东花园 步梯高层 精装三室房本在手,金鑫槐东花园 -盐湖区,3室2厅 | 125平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 22天以前发布,68,"5,440元/平"
