标题,开发商,房子信息,发布信息,售价/万,单价
视野好，采光好，户型方正，配套设施齐全，交通便利,东海岸 -河东北区,4室2厅 | 120.2平米 | 西南 | 精装 | 低楼层(共28层)  | 塔楼,10人关注 / 10个月以前发布,96,"7,987元/平"
锦绣康城三室两厅单卫，适合居住。,锦绣康城 -射洪县,3室2厅 | 112.35平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,3人关注 / 6个月以前发布,55,"4,896元/平"
业主换房出售，装修费用50万家具家电关门打包，价可谈,翰林名苑 -市中区,3室2厅 | 114.99平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,6人关注 / 一年前发布,146,"12,697元/平"
天宏领地 大三房 现浇房 交通便利 就学方便,天宏领地 -南门区,3室2厅 | 122.35平米 | 西北 | 简装 | 中楼层(共10层)  | 暂无数据,51人关注 / 一年前发布,70.8,"5,787元/平"
稀有多层精装大3室全屋品牌家俱家电带产权车位,东海岸 -河东北区,3室2厅 | 140平米 | 东 | 精装 | 低楼层(共6层)  | 板楼,57人关注 / 一年前发布,93.8,"6,700元/平"
满五年，视野好，光线佳，公摊低，步梯洋房，一梯2户,龙腾御锦 -河东南区,3室2厅 | 137平米 | 东南 | 其他 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,149.8,"10,935元/平"
水竹园二巷 4室2厅 西北,水竹园二巷 -射洪县,4室2厅 | 136平米 | 西北 | 简装 | 中楼层(共5层)  | 暂无数据,7人关注 / 一年前发布,39.3,"2,890元/平"
遂宁花园未来城 3室2厅 东南,遂宁花园未来城 -北门区,3室2厅 | 93平米 | 东南 | 精装 | 低楼层(共7层)  | 暂无数据,5人关注 / 4个月以前发布,64.98,"6,988元/平"
北门大平方4房，户型方正，采光好，楼层适中价格美丽,福苑公寓 -北门区,4室2厅 | 162.14平米 | 东 | 精装 | 中楼层(共8层)  | 板楼,35人关注 / 一年前发布,74.6,"4,601元/平"
翰林名苑   3室2厅1厨2卫,翰林名苑 -市中区,3室2厅 | 112平米 | 东 | 精装 | 高楼层(共33层)  | 塔楼,8人关注 / 一年前发布,105,"9,375元/平"
龙腾御锦精装3室，户型方正，配套齐全,龙腾御锦 -河东南区,3室2厅 | 85平米 | 东南 | 其他 | 高楼层(共30层)  | 塔楼,22人关注 / 7个月以前发布,77.2,"9,083元/平"
蓝光香江国际电梯三室两厅精装修 ，带车位,蓝光香江国际一期 -北门区,3室2厅 | 90.22平米 | 东南 | 其他 | 中楼层(共18层)  | 塔楼,11人关注 / 一年前发布,84.6,"9,378元/平"
馨苑一楼小三房，精致花园西南朝向，诚心出售！,尚城馨苑 -河东南区,3室2厅 | 74平米 | 东南 南 | 其他 | 低楼层(共11层)  | 塔楼,17人关注 / 一年前发布,78.6,"10,622元/平"
山语湖花园小区，环境优美，户型方正，出行方便,山屿湖 -仁里场区,3室2厅 | 155平米 | 西 | 其他 | 中楼层(共6层)  | 暂无数据,30人关注 / 一年前发布,298,"19,226元/平"
85.6㎡精装三室 ，楼顶大 使用面积巨大,尚城馨苑 -河东南区,3室2厅 | 85.6平米 | 西北 | 精装 | 高楼层(共11层)  | 塔楼,5人关注 / 一年前发布,119,"13,902元/平"
滨江路 金港名都 电梯大两房 精装修 随时看房,金港名都南区 -市中区,2室2厅 | 97.47平米 | 西南 | 精装 | 高楼层(共17层)  | 暂无数据,0人关注 / 7个月以前发布,76.8,"7,880元/平"
川江苑，3房两厅两卫。地理位置好，出行方便,川江苑 -北门区,3室2厅 | 116.5平米 | 南 | 精装 | 低楼层(共24层)  | 暂无数据,51人关注 / 一年前发布,78.8,"6,764元/平"
南区   锦绣兰庭大三房  花园小区业主诚心出售,鼎程锦绣兰庭 -南门区,3室2厅 | 121平米 | 东 北 | 精装 | 中楼层(共7层)  | 暂无数据,21人关注 / 一年前发布,78.8,"6,513元/平"
采光充足，通透户型 地理位置好户型方正居住环境舒适,警官公寓 -河东北区,3室2厅 | 169平米 | 东 | 精装 | 中楼层(共7层)  | 暂无数据,9人关注 / 一年前发布,110,"6,509元/平"
河东+花园式小区+带前后阳台+装修9层新+通透户型,龙腾御锦 -河东南区,3室2厅 | 99平米 | 西南 | 精装 | 中楼层(共6层)  | 板楼,8人关注 / 一年前发布,75,"7,576元/平"
三室两厅一厨一卫    户型方正,松涛水岸花都 -北门区,3室2厅 | 93平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,76,"8,173元/平"
城中公园口，临滨江路，精装修套二，诚心出售,蔚蓝星城 -射洪县,2室2厅 | 78平米 | 东 | 其他 | 低楼层(共28层)  | 暂无数据,7人关注 / 一年前发布,52.8,"6,770元/平"
全屋现代实木装修，品牌家具，保养九成新。,中铁尚城二期郦苑 -河东北区,4室2厅 | 107平米 | 东南 | 其他 | 低楼层(共18层)  | 暂无数据,8人关注 / 一年前发布,145,"13,552元/平"
北门精装修电梯3房带车位出售，性 价 比高。诚心卖,天宏水晶城 -西山路区,3室2厅 | 110平米 | 东南 | 其他 | 中楼层(共26层)  | 暂无数据,1人关注 / 一年前发布,86.8,"7,891元/平"
户型方正，格局好，地理位置佳商务区和平路，,翰林名苑 -市中区,3室2厅 | 92.5平米 | 东南 | 其他 | 中楼层(共26层)  | 塔楼,6人关注 / 8个月以前发布,96.6,"10,444元/平"
尚城馨苑 1室0厅 西,尚城馨苑 -河东南区,1室0厅 | 39.55平米 | 西 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 5个月以前发布,29.8,"7,535元/平"
高档小区，三房双卫，采光充足，户型方正,翰林名苑 -市中区,3室2厅 | 105.47平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 8天以前发布,98,"9,292元/平"
清荷苑 3室2厅 北,清荷苑 -射洪县,3室2厅 | 139.86平米 | 北 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 6天以前发布,58,"4,148元/平"
河东大平层+一梯两户+精装修+直接领包入住,东海岸 -河东北区,4室2厅 | 172.93平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 10天以前发布,160,"9,253元/平"
紫云公园，环境好 两室 配套齐全  停车方便,丝厂小区 -射洪县,2室1厅 | 63.11平米 | 东南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 8天以前发布,25,"3,962元/平"
金帝花园A区 5室3厅 南 北,金帝花园A区 -市中区,5室3厅 | 313.8平米 | 南 北 | 简装 | 中楼层(共7层)  | 塔楼,0人关注 / 1个月以前发布,115,"3,665元/平"
位置优越，实地面积大，读书方便,侨营大厦 -射洪县,2室2厅 | 63.13平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 26天以前发布,42.5,"6,733元/平"
房子位于明月桥桥头位置，房子户型好方正，采光好。,鑫鑫大厦 -北门区,3室2厅 | 133.87平米 | 南 | 简装 | 中楼层(共9层)  | 暂无数据,0人关注 / 27天以前发布,52,"3,885元/平"
华翔城二期套三单卫小区环境好......,华翔城二期 -物流港区,3室2厅 | 78.14平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,1人关注 / 21天以前发布,59.3,"7,589元/平"
子昂金都位于子昂广场花园小区现浇房，,子昂金都小区 -射洪县,3室2厅 | 112.64平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,0人关注 / 16天以前发布,60,"5,327元/平"
