标题,开发商,房子信息,发布信息,售价/万,单价
伽蓝艺墅 2室2厅 南,伽蓝艺墅 -邯山区,2室2厅 | 115平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 15天以前发布,104,"9,044元/平"
春晖小区(丛台区) 3室2厅 南 北,春晖小区(丛台区) -丛台区,3室2厅 | 133平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 10天以前发布,148,"11,128元/平"
黎明！23！丛台花园，博地苑，南北通透三居老证双卫,丛台花园 -丛台区,4室2厅 | 118平米 | 南 北 | 简装 | 高楼层(共31层)  | 板楼,0人关注 / 7天以前发布,165,"13,984元/平"
天润东方绿城 3室2厅 南 北,天润东方绿城 -邯山区,3室2厅 | 128.64平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,1人关注 / 8天以前发布,128,"9,951元/平"
香墅郦舍 4室2厅 南 北,香墅郦舍 -丛台区,4室2厅 | 177.13平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 7天以前发布,206,"11,630元/平"
赵都新城金和园 2室2厅 南,赵都新城金和园 -邯山区,2室2厅 | 86.7平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 6天以前发布,99,"11,419元/平"
万达广场旁，3层，南北通透两居室老证唯一可贷款,永华里生活小区 -丛台区,2室2厅 | 60.31平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 7天以前发布,65,"10,778元/平"
恒大名都 中间位置高楼层 精装修 采光好,恒大名都 -丛台区,2室2厅 | 84平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 7天以前发布,117,"13,929元/平"
光明南81号院 3室1厅 南 北,光明南81号院 -邯山区,3室1厅 | 74.53平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 7天以前发布,62,"8,319元/平"
龙湖公园旁边，滏阳河畔，南北通透,公交柳林桥家属楼 -丛台区,3室2厅 | 76.4平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,69,"9,032元/平"
恒大翡翠华庭 3室2厅 南,恒大翡翠华庭 -丛台区,3室2厅 | 137平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 31天以前发布,168,"12,263元/平"
旺角花园 3室2厅 南,旺角花园 -邯山区,3室2厅 | 136平米 | 南 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 12天以前发布,148,"10,883元/平"
和缘小区 3室2厅 南 北,和缘小区 -丛台区,3室2厅 | 87平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 12天以前发布,78,"8,966元/平"
天泽园小区 3室2厅 北 南,天泽园小区 -丛台区,3室2厅 | 140平米 | 北 南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 17天以前发布,160,"11,429元/平"
蓝天金地 3室2厅 南 北,蓝天金地 -丛台区,3室2厅 | 140.53平米 | 南 北 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 28天以前发布,112,"7,970元/平"
急售 农林路82号院 南北通透 邯山区实验 汉光 老证,农林路82号院 -邯山区,3室2厅 | 65平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 6天以前发布,53,"8,154元/平"
荣盛江南锦苑，两梯两户，楼.w，3面朝南，毛坯房,荣盛江南锦苑二期 -邯山区,3室2厅 | 140.37平米 | 南 北 | 其他 | 高楼层(共31层)  | 暂无数据,0人关注 / 7天以前发布,140,"9,974元/平"
空中花园 3室2厅 南 北,空中花园 -邯山区,3室2厅 | 92.8平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 6天以前发布,60,"6,466元/平"
房主急售，3中旁，南北通透三居室，老证可贷款带小房,郝庄巷44号 -丛台区,3室1厅 | 74.79平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,69,"9,226元/平"
东部美的城 3室2厅 南 北,东部美的城 -丛台区,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 13天以前发布,155,"12,110元/平"
四中小区 3室2厅 南 北,四中小区 -丛台区,3室2厅 | 158平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 14天以前发布,175,"11,076元/平"
曙光四小 25中北 恒大翡翠华庭 精装未住 可贷款,恒大翡翠华庭 -丛台区,3室2厅 | 149.23平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 11天以前发布,189,"12,666元/平"
广厦路甲2号院 3室2厅 南 北,广厦路甲2号院 -丛台区,3室2厅 | 117平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 11天以前发布,156,"13,334元/平"
区实验，11中！电梯房，精装小三居，老证可贷款！房,嘉旺苑 -丛台区,3室2厅 | 99.11平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 13天以前发布,168,"16,951元/平"
碧桂园天玺 5室2厅 南,碧桂园天玺 -丛台区,5室2厅 | 285平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 16天以前发布,400,"14,036元/平"
朝阳路曙光街三室中间楼层带小房,建行小区 -丛台区,3室2厅 | 97.31平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 10天以前发布,110,"11,305元/平"
星城国际 跃层 老证唯一 精装修 车库地下室另售,星城国际 -丛台区,5室2厅 | 216.89平米 | 南 北 | 精装 | 高楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,275,"12,680元/平"
丛台路路与曙光街口复式房 五居室 挑高6.5米 可以贷款,水景南岸 -丛台区,5室2厅 | 332.63平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,6人关注 / 一年前发布,380,"11,425元/平"
针织厂小区 3室1厅 南 北,针织厂小区 -丛台区,3室1厅 | 59.37平米 | 南 北 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 7天以前发布,48,"8,085元/平"
蓝天金地 3室2厅 南 北,蓝天金地 -丛台区,3室2厅 | 140.53平米 | 南 北 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 8天以前发布,105,"7,472元/平"
创鑫华城 3室2厅 南 北,创鑫华城 -丛台区,3室2厅 | 140平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 6天以前发布,158,"11,286元/平"
三居室，丛台区实 验 汉光本部， 带阁楼，地下室,滏西苑小区 -丛台区,3室2厅 | 128.4平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,150,"11,683元/平"
赵都新城缇香花舍 5室2厅 南 北,赵都新城缇香花舍 -邯山区,5室2厅 | 223平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,370,"16,592元/平"
丰泰小区南区 3室2厅 南,丰泰小区南区 -复兴区,3室2厅 | 118平米 | 南 | 简装 | 中楼层(共25层)  | 暂无数据,0人关注 / 29天以前发布,78,"6,611元/平"
农机公司家属院 3室0厅 南 北,农机公司家属院 -邯山区,3室0厅 | 59.2平米 | 南 北 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 31天以前发布,47,"7,940元/平"
金碧苑大三居赵都新城未来石134平110万可谈,金碧苑南区 -邯山区,3室2厅 | 134平米 | 南 北 | 其他 | 高楼层(共29层)  | 板楼,0人关注 / 1个月以前发布,110,"8,209元/平"
