标题,开发商,房子信息,发布信息,售价/万,单价
金谷鑫城大3房，买一层得两层，经典南北户型。,金谷鑫城小区 -葛店管委会,3室2厅 | 115.02平米 | 南 北 | 毛坯 | 高楼层(共8层)  | 暂无数据,1人关注 / 4天以前发布,25,"2,174元/平"
中式风格，院子的魅力！光谷东湖景别墅，您值得拥有,北大资源莲湖锦城 -红莲湖,4室2厅 | 172.9平米 | 南 | 毛坯 | 低楼层(共2层)  | 暂无数据,3人关注 / 6个月以前发布,130,"7,519元/平"
低楼层毛坯二房，得房率高，证满，总价低,光谷佳园 -葛店高中,2室2厅 | 68.19平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板楼,0人关注 / 23天以前发布,17,"2,494元/平"
华彩城旁 近学府 经典全向阳三房  高楼层视野无遮挡,菱湖印象 -葛店南站,3室2厅 | 102.22平米 | 南 | 毛坯 | 高楼层(共14层)  | 板楼,10人关注 / 4个月以前发布,50,"4,892元/平"
此房是一线看湖房源，业主诚意出售 ，,恒大金碧天下 -红莲湖,3室2厅 | 97平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,2人关注 / 4个月以前发布,49.8,"5,135元/平"
恒大金碧天下一期洋房 中间楼层 一线湖景 满二税少,恒大金碧天下 -红莲湖,3室2厅 | 100.88平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,100人关注 / 2个月以前发布,50,"4,957元/平"
精致改善大四房 中高楼层 精装修一天没住,光谷新都 -葛店南站,4室2厅 | 113.94平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 1个月以前发布,100,"8,777元/平"
光谷科学岛 地上三层小别墅 北大二期满二 前后花园,北大资源莲湖锦城 -红莲湖,3室2厅 | 141平米 | 南 | 毛坯 | 低楼层(共3层)  | 板楼,0人关注 / 3个月以前发布,128,"9,079元/平"
全新精装修联排别墅边户 花园100平带车位证满两年,联投水乡小镇 -梁子湖,3室1厅 | 100.86平米 | 南 | 精装 | 低楼层(共3层)  | 板塔结合,22人关注 / 6个月以前发布,120,"11,898元/平"
葛店南地铁口户型好三房，单价低优质房源,光谷东郡小区 -葛店南站,3室1厅 | 119.7平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板楼,6人关注 / 3个月以前发布,59.8,"4,996元/平"
维纳阳光大三房 南北朝向 户型很好,光谷维纳阳光 -葛店管委会,3室2厅 | 115平米 | 南 北 | 毛坯 | 中楼层(共12层)  | 塔楼,0人关注 / 4个月以前发布,41,"3,566元/平"
光谷东郡优质房源来了，机会不容错过,光谷东郡小区 -葛店南站,3室2厅 | 117.77平米 | 南 北 | 毛坯 | 低楼层(共22层)  | 塔楼,8人关注 / 10个月以前发布,60,"5,095元/平"
太武湖畔，三室带阳光房中间好楼层南北通透采光充足,比克花园 -葛店管委会,3室2厅 | 100平米 | 南 北 | 简装 | 中楼层(共15层)  | 板楼,1人关注 / 27天以前发布,39.5,"3,950元/平"
精装电梯一梯两户小高层115平三室两厅71.8万单价6200,凯蓝丽苑 -城南区,3室2厅 | 114.4平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 28天以前发布,67,"5,857元/平"
全屋定制  含家具家电 一线湖景大三房,恒大金碧天下二期 -红莲湖,3室2厅 | 128平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,1人关注 / 28天以前发布,58,"4,532元/平"
次新房未入住 精装三房  户型方正,恒大金碧天下二期 -红莲湖,3室2厅 | 128.8平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 27天以前发布,58.5,"4,542元/平"
维纳阳光装修三房 满五唯一税费低 南北通透,光谷维纳阳光 -葛店管委会,3室2厅 | 103平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,51,"4,952元/平"
精装修三房，南北通透，户型方正,恒大金碧天下 -红莲湖,3室2厅 | 128.25平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,20人关注 / 一年前发布,52,"4,055元/平"
葛洪花园精装修小三房，拎包入住,葛洪花园 -葛店高中,2室1厅 | 75.8平米 | 东 | 精装 | 高楼层(共16层)  | 塔楼,0人关注 / 6天以前发布,26,"3,431元/平"
红莲湖高尔夫国际社区 4室2厅 南,红莲湖高尔夫国际社区 -红莲湖,4室2厅 | 196平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,2人关注 / 24天以前发布,129,"6,582元/平"
光谷东郡 小户型 拎包入住 给父母一个温馨的家,光谷东郡小区 -葛店南站,1室1厅 | 58.54平米 | 南 | 精装 | 中楼层(共20层)  | 塔楼,4人关注 / 一年前发布,36,"6,150元/平"
祥瑞东方城 2室1厅 南,祥瑞东方城 -葛店南站,2室1厅 | 94.89平米 | 南 | 毛坯 | 中楼层(共15层)  | 板楼,0人关注 / 2个月以前发布,42,"4,427元/平"
菱湖印象 精装修 比毛坯还便宜 一天没住过,菱湖印象 -葛店南站,2室2厅 | 68.36平米 | 南 | 精装 | 低楼层(共11层)  | 塔楼,22人关注 / 7个月以前发布,37.5,"5,486元/平"
证满，户型通透，楼层好采光好，配套设施齐全,光谷佳园 -葛店高中,2室2厅 | 68.19平米 | 东南 | 毛坯 | 中楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,16,"2,347元/平"
好房子，好价格图的就是省心，房子急售,金谷鑫城小区 -葛店管委会,2室2厅 | 100.2平米 | 西 | 毛坯 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,25,"2,496元/平"
恒大金碧天下 温馨一房 低价出售 随时看房,恒大金碧天下 -红莲湖,1室1厅 | 34.9平米 | 北 | 精装 | 高楼层(共11层)  | 平房,34人关注 / 一年前发布,11,"3,152元/平"
光谷东  地铁 旁  菱湖印象 两居室,菱湖印象 -葛店南站,2室1厅 | 73.1平米 | 南 | 毛坯 | 低楼层(共15层)  | 塔楼,9人关注 / 一年前发布,33,"4,515元/平"
满二，地铁口，三开间朝南两房，中高好楼层,菱湖印象 -葛店南站,2室2厅 | 71.15平米 | 南 | 毛坯 | 高楼层(共15层)  | 塔楼,1人关注 / 2个月以前发布,39,"5,482元/平"
满五唯一的房子 你不进来看看？,菱湖印象 -葛店南站,1室2厅 | 56.71平米 | 南 | 毛坯 | 高楼层(共15层)  | 塔楼,0人关注 / 1个月以前发布,29,"5,114元/平"
此房在车库上一楼，三房两卫，二千年后房龄，满五,官柳南路 -城南区,3室2厅 | 105.51平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 8天以前发布,39.8,"3,773元/平"
童世界旁 联发红墅东方 清水毛坯现房别墅 联排中间户,联发红墅东方 -红莲湖,3室2厅 | 140.26平米 | 南 | 毛坯 | 低楼层(共1层)  | 板楼,46人关注 / 一年前发布,81,"5,775元/平"
户型方正 布局合理 楼层适中 装修出你理想中家的模样,金凤煌庭 -城西区,3室2厅 | 94.38平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,2人关注 / 6个月以前发布,30,"3,179元/平"
联排中间户，精装修的别墅今年11月份满2年保养的很好,恒大金碧天下 -红莲湖,4室2厅 | 185平米 | 南 | 精装 | 2层  | 板楼 | 联排别墅 ,109人关注 / 一年前发布,180,"9,730元/平"
恒大金碧天下   精装修双拼别墅   满二   花园200平,恒大金碧天下 -红莲湖,4室1厅 | 214平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,11人关注 / 7个月以前发布,230,"10,748元/平"
地铁口，复式阁楼，一线临湖，南北三阳台，附加面积大,武汉锦绣香江 -葛店南站,4室2厅 | 109平米 | 南 | 毛坯 | 高楼层(共9层)  | 塔楼,2人关注 / 3个月以前发布,72,"6,606元/平"
精装房，可以拎包入住，户型好。比产证多16平,紫菱东岸 -葛店南站,3室2厅 | 92平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,2人关注 / 24天以前发布,60,"6,522元/平"
地铁口精装两房，好楼层配套齐全,菱湖印象 -葛店南站,2室2厅 | 70.5平米 | 南 | 精装 | 中楼层(共17层)  | 塔楼,1人关注 / 24天以前发布,46,"6,525元/平"
步梯房公摊小，新装两房拎包入住,光谷佳园 -葛店高中,2室1厅 | 74.58平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,6人关注 / 一年前发布,25.6,"3,433元/平"
房子还在出售，毛坯低楼层，采光好，户型好。,光谷佳园 -葛店高中,2室2厅 | 73.8平米 | 南 北 | 简装 | 低楼层(共9层)  | 板楼,19人关注 / 4个月以前发布,19,"2,575元/平"
迎奥花园三期，精装一房拎包入住,迎奥花园三期 -葛店高中,1室1厅 | 49.16平米 | 东南 | 精装 | 中楼层(共9层)  | 暂无数据,13人关注 / 一年前发布,14,"2,848元/平"
