标题,开发商,房子信息,发布信息,售价/万,单价
西塔十中旁新材小区71.5平刚需两居低价出,新材小区(兴庆区) -市医院,3室1厅 | 71.5平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 22天以前发布,21,"2,938元/平"
地处银川市城北阅海湖片区，公园、湖泊众多 ，,世悦府 -大阅城,3室2厅 | 139.34平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 26天以前发布,168,"12,057元/平"
悠阅城 正源南街 高层观景三居 居家精装修 拎包入住,中海国际社区橙郡 -七子连湖,3室2厅 | 113.85平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 27天以前发布,101,"8,872元/平"
电力小区中间楼层南北通透2居出售，看房方便,电力小区 -新一中,2室2厅 | 78.55平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 14天以前发布,38.5,"4,902元/平"
无大税、无抵押、精装修、采光好、配套齐全,凤凰花园A区 -新一中,4室3厅 | 197.5平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 4天以前发布,122,"6,178元/平"
康泰家园62平精装一楼通透两居诚心出售,康泰家园 -北门,2室2厅 | 62.62平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,0人关注 / 14天以前发布,43.8,"6,995元/平"
海亮品质社区 低层电梯洋房 公摊小  精品户型,海亮滨河一号 -海亮,4室2厅 | 140平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 8天以前发布,165,"11,786元/平"
国龙医院旁满春家园4+5复式急售，空间大随时看房,满春家园 -丽景北街,5室3厅 | 158.47平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 12天以前发布,80,"5,049元/平"
蓝山帝景，精装大三居带  花 园，未住人,蓝山帝景 -永宁县,3室2厅 | 119.88平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 7天以前发布,65.8,"5,489元/平"
阅海壹号院 中间楼层 采光丝毫不受影响 大三居,阅海壹号院 -大阅城,3室2厅 | 128.74平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 7天以前发布,166,"12,895元/平"
湖滨花园，2楼，3室2厅1卫，十五中,湖滨花园(兴庆区) -中山公园,3室2厅 | 127.97平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 5天以前发布,86,"6,721元/平"
民生语竹苑 四居室 南北通透 带车位 可贷款,民生语竹苑 -艾依河,3室2厅 | 120.5平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 板楼,1人关注 / 4天以前发布,105,"8,714元/平"
北师大旁凤北家园精装三室，电梯房，诚意出售看房方便,凤北家园二期 -金凤区,3室1厅 | 98.72平米 | 南 | 精装 | 低楼层(共12层)  | 板楼,0人关注 / 6天以前发布,73.8,"7,476元/平"
银子湖水都一区 大三居 精装修 未住人,银子湖水都一区 -永宁县,3室2厅 | 122平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 3天以前发布,72.8,"5,968元/平"
三室两厅两卫   中上楼层    采光无遮挡   看房方便,公园悦府 -贺兰县,3室2厅 | 119.25平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 5天以前发布,76,"6,374元/平"
毓秀公园西边一手房，民生物业，带车位储藏室，有钥匙,蓝景苑 -未知商圈,5室2厅 | 199.17平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 9天以前发布,190,"9,540元/平"
接近小区南门出行方便，采光不受任何影响，,世悦府 -大阅城,3室2厅 | 139.34平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,11人关注 / 一年前发布,168,"12,057元/平"
红树林商圈 嘉宝花园 大三居 精装修 采光好 通透户型,嘉宝花园 -西夏区,3室2厅 | 99.46平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 16天以前发布,66,"6,636元/平"
上海路福州街 青青花园 精装修 南北通透中间楼层,青青花园 -金凤新华联广场,2室1厅 | 88.79平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 25天以前发布,62,"6,983元/平"
此房精装修，带全套家具，户型好，不临街不把边,桥缘小区 -北塔湖,2室1厅 | 70平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 23天以前发布,43.3,"6,186元/平"
城南 五里水乡 二居室南北通透  急售！！！,五里水乡 -正源南街,2室2厅 | 73.05平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 12天以前发布,46.5,"6,366元/平"
悠阅城旁中海城锦园 精装修婚房 中间楼层采光无遮挡,中海城锦园 -七子连湖,3室1厅 | 95平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 24天以前发布,90,"9,474元/平"
金宇名庭南区精装好房出售2卫电梯大三居带地下储藏室,金宇名庭南区 -良田,3室2厅 | 133.75平米 | 南 北 | 精装 | 低楼层(共19层)  | 板楼,0人关注 / 15天以前发布,129,"9,645元/平"
怡祥小区  田字户  两居室  业主诚心出售,怡祥小区 -宁夏大学,2室2厅 | 80.44平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 12天以前发布,42.8,"5,321元/平"
燕宝花园三居室113平米出售；,燕宝花园 -新华联,3室2厅 | 113.91平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 12天以前发布,76,"6,672元/平"
此房为21年的新房，房子业主没住过 私家电梯入户,碧桂园·翡翠湾 -七子连湖,3室1厅 | 120.34平米 | 南 北 | 精装 | 高楼层(共14层)  | 板楼,0人关注 / 8天以前发布,109,"9,058元/平"
海蓝和光  中房物业 一楼带前后院  急售,华远·海蓝和光 -长城中路,4室2厅 | 132.61平米 | 南 北 | 毛坯 | 低楼层(共8层)  | 板楼,0人关注 / 4天以前发布,165,"12,443元/平"
建发兴阅府毛坯大三居，随时能看,建发兴阅府 -兴洲北街,3室2厅 | 135.92平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 8天以前发布,114,"8,388元/平"
电力小区 新一中 一楼的三室好房 诚心出售,电力小区 -新一中,3室2厅 | 94平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 6天以前发布,67.8,"7,213元/平"
学府中央电梯房大三居南北通透。,学府中央 -西夏区怀远路,3室2厅 | 107.05平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 4天以前发布,77.8,"7,268元/平"
此房南北朝向，楼层好，采光好精装修，适合和老人同住,吉泰•幸福世家 -丽景北街,2室2厅 | 91.45平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 15天以前发布,53,"5,796元/平"
金阳南北通透房.业主急售！价格可谈,金阳花园B区 -西夏区,2室2厅 | 89.39平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,0人关注 / 14天以前发布,40,"4,475元/平"
金运小区三居室中间楼层低价出售，有喜欢的多带看,金运小区 -金凤新华联广场,3室2厅 | 102平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 16天以前发布,52,"5,099元/平"
2018年建成富地清华府环境优美毛坯现房急售！,富地清华府 -新一中,3室2厅 | 92.88平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板楼,0人关注 / 11天以前发布,64.8,"6,977元/平"
华远旭辉江南赋璟玺湾，大3居，中楼层,华远旭辉·江南赋 -大阅城,3室2厅 | 144.1平米 | 北 南 | 毛坯 | 中楼层(共15层)  | 板楼,0人关注 / 7天以前发布,162,"11,243元/平"
精装未入住婚房 全屋定制 无大税 费用各付 采光优质,万达华宅二期 -西夏万达,2室2厅 | 91平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 6天以前发布,76.8,"8,440元/平"
满五唯一，南北通透。。。。。。。,三林巷林业局家属楼 -新一中,2室1厅 | 62.4平米 | 南 北 | 简装 | 高楼层(共4层)  | 暂无数据,0人关注 / 10天以前发布,20,"3,206元/平"
怡祥小区位于同心北路，交通便利，此房是5楼。。,怡祥小区 -宁夏大学,3室1厅 | 107平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 13天以前发布,58,"5,421元/平"
房子三期刚交付，户型方正，手续齐全。,锦润秀府·秀园 -金凤新华联广场,3室2厅 | 114.81平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 13天以前发布,77,"6,707元/平"
