标题,开发商,房子信息,发布信息,售价/万,单价
精装修3房 视野开阔 南北通透 省心省力省时间,香榭丽舍 -风景城邦商圈,3室1厅 | 98.62平米 | 南 北 | 精装 | 14层  | 板塔结合,0人关注 / 6天以前发布,83,"8,417元/平"
精装修 产证在手满二 户型方正 采光无遮挡,宝华花园 -宝华商圈,3室2厅 | 100.99平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2天以前发布,60,"5,942元/平"
江山名洲三房房东重新装修毛坯价出售,江山名洲 -红豆购物广场商圈,3室2厅 | 107.8平米 | 南 | 精装 | 17层  | 板塔结合,15人关注 / 6个月以前发布,95,"8,813元/平"
仙林东宝华 彩虹城 双地铁 近万达户型方正 采光无遮挡,彩虹城 -宝华商圈,3室2厅 | 83.59平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,0人关注 / 18天以前发布,79,"9,451元/平"
精装  拎包入住  满五  三室  业主诚卖！！！,四季金辉 -宝华商圈,3室2厅 | 86.04平米 | 南 北 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 21天以前发布,93,"10,809元/平"
北 固 湾 二 期 优 质 江 景 房 ！,招商北固湾 -东吴商圈,4室2厅 | 130.71平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,1人关注 / 15天以前发布,256,"19,586元/平"
急售！宝华山下低密度品质住宅，格局方正采光无遮挡,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 111.33平米 | 南 | 简装 | 中楼层(共19层)  | 板塔结合,0人关注 / 23天以前发布,116,"10,420元/平"
临湖苑 婚装房 设施全 配套齐全 出行方便,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 125.98平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 8天以前发布,90,"7,144元/平"
彩虹城 精装满二 三开间朝南，楼层好，配套设施齐,彩虹城 -宝华商圈,3室2厅 | 86.47平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 14天以前发布,79,"9,137元/平"
满二 无贷，开发商装修，采光好,碧桂园凤凰城水蓝湾 -碧桂园凤凰城,3室1厅 | 92.19平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 10天以前发布,58,"6,292元/平"
精装修四房 户型方正 南北通透 省心省力 价格可小刀,宝龙国际花园二期 -宝龙商圈,4室1厅 | 130平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,130,"10,000元/平"
全新装修 全新未住 拎包入住 家电齐全,凤凰和润苑 -大市口商圈,3室1厅 | 122.08平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 3个月以前发布,275,"22,527元/平"
