标题,开发商,房子信息,发布信息,售价/万,单价
南北通透 采光充足 长春公园  朝阳桥轻轨,我爱我家(建阳街) -景阳广场,3室1厅 | 161.67平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 7天以前发布,130,"8,042元/平"
达顺小区 拎包入住 地理位置优越 采光好 南北通透,达顺小区 -吉大南岭校区,2室1厅 | 67.58平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 8天以前发布,60,"8,879元/平"
好楼层 诚意出售 保持干净 满二 看房方便 客厅地砖,万科金域长春 -世界雕塑公园,3室2厅 | 128.9平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 10天以前发布,160,"12,413元/平"
西安大路 蓝天花园 封闭小区 低楼层 全天采光,蓝天花园 -普阳,3室1厅 | 105.78平米 | 南 北 | 精装 | 低楼层(共7层)  | 塔楼,1人关注 / 13天以前发布,95,"8,981元/平"
观景，多层中间楼层，欢迎实地看房,北海新居 -临河街,3室2厅 | 150.61平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 7天以前发布,139,"9,230元/平"
伟峰东第，伟峰品质，华岳，东部快速路，南溪湿地公园,伟峰东第 -净月区,3室2厅 | 143.75平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 4天以前发布,209,"14,540元/平"
通用机械厂 4室2厅 南 北,通用机械厂 -万通,4室2厅 | 194.59平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 3天以前发布,95,"4,883元/平"
适合老人，不挡光小三居，低价格高品质，还能谈,荣旺天下C区 -天光路,3室2厅 | 110.23平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 31天以前发布,77,"6,986元/平"
雁鸣湖错层三楼 不把不临 垂钓园 住邦广场 公交枢纽,雁鸣湖山庄 -四季青市场,3室2厅 | 130.75平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 30天以前发布,91,"6,960元/平"
“店长推荐”北海公园会展商圈北海丽景顶楼带阁楼,北海丽景 -北海公园,3室1厅 | 95.46平米 | 南 | 精装 | 高楼层(共24层)  | 塔楼,1人关注 / 29天以前发布,108,"11,314元/平"
不把山不临街， 中间楼层，格局方正，产权过五,红旗嘉园 -硅谷街北,2室1厅 | 83.74平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 13天以前发布,71,"8,479元/平"
