标题,开发商,房子信息,发布信息,售价/万,单价
房东急卖 城南吾悦广场旁 精装修 交通便利 环境好,海亮御府 -颍州区,4室2厅 | 110.01平米 | 南 北 | 其他 | 高楼层(共15层)  | 板塔结合,0人关注 / 5天以前发布,86,"7,818元/平"
户型方正，无遮挡，俯瞰整个彩蝶湖,恒大御景 -颍州区,4室2厅 | 196平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,2人关注 / 6个月以前发布,152,"7,756元/平"
此楼间距大采光充足精装修配套齐全可随时看房价格优惠,恒大御景 -颍州区,3室1厅 | 121.89平米 | 南 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 12天以前发布,72.8,"5,973元/平"
城南三中旁 吾悦商圈 新华学府庄园配套齐全出行方便,新华·学府庄园 -颍州区,3室2厅 | 119.91平米 | 南 | 毛坯 | 低楼层(共14层)  | 暂无数据,0人关注 / 12天以前发布,108,"9,007元/平"
"城南，置地双清湾，天悦，4-2-1-2,143.36平，140万",置地双清湾天悦 -颍州区,4室2厅 | 143.36平米 | 南 | 其他 | 低楼层(共25层)  | 板楼,0人关注 / 11天以前发布,140,"9,766元/平"
双清湾旁经典户型价格便宜诚心出售,恒大绿洲 -颍州区,3室1厅 | 105平米 | 南 | 其他 | 中楼层(共31层)  | 板塔结合,0人关注 / 8天以前发布,97,"9,239元/平"
楼层好，视野旷阔，采光充足，配套齐全,碧桂园华侨湾小区二期 -颍州区,3室2厅 | 122平米 | 东南 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 5天以前发布,84.5,"6,927元/平"
恒大绿洲 4室1厅 南,恒大绿洲 -颍州区,4室1厅 | 144平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 8天以前发布,126,"8,750元/平"
此房满五，户型方正，楼层好，配套设施齐全，交通便利,欣苑小区 -颍州区,2室2厅 | 91.47平米 | 东南 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 7个月以前发布,44.6,"4,876元/平"
碧桂园颍州府万达商圈 改善平层 沿河景观,碧桂园颍州府 -颍州区,5室2厅 | 268.12平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 板楼,3人关注 / 2个月以前发布,228,"8,504元/平"
广厦未来城 电梯三室 近县医院  幸福恒太城 满五唯一,广厦未来城 -颍上县,3室2厅 | 101.51平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 暂无数据,2人关注 / 2个月以前发布,52,"5,123元/平"
此房户型方正，楼层好，视线开阔，采光好，交通便利,锦绣家园 -颍上县,2室1厅 | 84.45平米 | 南 | 简装 | 高楼层(共24层)  | 暂无数据,1人关注 / 3个月以前发布,55,"6,513元/平"
此房契税满二年 产证齐全  户型方正 含车位,海亮幸福里 -颍州区,3室2厅 | 98平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 6个月以前发布,56,"5,715元/平"
1：豁达格局，采光充足，明亮通风，大视野入户,黄金时代西清苑 -颍州区,3室2厅 | 126.02平米 | 南 北 | 简装 | 低楼层(共27层)  | 板塔结合,1人关注 / 8个月以前发布,130,"10,316元/平"
