标题,开发商,房子信息,发布信息,售价/万,单价
市海景两房，东南朝向，户型方正，观小区园林,龍正中央海洋公園 -港口区,2室1厅 | 89平米 | 东南 | 毛坯 | 低楼层(共18层)  | 塔楼,1人关注 / 5个月以前发布,34.8,"3,911元/平"
房子视野广阔，采光充足，小区配套完善成熟，生活方便,德城.新世界 -港口区,2室2厅 | 86.23平米 | 南 | 简装 | 高楼层(共17层)  | 板楼,2人关注 / 3个月以前发布,35.4,"4,106元/平"
高铁站，出行教育一站式配套，小区绿化高，,泰城幸福雅居 -港口区,3室2厅 | 120.86平米 | 北 | 毛坯 | 33层  | 板塔结合,0人关注 / 1个月以前发布,44.9,"3,716元/平"
翡翠园 4室2厅 南 北,翡翠园 -港口区,4室2厅 | 122.94平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 7个月以前发布,56,"4,556元/平"
此房满五年，采光充足。中楼层。简单装修，交通便利,晟大海湾城 -港口区,2室1厅 | 91.91平米 | 南 | 简装 | 中楼层(共31层)  | 板楼,0人关注 / 9天以前发布,30,"3,265元/平"
永恒幸福梦居 3室1厅 南 北,永恒幸福梦居 -港口区,3室1厅 | 114.27平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 暂无数据,0人关注 / 4天以前发布,42,"3,676元/平"
精装修，省去装修费用，入住方便,幸福嘉园 -港口区,3室2厅 | 113.74平米 | 北 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 2天以前发布,48,"4,221元/平"
埠上桃源 4室1厅 南,埠上桃源 -港口区,4室1厅 | 135平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 14天以前发布,80.98,"5,999元/平"
阳光海岸一期湖景大三房，户型方正，产权明晰,龙光·阳光海岸一期 -港口区,3室2厅 | 118平米 | 南 | 简装 | 中楼层(共18层)  | 塔楼,9人关注 / 一年前发布,47,"3,984元/平"
海景海景 正面大海，大海就在怀抱里，大四房南北通透,龙光阳光海岸三期 -港口区,4室2厅 | 141.57平米 | 西南 东北 | 精装 | 高楼层(共18层)  | 板塔结合,9人关注 / 6个月以前发布,83,"5,863元/平"
万基公馆户型好   一梯两户 设施齐全  格局好  视野好,万基中央公館 -港口区,3室2厅 | 121.29平米 | 南 | 毛坯 | 低楼层(共15层)  | 板楼,3人关注 / 9个月以前发布,39.9,"3,290元/平"
急售阳光海岸一期南向小3房精装修采光好,龙光·阳光海岸一期 -港口区,3室1厅 | 93.17平米 | 南 | 精装 | 高楼层(共24层)  | 塔楼,1人关注 / 1个月以前发布,42.5,"4,562元/平"
高铁2号  4房2厅2卫 户型方正 楼层美丽,高铁2号 -港口区,4室2厅 | 132.64平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,4人关注 / 4个月以前发布,67,"5,052元/平"
碧桂园滨海城大3房，户型方正，楼层好,碧桂园滨海城 -港口区,3室2厅 | 113.79平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,2人关注 / 8个月以前发布,67,"5,889元/平"
得房率高，绿化好，使用率高，不浪费空间,永恒幸福梦居 -港口区,3室2厅 | 120.76平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 28天以前发布,48,"3,975元/平"
碧桂园滨海城4房2厅2卫 采光充足 通风好,碧桂园滨海城 -港口区,4室2厅 | 127.46平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 28天以前发布,87,"6,826元/平"
碧玉园二梯二户采光好前无遮挡税证满二,碧玉园 -港口区,4室2厅 | 143.21平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,56,"3,911元/平"
到台湾城来，给自己一个温情舒适的家。,台湾城 -港口区,4室2厅 | 127.44平米 | 东南 | 简装 | 中楼层(共17层)  | 板塔结合,0人关注 / 2个月以前发布,58,"4,552元/平"
南北双阳台，户型方正通透，采光充足,埠上桃源B区 -港口区,4室2厅 | 125.42平米 | 南 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 11天以前发布,66.8,"5,327元/平"
翡翠园 3室1厅 南 北,翡翠园 -港口区,3室1厅 | 101平米 | 南 北 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 9天以前发布,46,"4,555元/平"
翡翠园顶楼，大三房二厅二卫，税证以满二,翡翠园 -港口区,3室2厅 | 114.3平米 | 南 | 简装 | 高楼层(共33层)  | 板塔结合,1人关注 / 1个月以前发布,45.4,"3,973元/平"
阳光海岸五期房子格局好位置佳海边市场都很方便,龙光阳光海岸五期 -港口区,2室2厅 | 79.98平米 | 东 北 | 其他 | 中楼层(共30层)  | 板塔结合,0人关注 / 2天以前发布,60,"7,502元/平"
台湾城房子格局好位置佳海边商场近,台湾城 -港口区,4室1厅 | 127平米 | 南 北 | 其他 | 低楼层(共17层)  | 板塔结合,0人关注 / 13天以前发布,54,"4,252元/平"
翡翠园 5室1厅 南,翡翠园 -港口区,5室1厅 | 140.22平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 11天以前发布,73.8,"5,264元/平"
业主急售，房子楼层好，小区配套好，物业服务好,龙光阳光海岸五期 -港口区,2室2厅 | 79平米 | 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 14天以前发布,37,"4,684元/平"
碧桂园滨海城 二房 户型方正 采光好,碧桂园滨海城 -港口区,2室1厅 | 78.32平米 | 东南 | 精装 | 高楼层(共33层)  | 塔楼,3人关注 / 7个月以前发布,42,"5,363元/平"
