标题,开发商,房子信息,发布信息,售价/万,单价
迦南美地，装修保持好，无抵押，采光通风好，看房方便,天泰城迦南美地 -东方城,3室2厅 | 123.49平米 | 南 北 | 精装 | 中楼层(共16层) | 2010年建 | 板楼,11人关注 / 26天以前发布,130,"10,528元/平"
千禧国际村联排别墅边户，已经土建，100多平院子,千禧国际村二期 -惜福镇,4室2厅 | 188.59平米 | 南 | 毛坯 | 3层 | 2015年建 | 板楼 | 联排别墅 ,1人关注 / 24天以前发布,280,"14,848元/平"
下跃户型前庭院后花园 前正对小区中芯采光好精装修,远洋风景 -国信体育场,5室2厅 | 138.78平米 | 南 北 | 精装 | 低楼层(共26层) | 2013年建 | 板楼,5人关注 / 15天以前发布,758,"54,619元/平"
凭海临风三期  次新小区  小高套三  高楼层视野好,山钢建设凭海临风三期 -两河,3室1厅 | 106.29平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,2人关注 / 8天以前发布,125,"11,761元/平"
急售只此一个，精装4楼，三居室，满五唯一，拎包即住,辛家庄三小区（三明北路） -辛家庄,3室1厅 | 80.09平米 | 南 东 东南 | 精装 | 中楼层(共7层) | 1987年建 | 板楼,3人关注 / 3天以前发布,170,"21,227元/平"
金沙滩海景套二 业主急售  看房钥匙,亚德里亚海湾 -金沙滩,2室2厅 | 93.73平米 | 南 北 | 毛坯 | 中楼层(共35层) | 2012年建 | 板楼,0人关注 / 3天以前发布,133,"14,190元/平"
新上  不临街高楼层 保持好 业主诚心卖  三居室户型好,卓越皇后道 -世园会,3室2厅 | 89.63平米 | 南 北 | 精装 | 中楼层(共31层) | 2017年建 | 板楼,1人关注 / 3天以前发布,218,"24,323元/平"
近李村公园，地铁3号线君峰路站 多层顶加阁,北园路 -李村公园,2室1厅 | 54.29平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 5天以前发布,95,"17,499元/平"
海棠湾四期 3室2厅 南,海棠湾四期 -海王路,3室2厅 | 111.73平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 7天以前发布,136,"12,173元/平"
诚售可议 可咨询门口德佑 安静位置全天采光。配套丰富,竹韵山色二期 -北村,2室1厅 | 91.53平米 | 南 北 | 简装 | 中楼层(共12层) | 2011年建 | 板楼,0人关注 / 7天以前发布,304,"33,214元/平"
13号线地铁口，精装修，拎包入住，通透，视野开阔,黑卓原筑 -六中,3室2厅 | 99.44平米 | 南 北 | 精装 | 高楼层(共22层) | 2019年建 | 板楼,1人关注 / 9天以前发布,137,"13,778元/平"
聚博苑小区 2室2厅 南 北,聚博苑小区 -江山南路,2室2厅 | 79.47平米 | 南 北 | 毛坯 | 低楼层(共7层) | 2011年建 | 板楼,0人关注 / 4天以前发布,150,"18,876元/平"
急售 2017次新小区 近20万精装修 随时可看,银盛泰浪琴海 -两河,2室1厅 | 87.75平米 | 南 | 精装 | 低楼层(共28层) | 2017年建 | 板楼,0人关注 / 6天以前发布,98,"11,169元/平"
绿地国际花都 套三精装未住 一梯一户 更安静,绿地国际花都 -老城区,3室1厅 | 130.9平米 | 南 北 | 精装 | 高楼层(共15层) | 2018年建 | 板楼,2人关注 / 11天以前发布,155,"11,842元/平"
华融蓝海洋望海 2室1厅 南,华融蓝海洋望海 -海云庵,2室1厅 | 74.65平米 | 南 | 简装 | 高楼层(共34层) | 2018年建 | 板楼,0人关注 / 3天以前发布,140,"18,755元/平"
科技街 商河路 套三厅 南北通透 交通便利 生活方便,商河路5、26、29 青城路28号 -信息城,3室1厅 | 77.12平米 | 南 北 | 简装 | 中楼层(共8层) | 1995年建 | 板楼,0人关注 / 12天以前发布,139,"18,024元/平"
新上迦南美地套三双卫 精装修 满五 诚意出售,天泰城迦南美地 -东方城,3室2厅 | 123.49平米 | 南 北 | 精装 | 低楼层(共16层) | 2010年建 | 板楼,2人关注 / 14天以前发布,130,"10,528元/平"
：银鸥山庄此房满五唯一南北通透全明户型,银鸥山庄 -北岭,3室1厅 | 88.76平米 | 南 北 | 精装 | 中楼层(共8层) | 2006年建 | 板楼,7人关注 / 13天以前发布,153,"17,238元/平"
地铁口 金沙滩旁 带装修通透边户三居 诚意出售,千城凤梧金沙二期 -安子片区,3室2厅 | 88.52平米 | 南 西南 | 精装 | 中楼层(共30层) | 2012年建 | 板楼,0人关注 / 14天以前发布,125,"14,122元/平"
东南新苑满五唯一 不临街不靠路 价格可议业主诚心出售,东南新苑 -东南山,3室1厅 | 93.76平米 | 南 北 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,3人关注 / 9天以前发布,134,"14,292元/平"
新上！唐岛七星 全新精装三居室 少住 海景房 视野好,华通唐岛七星 -唐岛湾,3室2厅 | 121.48平米 | 南 北 | 精装 | 中楼层(共28层) | 2013年建 | 板塔结合,0人关注 / 7天以前发布,325,"26,754元/平"
精装修拎包住三居   中高楼层   双南卧南厅  诚售,保利百合花园 -保利百合,3室2厅 | 90.71平米 | 南 北 | 精装 | 中楼层(共22层) | 2011年建 | 板楼,2人关注 / 6天以前发布,239,"26,348元/平"
新上 洋房顶加阁 纯毛坯 小区内安静不临街 老少皆宜,和达璟城紫御 -世园会,3室2厅 | 132.92平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2018年建 | 板楼,1人关注 / 7天以前发布,430,"32,351元/平"
鼎世华府好楼层户型佳不挡光，楼座位置好，装修很好,海尔鼎世华府C区 -河南,3室2厅 | 120.32平米 | 南 | 精装 | 22层 | 2016年建 | 板楼,0人关注 / 7天以前发布,270,"22,441元/平"
