标题,开发商,房子信息,发布信息,售价/万,单价
团城山优质好房拎包入住，交通生活便利,扬子玉龙湾 -团城山,3室2厅 | 133.59平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,3人关注 / 6个月以前发布,105,"7,860元/平"
朝南户型，采光视野好，出行方便。,金港明珠小区 -万达,3室2厅 | 111.3平米 | 东南 | 精装 | 高楼层(共22层)  | 板楼,11人关注 / 4个月以前发布,77,"6,919元/平"
江景房采光好，配套设施齐全，出行方便,两宜園 -万达,2室2厅 | 104.25平米 | 东南 | 精装 | 低楼层(共22层)  | 塔楼,0人关注 / 3个月以前发布,62,"5,948元/平"
万达华府 2室2厅 南,万达华府 -万达,2室2厅 | 88.44平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,63,"7,124元/平"
万达商圈 天方百花园 全明户型电梯精致两房 满二 税低,天方百花園 -万达,2室2厅 | 95.85平米 | 东南 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 5个月以前发布,68,"7,095元/平"
新精装两房 拎包即住 电梯中层 无遮挡,紫金花城 -花湖,2室2厅 | 88平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,55,"6,250元/平"
北站边上，东南朝向，三阳台，楼层佳,美鑫·锦绣华庭 -团城山,2室2厅 | 106.88平米 | 东 南 | 毛坯 | 高楼层(共24层)  | 板塔结合,0人关注 / 13天以前发布,49.6,"4,641元/平"
一  级物业，高  端大三房，东边户采光视野很好,宏维·星都 -团城山,3室2厅 | 126.04平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 6天以前发布,118,"9,363元/平"
嘉泰银河湾毛坯三房 满二税费低 视野开阔采光充足,嘉泰银河湾三期 -团城山,3室2厅 | 93.01平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 7天以前发布,63,"6,774元/平"
户型方正，采光通透，精装修拎包入住！,朱家嘴258号 -八卦嘴,2室2厅 | 79.67平米 | 东 南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 13天以前发布,31,"3,892元/平"
江天世纪苑 16中旁 电梯中层 采光好 配套全 可贷款,江天世纪苑 -武商,2室1厅 | 71.5平米 | 南 | 简装 | 高楼层(共15层)  | 板塔结合,0人关注 / 16天以前发布,57,"7,973元/平"
《市政府 湖锦家园》大平层 217平米 大5房,湖锦家园 -团城山,5室2厅 | 216.97平米 | 东 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,140,"6,453元/平"
万达商圈，天方百花园精装2房急卖，满五唯一,天方百花園 -万达,2室2厅 | 77.35平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 23天以前发布,45,"5,818元/平"
湖景花园 户型方正 带有保姆房 通透户型 满二,明盛湖景花园 -团城山,4室2厅 | 141平米 | 东南 | 毛坯 | 低楼层(共29层)  | 板楼,9人关注 / 一年前发布,81,"5,745元/平"
位于曼晶酒店旁电梯三房格局、全明户型，可观湖,亚光新村 -市中心,3室2厅 | 119.12平米 | 东 | 精装 | 高楼层(共10层)  | 板楼,8人关注 / 7个月以前发布,59.6,"5,004元/平"
此房满二 房型方正，带车位一起卖，欢迎大家来带看,金桥水岸 -花湖,3室2厅 | 127平米 | 南 | 精装 | 中楼层(共24层)  | 塔楼,3人关注 / 8个月以前发布,75,"5,906元/平"
客厅有大阳台朝南，户型很好，中高楼层采光好,鸿儒翰林居 -团城山,3室1厅 | 90平米 | 南 北 | 精装 | 高楼层(共29层)  | 板塔结合,4人关注 / 3个月以前发布,67,"7,445元/平"
全新毛坯，大阳台，看湿地公园，产权即将满五年,嘉泰·银河湾 -团城山,3室2厅 | 132.7平米 | 南 | 毛坯 | 中楼层(共28层)  | 板塔结合,3人关注 / 4个月以前发布,99,"7,461元/平"
宝石名城129平简装大三房急卖，随时看房价格好谈,宝石名城 -万达,3室2厅 | 128.29平米 | 南 | 简装 | 高楼层(共17层)  | 塔楼,0人关注 / 2个月以前发布,78,"6,080元/平"
高档小区绿城玉兰花园 大三房精装修毛坯价 游泳池旁,黄石绿城玉兰花园 -万达,3室2厅 | 138.07平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 3个月以前发布,109,"7,895元/平"
天方优质好房，满二，精装房保养的很新,天方百花園 -万达,3室2厅 | 139.96平米 | 东南 | 精装 | 低楼层(共27层)  | 板楼,1人关注 / 7个月以前发布,70,"5,002元/平"
