iter	Passed	Remaining
0	6	675
1	12	603
2	17	580
3	23	554
4	28	544
5	33	531
6	39	519
7	44	509
8	49	499
9	54	492
10	59	484
11	65	478
12	70	472
13	75	464
14	81	459
15	86	452
16	91	445
17	96	439
18	101	433
19	106	427
20	112	422
21	117	416
22	122	411
23	128	406
24	133	400
25	139	396
26	144	391
27	150	387
28	157	385
29	162	380
30	168	375
31	174	370
32	179	364
33	185	360
34	191	355
35	197	351
36	203	346
37	208	340
38	213	334
39	218	328
40	224	322
41	229	317
42	234	310
43	239	304
44	245	299
45	250	293
46	255	287
47	260	281
48	265	276
49	270	270
50	275	265
51	281	259
52	286	254
53	292	249
54	297	243
55	303	238
56	308	232
57	314	227
58	319	221
59	323	215
60	329	210
61	334	205
62	340	199
63	345	194
64	351	189
65	355	183
66	360	177
67	365	172
68	370	166
69	376	161
70	381	155
71	386	150
72	392	145
73	397	139
74	402	134
75	408	128
76	413	123
77	418	118
78	423	112
79	429	107
80	434	101
81	438	96
82	444	91
83	449	85
84	454	80
85	460	74
86	465	69
87	471	64
88	476	58
89	481	53
90	487	48
91	492	42
92	497	37
93	503	32
94	508	26
95	513	21
96	518	16
97	523	10
98	529	5
99	535	0
