c_area,decoration,greenland,open_date,has_short_video,gdp,metro,urban_district_population,urban_population,min_frame_area,bus,c_water_resources,is_cooperation,latitude,green_space_and_square,shopping,near_main_road,max_frame_rooms,big_block,region,longitude,urban_district_temporary_population,max_frame_area,biz,reference_unit_price
206.53,1,0,583,0,3725.0,0,289.7,145.6,85,0,262800,2,39.53,38.83,0,1,4,0,1,116.04,43.5,128,1,9000
206.53,0,0,465,0,3725.0,0,289.7,145.6,81,0,262800,2,39.47,38.83,0,0,3,0,1,116.06,43.5,119,1,8500
206.53,1,0,870,0,3725.0,0,289.7,145.6,80,0,262800,2,39.48,38.83,0,0,3,0,1,116.0,43.5,121,1,7900
206.53,1,0,899,0,3725.0,0,289.7,145.6,87,0,262800,2,39.48,38.83,1,0,4,0,1,116.04,43.5,145,1,8500
206.53,1,0,1344,0,3725.0,0,289.7,145.6,101,0,262800,0,39.58,38.83,1,0,3,0,1,116.02,43.5,125,1,12000
51.0,1,0,1144,0,982.7,0,51.7,32.72,95,0,564990,2,40.75,1.24,0,1,3,0,3,107.38,8.2,141,0,6200
51.0,1,0,658,0,982.7,0,51.7,32.72,98,0,564990,2,40.75,1.24,0,1,3,0,3,107.38,8.2,139,0,6200
51.0,1,0,1144,0,982.7,0,51.7,32.72,110,0,564990,2,40.79,1.24,0,1,3,0,3,107.39,8.2,142,1,4500
51.0,1,0,1693,0,982.7,0,51.7,32.72,82,0,564990,2,40.8,1.24,0,1,4,0,3,107.36,8.2,140,0,4300
51.0,1,0,1144,0,982.7,0,51.7,32.72,63,0,564990,2,40.77,1.24,0,0,3,0,3,107.39,8.2,124,1,5200
85.98,0,0,1236,1,1504.43,0,71.8,40.29,56,1,192000,0,21.54,7.95,0,0,4,0,5,109.18,30.5,117,1,4999
85.98,0,0,1509,1,1504.43,0,71.8,40.29,81,1,192000,2,21.49,7.95,0,1,4,0,5,109.18,30.5,128,1,4796
85.98,0,0,615,1,1504.43,0,71.8,40.29,81,0,192000,2,21.46,7.95,0,0,5,0,5,109.1,30.5,128,1,5600
85.98,1,0,1516,1,1504.43,0,71.8,40.29,80,0,192000,0,21.46,7.95,0,1,5,0,5,109.13,30.5,312,1,5200
85.98,1,0,779,1,1504.43,0,71.8,40.29,89,0,192000,2,21.47,7.95,1,0,3,0,5,109.1,30.5,133,1,5300
85.98,0,0,1533,1,1504.43,0,71.8,40.29,40,1,192000,2,21.45,7.95,0,1,3,0,5,109.1,30.5,76,1,8200
85.98,0,0,1423,1,1504.43,0,71.8,40.29,50,1,192000,0,21.43,7.95,1,1,3,0,5,109.17,30.5,100,1,10000
85.98,0,0,1449,0,1504.43,0,71.8,40.29,79,1,192000,2,21.5,7.95,1,0,3,0,5,109.15,30.5,121,1,11000
85.98,1,0,1480,1,1504.43,0,71.8,40.29,55,0,192000,0,21.45,7.95,0,1,3,0,5,109.1,30.5,139,1,5300
149.05,1,0,1672,1,40269.55,0,2188.6,1916.1,220,0,257600,2,40.12,116.24,0,0,3,0,1,117.21,841.8,260,0,16000
149.05,1,0,1663,1,40269.55,1,2188.6,1916.1,185,0,257600,2,39.73,116.24,0,0,4,0,1,116.16,841.8,199,0,58000
149.05,0,0,2492,0,40269.55,0,2188.6,1916.1,107,0,257600,2,40.22,116.24,0,0,5,0,1,116.51,841.8,360,0,27000
149.05,0,0,1266,1,40269.55,0,2188.6,1916.1,100,1,257600,2,39.96,116.24,0,0,4,0,1,116.66,841.8,166,0,49000
149.05,0,0,1834,1,40269.55,0,2188.6,1916.1,166,0,257600,2,39.73,116.24,1,0,4,0,1,116.2,841.8,228,0,50000
149.05,0,0,1754,0,40269.55,0,2188.6,1916.1,45,1,257600,2,39.78,116.24,0,0,3,0,1,116.36,841.8,95,0,27000
