标题,开发商,房子信息,发布信息,售价/万,单价
名仕康城.小区绿化好.楼层好.采光好.户型南北通透,名仕康城 -大市场商圈,4室2厅 | 143.82平米 | 南 北 | 毛坯 | 高楼层(共19层)  | 板塔结合,14人关注 / 一年前发布,81,"5,633元/平"
市政区域，步梯房中间楼层，十分nice!,新天第凤凰小区 -行政中心商圈,3室2厅 | 105.72平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 12天以前发布,65,"6,149元/平"
红星美凯龙旁，小户型70年产权。装修精致可拎包入住,奥林至尊 -行政中心商圈,2室1厅 | 84.94平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,1人关注 / 27天以前发布,61,"7,182元/平"
中骏雍景府 3室2厅 南 北,中骏雍景府 -七六路商圈,3室2厅 | 101.76平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,76,"7,469元/平"
龙华世纪城顶楼 视野开阔高瞻远瞩等你来撩,龙华世纪城 -行政中心商圈,3室2厅 | 125.81平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,88,"6,995元/平"
中间楼层、采光好、户型好、交通便利,中骏雍景府 -七六路商圈,3室2厅 | 115.31平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,7人关注 / 5个月以前发布,97,"8,413元/平"
黄金水岸，电梯洋房一梯两户楼层好。,黄金水岸 -水南街商圈,4室2厅 | 143.83平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,96.8,"6,731元/平"
电梯江景复式楼全新装修采光充足,中央公园二期 -紫阳商圈,5室3厅 | 131.34平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 5天以前发布,165,"12,563元/平"
龙华凤凰城   南北通透  全明户型    满五年唯一,龙华凤凰城 -十一小商圈,3室2厅 | 109.94平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 19天以前发布,115,"10,461元/平"
县广场边上产证满五，广场红绿灯龙摄影楼上交通便利,旭日北大道 -旭日商圈,3室2厅 | 119.72平米 | 西北 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,50,"4,177元/平"
友邦壹号公馆楼层较好，前后无遮挡，采光视野充足,友邦壹号公馆 -十一小商圈,4室2厅 | 121.28平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 1个月以前发布,142,"11,709元/平"
急 售 ，友邦壹号院中楼层，户型方正，品质小区,友邦壹号院 -行政中心商圈,3室2厅 | 98.75平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 8个月以前发布,96,"9,722元/平"
茶厂宿舍 楼梯4楼 采光很好 带储藏间  业主急售,茗苑小区 -亿升商圈,2室2厅 | 78平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,62,"7,949元/平"
嘉怡华府，出行方便配套齐全居住舒适,嘉怡华府 -万达商圈,2室1厅 | 88.37平米 | 南 | 简装 | 中楼层(共14层)  | 板楼,0人关注 / 3个月以前发布,77,"8,714元/平"
位置好 配套设施齐全 采光通透性好 格局分布合理,龙湖一品 -行政中心商圈,3室2厅 | 98.13平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,43人关注 / 一年前发布,92,"9,376元/平"
急售 急售 急售 看中价格可谈 小高层,嘉怡华府 -万达商圈,2室2厅 | 84.02平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,6人关注 / 一年前发布,69,"8,213元/平"
急售龙华世纪城中高楼层，东边套，大三房,龙华世纪城 -行政中心商圈,3室2厅 | 125.81平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,5人关注 / 5个月以前发布,99,"7,870元/平"
恒安领寓交通便利，采光好，小区安静舒适,恒安领寓 -经开区商圈,3室2厅 | 100.05平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,1人关注 / 一年前发布,54,"5,398元/平"
离吾悦广场近，毛坯房，面积大。,城西名星广场 -旭日商圈,4室2厅 | 151.89平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 塔楼,3人关注 / 一年前发布,88,"5,794元/平"
业主急售价格实惠地段好税费低配套齐全交通出行便利,新天第凤凰小区 -行政中心商圈,3室2厅 | 139.94平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 22天以前发布,81,"5,789元/平"
友邦壹号公馆，商圈配套成熟，门前三 中。采光好。,友邦壹号公馆 -十一小商圈,4室2厅 | 140.65平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,15人关注 / 一年前发布,149,"10,594元/平"
龙华世纪城，大润发旁，边套大三房，中高层视野好,龙华世纪城 -行政中心商圈,3室2厅 | 122.36平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,3人关注 / 5个月以前发布,100,"8,173元/平"
中骏雍景府四房间朝南，洋房，好楼层，无遮挡,中骏雍景府 -七六路商圈,4室2厅 | 130.48平米 | 东南 | 毛坯 | 中楼层(共9层)  | 暂无数据,0人关注 / 25天以前发布,114.5,"8,776元/平"
好房子业主诚心出售，看房方便的,瀚林印象 -大市场商圈,2室2厅 | 99.65平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,1人关注 / 一年前发布,62,"6,222元/平"
龙潭湖公园，市政府旁小三房，总价低,东投长安府 -行政中心商圈,3室2厅 | 107平米 | 东南 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,88,"8,225元/平"
和锦园精装大四房 房东急售！独梯独户大平层 楼层好,和锦園 -行政中心商圈,4室2厅 | 168.25平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,0人关注 / 16天以前发布,138,"8,203元/平"
"龙潭湖公园 龙湖一品精装4居，小区环境好,满5唯一.",龙湖一品 -行政中心商圈,4室2厅 | 155.77平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 31天以前发布,185,"11,877元/平"
"精装3房，拎包入住,。朝南，户型采光好",天一尊邸 -经开区商圈,3室2厅 | 123.51平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 11天以前发布,88,"7,125元/平"
天一尊邸 交通便利 配套齐全，户型方正,天一尊邸 -经开区商圈,4室2厅 | 139.03平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 13天以前发布,95,"6,834元/平"
顺旺小区 装修3房 步梯好楼层 县广场旁边,顺旺小区 -旭日商圈,4室2厅 | 121.9平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,63,"5,169元/平"
和锦园楼梯小洋房 楼间距大 户型方正,和锦園 -行政中心商圈,4室2厅 | 116.13平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,22人关注 / 一年前发布,103,"8,870元/平"
满五唯一，税费低，精装修拎包入住,公园道1号 -行政中心商圈,2室2厅 | 90.68平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 12天以前发布,89.9,"9,914元/平"
大润发旁精致两房，中高楼层视野好，满二诚意出售,龙华世纪城 -行政中心商圈,2室2厅 | 84.23平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 9天以前发布,71,"8,430元/平"
赣东北大道建行宿舍旁，步梯二楼，三房，总价低,赣东北大道28号 -亿升商圈,3室1厅 | 82.07平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 18天以前发布,45.5,"5,545元/平"
大3房拎包入住，菜市场旁边，诚心出售，交通便利，,园中园 -旭日商圈,3室2厅 | 121.11平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,2人关注 / 3个月以前发布,59,"4,872元/平"
正规两房  户型好  精装修  诚意出售。。。,蓝山国际 -行政中心商圈,2室1厅 | 78.93平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 10天以前发布,66.8,"8,464元/平"
金叶名庭，交通方便，成熟商圈，拎包入住。,金叶名庭 -经开区商圈,3室2厅 | 131.5平米 | 南 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 6天以前发布,90,"6,845元/平"
业主回老家置业亏 本出售，精装修，家电齐全，满两年,绿野幸福里 -经开区商圈,2室2厅 | 86.35平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,1人关注 / 22天以前发布,65,"7,528元/平"
凯旋如意城 3室2厅 南,凯旋如意城 -旭日商圈,3室2厅 | 122.4平米 | 南 | 精装 | 中楼层(共19层)  | 塔楼,0人关注 / 15天以前发布,110,"8,987元/平"
楼层好 视野开阔 采光充足小区人群素质高,龙华世纪城 -行政中心商圈,3室2厅 | 107.11平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 8天以前发布,90,"8,403元/平"
进门就有了一个房间，中间楼层，满五唯一，诚心出售,汇成观邸 -行政中心商圈,4室2厅 | 128平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 8天以前发布,121,"9,454元/平"
4房毛坯房，电梯中层，纯边套，小区配套齐全,槠溪·碧水香邻 -旭日商圈,4室2厅 | 124.64平米 | 南 | 毛坯 | 中楼层(共14层)  | 板楼,0人关注 / 7天以前发布,118,"9,468元/平"
急售！市政府板块 新交付小区 云玺台 毛坯3房,九颂金科·云玺台 -行政中心商圈,3室2厅 | 115.34平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 17天以前发布,105,"9,104元/平"
龙潭湖畔，小区环境好，此房视野开阔,御景天下 -行政中心商圈,4室2厅 | 131平米 | 南 | 简装 | 中楼层(共17层)  | 塔楼,2人关注 / 15天以前发布,135,"10,306元/平"
翡翠城，诚心卖，带了一个阳光房,翡翠城 -经开区商圈,3室2厅 | 94.52平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 7天以前发布,65,"6,877元/平"
