标题,开发商,房子信息,发布信息,售价/万,单价
中高楼层朝南三房，业主诚意出售,海德骏园 -望牛墩镇,3室2厅 | 99.82平米 | 南 | 精装 | 高楼层(共23层)  | 塔楼,1人关注 / 7天以前发布,175,"17,532元/平"
小区环境好，楼龄新！位置安静，价格实惠,君汇半岛 -道滘镇,3室2厅 | 106.9平米 | 南 | 毛坯 | 25层  | 板楼,0人关注 / 7天以前发布,220,"20,580元/平"
金地城南艺境 4室1厅 东南,金地城南艺境 -道滘镇,4室1厅 | 126.6平米 | 东南 | 毛坯 | 33层  | 塔楼,0人关注 / 5天以前发布,345,"27,252元/平"
"高层南北通户型,通风采光好.业主诚售,价格实在",海伦堡松湖湾 -东坑镇,3室2厅 | 108.26平米 | 东南 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 7天以前发布,170,"15,703元/平"
光大品质小区！大平层毛坯！高楼层看江景！,光大江与城 -高埗镇,4室2厅 | 158.5平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 8天以前发布,430,"27,130元/平"
独揽一线江景！一眼国贸近眼前、欢迎咨询看房！,保利锦城二期 -茶山镇,3室2厅 | 102.98平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 16天以前发布,207,"20,101元/平"
万科云城  好的楼层77平精装3房  诚意出售,虎门万科云城 -万达,3室2厅 | 76.58平米 | 东北 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 16天以前发布,263,"34,344元/平"
三房两厅两卫，双阳台，拎包入住,新城市花园 -横沥镇,3室2厅 | 105平米 | 东南 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 12天以前发布,87,"8,215元/平"
绿洲精装大三房，业主诚心出售。,中惠香樟绿洲 -樟木头镇,3室2厅 | 156平米 | 南 | 精装 | 18层  | 板塔结合,0人关注 / 17天以前发布,246,"15,770元/平"
素颜大三房，带大入户花园，南北对流户型好。,盛和雅颂花园 -横沥镇,3室2厅 | 126.03平米 | 东南 | 毛坯 | 31层  | 板塔结合,0人关注 / 13天以前发布,200,"15,870元/平"
楼栋在花园中 看小区花园 安静 采光好 通风佳,虎门碧桂园一期 -万达,3室2厅 | 94.7平米 | 南 北 | 精装 | 低楼层(共25层)  | 板塔结合,0人关注 / 12天以前发布,279,"29,462元/平"
精装修大两房，中楼层，可拎包入住,万豪花园 -樟木头镇,2室2厅 | 78.81平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 4天以前发布,53,"6,726元/平"
虎门公园旁  万科三房  东户 采光视野好,万科金色里程 -虎门公园,3室2厅 | 96.98平米 | 东 | 精装 | 中楼层(共29层)  | 板塔结合,0人关注 / 10天以前发布,320,"32,997元/平"
碧桂园满五唯一大三房，南北通透，业主诚心出售,横沥碧桂园 -横沥镇,3室2厅 | 122.16平米 | 南 北 | 精装 | 28层  | 板塔结合,0人关注 / 13天以前发布,199,"16,291元/平"
天林湖3+1房出售，户型方正采光好，看房方便。,天林湖花园 -常平镇,3室1厅 | 120.04平米 | 南 | 毛坯 | 33层  | 板塔结合,0人关注 / 9天以前发布,193,"16,078元/平"
桥头三正公园里3房诚心出售高层朝向，95平光线好,三正公园里 -桥头镇,3室2厅 | 95平米 | 东南 东北 | 毛坯 | 32层  | 塔楼,0人关注 / 7天以前发布,137,"14,422元/平"
高楼层采光好，户型方正，视野好,祥利花园 -凤岗镇,3室2厅 | 91.67平米 | 东南 | 毛坯 | 25层  | 板塔结合,0人关注 / 12天以前发布,206,"22,472元/平"
"好户型,大社区,过伍唯一,交易简单",海伦堡松湖湾 -东坑镇,3室1厅 | 97.09平米 | 东南 | 毛坯 | 27层  | 板塔结合,0人关注 / 11天以前发布,158,"16,274元/平"
南部湾万科城虎门大社区 视野开阔刚需三房,南部湾万科城 -大宁,3室2厅 | 93.74平米 | 南 | 简装 | 高楼层(共34层)  | 板塔结合,0人关注 / 4天以前发布,265,"28,270元/平"
此房满五唯一，采光好看小区，可直通地库,蔚蓝星湖二期星慧庭 -上下桥,3室2厅 | 92.17平米 | 东北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 29天以前发布,203,"22,025元/平"
天海大厦精装三房 售198万 业主自住,天海大厦 -东莞行政中心区,3室2厅 | 105平米 | 东 | 精装 | 中楼层(共10层)  | 板楼,1人关注 / 30天以前发布,188,"17,905元/平"
莞城  131平方4房  一梯两户  前后双阳台  南北对流,珊瑚新邨 -运河东,4室2厅 | 131.12平米 | 东 | 简装 | 高楼层(共8层)  | 平房,3人关注 / 3个月以前发布,99,"7,551元/平"
蔚蓝城邦高层三房两厅一卫，业主急售，满五年不欠款,卓越蔚蓝城邦 -常平镇,3室2厅 | 97平米 | 东南 南 | 精装 | 28层  | 板塔结合,0人关注 / 1个月以前发布,171,"17,529元/平"
保利锦城一期 3室2厅 南,保利锦城一期 -茶山镇,3室2厅 | 102.12平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 29天以前发布,208,"20,369元/平"
装修花了20多个W 忍痛割爱！精装复式四房，格局方正,长虹百荟 -樟木头镇,4室2厅 | 94.82平米 | 西南 北 | 精装 | 18层  | 板塔结合,1人关注 / 27天以前发布,165,"17,402元/平"
卓越蔚蓝山3房2厅1卫诚心出售,卓越蔚蓝山 -塘厦镇,3室2厅 | 83.43平米 | 南 | 精装 | 26层  | 板塔结合,0人关注 / 24天以前发布,220,"26,370元/平"
中惠精装大三房高楼层看湖景，全屋定制家具，诚意出售,中惠松湖城二期 -寮步,3室2厅 | 94.51平米 | 南 | 简装 | 中楼层(共25层)  | 塔楼,0人关注 / 31天以前发布,220,"23,278元/平"
金美花园电梯3房2厅2卫价格美丽，我是房源专属维护人,金美花园 -常平镇,3室2厅 | 104平米 | 东北 | 简装 | 11层  | 板楼,0人关注 / 28天以前发布,138,"13,237元/平"
万科朗润园二期，3房，带入户花园，次新房未住过,万科朗润园二期 -塘厦镇,3室2厅 | 96.14平米 | 南 北 | 精装 | 32层  | 板塔结合,0人关注 / 23天以前发布,220,"22,884元/平"
黄河商圈满足生活需求配套无欠款产权清晰,兰苑大厦 -黄河中心,3室2厅 | 89.11平米 | 东南 | 简装 | 高楼层(共17层)  | 板塔结合,0人关注 / 21天以前发布,104,"11,671元/平"
