标题,开发商,房子信息,发布信息,售价/万,单价
优雅翠园 精装修 位置好 房源挂盘少,优雅翠园 -槎桥,5室2厅 | 292.69平米 | 南 北 | 精装 | 3层 | 2012年建 | 塔楼 | 联排别墅 ,2人关注 / 5天以前发布,450,"15,375元/平"
奥园前后花园100方带精装出售，实用400方.满五唯一,奥园一期四区布拉诺区 -广丰,5室2厅 | 222.51平米 | 东南 西北 | 精装 | 3层 | 2011年建 | 板塔结合 | 联排别墅 ,1人关注 / 29天以前发布,438,"19,685元/平"
景湖居复式，带装修，带大平台，有钥匙看房,景湖居 -坦洲镇,4室2厅 | 159.03平米 | 南 北 | 简装 | 高楼层(共11层) | 1995年建 | 塔楼,2人关注 / 18天以前发布,132,"8,301元/平"
龙光海悦华庭 3室1厅 南,龙光海悦华庭 -坦洲镇,3室1厅 | 112.08平米 | 南 | 精装 | 中楼层(共20层)  | 塔楼,0人关注 / 11天以前发布,126,"11,242元/平"
方正户型，刚需三房两卫，采光好,正德天水湖 -轻轨北站,3室2厅 | 78.55平米 | 北 | 简装 | 低楼层(共25层) | 2015年建 | 板塔结合,0人关注 / 11天以前发布,95,"12,095元/平"
锦绣电梯3房带阁楼，视野开阔，无遮挡，实用实惠。,锦绣盈翠苑 -坦洲镇,3室2厅 | 78平米 | 东北 | 精装 | 17层  | 塔楼,0人关注 / 13天以前发布,70,"8,975元/平"
大型社区配套成熟，南北通，业主诚心出售价格可谈,锦绣盈翠苑 -坦洲镇,3室1厅 | 142.73平米 | 西南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 9天以前发布,114,"7,988元/平"
满五年 高层视野好 诚意出售 价钱可以谈,万科金域蓝湾 -张溪,3室2厅 | 84.96平米 | 东南 | 精装 | 中楼层(共34层) | 2019年建 | 塔楼,1人关注 / 15天以前发布,109,"12,830元/平"
小区中间位置   高楼层  满五不唯一 无欠款,凯茵又一城花漾集 -凯茵,3室1厅 | 89.97平米 | 西南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 6天以前发布,96,"10,671元/平"
兴源三街 9室4厅 南 北,兴源三街 -三角镇,9室4厅 | 441.07平米 | 南 北 | 其他 | 低楼层(共4层)  | 暂无数据,0人关注 / 7天以前发布,288,"6,530元/平"
高层视野好 近珠海  锦绣明珠毛坯三房急售,锦绣明珠 -坦洲镇,3室2厅 | 109.91平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,1人关注 / 28天以前发布,129,"11,737元/平"
花城一期精装3房，视野采光好，进门口出入方便。,锦绣国际花城一期 -坦洲镇,3室2厅 | 109.14平米 | 北 | 其他 | 中楼层(共17层)  | 塔楼,1人关注 / 14天以前发布,108,"9,896元/平"
一步珠海，一半价格，南向三房。高楼层通风采光好。,海伦印象 -坦洲镇,3室2厅 | 112.47平米 | 南 北 | 毛坯 | 高楼层(共33层) | 2013年建 | 塔楼,0人关注 / 16天以前发布,120,"10,670元/平"
业主诚心出售，价格优惠，小区绿化好,茵华花园 -坦背,4室2厅 | 180.03平米 | 东南 | 毛坯 | 高楼层(共11层) | 2008年建 | 塔楼,0人关注 / 10天以前发布,123,"6,833元/平"
优越5期 全新未入住 129平方 南北通双阳台 急售,优越家园 -坦洲镇,3室2厅 | 129.26平米 | 南 北 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 15天以前发布,195,"15,086元/平"
石岐大信 精装电梯4房 家具家电齐全  低楼层出入方便,天明花园A区 -白衣寺,4室2厅 | 151.57平米 | 东南 | 精装 | 低楼层(共11层)  | 塔楼,2人关注 / 8个月以前发布,135,"8,907元/平"
高层精装修东南向四房三卫 没住过没欠款 景观好东南向,优越家园 -坦洲镇,4室2厅 | 183.34平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,313,"17,073元/平"
