标题,开发商,房子信息,发布信息,售价/万,单价
三开间朝南双阳台纯边套居住舒适,水岸家园 -义乌市,3室2厅 | 142平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,15人关注 / 5个月以前发布,157.9,"11,120元/平"
万家风华，带双车位，高楼层，视野开阔，南北通透急卖,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 4天以前发布,315,"31,819元/平"
一个车位，一个电瓶车车位，出让金已交,水岸家园 -义乌市,2室1厅 | 84平米 | 南 西北 | 简装 | 中楼层(共17层)  | 暂无数据,3人关注 / 8个月以前发布,85,"10,120元/平"
福田CBD区域，是去年刚刚交付的新房，滨江高档物业,滨江壹品 -福田,4室2厅 | 139.71平米 | 南 | 毛坯 | 低楼层(共38层)  | 板塔结合,5人关注 / 11个月以前发布,477.88,"34,206元/平"
新科花园A区 5室3厅 南 东,新科花园A区 -稠江,5室3厅 | 300平米 | 南 东 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 1天以前发布,580,"19,334元/平"
上溪精装三室省税费交付即可入住,塘桥雅苑 -城西,3室2厅 | 121.4平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,5人关注 / 一年前发布,185,"15,239元/平"
万达旁，精装3房，带车库，楼层好，带家具家电，急卖,贝村路 -稠城,3室1厅 | 148.56平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,19人关注 / 一年前发布,245,"16,492元/平"
三宾王，边套精装大三房，看房方便，价格可谈,东方大厦 -稠城,3室2厅 | 150.75平米 | 南 北 | 简装 | 低楼层(共30层)  | 暂无数据,2人关注 / 一年前发布,400,"26,534元/平"
有浙大附属第四医院世贸银行商场等配套设施齐全。,滨江壹品 -福田,4室2厅 | 147.7平米 | 南 北 | 其他 | 中楼层(共45层)  | 暂无数据,0人关注 / 一年前发布,580,"39,269元/平"
义乌后花园 绿肺边上 适合居住的三层带地下室的别墅,金城高尔夫二区 -后宅,5室3厅 | 450平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,1人关注 / 一年前发布,1300,"28,889元/平"
东望悦府，别墅真实在售。配套齐全。生活适宜。,东望悦府 -廿三里,4室2厅 | 361.13平米 | 东南 南 西南 | 毛坯 | 低楼层(共3层)  | 暂无数据,4人关注 / 一年前发布,768,"21,267元/平"
北苑现代城市花园精装修省税费两房,现代城市花园四季五区 -北苑,3室2厅 | 114平米 | 南 | 精装 | 中楼层(共14层)  | 板塔结合,0人关注 / 一年前发布,290,"25,439元/平"
采光充足；房东诚心出售；看房提前联系,拨浪鼓花园 -廿三里,3室2厅 | 103.54平米 | 南 | 简装 | 低楼层(共25层)  | 板塔结合,74人关注 / 一年前发布,93,"8,983元/平"
房子精装满二，房东诚心出售，顶楼楼中楼带车库,东方之星国际公馆 -廿三里,6室2厅 | 245平米 | 南 | 其他 | 高楼层(共16层)  | 暂无数据,1人关注 / 一年前发布,535,"21,837元/平"
复式楼中楼 带露台 拎包入住 适合有小孩的家庭,经发大道 -江东,3室2厅 | 265平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,5人关注 / 一年前发布,569,"21,472元/平"
宾王市场D区 2室2厅 南,宾王市场D区 -稠城,2室2厅 | 99.8平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 9天以前发布,260,"26,053元/平"
阳光小区，精装修，离市场近 满二 没占用，带车库,阳光小区 -稠城,3室1厅 | 150.75平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,430,"28,525元/平"
杨一村望湖公馆 3室1厅 东南 南,杨一村望湖公馆 -稠江,3室1厅 | 108平米 | 东南 南 | 其他 | 中楼层(共20层)  | 暂无数据,0人关注 / 17天以前发布,197,"18,241元/平"
市芯大都国际名苑 高楼层俯瞰孝子祠公园 大4房,大都国际名苑 -稠城,4室2厅 | 165平米 | 西南 西 | 精装 | 中楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,650,"39,394元/平"
西城时代 楼中楼 带车库，精装修，大四房，使用面积大,西城时代 -城西,4室2厅 | 214平米 | 南 | 精装 | 高楼层(共13层)  | 暂无数据,6人关注 / 一年前发布,295,"13,786元/平"
