标题,开发商,房子信息,发布信息,售价/万,单价
绿地二期 好房出售 中间楼层 产证满二 可按揭价格便宜,智慧金融城H区 -兰州新区,3室2厅 | 105.75平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 17天以前发布,62,"5,863元/平"
御景东方  精品复式 可见黄河  空置随时可看,御景东方 -万达大润发,5室2厅 | 408.57平米 | 东 南 北 | 精装 | 低楼层(共23层)  | 板楼,36人关注 / 8个月以前发布,447.07,"10,943元/平"
七里河瓜州路，  可按揭电梯房出售,馨韵佳苑 -吴家园,4室2厅 | 159.87平米 | 东南 | 精装 | 低楼层(共30层)  | 塔楼,36人关注 / 一年前发布,153,"9,571元/平"
南北通透 全面户型 明厨明卫 精装修 干净 拎包入住,海亮和园 -九州,3室2厅 | 114.4平米 | 南 北 | 精装 | 低楼层(共29层)  | 板楼,0人关注 / 21天以前发布,90,"7,868元/平"
西固花园，产权清晰，手续齐全，楼层好。,西固花园 -西固城,2室1厅 | 83.6平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 13天以前发布,70,"8,374元/平"
经典小三室，南北通透，明厨明卫，,恒大名都 -秀川,3室2厅 | 92.61平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,7人关注 / 6个月以前发布,98,"10,583元/平"
公园 桃园小区 三室两厅 采光充足 可按揭,桃园小区(西固区) -西固城,3室2厅 | 133.29平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,2人关注 / 一年前发布,100,"7,503元/平"
精装修，通透户型，业主诚心出售。,阳光家园一区 -九州,2室2厅 | 83.08平米 | 东 西 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 3个月以前发布,54,"6,500元/平"
出售瑞岭雅苑三室两厅毛坯品质小区繁华地段,瑞岭雅苑 -兰州新区,3室2厅 | 124平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,12人关注 / 一年前发布,67.8,"5,468元/平"
安宁交大，单价7200电梯房86万，正规三室,豐润花园 -海关,3室2厅 | 118.07平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 板楼,1人关注 / 3个月以前发布,86,"7,284元/平"
西站 南广场 地铁口 海洋世界 五泉啤酒厂家属院,五泉啤酒厂 -晏家坪,2室2厅 | 93.49平米 | 东 西 | 简装 | 高楼层(共8层)  | 板楼,19人关注 / 一年前发布,69.3,"7,413元/平"
兰州新区 瑞岭雅苑 舒适3居 随时可看,瑞岭雅苑 -兰州新区,3室2厅 | 124.06平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,83,"6,691元/平"
东部市场 电力小区 正规两室两厅  2楼 急售！,二热家园（一区） -二热,3室1厅 | 61.38平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 6个月以前发布,71,"11,568元/平"
哇塞！此房满五唯一，地段繁华交通便利，四xiao可按揭,悦欣小区(有机厂甲乙楼街区) -西固城,2室1厅 | 70.11平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 4个月以前发布,59,"8,416元/平"
精装修，拎包入住，视野好，交通便利。,中海凯旋门 -海关,2室2厅 | 94.42平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,18人关注 / 7个月以前发布,107,"11,333元/平"
欣欣嘉园东区 三室两厅两卫 南北通透 可按揭,欣欣嘉园（东区） -东部,3室2厅 | 134.29平米 | 南 北 | 简装 | 中楼层(共31层)  | 板楼,1人关注 / 2个月以前发布,166,"12,362元/平"
此房精装修，楼层佳 ，采光好，,恒大名都 -秀川,3室1厅 | 96.2平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,107,"11,123元/平"
业主诚心急售，采光好，单价便宜，中间楼层,兰玻旧区 -西固城,3室2厅 | 93平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 3个月以前发布,85,"9,140元/平"
海关地铁口距离30米 凯旋门精装大户型南北通透 产权房,中海凯旋门 -海关,4室2厅 | 148.55平米 | 南 北 | 精装 | 低楼层(共18层)  | 塔楼,29人关注 / 一年前发布,180,"12,118元/平"
