标题,开发商,房子信息,发布信息,售价/万,单价
景苑花园 5室2厅 南 北,景苑花园 -一号公馆,5室2厅 | 239.92平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 10天以前发布,145,"6,044元/平"
不吃差价不收返费金茂豪庭四室两厅三卫双阳卧大客厅,金茂豪庭 -友谊广场,4室2厅 | 269.71平米 | 南 北 | 简装 | 中楼层(共18层)  | 板塔结合,4人关注 / 一年前发布,203,"7,527元/平"
大6居 六楼带阁楼晒台   精装修 一梯一户诚意出售,怡康苑 -口岸花园,6室2厅 | 182.84平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,18人关注 / 6个月以前发布,99,"5,415元/平"
不吃差价 不收返费 精装修 拎包入住 采光好位置好,万达广场 -万达,3室1厅 | 143.72平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,13人关注 / 9个月以前发布,125,"8,698元/平"
青山保利 精装修3居 中间楼层 独立厨房 不临不把,保利花园郁金园 -保利,3室2厅 | 110.57平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 23天以前发布,103,"9,316元/平"
中铁诺德国际 科技住宅  不吃差价 不收返费 看房方便,中国中铁诺德国际花园 -南开小学,5室3厅 | 302.69平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,10人关注 / 4个月以前发布,238,"7,863元/平"
景苑花园 3室2厅 南 北,景苑花园 -一号公馆,3室2厅 | 168.79平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 9天以前发布,120,"7,110元/平"
鹿鸣苑 婚房 80地砖 落地窗户 阳台 有房本拎包入住,鹿鸣苑东区 -人民公园,2室2厅 | 89.9平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,43,"4,784元/平"
嘉茵花苑，一楼带院精装修，两室，大客厅，包百商圈。,嘉茵花苑 -恰特,2室2厅 | 85.65平米 | 北 南 | 精装 | 低楼层(共6层)  | 暂无数据,5人关注 / 6个月以前发布,70,"8,173元/平"
碧水佳苑 维多利摩尔城商圈 交通便利 配套齐全价可议,碧水嘉苑 -东大桥,2室2厅 | 128.52平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,2人关注 / 一年前发布,57,"4,436元/平"
坐北朝南 格局好 全明户型 视野开阔 有本没有大税,恒大名都 -东亚,3室2厅 | 143.77平米 | 南 北 | 精装 | 低楼层(共18层)  | 塔楼,2人关注 / 3个月以前发布,102,"7,095元/平"
不吃差价不收返费，精品装修，户型好，价格实惠,新星美地 -内蒙古科技大学,3室1厅 | 145.87平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,5人关注 / 一年前发布,118,"8,090元/平"
友谊大街16街坊南北通透、中间楼层、经典户型、,友谊大街16号街坊 -昆区华联,3室1厅 | 86.93平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 8天以前发布,75,"8,628元/平"
现代城 3室2厅 南,现代城 -鹿港小镇,3室2厅 | 154平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 8天以前发布,135,"8,767元/平"
万达广场去年新装电梯中层东户带车位出售满五唯一,万达广场 -万达,3室2厅 | 142.23平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 5天以前发布,155,"10,898元/平"
京奥港帝景小区 中间楼层 前后无遮挡  自主一手房屋,京奥港花园 -东亚,3室2厅 | 115.2平米 | 南 北 | 其他 | 中楼层(共22层)  | 板塔结合,0人关注 / 18天以前发布,98,"8,507元/平"
正翔国际丽江苑，豪 华装修，带家具家电，配 合贷款,正翔国际 -青山区,3室2厅 | 176平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,14人关注 / 一年前发布,203,"11,535元/平"
精装修五楼 价格可议 出价就谈 随时看房,光辉佳苑 -民主路,2室2厅 | 98.6平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 25天以前发布,80,"8,114元/平"
不吃差价，不收返费，诚心出售，方便看房，拎包入住,友谊大街20号街坊 -昆区华联,2室2厅 | 85平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,52.6,"6,189元/平"
昆区 理想城大三居双阳卧室 平层平层平层,裕民新城理想城 -和平村,3室2厅 | 131.19平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,2人关注 / 一年前发布,102,"7,775元/平"
好房急售，精装修，拎包入住，随时看房。,豪德园 -豪德,3室2厅 | 115.4平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,55,"4,767元/平"
不吃差价 不收返费 楼层好，三楼，南北通透配套齐全,友谊小区 -友谊广场,2室1厅 | 68.11平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 14天以前发布,74.8,"10,983元/平"
好房出售房屋空置位置优越 视野开阔无遮挡 阳光充足,友谊南街坊 -友谊广场,2室1厅 | 64.8平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 9天以前发布,70,"10,803元/平"
紧靠通顺批发市场通顺东二区精装一楼55平米有本可贷,通顺东二区 -通顺,2室1厅 | 55平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,28,"5,091元/平"
此房南东朝向，格局相当漂亮，双卧和客厅是分离开的,阿尔丁小区 -包头乐园,2室1厅 | 72.62平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,3人关注 / 6个月以前发布,64.5,"8,882元/平"
