标题,开发商,房子信息,发布信息,售价/万,单价
采光好，阳光充足，六房二卫有露台.诚心出售,星西兰花园 -红湾大道以北,6室2厅 | 207平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,120,"5,798元/平"
澄碧湖边上，物业相当好的社区，物业费9毛,梦里水乡 -莲塘,3室2厅 | 124.06平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 4天以前发布,130,"10,479元/平"
船山路万寿宫文化街、精装三房、2楼好楼层，出入方便,广润门三区 -船山路,3室1厅 | 67.24平米 | 南 | 精装 | 低楼层(共8层)  | 板楼,1人关注 / 20天以前发布,66,"9,816元/平"
保利东湾国际 3室2厅 南,保利东湾国际 -新城吾悦,3室2厅 | 88.77平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 18天以前发布,123,"13,857元/平"
全新装修没入住   洋房精品推荐,绿地悦公馆 -紫荆路,3室1厅 | 130.33平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 23天以前发布,167,"12,814元/平"
国博二期博伟高楼层 随时可签约 钥匙看房 满二 无欠款,绿地国际博览城二期博伟 -九龙湖,3室2厅 | 116.93平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 27天以前发布,172,"14,710元/平"
洪客隆英伦联邦 4室2厅 南 北,洪客隆英伦联邦 -紫荆路,4室2厅 | 101.38平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 9天以前发布,138,"13,613元/平"
省委宿舍 精装大六房 居住舒适 带车位 装修100w,象湖桃源 -象湖,6室3厅 | 162.18平米 | 南 北 | 精装 | 上叠(共6层)  | 板楼 | 叠拼别墅 ,9人关注 / 5个月以前发布,169.8,"10,470元/平"
精装修 保养新 诚心卖 采光通风好,绿都·温莎城堡 -艾溪湖东,3室2厅 | 92.96平米 | 南 东南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 6天以前发布,139,"14,953元/平"
视野开阔，采光好，交通便利，一个电话随时看房。,上水巷 -八一公园,2室2厅 | 36平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 13天以前发布,31.6,"8,778元/平"
高知公寓  顶楼复式精装装修150万   带车位储藏间,高知公寓 -新力时代广场,4室2厅 | 162平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,1人关注 / 30天以前发布,520,"32,099元/平"
