标题,开发商,房子信息,发布信息,售价/万,单价
春天花园 中间楼层 纯毛坯 带23朝南车库 看房方便,春天花园 -能达商务区,3室1厅 | 124.86平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,140,"11,213元/平"
高迪晶城 2室1厅 东南,高迪晶城 -永兴,2室1厅 | 92.59平米 | 东南 | 简装 | 低楼层(共24层)  | 板楼,0人关注 / 7天以前发布,113,"12,205元/平"
中港翡翠城 复式楼 清爽装修 可拎包入住房东诚心出售,中港翡翠城 -能达商务区,3室1厅 | 127.12平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 3天以前发布,169.8,"13,358元/平"
滨江花园 大套楼中楼 6房2卫 近中南 狼山景区,滨江花园 -狼山,6室3厅 | 210平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 10天以前发布,218,"10,381元/平"
诚心出售   一楼带精装地下室  看房点我。,佳期漫 -观音山,5室2厅 | 274.26平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 11天以前发布,430,"15,679元/平"
新上好房 翡翠华府 远离高架 中间位置 有车位,碧桂园翡翠华府 -新城,4室2厅 | 142.84平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 11天以前发布,330,"23,103元/平"
价格在同小区偏低 随时可以看房，配套齐全,恒水鑫城 -长江,2室2厅 | 92.27平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 16天以前发布,66,"7,153元/平"
私产满，出行方便，户型方正，居住方便舒适,优山美地花园北区 -军山,3室2厅 | 141.34平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,2人关注 / 14天以前发布,200,"14,151元/平"
中创南 世茂公元实用三房 公园里 纯毛坯 装修自由发挥,世茂公元 -能达商务区,3室2厅 | 89.29平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 10天以前发布,128,"14,336元/平"
阳光厅，楼层好，视野开阔，采光充足，满五唯一,学士府 -虹桥,3室2厅 | 113.47平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 14天以前发布,175,"15,423元/平"
前排无遮挡中上楼层，户型方正，诚心出售,碧桂园(南通经济技术开发区) -能达商务区,3室1厅 | 93.51平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,0人关注 / 10天以前发布,132,"14,117元/平"
佳期漫精装四房 中上楼层 采光充足 交通便利,佳期漫 -观音山,4室2厅 | 125.19平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 10天以前发布,245,"19,571元/平"
精装房＋精装朝南21平车库  诚心出售,天山花苑西区 -观音山,3室1厅 | 52.86平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 4天以前发布,72,"13,621元/平"
前排采光很好，飞机户型，居住方便舒适,沙家圩花苑 -军山,3室1厅 | 111.01平米 | 南 | 毛坯 | 高楼层(共17层)  | 板塔结合,0人关注 / 9天以前发布,170,"15,314元/平"
