标题,开发商,房子信息,发布信息,售价/万,单价
宝龙城江南墅边，交通便利。小区环境佳,瑞景名苑 -轮渡路,1室1厅 | 34平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 27天以前发布,75,"22,059元/平"
碧海明珠花园南区 5室2厅 南,碧海明珠花园南区 -东平路,5室2厅 | 155平米 | 南 | 精装 | 高楼层(共11层)  | 塔楼,12人关注 / 一年前发布,298,"19,226元/平"
南北通格局好，楼层好，采光充足，配套设施其全,东方花园东区 -轮渡路,3室2厅 | 125平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 8天以前发布,168,"13,440元/平"
湖悦华庭 新小区 近宝龙广场 出行方便,湖悦华庭 -温岭市,3室2厅 | 143平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 5天以前发布,160.2,"11,203元/平"
急售三室精装，学院路！！！诚心卖,广场西路72-74号 -东平路,3室2厅 | 120.5平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,55人关注 / 一年前发布,145,"12,034元/平"
御龙湾花苑 3室2厅 南 北,御龙湾花苑 -温岭市,3室2厅 | 126平米 | 南 北 | 其他 | 低楼层(共2层)  | 暂无数据,0人关注 / 14天以前发布,78,"6,191元/平"
白云山壹号219.1平方398万采光好绿化好,白云山壹号 -市府,5室2厅 | 219.08平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,9人关注 / 一年前发布,420,"19,172元/平"
急售新明半岛 高楼层 毛坯 有车位 看房方便,新明半岛 -东平路,3室2厅 | 151.31平米 | 东南 | 毛坯 | 中楼层(共16层)  | 板塔结合,3人关注 / 10个月以前发布,318,"21,017元/平"
本房户型方正，两朝南户型，采光和通风很好，楼层好,龙湖丽景小区 -桐屿,3室2厅 | 138平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 13天以前发布,140,"10,145元/平"
方远天璟誉府7楼好房，户型方正，南北通,天璟誉府 -机场北路,3室2厅 | 130平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,1人关注 / 8天以前发布,308,"23,693元/平"
海悦公寓简单装修满两年电梯高层朝南好楼层采光好,海悦公寓 -机场北路,1室1厅 | 49平米 | 南 | 简装 | 高楼层(共11层)  | 板塔结合,0人关注 / 6天以前发布,73.8,"15,062元/平"
港湾花园 双白云 满五唯一 65.00m² 三朝南 有钥匙,港湾花园 -市府,1室1厅 | 65平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 9天以前发布,123,"18,924元/平"
景元花园 3室2厅 南 北,景元花园 -机场北路,3室2厅 | 131平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 8天以前发布,180,"13,741元/平"
楼层好，视野开阔，采光足，配套齐全，交通便利,城市港湾B区 -洪家,3室2厅 | 139平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 6天以前发布,160,"11,511元/平"
碧桂园钻石湾 3室1厅 南,碧桂园钻石湾 -温岭市,3室1厅 | 88平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,1人关注 / 20天以前发布,88,"10,000元/平"
华彩小区已满两年.简单装修.视线开阔.好楼层好位置.,华彩小区 -市府,3室2厅 | 145平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,17人关注 / 一年前发布,240,"16,552元/平"
祥生国宾府 3室2厅 南 北,祥生国宾府 -路北,3室2厅 | 124平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 20天以前发布,243,"19,597元/平"
寺平路小区，楼梯房，好楼层带露台，大洋片区学楼很好,寺平路小区 -大洋,3室2厅 | 96平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 28天以前发布,165,"17,188元/平"
门口就是校区 让孩子早上多休息 刚需好户型,台州中梁阳光城台州一号 -市府,3室2厅 | 125平米 | 南 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 11天以前发布,260,"20,800元/平"
崇和路小区 3室2厅 南 北,崇和路小区 -靖江,3室2厅 | 75平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,8人关注 / 3个月以前发布,99.8,"13,307元/平"
本房为子母全海景套房，面积大空气好,鑫鼎海景家园 -坎门,3室1厅 | 81.05平米 | 东 | 其他 | 高楼层(共6层)  | 暂无数据,34人关注 / 8个月以前发布,63,"7,773元/平"
东京湾跃层，采光通风好，自住精装，带车位，诚心售,东京湾 -东平路,4室2厅 | 206.32平米 | 南 | 精装 | 高楼层(共19层)  | 板塔结合,5人关注 / 10个月以前发布,310,"15,026元/平"
天琴公寓 2室1厅 东,天琴公寓 -市府,2室1厅 | 51.52平米 | 东 | 精装 | 低楼层(共12层)  | 板楼,0人关注 / 12天以前发布,92.8,"18,013元/平"
旭辉府 3室2厅 南,旭辉府 -机场北路,3室2厅 | 89平米 | 南 | 简装 | 中楼层(共14层)  | 暂无数据,0人关注 / 9天以前发布,132,"14,832元/平"
康平嘉园 双白云 位置好采光好 153平方看中价可谈,康平嘉园 -市府,3室2厅 | 153平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,3人关注 / 11个月以前发布,180.8,"11,817元/平"
中盛豪庭（精装修2室2厅）好楼层,中盛豪廷锦园 -螺洋,2室2厅 | 87平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,5人关注 / 一年前发布,133,"15,288元/平"
永安新村 立地房 自住装修 出入方便,永安新村 -市府,3室2厅 | 88.09平米 | 南 | 简装 | 高楼层(共4层)  | 板楼,1人关注 / 7个月以前发布,103,"11,693元/平"
东京湾小区适合居住，生活配套齐全，距离休闲娱乐进。,东京湾 -东平路,3室2厅 | 140.8平米 | 南 | 简装 | 高楼层(共17层)  | 板塔结合,6人关注 / 8个月以前发布,208,"14,773元/平"
一江两岸葭芷老街理想花园三朝南精装修房东诚心出售,理想花苑 -轮渡路,3室1厅 | 98.84平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,4人关注 / 6个月以前发布,206.8,"20,923元/平"
户型方正，全明格局，视野好，楼间距大，无遮挡,学府水岸小区 -轮渡路,3室2厅 | 108平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,2人关注 / 9个月以前发布,240,"22,223元/平"
