标题,开发商,房子信息,发布信息,售价/万,单价
香榭丽舍新上精装三房 三开间朝南 基本未入住,香榭丽舍 -南环,3室2厅 | 141平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,7人关注 / 一年前发布,76,"5,391元/平"
碧桂园现房高层120平方户型方正,周口碧桂园 -东新区商圈,3室2厅 | 120.3平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,33人关注 / 一年前发布,64,"5,321元/平"
契税满二 ，大两室，带入户花园，。精装修,万达熙龙湾 -泰和城商圈,2室1厅 | 83平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,19人关注 / 一年前发布,46,"5,543元/平"
碧桂园精装三房、带地暖、品牌新装修采光刺眼、可按揭,周口碧桂园 -东新区商圈,3室2厅 | 120.21平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,4人关注 / 2个月以前发布,80,"6,656元/平"
建业森林半岛 精装家具家电齐全大三房 建业品质！,建业森林半岛 -周师商圈,3室2厅 | 127平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,6人关注 / 一年前发布,110,"8,662元/平"
佳利金色东方佳苑 20号楼为安置房，目前还未交房,佳利金色东方佳苑 -文昌大道佳丽商圈,3室2厅 | 107平米 | 南 | 毛坯 | 中楼层(共29层)  | 暂无数据,2人关注 / 一年前发布,68,"6,356元/平"
建业森林半岛 精装拎包入住 契税满 户型好随时看房,建业森林半岛 -周师商圈,2室2厅 | 89.74平米 | 南 西南 | 精装 | 低楼层(共26层)  | 板塔结合,6人关注 / 一年前发布,50.5,"5,628元/平"
宽敞自我天地——妆点雅致生活 精装两房,佳利金色东方信苑 -文昌大道佳丽商圈,2室2厅 | 80.02平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,9人关注 / 6个月以前发布,42,"5,249元/平"
碧桂园一楼大3房 采光充足 配套设施齐全，交通便利！,周口碧桂园 -东新区商圈,3室2厅 | 148平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,5人关注 / 一年前发布,86,"5,811元/平"
恒大名都精装大四房税满带车位，户型通透，采光好,恒大名都 -东新区商圈,4室2厅 | 153平米 | 东南 南 | 精装 | 高楼层(共31层)  | 板塔结合,1人关注 / 6个月以前发布,126,"8,236元/平"
腾龙名都 4室2厅 南,腾龙名都 -万基城商圈,4室2厅 | 137平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 3个月以前发布,90,"6,570元/平"
景园盛世华都精装两房业主诚心出售！,景园盛世华都 -周师商圈,2室2厅 | 109平米 | 南 | 其他 | 中楼层(共20层)  | 板塔结合,0人关注 / 2个月以前发布,70,"6,423元/平"
建业森林半岛 精装两房 北门位置 方便出入,建业森林半岛 -周师商圈,2室2厅 | 84.73平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,14人关注 / 一年前发布,48,"5,666元/平"
建业森林半岛 经典大两房 户型好楼层好采光好,建业森林半岛 -周师商圈,2室2厅 | 98.8平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,3人关注 / 一年前发布,60,"6,073元/平"
尚书府~东宸~ 经典四室 户型方正 采光充足,尚书府东宸 -沈丘县,4室2厅 | 136.27平米 | 南 | 毛坯 | 中楼层(共9层)  | 暂无数据,0人关注 / 8天以前发布,78,"5,724元/平"
碧桂园洋房、急卖即买即装修无需等待、楼层好采光好,周口碧桂园 -东新区商圈,3室2厅 | 120.7平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,90,"7,457元/平"
周口碧桂园大四室双阳台，带车位。,周口碧桂园 -东新区商圈,4室2厅 | 170平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,5人关注 / 4个月以前发布,93,"5,471元/平"
精装    拎包入住 有证可按揭,佳利金色东方信苑 -文昌大道佳丽商圈,2室2厅 | 85平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,6人关注 / 一年前发布,53,"6,236元/平"
景园盛世华都边户四房，两卧朝南,景园盛世华都 -周师商圈,4室2厅 | 146平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,19人关注 / 一年前发布,89,"6,096元/平"
急售 碧桂园小三房 精装拎包入住,周口碧桂园 -东新区商圈,3室2厅 | 92平米 | 南 | 简装 | 高楼层(共28层)  | 板塔结合,7人关注 / 一年前发布,55,"5,979元/平"
房子精装修，户型通透，随时可以过户,恒大名都 -东新区商圈,3室2厅 | 98平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,1人关注 / 一年前发布,66,"6,735元/平"
