标题,开发商,房子信息,发布信息,售价/万,单价
有大红本    早就满五   户型方正    采光充足,十八中宿舍 -旧省政府,2室1厅 | 66.56平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 26天以前发布,91.8,"13,793元/平"
水西门都司街羊市街解放路地铁五育中间楼层采光好,都司街17号 -水西门商圈,3室2厅 | 123.23平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 21天以前发布,104,"8,440元/平"
小区出行方便，地理位置好。单价，总价低。,柳溪花园 -金刚堰商圈,2室2厅 | 102平米 | 东南 | 其他 | 低楼层(共33层)  | 板楼,1人关注 / 13天以前发布,71,"6,961元/平"
长风商务区 观景楼层 本满二 欧式精装 拎包入住,兰亭·御湖城东区 -义井商圈,3室1厅 | 133.31平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,2人关注 / 26天以前发布,146.5,"10,990元/平"
长风西 兰亭东区 停车便宜  精装两居 满二,兰亭·御湖城东区 -义井商圈,2室2厅 | 84.64平米 | 东 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 17天以前发布,85,"10,043元/平"
桃园四巷 1层带院子 两室南北房 可停车 有钥匙,桃园四巷北一条 -桃北商圈,2室1厅 | 53.66平米 | 南 北 | 简装 | 低楼层(共4层)  | 板楼,0人关注 / 14天以前发布,54,"10,064元/平"
澳林滨河花园 三室二厅二卫..价格便宜.有大红本,澳林滨河花园 -义井商圈,3室2厅 | 137.12平米 | 南 北 | 简装 | 中楼层(共28层)  | 板塔结合,11人关注 / 一年前发布,136,"9,919元/平"
南中环街，长风商务区，精装现房,当代MOMA沿湖城 -亲贤商圈,3室2厅 | 130.92平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,6人关注 / 8个月以前发布,128,"9,777元/平"
房子满五唯一，产权清晰，随时过户,理工大西区 -千峰北路商圈,3室1厅 | 61.68平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,1人关注 / 11天以前发布,40,"6,486元/平"
南内环街财大北校宿舍，大红本，精装修。,山西财经大学家属楼北校区 -双西小学,3室1厅 | 79.33平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 9天以前发布,84.5,"10,652元/平"
万达天玺。南北三居。精装 ，好楼层。急售,万达天玺小区 -龙潭公园,3室1厅 | 140.13平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,2人关注 / 18天以前发布,229,"16,342元/平"
