标题,开发商,房子信息,发布信息,售价/万,单价
自在澜湾空中别墅，西面看湖，东面观海。,自在澜湾 -荣成市,4室3厅 | 205.8平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 塔楼,104人关注 / 一年前发布,110,"5,345元/平"
皇冠花园南区4室2厅2卫166平 150 万南向车库带储藏室,皇冠花园南区 -皇冠,4室2厅 | 166平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 1个月以前发布,140,"8,434元/平"
威海高区金海滩浴场帝王宫市场青州街小区住人三楼简装,中文化生活区 -昌鸿,3室1厅 | 95.47平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 15天以前发布,68,"7,123元/平"
长峰馨安苑 精装修顶加阁 外开门阁楼 贼便宜,长峰馨安苑小区 -长峰,5室2厅 | 152.75平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 14天以前发布,89.8,"5,879元/平"
急售包大税万达山海雅苑业主自己装修全屋定制进口松木,威海万达环翠 -长峰,3室2厅 | 115.89平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 27天以前发布,159,"13,720元/平"
竹岛  塔山中路  南北通透  精装修,塔山中路 -环翠楼,3室1厅 | 84.21平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,5人关注 / 10个月以前发布,69,"8,194元/平"
南北通透格局，交通便利楼层好采光充足，设施配套齐全,凤林龙凤花园 -凤林&宋家洼,3室2厅 | 81平米 | 南 北 | 精装 | 中楼层(共7层)  | 塔楼,6人关注 / 一年前发布,59.8,"7,383元/平"
50余万精装基本未住，小三居，附带地下停车位,华润威海湾九里 -竹岛,3室2厅 | 117.38平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,4人关注 / 3个月以前发布,185,"15,761元/平"
华海园4室2厅1厨1卫好楼层封闭小区人文环境好,华海园 -涝台社区,4室2厅 | 119.51平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,8人关注 / 一年前发布,88,"7,364元/平"
新都花园一区 急售 三楼 出行方便 框架结构 南北通透,新都花园一区 -凤林&宋家洼,2室2厅 | 70.21平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 1个月以前发布,67,"9,543元/平"
竹岛颐鑫苑矮楼层2010年左右框架房三室精装修,颐鑫苑 -竹岛,3室2厅 | 107.4平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,119,"11,081元/平"
山花泰和府精装修 西边户好楼层 采光好 南北通透,山花泰和府 -长峰,3室2厅 | 95.52平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,22人关注 / 一年前发布,120,"12,563元/平"
华海园多层四楼，三室，简单装修，无储个税,华海园 -涝台社区,2室1厅 | 77.47平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 20天以前发布,54.8,"7,074元/平"
蒿泊西一区 精装修 急售 公摊小 有储藏室 个税,蒿泊西一区 -蒿泊,3室1厅 | 81平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 23天以前发布,69.8,"8,618元/平"
皇冠 精装修 住人4楼 拎包入住 看房有钥匙,皇冠花园中区 -皇冠,3室2厅 | 116平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 17天以前发布,139.8,"12,052元/平"
