标题,开发商,房子信息,发布信息,售价/万,单价
湖畔现代城小三居，采光充足好楼层。,湖畔现代城2区 -东南,3室1厅 | 101.14平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 8天以前发布,129,"12,755元/平"
此房满五税费 格局好楼层好采光充足视野开阔配套设施,湖畔现代城2区 -东南,3室1厅 | 94.26平米 | 南 北 | 精装 | 中楼层(共15层)  | 暂无数据,2人关注 / 31天以前发布,122,"12,943元/平"
空中别墅 上下三层 只有实地看房 才能了解房子的优点,紫金豪园 -常福,5室2厅 | 261平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,443,"16,974元/平"
老街三期 两房两卫 南北户型 万达商圈,常熟老街三期 -虞山高新区,4室2厅 | 120平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 11个月以前发布,165,"13,750元/平"
中南锦苑 三开间朝南 主卧转角阳台268万 满两年有钥匙,中南锦苑(常熟市) -文化片区,3室2厅 | 126.59平米 | 南 北 | 简装 | 低楼层(共33层)  | 暂无数据,0人关注 / 27天以前发布,268,"21,171元/平"
聚和佳苑三区 1室1厅 东,聚和佳苑三区 -滨江开发区,1室1厅 | 61.34平米 | 东 | 毛坯 | 高楼层(共32层)  | 暂无数据,1人关注 / 21天以前发布,53,"8,641元/平"
常熟东南70年 小复式 低单价 低总价35W 安家常熟,新世纪花苑 -东南,2室2厅 | 39.5平米 | 南 | 精装 | 高楼层(共15层)  | 板塔结合,0人关注 / 25天以前发布,35,"8,861元/平"
宝鸿三房精装房东好讲话户型方正,宝鸿商业广场 -滨江开发区,4室2厅 | 92.5平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,4人关注 / 4个月以前发布,111,"12,000元/平"
花溪苑 5室3厅 南,花溪苑 -琴湖,5室3厅 | 89.53平米 | 南 | 精装 | 6层  | 板塔结合,0人关注 / 3个月以前发布,100,"11,170元/平"
此房满两年 南北通透 精装大四房 家电打包卖 看房方便,三一荣域 -东南,3室2厅 | 113.65平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,168,"14,783元/平"
湖畔现代城精装三房两卫 业主着急出售,湖畔现代城2区 -东南,3室2厅 | 135.49平米 | 南 北 | 精装 | 低楼层(共33层)  | 平房,1人关注 / 14天以前发布,160,"11,809元/平"
经典大三房 户型南北通透 中间好楼层 采光不遮挡,尚林花苑 -滨江开发区,3室2厅 | 117.98平米 | 南 北 | 精装 | 30层  | 暂无数据,1人关注 / 2个月以前发布,125,"10,596元/平"
京珠苑70年产权，低总价，精装修，适合自住,京珠苑 -东南,2室1厅 | 70.18平米 | 北 | 精装 | 高楼层(共30层)  | 板楼,4人关注 / 2个月以前发布,42,"5,985元/平"
尚湖好房推荐 楼层好 精装修 看房方便,荣安尚湖中央花园 -尚湖风景区,3室2厅 | 123平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 4个月以前发布,125,"10,163元/平"
尚湖中央花园 三室精装修 采光充足 装修保养的不错,荣安尚湖中央花园 -尚湖风景区,3室1厅 | 136.24平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 3个月以前发布,145,"10,643元/平"
此房满两年，前排位置，视野好出入方便，业主诚心出售,中欧假日花园 -古里镇,3室2厅 | 102.86平米 | 南 北 | 精装 | 中楼层(共28层)  | 板塔结合,10人关注 / 一年前发布,119,"11,570元/平"
湖畔现代城精装三室户型方正南北通透精装打包，诚心卖,湖畔现代城2区 -东南,3室2厅 | 101.14平米 | 南 北 | 精装 | 中楼层(共33层)  | 暂无数据,1人关注 / 4个月以前发布,130,"12,854元/平"
华臣天邑精装三房两卫出售家具家电打包卖,华臣天邑 -滨江开发区,3室2厅 | 133.92平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,142,"10,604元/平"
成熟社区精装三房 价格可谈 户型方正 ！,荣安尚湖中央花园 -尚湖风景区,3室2厅 | 142平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,1人关注 / 2个月以前发布,150,"10,564元/平"
铂珺花园 精装修 诚心出售 价格可谈,铂珺花园 -滨江开发区,3室2厅 | 88平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,106,"12,046元/平"
中南世纪城北区，143平米，精装4房2卫273万,中南世纪城北区 -文化片区,4室2厅 | 143平米 | 南 | 精装 | 33层  | 板楼,2人关注 / 4个月以前发布,270,"18,882元/平"
紫金豪园 精装大4房 采光好 诚心出售随时看房,紫金豪园 -常福,4室2厅 | 151.04平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,3人关注 / 一年前发布,230,"15,228元/平"
海城花苑2房一厅一卫，看房随时，房东诚心出售,海城花苑 -滨江开发区,2室1厅 | 63.54平米 | 南 | 精装 | 17层  | 板楼,1人关注 / 2个月以前发布,41,"6,453元/平"
星都家园 2室2厅 南 北,星都家园 -虞山高新区,2室2厅 | 85.35平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 9天以前发布,98,"11,483元/平"
诚售精装三房两卫西边套房东换房满二可念书,中欧假日花园 -古里镇,3室2厅 | 101.84平米 | 东南 | 精装 | 低楼层(共28层)  | 板塔结合,1人关注 / 一年前发布,118,"11,587元/平"
中南世纪城96平精装2房2卫，楼层好，全天采光,中南世纪城北区 -文化片区,2室2厅 | 95.92平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 5个月以前发布,208,"21,685元/平"
尚湖风景区 精装修三房 拎包入住 楼层好,璞悦雅筑 -尚湖风景区,4室1厅 | 146平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,230,"15,754元/平"
是尚湖中央花园二期户型方正总高18，中间楼层采光好,荣安尚湖中央花园 -尚湖风景区,3室2厅 | 122.83平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 8个月以前发布,149,"12,131元/平"
"一人三餐四季，温暖人心,交通便利，地理位置有优势",隆盈广场 -虞山高新区,1室1厅 | 36平米 | 北 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 1个月以前发布,26.5,"7,362元/平"
品质小区，市场紧缺房源，户型端正，采光充足,阜湖苑 -琴湖,2室2厅 | 87平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,9人关注 / 一年前发布,118,"13,564元/平"
急售中南世纪城  毛坯 3阳台 有入户花园,中南世纪城北区 -文化片区,4室2厅 | 140.6平米 | 南 北 | 毛坯 | 33层  | 板楼,0人关注 / 1个月以前发布,239,"16,999元/平"
古里精装2房 南北通透 全屋定制 电动马桶,金源佳苑 -古里镇,2室1厅 | 80.95平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,108,"13,342元/平"
梅李品质小区，诚意卖房，看房方便,润泰花园 -梅李镇,3室1厅 | 91.74平米 | 南 | 精装 | 低楼层(共20层)  | 暂无数据,0人关注 / 3个月以前发布,118,"12,863元/平"
滨江易居 3室2厅 南,滨江易居 -滨江开发区,3室2厅 | 130.17平米 | 南 | 其他 | 低楼层(共11层)  | 板塔结合,0人关注 / 3天以前发布,118,"9,066元/平"
金科小三房全新毛坯 房东诚信出售,金科源江筑 -滨江开发区,3室2厅 | 91平米 | 南 | 简装 | 高楼层(共33层)  | 暂无数据,0人关注 / 6天以前发布,99,"10,880元/平"
此房户型方正 好楼层 满两年 房东诚心出售,虞園新村 -市区,2室2厅 | 65平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 14天以前发布,158,"24,308元/平"
宝龙 清水毛坯 南北通透采光好 三开间朝南  随时看房,宝龙名仕豪庭 -古里镇,3室2厅 | 120平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 24天以前发布,142,"11,834元/平"
万达商圈 精装修 看房方便 好楼层,景天花园 -虞山高新区,2室1厅 | 82.61平米 | 南 北 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 6天以前发布,130,"15,737元/平"
衡泰锦苑 4室1厅 南 北,衡泰锦苑 -虞山高新区,4室1厅 | 178.68平米 | 南 北 | 毛坯 | 4层  | 塔楼 | 联排别墅 ,0人关注 / 3天以前发布,395,"22,107元/平"
五星六区，顶带阁，采光充足，三房两卫业主诚心卖,五星新村六区 -常福,3室2厅 | 93平米 | 南 北 | 简装 | 高楼层(共4层)  | 板塔结合,0人关注 / 17天以前发布,168,"18,065元/平"
湖畔现代城三期 大平层 户型方正 东边大阳台 好楼层,湖畔现代城三期 -东南,4室2厅 | 180.7平米 | 南 北 | 毛坯 | 32层  | 板楼,0人关注 / 15天以前发布,180,"9,962元/平"
常熟老街五期泰和坊两房一卫户型，适合刚需小年轻,常熟老街五期 -虞山高新区,2室2厅 | 97.13平米 | 南 北 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 13天以前发布,129,"13,282元/平"
常熟万达华府全新装修三房出售满二 可报名,万达华府(常熟) -虞山高新区,3室2厅 | 105平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 12天以前发布,175,"16,667元/平"
荣安尚湖中央花园 3室2厅 南,荣安尚湖中央花园 -尚湖风景区,3室2厅 | 141平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 4天以前发布,180,"12,766元/平"
五星新村七区西区 2室2厅 南,五星新村七区西区 -市区,2室2厅 | 71平米 | 南 | 精装 | 低楼层(共5层)  | 板塔结合,0人关注 / 6天以前发布,168,"23,662元/平"
凯瑞瑞仕花苑 3室2厅 南,凯瑞瑞仕花苑 -常福,3室2厅 | 115.32平米 | 南 | 精装 | 低楼层(共9层)  | 暂无数据,0人关注 / 3天以前发布,245,"21,246元/平"
低密度别墅小区，环境优美，房间距大,尚湖玫瑰园 -尚湖风景区,4室2厅 | 251平米 | 南 北 | 毛坯 | 低楼层(共5层)  | 暂无数据,0人关注 / 4天以前发布,340,"13,546元/平"
常熟老街五期泰德坊三房一卫户型，楼层好，采光通风好,常熟老街五期 -虞山高新区,3室2厅 | 122平米 | 南 北 | 精装 | 高楼层(共30层)  | 暂无数据,0人关注 / 刚刚发布,173,"14,181元/平"
独栋别墅，院子里有凉亭等景观物,金枫花园 -尚湖风景区,6室2厅 | 240平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 17天以前发布,800,"33,334元/平"
美璟湾顶带阁户型有外楼梯，无遮挡，自住出租两不误。,禾盛美璟湾 -辛庄镇,5室2厅 | 168.79平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 17天以前发布,220,"13,034元/平"
精装修，大四房，拎包入住，采光好，户型方正通透,荣安尚湖中央花园 -尚湖风景区,4室2厅 | 142.11平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 29天以前发布,176,"12,385元/平"
市区  稀有洋房  低密度  养老好房  急售,清和坊 -方塔,3室2厅 | 128平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,1人关注 / 29天以前发布,228,"17,813元/平"
尚湖旅游度假区。花园洋房，叠加别墅4房2卫好房出售,尚湖玫瑰园 -尚湖风景区,4室2厅 | 201平米 | 东 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,1人关注 / 21天以前发布,240,"11,941元/平"
