标题,开发商,房子信息,发布信息,售价/万,单价
剑桥郡四期 一梯一户 四居室 中间楼层,永定河.孔雀城.剑桥郡郡湾西区 -固安,4室2厅 | 132.82平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,0人关注 / 7天以前发布,155,"11,670元/平"
南北通透三居室 户型方正 明厨明卫 视野采光好,纳丹堡 -燕顺路西商圈,3室1厅 | 105.24平米 | 南 北 | 毛坯 | 低楼层(共18层) | 2009年建 | 塔楼,1人关注 / 5天以前发布,167,"15,869元/平"
大三居 高楼层 视野采光好，毛坯房，适合自己装修选择,嘉都 -嘉都商圈,3室2厅 | 122.97平米 | 南 北 | 毛坯 | 低楼层(共27层) | 2015年建 | 板塔结合,0人关注 / 6天以前发布,188,"15,289元/平"
东方夏威夷 4室2厅 南 北,东方夏威夷 -夏威夷商圈,4室2厅 | 201.12平米 | 南 北 | 精装 | 低楼层(共9层) | 2008年建 | 板楼,3人关注 / 5天以前发布,360,"17,900元/平"
紫藤园3+1，南北通透，全明户型，全天采光，随时看房,潮白河孔雀城紫藤园 -潮白商圈,4室2厅 | 121.29平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 4天以前发布,180,"14,841元/平"
免大税，全明，户型方正，采光好，正规三居室 ..,亿合家园 -安次,3室2厅 | 92.77平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 6天以前发布,68,"7,330元/平"
精装修自主标准，房本满二，随时看房。,福泰花园 -潮白商圈,3室2厅 | 91.89平米 | 南 北 | 其他 | 高楼层(共28层) | 2017年建 | 板塔结合,0人关注 / 7天以前发布,130,"14,148元/平"
富力新城精装四居 满五唯一 随时看房,富力新城v02区 -香河,4室2厅 | 131.53平米 | 南 北 | 精装 | 中楼层(共22层)  | 板塔结合,3人关注 / 13天以前发布,122,"9,276元/平"
剑桥郡精装修南北通透三居室婚房拎包入住,剑桥郡五期 -固安,3室1厅 | 90.54平米 | 南 北 | 精装 | 低楼层(共27层)  | 板塔结合,0人关注 / 10天以前发布,118,"13,033元/平"
南北通透二居室，带装修，户型方正,郦湖小区 -固安,2室1厅 | 90.94平米 | 南 北 | 简装 | 中楼层(共11层) | 2013年建 | 板塔结合,4人关注 / 6天以前发布,65,"7,148元/平"
理想新城.新社区.南向两居.好楼层满五唯一！,上上城理想新城 -理想新城商圈,2室1厅 | 86.32平米 | 南 | 精装 | 低楼层(共32层) | 2016年建 | 板塔结合,0人关注 / 8天以前发布,149,"17,262元/平"
天洋城南北三居，高楼层，看房方便。,天洋城 -天洋城商圈,3室2厅 | 104.53平米 | 南 北 | 精装 | 中楼层(共34层) | 2009年建 | 板塔结合,2人关注 / 10天以前发布,222,"21,238元/平"
双通透，舒适三居双卫，业主靠谱,公元壹号二期 -香河,3室2厅 | 113.84平米 | 南 北 | 简装 | 27层  | 板塔结合,0人关注 / 10天以前发布,165,"14,495元/平"
富力新城17区洋房一梯两户，满二年，无遮挡，采光很好,富力新城H17 -香河,3室2厅 | 102.78平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,0人关注 / 6天以前发布,95,"9,244元/平"
本房位置好全明边户 平视小区花园 中间楼层房本满二,福泰花园 -潮白商圈,3室2厅 | 102.9平米 | 南 北 | 毛坯 | 中楼层(共28层) | 2017年建 | 板塔结合,0人关注 / 9天以前发布,146,"14,189元/平"
神威北大街地 铁 精装一居改两居。精装修无遮挡钥匙房,锦绣华庭 -理想新城商圈,1室1厅 | 54.83平米 | 北 东 | 精装 | 高楼层(共24层) | 2016年建 | 板塔结合,1人关注 / 6天以前发布,92,"16,780元/平"
满五唯一，免双税，精装带全部家具家电,红星紫郡 -安次,2室2厅 | 88.91平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,0人关注 / 4天以前发布,95.5,"10,742元/平"
西南三居室，无遮挡，精装房，看房随时,普罗旺斯 -福成四期商圈,3室2厅 | 139.28平米 | 西南 | 精装 | 中楼层(共22层) | 2008年建 | 板楼,0人关注 / 10天以前发布,248,"17,806元/平"
户型方正，楼层好，视野宽阔，配套设施齐全,天洋城 -天洋城商圈,1室1厅 | 56.28平米 | 北 | 简装 | 中楼层(共26层) | 2011年建 | 板塔结合,0人关注 / 5天以前发布,92,"16,347元/平"
九里香堤南北三居室，中间楼层  边户户型随时看房,九里香堤 -首尔甜城商圈,3室2厅 | 98.04平米 | 南 北 | 简装 | 中楼层(共10层)  | 板楼,0人关注 / 3天以前发布,208,"21,216元/平"
南北通透三居，中上楼层，采光无遮挡,山水田园 -香河,3室2厅 | 119.86平米 | 南 北 | 简装 | 24层  | 板塔结合,0人关注 / 6天以前发布,122,"10,179元/平"
大社区好楼层，好户型，洋房居住舒适,绿宸万华城 -固安,3室1厅 | 108.63平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 7天以前发布,116,"10,679元/平"
九里香堤法式洋房 自住装修  边户 诚心出售,九里香堤 -首尔甜城商圈,3室2厅 | 96.94平米 | 南 北 | 精装 | 低楼层(共11层) | 2015年建 | 板楼,0人关注 / 3天以前发布,220,"22,695元/平"
此房萨拉曼卡一期，精装修下叠拼，自采暖,世茂萨拉曼卡一期 -夏垫商圈,3室2厅 | 122.25平米 | 南 北 | 精装 | 低楼层(共4层)  | 板楼,0人关注 / 7天以前发布,210,"17,178元/平"
秋柏园  联排  别墅  满二出售,潮白河孔雀城秋柏园 -潮白商圈,4室3厅 | 221.79平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 20天以前发布,418,"18,847元/平"
近地铁，星月云河三阳户型，首付30万买三居+露台,星月云河 -天洋城商圈,3室1厅 | 100.77平米 | 南 北 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,4人关注 / 29天以前发布,160,"15,878元/平"
首尔甜城MOBO公寓 2室2厅 南 西南,首尔甜城MOBO公寓 -首尔甜城商圈,2室2厅 | 70.17平米 | 南 西南 | 其他 | 高楼层(共26层) | 2013年建 | 塔楼,0人关注 / 17天以前发布,62,"8,836元/平"
固安 正规南北通透 2居南北通透107平米，本满二年,英才家园 -固安,2室1厅 | 106.74平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 20天以前发布,64,"5,996元/平"
剑桥郡二期精装2加1三居，东边户视野好观景房，满二！,永定河.孔雀城.剑桥郡二期 -固安,3室2厅 | 89.89平米 | 南 北 | 精装 | 21层 | 2015年建 | 板塔结合,0人关注 / 28天以前发布,115,"12,794元/平"
70年住宅，南向三居，自住装修，高层采光好,长安壹线 -永旺商圈,3室1厅 | 85.24平米 | 东 南 | 精装 | 高楼层(共28层) | 2015年建 | 板楼,3人关注 / 29天以前发布,96,"11,263元/平"
广阳北部新城，南北通透两居室，楼层价格都接地气。,孔雀丹枫园 -广阳,2室2厅 | 85.93平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,2人关注 / 21天以前发布,98,"11,405元/平"
学府洋房，东边户，双卫带窗，95值不值你说,孔雀城学府澜湾汇贤城 -安次,3室2厅 | 101平米 | 南 北 | 简装 | 低楼层(共11层) | 2017年建 | 板楼,2人关注 / 31天以前发布,95,"9,406元/平"
全明户型三居室，可直观植物园景色，全天采光无遮挡,中骏四季花都二期 -首尔甜城商圈,3室2厅 | 89.86平米 | 西南 | 简装 | 高楼层(共29层) | 2018年建 | 板塔结合,3人关注 / 21天以前发布,195,"21,701元/平"
满五唯一 南北通透三居室，业主诚心出售 可以随时看房,星河皓月 -燕顺路西商圈,3室1厅 | 119.45平米 | 南 北 | 精装 | 中楼层(共18层) | 2010年建 | 板塔结合,6人关注 / 24天以前发布,218,"18,251元/平"
精装修 南北通透三居 诚意出售 采光好,嘉都 -嘉都商圈,3室1厅 | 99.52平米 | 南 北 | 精装 | 高楼层(共33层) | 2015年建 | 板塔结合,1人关注 / 31天以前发布,160,"16,078元/平"
南北通透格局好  满五唯一  视野宽阔  采光充足,意华小区 -汇福悦榕湾商圈,3室2厅 | 134.81平米 | 南 北 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,2人关注 / 17天以前发布,171,"12,685元/平"
香堤一号楼高层，楼间距大，无连廊，采光通风好,香堤小区 -广阳,2室2厅 | 84.26平米 | 南 北 | 简装 | 高楼层(共23层)  | 板楼,0人关注 / 31天以前发布,105,"12,462元/平"
天子庄园二期 3室1厅 南 北,天子庄园二期 -永旺商圈,3室1厅 | 124.89平米 | 南 北 | 精装 | 低楼层(共12层) | 2005年建 | 板楼,0人关注 / 23天以前发布,140,"11,210元/平"
南北通透2+1户型，毛坯中间楼层,福泰花园 -潮白商圈,3室1厅 | 89.9平米 | 南 北 | 毛坯 | 中楼层(共28层) | 2015年建 | 板塔结合,0人关注 / 22天以前发布,132,"14,683元/平"
南北双通透格局，户型好，三居双卫、简单装修,K2红树湾 -固安,3室2厅 | 116.34平米 | 南 西 北 | 精装 | 中楼层(共17层) | 2013年建 | 板塔结合,0人关注 / 29天以前发布,108,"9,284元/平"
高层南北三居 满5 唯一，随时看房，业主诚售,嘉都 -嘉都商圈,3室2厅 | 101.27平米 | 南 北 | 精装 | 高楼层(共27层) | 2015年建 | 板塔结合,0人关注 / 23天以前发布,157,"15,504元/平"
德仁新儒苑小区南北通透板楼两居房主诚售看房方便,德仁新儒苑 -安次,2室2厅 | 86.63平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 24天以前发布,78,"9,004元/平"
