标题,开发商,房子信息,发布信息,售价/万,单价
北京一号院，精装双卧朝南，有钥匙看房方便,北京壹号院 -张北县,2室1厅 | 91.33平米 | 南 | 精装 | 低楼层(共6层)  | 塔楼,9人关注 / 7个月以前发布,46,"5,037元/平"
采光充溢，户型方正，，物业尽心尽责，交通便利,新五一广场2区 -桥东区,3室2厅 | 138平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板塔结合,7人关注 / 4个月以前发布,110,"7,972元/平"
水岸云天 好楼层 毛坯 随意装，大两居  明厅明卧,水岸云天小区 -桥东区,2室1厅 | 106.61平米 | 南 北 | 其他 | 中楼层(共28层)  | 板塔结合,4人关注 / 15天以前发布,65,"6,097元/平"
南北通透，采光好，交通出行方便,龍興绿城 -桥东区,3室1厅 | 148.55平米 | 南 北 | 其他 | 高楼层(共26层)  | 板楼,2人关注 / 一年前发布,115,"7,742元/平"
伊梅园小区 2室1厅 南,伊梅园小区 -桥东区,2室1厅 | 62平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 2个月以前发布,32,"5,162元/平"
视野宽阔，采光充足，交通便利。,胜利北路花园小区 -桥东区,2室1厅 | 70.5平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 11天以前发布,45,"6,383元/平"
视野宽阔，采光充足，交通便利。,胜利北路花园小区 -桥东区,2室1厅 | 68.5平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 11天以前发布,50,"7,300元/平"
楼层好、南北通透。配套设施齐全、购物出行方便。,清泉花园 -桥西区,3室2厅 | 93平米 | 南 北 | 其他 | 中楼层(共4层)  | 板塔结合,1人关注 / 6个月以前发布,55,"5,914元/平"
房东急售·此房视野宽阔·采光充足···,宏景嘉苑 -桥西区,3室2厅 | 126平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 5个月以前发布,72,"5,715元/平"
美居丽景园东区 2室1厅 南 北,美居丽景园东区 -桥西区,2室1厅 | 104.5平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 7天以前发布,69,"6,603元/平"
福泽园二区105平 22平米车库66万南北通透,福泽园 -沙城,2室2厅 | 105平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 29天以前发布,63,"6,000元/平"
盛华家园北区 3室2厅 南 北,盛华家园北区 -桥东区,3室2厅 | 111平米 | 南 北 | 毛坯 | 高楼层(共9层)  | 暂无数据,0人关注 / 15天以前发布,80,"7,208元/平"
三阳卧户型明厅明卧房本满五看房方便有钥匙,胜利北路15号院 -桥东区,3室2厅 | 107.01平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 2个月以前发布,52.5,"4,907元/平"
维多利亚小区，采光好，视野开阔，看房方便,新五一广场2区 -桥东区,3室2厅 | 156.51平米 | 南 北 西 | 毛坯 | 高楼层(共29层)  | 板楼,1人关注 / 5个月以前发布,133,"8,498元/平"
