标题,开发商,房子信息,发布信息,售价/万,单价
急售奎园淮塔四院矿大 双南卧室 集中供暖 双地铁口,沐泗奎园生活区 -奎园,2室1厅 | 59平米 | 南 | 简装 | 低楼层(共3层)  | 板楼,0人关注 / 7天以前发布,62,"10,509元/平"
橡树湾 三室 独立门厅  老证过户 诚心出售,华润橡树湾 -绿地世纪城,3室1厅 | 97.86平米 | 南 | 简装 | 中楼层(共24层)  | 板楼,0人关注 / 4天以前发布,178,"18,190元/平"
鼓楼区三环内毛坯现房小三室老证过户电梯暖气房新小区,苏宁悦城 -九里北三环,3室1厅 | 87.99平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 7天以前发布,95,"10,797元/平"
华美生态园北区，户型好，三开间朝阳,华美生态园北区 -鼓楼区政府,3室2厅 | 108.4平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 7天以前发布,152,"14,023元/平"
大三室  全天采光 沿河看景 急售,国信龙湖世家 -大龙湖,3室1厅 | 132.43平米 | 西 | 毛坯 | 高楼层(共18层)  | 塔楼,0人关注 / 7天以前发布,190,"14,348元/平"
月桥花院 电梯洋房 楼层适中 采光好 视野好 随时看房,中维·月桥花院 -工程学院,3室2厅 | 122平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 7天以前发布,240,"19,673元/平"
二环北路植物园洋房大三室精装未住,天悦华景 -植物园,3室2厅 | 127.39平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 3天以前发布,155,"12,168元/平"
美的翰城西区 2室1厅 南,美的翰城西区 -奥体中心,2室1厅 | 88.06平米 | 南 | 毛坯 | 高楼层(共16层)  | 板塔结合,1人关注 / 1个月以前发布,163,"18,511元/平"
急售汉泉山庄独栋别墅 大花园 全明户型 好,汉泉山庄北区 -泉山森林公园,6室2厅 | 268.42平米 | 南 | 毛坯 | 低楼层(共2层)  | 暂无数据,0人关注 / 21天以前发布,750,"27,942元/平"
苏宁悦城 3室1厅 南,苏宁悦城 -九里北三环,3室1厅 | 106.06平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 2天以前发布,106,"9,995元/平"
地铁口~万达旁~夜市~配套齐全~集中供暖~,绿地世纪城四期 -绿地世纪城,2室2厅 | 87.29平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 4天以前发布,112,"12,831元/平"
全明户型 小三室  楼层好总价低,奎园新月园 -奎园,3室1厅 | 71.38平米 | 南 北 | 其他 | 中楼层(共4层)  | 平房,0人关注 / 4天以前发布,77,"10,788元/平"
鼓楼区 九龙湖 4室  暖气房电梯房 诚心出售 有钥匙,九龙湖水景花苑 -鼓楼区政府,4室1厅 | 116.24平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 18天以前发布,155,"13,335元/平"
植物园电梯洋房二期大两室东边户,豪绅嘉苑 -植物园,2室2厅 | 93.02平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 8天以前发布,104.8,"11,267元/平"
二环内 风尚米兰 1层 随时看房,风尚米蘭 -鼓楼广场,3室2厅 | 299.44平米 | 南 北 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 15天以前发布,540,"18,034元/平"
准现房，拎包即住，户型方正，顶楼视野开阔。,绿地之窗国际花都四期 -高铁东站,3室2厅 | 107.85平米 | 南 | 简装 | 高楼层(共26层)  | 板楼,0人关注 / 10天以前发布,140,"12,981元/平"
合群新村 精装 三室一厅 两室朝阳,合群小区 -儿童医院,3室1厅 | 66.3平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 10天以前发布,52.8,"7,964元/平"
