标题,开发商,房子信息,发布信息,售价/万,单价
近南站，视野看湖看别墅，户型实用大五房，配套齐全,星河丹堤G区 -南站新城,5室2厅 | 124.39平米 | 南 北 | 毛坯 | 33层  | 板塔结合,0人关注 / 7天以前发布,208,"16,722元/平"
中萃花城湾 4室1厅 南,中萃花城湾 -万达,4室1厅 | 144.86平米 | 南 | 毛坯 | 17层  | 板塔结合,1人关注 / 8天以前发布,143,"9,872元/平"
此房视野开阔 朝南3+1房 中间楼层得房率高,星河丹堤V区 -南站新城,3室1厅 | 88.15平米 | 南 | 毛坯 | 34层  | 板塔结合,0人关注 / 8天以前发布,140,"15,883元/平"
满五 税费少 前后无遮挡视，业主诚心卖,龙光城南四期 -龙光城,5室2厅 | 118.42平米 | 南 北 | 毛坯 | 34层  | 板塔结合,0人关注 / 6天以前发布,145,"12,245元/平"
临深大盘，业主诚心出售，随时看房,聚泰启程二期 -西区新寮,4室1厅 | 114.09平米 | 南 北 | 精装 | 26层  | 板塔结合,0人关注 / 4天以前发布,137,"12,009元/平"
万达旁，南向小两房，好楼层有钥匙，业主急售,香榭名苑 -万达,2室2厅 | 64.51平米 | 南 | 毛坯 | 23层  | 塔楼,0人关注 / 9天以前发布,68,"10,542元/平"
业主诚心出售，看房方便，有意者随时可以看房,三远大爱城 -灿邦,3室2厅 | 88.07平米 | 南 北 | 毛坯 | 32层  | 板塔结合,0人关注 / 6天以前发布,88,"9,993元/平"
满五唯一，无个税，彩虹城简装三房，天虹，大润发相伴,中天彩虹城南区 -开城大润发,3室2厅 | 97.13平米 | 南 | 简装 | 30层  | 板塔结合,2人关注 / 8天以前发布,90,"9,266元/平"
方直星耀国际 4室2厅 南 北,方直星耀国际 -河南岸,4室2厅 | 128平米 | 南 北 | 其他 | 中楼层(共31层)  | 板塔结合,0人关注 / 5天以前发布,218,"17,032元/平"
南北通透双阳台 精装大四房 十月花 业主诚意出售,十月花花园 -大亚湾中心区,4室2厅 | 131.11平米 | 南 北 | 精装 | 33层  | 板塔结合,0人关注 / 21天以前发布,122,"9,306元/平"
精装三房 一楼带花园 红本在手  配套成熟 无个税！,铁湖七村 -开城大润发,3室2厅 | 95平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合,1人关注 / 21天以前发布,48,"5,053元/平"
淡水新天虹大润发旁 彩虹城大三房带两卫 笋盘诚意出售,中天彩虹城北区 -开城大润发,3室2厅 | 114.23平米 | 南 | 毛坯 | 31层  | 板塔结合,0人关注 / 26天以前发布,110,"9,630元/平"
临深大社区 精装5房 红本在手 税少,龙光城北三期 -龙光城,5室2厅 | 120.99平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,1人关注 / 28天以前发布,176,"14,547元/平"
业主急 售 灿邦商圈旁 南北通精装四房2卫,十月花花园 -大亚湾中心区,4室2厅 | 131.08平米 | 南 北 | 精装 | 33层  | 板塔结合,1人关注 / 29天以前发布,138,"10,528元/平"
满五唯一，朝南无遮挡，采光好，业主诚意出售,星河丹堤F区 -南站新城,3室2厅 | 88.47平米 | 南 | 精装 | 34层  | 板塔结合,0人关注 / 17天以前发布,143,"16,164元/平"
南北通透客厅双阳台前后看花园 诚意出售 看房方便。,星河丹堤G区 -南站新城,5室2厅 | 124.64平米 | 南 北 | 精装 | 34层  | 板塔结合,0人关注 / 28天以前发布,228,"18,293元/平"
金山湖中海凯旋城六期看花园中高楼层三房,中海凯旋城五六期 -河南岸,3室2厅 | 88.11平米 | 南 | 毛坯 | 31层  | 板塔结合,0人关注 / 20天以前发布,122,"13,847元/平"
此房高拓户型，中间楼层，无个无增，看沙池，很安静,星河丹堤V区 -南站新城,4室2厅 | 109.9平米 | 北 南 | 毛坯 | 34层  | 板塔结合,0人关注 / 7天以前发布,161,"14,650元/平"
业主急售 随时可以签 方便看房,碧桂园太东公园上城四区 -灿邦,3室2厅 | 109.11平米 | 南 北 | 简装 | 30层  | 板塔结合,0人关注 / 6天以前发布,130,"11,915元/平"
中洲央筑花园 5室3厅 南,中洲央筑花园 -河南岸,5室3厅 | 166.76平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,2人关注 / 3个月以前发布,403.5,"24,197元/平"
精装叠墅，带两个车位，上下三层，业主诚心出售,山水江南 -河南岸,6室3厅 | 256.91平米 | 东南 | 精装 | 5层  | 塔楼,19人关注 / 8个月以前发布,225,"8,758元/平"
轻轨旁 公园里 诚心出售 看房有钥匙,華邦·首府 -仲恺,4室2厅 | 112.91平米 | 南 北 | 简装 | 高楼层(共29层)  | 板塔结合,0人关注 / 15天以前发布,95,"8,414元/平"
灿邦旁，大爱城，南北通3房，满五唯一税少，全新装修,三远大爱城 -灿邦,3室2厅 | 92.71平米 | 南 | 精装 | 32层  | 板塔结合,0人关注 / 18天以前发布,101,"10,895元/平"
业主诚心出售，户型方正，看花园，适合居家,三远大爱城 -灿邦,3室2厅 | 104.93平米 | 北 | 毛坯 | 32层  | 板塔结合,0人关注 / 11天以前发布,105,"10,007元/平"
星河丹堤 南站百万大盘 中高楼层 视野开阔 无增值税,星河丹堤V区 -南站新城,4室2厅 | 110.91平米 | 南 | 毛坯 | 34层  | 板塔结合,2人关注 / 17天以前发布,175,"15,779元/平"
20万全新未住装修，拎包入住，红本在手，中间栋,德洲中心城 -大亚湾中心区,3室2厅 | 116.23平米 | 南 | 精装 | 28层  | 板塔结合,2人关注 / 17天以前发布,109,"9,378元/平"
市政广场旁边，高档大型花园小区，户型方正，价格优惠,丽江花园南区 -区政府,2室1厅 | 90.5平米 | 南 | 简装 | 18层  | 板塔结合,0人关注 / 12天以前发布,86,"9,503元/平"
万达旁 儿童公园旁 碧桂园 精装修 朝南 拎包入住,碧桂园龙熹山 -万达,3室2厅 | 94.78平米 | 南 | 精装 | 34层  | 板塔结合,0人关注 / 10天以前发布,119,"12,556元/平"
石湾新城区蓝湾半岛朝南毛坯大三房诚意出售,蓝湾半岛(博罗) -博罗临莞,3室2厅 | 107.27平米 | 东南 | 毛坯 | 23层  | 塔楼,0人关注 / 12天以前发布,102,"9,509元/平"
此房户型方正 楼层好 户型使用率高,爱顿第三季 -万达,2室2厅 | 81.98平米 | 南 | 毛坯 | 24层  | 板塔结合,0人关注 / 5天以前发布,55,"6,709元/平"
保利香槟颂  配套成熟 生活便利业主诚心出售,保利香槟颂 -区政府,3室1厅 | 88.71平米 | 东南 | 毛坯 | 33层  | 板塔结合,2人关注 / 15天以前发布,95,"10,710元/平"
坪山河旁，临深四房南北通透，户型方正，视野采光好,锦河湾 -西区新寮,4室2厅 | 98.24平米 | 南 北 | 毛坯 | 34层  | 板塔结合,0人关注 / 9天以前发布,102,"10,383元/平"
地铁口次新房大社区中间楼层好栋数视野开阔购房成本低,碧桂园深荟花园 -白云新城,3室2厅 | 92.32平米 | 南 | 精装 | 31层  | 塔楼,1人关注 / 13天以前发布,140,"15,165元/平"
