标题,开发商,房子信息,发布信息,售价/万,单价
世纪城五区 好楼层 南北通透 精装修 可贷款,世纪城▪五区 -市区商圈,3室2厅 | 127平米 | 南 北 | 其他 | 高楼层(共26层)  | 板楼,0人关注 / 15天以前发布,186,"14,646元/平"
世纪城·承泽府 3室2厅 南 北,世纪城·承泽府 -市区商圈,3室2厅 | 148.86平米 | 南 北 | 其他 | 低楼层(共27层)  | 板楼,0人关注 / 10天以前发布,198,"13,302元/平"
业主急售方正三居位置优越 配套成熟,榆州新城南区二号 -平泉市,3室2厅 | 100平米 | 东 西 | 其他 | 高楼层(共12层)  | 暂无数据,0人关注 / 8天以前发布,72,"7,200元/平"
兴隆天瑞城二期三阳开泰户型，单价6500,天瑞城 -兴隆县,3室2厅 | 110平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 7天以前发布,72,"6,546元/平"
兴隆·碧桂园 3室1厅 南 北,兴隆·碧桂园 -兴隆县,3室1厅 | 128.05平米 | 南 北 | 其他 | 高楼层(共15层)  | 暂无数据,0人关注 / 5天以前发布,110,"8,591元/平"
迎宾佳苑，精装修大三居，全天采光无遮挡，本二年。,迎宾佳苑A区 -市区商圈,3室2厅 | 146平米 | 南 北 | 其他 | 低楼层(共34层)  | 暂无数据,0人关注 / 4天以前发布,125,"8,562元/平"
和润朗园 3室2厅 南 北,和润朗园 -开发区商圈,3室2厅 | 131平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,0人关注 / 3天以前发布,97,"7,405元/平"
兴隆县城集荣丽景两居改三居豪放出售,集荣丽景 -兴隆县,3室1厅 | 91.45平米 | 南 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 6天以前发布,60,"6,561元/平"
丹霞园 2室2厅 南,丹霞园 -未知商圈,2室2厅 | 118.64平米 | 南 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 3天以前发布,115,"9,694元/平"
136平米145万三室两厅一厨一卫,佟王府小区 -市区商圈,3室2厅 | 136平米 | 南 北 | 精装 | 中楼层(共9层)  | 暂无数据,0人关注 / 12天以前发布,145,"10,662元/平"
兴隆秀水小区，次顶层，南北通透二居，全天采光。,燕隆秀水小区 -兴隆县,2室1厅 | 83.44平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 4天以前发布,60,"7,191元/平"
冀东花园一居室 精装修 采光好 价位合理,冀东花园 -市区商圈,1室1厅 | 50平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,0人关注 / 6天以前发布,52,"10,400元/平"
世纪城承泽府，中式精装，实木家具，好位置,世纪城·承泽府 -市区商圈,3室2厅 | 144平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 26天以前发布,249,"17,292元/平"
精装小两室，可拎包入住，看房方便方便,嘉和广场 -市区商圈,2室1厅 | 87平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 21天以前发布,87,"10,000元/平"
御龙瀚府南北通透两居室中间层采光好本二年,御龍瀚府 -开发区商圈,2室2厅 | 108平米 | 南 北 | 其他 | 中楼层(共27层)  | 板塔结合,0人关注 / 13天以前发布,88,"8,149元/平"
急售凤凰御景三居室南北通透三阳开泰采光无遮挡,凤凰御景 -开发区商圈,3室2厅 | 132.64平米 | 南 北 | 其他 | 高楼层(共17层)  | 板塔结合,0人关注 / 11天以前发布,120,"9,048元/平"
鹏鸣 3室1厅 南 北,鹏鸣 -兴隆县,3室1厅 | 133.89平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 12天以前发布,100,"7,469元/平"
凤凰御苑两居室 96平85万 前排 采光无遮挡,凤凰御苑 -开发区商圈,2室2厅 | 96平米 | 南 | 精装 | 中楼层(共20层)  | 暂无数据,0人关注 / 11天以前发布,85,"8,855元/平"
长安小区 二楼 三阳开泰户型  楼层好 老房本 税费少,长安小区一期 -市区商圈,3室2厅 | 131.22平米 | 南 北 | 其他 | 低楼层(共8层)  | 暂无数据,0人关注 / 13天以前发布,106,"8,079元/平"
和润新城  精装三居 中间楼层 看房方便,和润新城 -开发区商圈,3室2厅 | 127平米 | 南 北 | 其他 | 中楼层(共28层)  | 板塔结合,0人关注 / 13天以前发布,128,"10,079元/平"
旧粮市北山毛坯大三室 房子可贷款,旧粮市北山小区 -市区商圈,3室2厅 | 113.37平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 2个月以前发布,90,"7,939元/平"
前排带100平大露台 好房推荐 满五,世纪城三区 -市区商圈,3室2厅 | 139.05平米 | 南 北 | 精装 | 低楼层(共25层)  | 塔楼,1人关注 / 2个月以前发布,200,"14,384元/平"
福地华园 2室2厅 南 北,福地华园 -市区商圈,2室2厅 | 84.37平米 | 南 北 | 其他 | 中楼层(共33层)  | 暂无数据,1人关注 / 12天以前发布,80,"9,483元/平"
山庄旁 观景房 武烈河 金龙购物广场 配套齐全,龙泉山庄小区 -市区商圈,3室2厅 | 97平米 | 南 北 | 其他 | 中楼层(共10层)  | 暂无数据,0人关注 / 11天以前发布,87,"8,970元/平"
世纪城一区出售三室两厅两卫.看房提前联系,承德·世纪城 -市区商圈,3室2厅 | 117平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,181,"15,471元/平"
此房满五唯一，税低；南北通透格局好，楼层好,至尊门第 -兴隆县,3室2厅 | 110平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,3人关注 / 9个月以前发布,82,"7,455元/平"
鸿时利和 三室毛坯可随意装修 房主急售,鸿时利和 -市区商圈,3室2厅 | 114平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 塔楼,0人关注 / 5个月以前发布,80,"7,018元/平"
急售急售畅园前排精装修可拎包入住中间层采光好,和润新城畅园 -开发区商圈,2室2厅 | 89平米 | 南 | 其他 | 高楼层(共27层)  | 板塔结合,0人关注 / 6天以前发布,73,"8,203元/平"
兴隆鹏鸣二居满五唯一精装修，好楼层。,鹏鸣 -兴隆县,2室1厅 | 65.99平米 | 南 | 其他 | 中楼层(共20层)  | 暂无数据,0人关注 / 5天以前发布,48,"7,274元/平"
福地华园 2室2厅 南,福地华园 -市区商圈,2室2厅 | 82.59平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 5天以前发布,75,"9,082元/平"
世纪城三区 2室2厅 南,世纪城三区 -市区商圈,2室2厅 | 95平米 | 南 | 其他 | 中楼层(共25层)  | 塔楼,0人关注 / 4天以前发布,135,"14,211元/平"
天泽嘉园 2室1厅 南 北,天泽嘉园 -市区商圈,2室1厅 | 86.25平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 4天以前发布,105,"12,174元/平"
天泽嘉园精装两居室 户型方正业主诚售,天泽嘉园 -市区商圈,2室1厅 | 83.9平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 7天以前发布,105,"12,515元/平"
世纪城三区 2室2厅 南,世纪城三区 -市区商圈,2室2厅 | 96平米 | 南 | 其他 | 高楼层(共28层)  | 塔楼,0人关注 / 4天以前发布,138,"14,375元/平"
和润新城畅园 2室2厅 南,和润新城畅园 -开发区商圈,2室2厅 | 98.48平米 | 南 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 3天以前发布,70,"7,109元/平"
出售南园西组团大两居  南北通透 全天采光,南园西组团 -市区商圈,2室2厅 | 64平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 3天以前发布,64,"10,000元/平"
武阳丽园精装一居室好楼层采光无遮挡,武阳丽园 -开发区商圈,1室1厅 | 58平米 | 南 西 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 2天以前发布,45,"7,759元/平"
海棠苑 经典大三居 高层 采光好 带地下室,阳光四季城海棠苑 -开发区商圈,3室2厅 | 123.44平米 | 南 北 | 其他 | 高楼层(共24层)  | 暂无数据,0人关注 / 31天以前发布,110,"8,912元/平"
丽水二期.一层有小院.南北通透.全天采光,兴盛·丽水南区 -市区商圈,3室2厅 | 146平米 | 南 北 | 其他 | 低楼层(共4层)  | 暂无数据,0人关注 / 26天以前发布,430,"29,453元/平"
户型方正 采光好 业主诚心出售 周 边配套齐全,名苑山庄 -市区商圈,3室2厅 | 115平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,0人关注 / 18天以前发布,130,"11,305元/平"
桃李街一中家属楼    南北三居室 平地不上坡,承德一中家属院 -市区商圈,3室1厅 | 78平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 20天以前发布,92,"11,795元/平"
乾正家园 前排无遮挡 南北三居室 看房随时有钥匙 急售,乾正家园 -开发区商圈,3室2厅 | 130平米 | 南 北 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 27天以前发布,96,"7,385元/平"
御龙瀚府精装大两居好楼层房本满二年拎包入住采光好,御龍瀚府 -开发区商圈,2室2厅 | 103.09平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,1人关注 / 21天以前发布,88,"8,537元/平"
兴隆县城.隆湾帝园经典三居室好房出售,隆湾帝园A区 -兴隆县,3室1厅 | 98.78平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 18天以前发布,72,"7,289元/平"
御龙瀚府精装南向两室改的小三居,御龍瀚府 -开发区商圈,3室1厅 | 101.53平米 | 南 | 其他 | 低楼层(共25层)  | 板塔结合,0人关注 / 26天以前发布,99,"9,751元/平"
世纪城华园南北正房采光好前边无遮挡交通方便,福地华园西区 -市区商圈,3室2厅 | 141平米 | 南 北 | 其他 | 高楼层(共25层)  | 板楼,0人关注 / 18天以前发布,179,"12,696元/平"
万华小区 多层步梯楼房 南北向 可贷款,万华·新世界 -市区商圈,2室1厅 | 70.03平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 6个月以前发布,45,"6,426元/平"
出售小北沟工行家属楼 南北通透全天采光老本可贷款,小北沟工行家属楼 -市区商圈,2室2厅 | 72.69平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 18天以前发布,70,"9,630元/平"
户型方正 视野宽阔 配套设施齐全房本是新本,福地华园西区 -市区商圈,2室2厅 | 103.18平米 | 南 | 其他 | 低楼层(共25层)  | 板楼,0人关注 / 27天以前发布,118,"11,437元/平"
开发区 和润新城 南北三居室 精装修 没住过 有钥匙 急,和润新城畅园 -开发区商圈,3室2厅 | 135平米 | 南 北 | 其他 | 高楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,115,"8,519元/平"
世纪城一期3居室南北通透房本5年可贷款看房方便,承德·世纪城 -市区商圈,3室2厅 | 119平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,3人关注 / 7个月以前发布,130,"10,925元/平"
此房是现在空置 精装修   .. 但是很温馨的 .如图所示,承德·世纪城 -市区商圈,3室2厅 | 135.9平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,2人关注 / 7个月以前发布,190,"13,981元/平"
锦绣城一区 精装修 复式房 南北通透 有大露台 地下室,锦绣城一区 -双滦区,2室2厅 | 95.6平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,65,"6,800元/平"
兴隆开发区三居，装修精美，出门坐车到北京方便,至尊门第 -兴隆县,3室2厅 | 121.6平米 | 南 北 | 其他 | 中楼层(共28层)  | 暂无数据,1人关注 / 4个月以前发布,86,"7,073元/平"
世纪城商圈 南北通透 好楼层 毛坯随意装修 可贷款,福地华园西区 -市区商圈,3室2厅 | 134.93平米 | 南 北 | 其他 | 低楼层(共24层)  | 板塔结合,0人关注 / 3个月以前发布,165,"12,229元/平"
兴隆财富九龙城三居室，中等装修，楼层好,财富九龙城 -兴隆县,3室2厅 | 92平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,1人关注 / 2个月以前发布,70,"7,609元/平"
此房是老房本，临竹林寺，精装两居室，位置优越,工行家属院 -市区商圈,2室1厅 | 63.85平米 | 东 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 18天以前发布,85,"13,313元/平"
碧峰家园二区 1室1厅 南,碧峰家园二区 -市区商圈,1室1厅 | 52.68平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 13天以前发布,50,"9,492元/平"
竹林寺南北通透中间，去哪都方便，采光好,竹林寺小区 -市区商圈,2室2厅 | 73.2平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 18天以前发布,82,"11,203元/平"
卧龙山庄，平地没坡，毛坯随意装修，看房方便,承德卧龙山庄 -开发区商圈,2室1厅 | 65平米 | 南 | 毛坯 | 高楼层(共22层)  | 暂无数据,0人关注 / 11天以前发布,39,"6,000元/平"
隆湾帝园A区 2室1厅 南 北,隆湾帝园A区 -兴隆县,2室1厅 | 75.96平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 11天以前发布,48,"6,320元/平"
阳光四季城海棠苑 2室2厅 南 北,阳光四季城海棠苑 -开发区商圈,2室2厅 | 95平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 13天以前发布,95,"10,000元/平"
梧桐苑南北双通透好楼层采光不遮挡房本满两年过户费低,阳光四季城梧桐苑 -开发区商圈,2室2厅 | 100平米 | 南 北 | 其他 | 低楼层(共24层)  | 暂无数据,0人关注 / 9天以前发布,85,"8,500元/平"
会龙山小区 三居 格局合理 可贷款 南北通透,会龙山小区 -市区商圈,3室2厅 | 103.6平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,80,"7,723元/平"
世纪城三居 电梯中层 南向两居 采光充足  临河观景,世纪城三区 -市区商圈,2室2厅 | 96平米 | 南 | 其他 | 中楼层(共24层)  | 塔楼,1人关注 / 一年前发布,138,"14,375元/平"
丽水二期 精装两居 南北通透 采光充足 带露台,兴盛·丽水南区 -市区商圈,2室2厅 | 97平米 | 南 北 | 精装 | 高楼层(共4层)  | 暂无数据,1人关注 / 一年前发布,208,"21,444元/平"
和润新城平地不上坡，南北通透三居室，采光好户型好。,和润新城 -开发区商圈,4室2厅 | 145平米 | 南 北 | 简装 | 中楼层(共28层)  | 暂无数据,0人关注 / 3个月以前发布,110,"7,587元/平"
11+12 阁楼阁楼面积与楼下一样大小 尾款28W左右,华墅庄园 -平泉市,4室2厅 | 156.2平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,13人关注 / 10个月以前发布,68,"4,354元/平"
世纪城一区 14跃15复式 临河观景 户型方正 有阳光房,承德·世纪城 -市区商圈,4室2厅 | 130.64平米 | 南 | 精装 | 高楼层(共14层)  | 板楼,0人关注 / 2个月以前发布,160,"12,248元/平"
业主置换诚意卖，电梯小高层，一区少见三阳开泰户型,承德·世纪城 -市区商圈,3室2厅 | 121.9平米 | 南 北 | 精装 | 中楼层(共9层)  | 板塔结合,2人关注 / 一年前发布,180,"14,767元/平"
临河观景 有露台 顶层复式  空中别墅的居住体验,承德·世纪城 -市区商圈,4室2厅 | 210平米 | 南 北 | 简装 | 高楼层(共14层)  | 板楼,4人关注 / 一年前发布,275,"13,096元/平"
火车站  武阳花园小区平地无破适合  各种人群,武阳花园 -市区商圈,3室2厅 | 127平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,120,"9,449元/平"
世纪城三期 全明165平好华装修4室带2地下车位观河景房,世纪城三区 -市区商圈,4室2厅 | 165平米 | 南 北 | 精装 | 高楼层(共24层)  | 塔楼,2人关注 / 7个月以前发布,390,"23,637元/平"
电梯小高层 精装修婚房   没咋住过     老本可贷款,世纪城二区 -市区商圈,3室2厅 | 133.32平米 | 南 北 | 精装 | 中楼层(共11层)  | 塔楼,8人关注 / 一年前发布,179,"13,427元/平"
世纪城一区  步梯二楼 三阳开泰户型  一梯两户 公摊小,承德·世纪城 -市区商圈,3室2厅 | 115.9平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,153,"13,202元/平"
南园户型通透户型大三居 平地不上坡，位置好,南园西组团 -市区商圈,3室1厅 | 97平米 | 东 南 西 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,85,"8,763元/平"
急售南向毛坯大两居，价格合适，谁买谁合适。,御龍瀚府 -开发区商圈,2室2厅 | 105平米 | 南 | 毛坯 | 低楼层(共27层)  | 板塔结合,4人关注 / 7个月以前发布,78,"7,429元/平"
西组团 平地不上坡 交通便利 全天采光不遮挡,南园西组团 -市区商圈,3室1厅 | 98.97平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,3人关注 / 8个月以前发布,60,"6,063元/平"
诚心出售世纪城西区103平两室,福地华园西区 -市区商圈,2室1厅 | 103平米 | 南 | 毛坯 | 高楼层(共23层)  | 塔楼,3人关注 / 一年前发布,118,"11,457元/平"
中兴路小区 中间楼层 精装修 满五唯一可贷款,中兴路小区 -市区商圈,2室1厅 | 47.36平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,50,"10,558元/平"
德生大厦 2室1厅 南,德生大厦 -市区商圈,2室1厅 | 62平米 | 南 | 其他 | 中楼层(共25层)  | 暂无数据,0人关注 / 23天以前发布,42,"6,775元/平"
商圈齐全，买东西方便，出行方便，电梯房,承铁家园 -市区商圈,1室1厅 | 64.44平米 | 南 | 其他 | 高楼层(共10层)  | 暂无数据,0人关注 / 18天以前发布,34,"5,277元/平"
和润朗园 南北通透 中间层 采光好,和润朗园 -开发区商圈,2室2厅 | 98平米 | 南 北 | 其他 | 高楼层(共17层)  | 板塔结合,0人关注 / 18天以前发布,65,"6,633元/平"
碧麓嘉园 交通便利 出行方便 采光好 无遮挡 可贷款,碧麓嘉园 -市区商圈,2室2厅 | 68平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 29天以前发布,47,"6,912元/平"
户型好采光充足，小区环境好，购物方便,阳光四季城梧桐苑 -开发区商圈,2室2厅 | 95平米 | 南 | 其他 | 中楼层(共24层)  | 暂无数据,0人关注 / 25天以前发布,80,"8,422元/平"
房子采光好，户型好，中间楼层。,御龍瀚府 -开发区商圈,2室2厅 | 105平米 | 南 | 其他 | 高楼层(共25层)  | 板塔结合,0人关注 / 17天以前发布,86,"8,191元/平"
