标题,开发商,房子信息,发布信息,售价/万,单价
房东诚心出售，带储藏，带车位。。。,中天景悦府 -开发区,3室2厅 | 120.47平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 6天以前发布,435,"36,109元/平"
万科精装2房 采光视线佳 楼层好 看房方便拎包入住,万科魅力花园 -花桥,2室2厅 | 66.6平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,1人关注 / 7天以前发布,140,"21,022元/平"
春漪园，6个房间，家庭人多的看过来啊！带有车库！,春漪园 -金鹰,6室3厅 | 204.38平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 13天以前发布,255,"12,477元/平"
此房精装修，诚心出售，直接拎包入住，还带个车库哦。,善景园 -千灯,3室2厅 | 105.85平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 7天以前发布,143,"13,510元/平"
房子这边满两年空关 未住过人 三开间朝南 大阳台,中南世纪城(昆山) -开发区,4室2厅 | 143.1平米 | 南 北 | 精装 | 5层  | 塔楼,0人关注 / 5天以前发布,400,"27,953元/平"
此房户型方正，楼层好，南北通风，中上楼层车位另卖,颐景园 -周市,3室2厅 | 100.18平米 | 南 北 | 精装 | 中楼层(共26层)  | 塔楼,0人关注 / 7天以前发布,240,"23,957元/平"
淀山湖花园大两房，中间楼层  采光充足，带车库满二,淀山湖花园C区（乐苑） -淀山湖,2室2厅 | 86.22平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,138,"16,006元/平"
地铁口，大两房。诚心出售，有钥匙，看房随时,建滔裕景园 -开发区,2室2厅 | 81.55平米 | 南 | 简装 | 高楼层(共34层)  | 塔楼,0人关注 / 8天以前发布,170,"20,847元/平"
礼和苑人车分流，99平，带储藏室。,礼和苑 -玉山高新区,2室2厅 | 99.05平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,1人关注 / 7天以前发布,140,"14,135元/平"
万科总高9层洋房一梯两户南北通，满五唯一少税,万科魅力花园 -花桥,3室2厅 | 89平米 | 南 北 | 精装 | 低楼层(共9层)  | 板塔结合,1人关注 / 10天以前发布,193,"21,686元/平"
万科精装修江景三房诚心出售，视野开阔阳光刺眼,万科魅力花园 -花桥,3室1厅 | 82.45平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 9天以前发布,180,"21,832元/平"
城东人气小区，中南明星户型，满5唯一，户型好厨房大,中南世纪城(昆山) -开发区,4室2厅 | 112.16平米 | 南 | 简装 | 低楼层(共33层)  | 板塔结合,0人关注 / 8天以前发布,245,"21,844元/平"
花苑新村（花桥） 2室1厅 南 北,花苑新村（花桥） -花桥,2室1厅 | 79.5平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 4天以前发布,142,"17,862元/平"
世茂东壹号 3室2厅 南,世茂东壹号 -开发区,3室2厅 | 107.74平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 5天以前发布,213,"19,770元/平"
绿地滨江汇 全南户型 精装全配  业主急售 随时看房,滨江汇 -花桥,3室2厅 | 87.68平米 | 南 | 精装 | 34层  | 塔楼,1人关注 / 10天以前发布,202.5,"23,096元/平"
此房满二年，配套设施完善，门口自带幼儿园。,黄城花园西区 -花桥,3室2厅 | 137.97平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 7天以前发布,191,"13,844元/平"
电梯洋房景观楼层满五唯一税费少 纯毛坯,韵湖国际 -淀山湖,3室2厅 | 84.07平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,0人关注 / 8天以前发布,145,"17,248元/平"
衡山城精装修三房两卫，边套满两年可当婚房,衡山城国际花园 -玉山城南,3室2厅 | 134.89平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 7天以前发布,285,"21,129元/平"
胜利小区 三室两厅二卫 采光好 带车库,胜利新村 -玉山城北,3室2厅 | 104.08平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 7天以前发布,141,"13,548元/平"
朝阳新村业主急售，好楼层，经典三房适合陪读，有车库,朝阳新村 -葛江,3室1厅 | 73.76平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 4天以前发布,238,"32,267元/平"
兆丰地铁站站旁 启航社河东 满5唯一 精装2房 户型方正,启航社河东 -花桥,2室2厅 | 70.42平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,2人关注 / 1个月以前发布,155,"22,011元/平"
洋房！精装修保养好，品牌家电家具，满两年！,祥瑞香逸尚城 -花桥,3室2厅 | 83.39平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 19天以前发布,220,"26,383元/平"
精装大3房2卫，全新婚房装修，一天未住,海上印象 -张浦,3室2厅 | 117.11平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,4人关注 / 25天以前发布,190,"16,225元/平"
黄浦君庭 3室1厅 南,黄浦君庭 -千灯,3室1厅 | 91.35平米 | 南 | 精装 | 高楼层(共16层)  | 板塔结合,0人关注 / 18天以前发布,139.5,"15,271元/平"
急售大鱼湾智谷小镇旁 精装修三房 拎包入住 配套齐全,神州通城西印象 -巴城,3室2厅 | 94.32平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,2人关注 / 23天以前发布,157.5,"16,699元/平"
可逸兰亭 南北双阳台三房 精装全配 好户型采光无遮挡,可逸兰亭 -花桥,3室1厅 | 93.36平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 29天以前发布,172.8,"18,509元/平"
电梯洋房景观楼层，三房148万，税费少,韵湖国际 -淀山湖,3室1厅 | 84.07平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,2人关注 / 31天以前发布,146,"17,367元/平"
万科魅力花园 3室2厅 南,万科魅力花园 -花桥,3室2厅 | 88.3平米 | 南 | 精装 | 中楼层(共41层)  | 板塔结合,0人关注 / 29天以前发布,178,"20,159元/平"
明星楼盘+王炸户型+满五唯一+钻石楼层+地铁口50米,棕榈湾 -花桥,4室2厅 | 122.42平米 | 南 | 毛坯 | 中楼层(共29层)  | 板楼,4人关注 / 16天以前发布,309,"25,241元/平"
光大花园  多层二楼上下楼 很方便 随时看,光大花园 -周市,3室2厅 | 111.16平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 25天以前发布,203,"18,262元/平"
繁华里 全新精装三房 中上楼层 采光视野都好 满二税少,繁华里 -花桥,3室2厅 | 89.47平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,3人关注 / 26天以前发布,208,"23,249元/平"
全新装修，中 ，央空调！随时看房！,碧悦湾 -张浦,3室2厅 | 123.58平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,1人关注 / 23天以前发布,195,"15,780元/平"
此房满五税少 毛坯通透户型 位置好是你置换的首要选择,罗马假日 -玉山城西,3室2厅 | 109.82平米 | 南 | 简装 | 低楼层(共11层)  | 塔楼,0人关注 / 22天以前发布,220,"20,033元/平"
品质社区，小区前排，银都保利旁，满五年 省个税,裕花园张浦 -张浦,3室2厅 | 102.24平米 | 南 | 简装 | 低楼层(共27层)  | 塔楼,0人关注 / 13天以前发布,155,"15,161元/平"
万达商圈  景观层，  采光好  户型方正 有钥匙,江南明珠苑 -周市,3室2厅 | 132.14平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 14天以前发布,285,"21,569元/平"
黄城花园东区 大三房南北通 高楼层 诚心卖 看房有钥匙,黄城花园东区 -花桥,3室2厅 | 148.84平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 3天以前发布,214.8,"14,432元/平"
世茂东一号精装大三房 户型方正 采光充足 诚心出售,世茂东壹号 -开发区,3室1厅 | 135.29平米 | 南 | 精装 | 高楼层(共22层)  | 塔楼,0人关注 / 10天以前发布,269,"19,884元/平"
好户型，好楼层诚心出售看房方便,绿地21新城 -开发区,3室1厅 | 110.2平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 5天以前发布,210,"19,057元/平"
满五唯一，采光充足，交通便利，万达商圈。,凤凰城 -周市,2室1厅 | 61.15平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 6天以前发布,89,"14,555元/平"
万科精装小三房，业主自住的品牌家具家电，带车位,万科万悦花园 -周市,3室2厅 | 91.9平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,0人关注 / 9天以前发布,190,"20,675元/平"
满5唯一品质小区正三房 年底急卖网上浏览不如实地一看,华德力公园壹号 -张浦,3室2厅 | 97.6平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,1人关注 / 8天以前发布,120,"12,296元/平"
总高11层小洋房，精装全配带车位 好楼层，诚意出售,可逸兰亭 -花桥,3室1厅 | 90.45平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,2人关注 / 11天以前发布,197,"21,780元/平"
鑫苑国际城市花园大两房，婚房装修，拎包入住。,鑫苑国际城市花园(昆山市) -花桥,2室1厅 | 88.98平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,30人关注 / 5天以前发布,155,"17,420元/平"
满五年，一楼带花园，看房方便，三房精装修，诚心出售,浦江北新村 -张浦,3室1厅 | 74.44平米 | 南 | 精装 | 低楼层(共5层)  | 暂无数据,0人关注 / 8天以前发布,90,"12,091元/平"
钢峰新村三房两厅一卫 房内使用面积 很大  诚售,钢峰新村 -千灯,3室2厅 | 67.19平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 3天以前发布,70.5,"10,493元/平"
绿地21新城，精装修25万，实用3房，保养全新随时看房,绿地21新城 -开发区,3室2厅 | 89.79平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 9天以前发布,185,"20,604元/平"
江景房，位置好，精装地暖，楼层好，采光刺眼一*流。,雍景湾 -葛江,4室2厅 | 146.71平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 8天以前发布,410,"27,947元/平"
房东上海房子已经看好急卖，价格美丽,绿地滨江雅苑 -花桥,4室2厅 | 158平米 | 南 北 | 精装 | 下叠(共6层)  | 板楼 | 叠拼别墅 ,11人关注 / 1个月以前发布,395,"25,000元/平"
滨江汇下叠300万装修，带花园带下室带车库,滨江汇 -花桥,5室3厅 | 328平米 | 南 | 精装 | 6层  | 塔楼,1人关注 / 2个月以前发布,999,"30,458元/平"
市政府地段 地铁口 现浇房 户型方正 3楼采光好 双阳台,夹浦新村 -金鹰,3室1厅 | 94.5平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 7天以前发布,173,"18,307元/平"
城北九方城商圈，精装三房  采光好 带大露台,富贵花园 -玉山城北,3室2厅 | 99.89平米 | 北 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 5天以前发布,216,"21,624元/平"
此房满二唯一，人车分流，出入方便，房东特诚心。,中南世纪城(昆山) -开发区,4室2厅 | 128.48平米 | 南 北 | 简装 | 高楼层(共34层)  | 板楼,0人关注 / 3天以前发布,265,"20,626元/平"
万科经典飞机户型，两梯两户，市面少有，业主诚售,万科魅力花园 -花桥,3室2厅 | 115平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 5天以前发布,285,"24,783元/平"
精装全配、诚心出售！满五年税费少、104 稀  有 边户,万科魅力花园 -花桥,3室2厅 | 104.84平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 13天以前发布,266,"25,372元/平"
含车库，户型优，有钥匙方便，满五年,罗马假日 -玉山城西,2室1厅 | 96.69平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3天以前发布,172,"17,789元/平"
公园壹号4期 中间楼层 房东急卖,公元壹号4期 -开发区,3室2厅 | 101.46平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 16天以前发布,225,"22,177元/平"
急售！纯边套中高楼层采光充足视野开阔 满二税少可刀,浦西玫瑰园 -花桥,3室2厅 | 86.45平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,0人关注 / 13天以前发布,230,"26,605元/平"
急售，价格可谈，中间楼层，采光刺眼，满2年，裕花园,千灯裕花园 -千灯,2室1厅 | 80.08平米 | 南 | 毛坯 | 低楼层(共26层)  | 塔楼,1人关注 / 14天以前发布,96,"11,989元/平"
九方商圈.精品三房.两房首付买三房.你还在等什么,满庭芳花园 -玉山城北,3室2厅 | 106.43平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 1天以前发布,170,"15,973元/平"
A5区好楼层，带车库，房东急卖的，看房随时,蓬曦园A5区 -蓬朗（开发区）,2室2厅 | 94.34平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 6天以前发布,146,"15,476元/平"
南北通透，好楼层150万精装修，房东靠谱，好看房,千灯裕花园 -千灯,3室2厅 | 116.65平米 | 南 北 | 精装 | 中楼层(共27层)  | 塔楼,2人关注 / 14天以前发布,150,"12,859元/平"
楼层好 户型佳 全面采光 业主诚意出售,明鑫凯迪城 -玉山城西,2室2厅 | 86.51平米 | 南 | 简装 | 高楼层(共15层)  | 板楼,0人关注 / 7天以前发布,247.9,"28,656元/平"
万科万悦花园，精装修，三开间朝南、好楼层诚心出售！,万科万悦花园 -周市,3室2厅 | 95.16平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,0人关注 / 13天以前发布,182,"19,126元/平"
50万装修正气大四房东边套好楼层房东诚心出售,首创悦都 -蓬朗（开发区）,4室2厅 | 134.3平米 | 南 | 精装 | 34层  | 板楼,0人关注 / 11天以前发布,305,"22,711元/平"
此房边套   看房方便  采光好  多个窗户,枫景苑B区 -玉山城南,2室2厅 | 91.5平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 13天以前发布,148,"16,175元/平"
绿地21城D区 2室2厅 南,绿地21城D区 -花桥,2室2厅 | 88.76平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,2人关注 / 5天以前发布,192,"21,632元/平"
启航社河西  南北通两房 楼层好 诚意出售,启航社河西区 -花桥,2室2厅 | 75.68平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 3天以前发布,148,"19,557元/平"
新城香悦花园，带大阳台，楼层好，满五唯一洋房,新城香悦花园 -花桥,3室2厅 | 89.54平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 12天以前发布,241,"26,916元/平"
万科新小区 精装带家具家电 满两年 好楼层 三开间朝南,万科未来之城 -玉山高新区,3室1厅 | 90.3平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 28天以前发布,159,"17,608元/平"
首创悦都洋房，满2年省税看房方便，看中价钱可以谈。,首创悦都 -蓬朗（开发区）,3室2厅 | 92.58平米 | 南 北 | 毛坯 | 高楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,195,"21,063元/平"
新上房源 黄浦君庭大四房  有钥匙 看房提前约,黄浦君庭 -千灯,4室2厅 | 130.85平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 18天以前发布,198,"15,132元/平"
星汇兰亭 3室2厅 南,星汇兰亭 -花桥,3室2厅 | 87.82平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 19天以前发布,218,"24,824元/平"
满2年 无抵押 精装客厅朝南，诚心急售，娄江未用。,日月光伯爵大地鼎耀花园 -玉山城西,3室2厅 | 137.28平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 30天以前发布,455,"33,144元/平"
急卖，三开间朝南，今年新装修简欧风格，纯边套好楼层,绿地21新城 -开发区,3室2厅 | 123.09平米 | 南 北 | 精装 | 低楼层(共34层)  | 板塔结合,1人关注 / 28天以前发布,276,"22,423元/平"
精装小三房，看房提前约！诚心出售,景江花园 -青阳路,3室2厅 | 100.66平米 | 南 | 简装 | 高楼层(共10层)  | 平房,0人关注 / 29天以前发布,186,"18,479元/平"
电梯洋房，精装三房，满五唯一，诚意出售，钥匙看房。,绿地21城D区 -花桥,3室2厅 | 107.15平米 | 东南 | 精装 | 中楼层(共4层)  | 板塔结合,3人关注 / 22天以前发布,259,"24,172元/平"
港佳名苑，270度公园景观，可看公园全景,港佳名苑 -千灯,3室2厅 | 133.14平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板楼,1人关注 / 21天以前发布,195,"14,647元/平"
标准三房 南北通 好楼层好户型看房方便,大德世家 -周市,3室2厅 | 128.96平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,1人关注 / 27天以前发布,288,"22,333元/平"
精装修三房，景观楼层，刺眼的采光,森隆满园 -张浦,3室1厅 | 96.3平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 26天以前发布,147,"15,265元/平"
中南世纪城人车分流 南 北通透 周 边公园  值得推荐,中南世纪城(昆山) -开发区,3室2厅 | 117.59平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 29天以前发布,251,"21,346元/平"
香城湾花园洋房带电梯 一梯两户 满五唯一 楼层好！,常发香城湾四期 -花桥,3室2厅 | 94.44平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 26天以前发布,210,"22,237元/平"
全新装修，房东基本没有住过，全屋地暖，品牌家电,中南世纪城(昆山) -开发区,3室2厅 | 97.53平米 | 南 北 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 28天以前发布,198,"20,302元/平"
绿地中式别墅，精装全配，满五年唯一带车位，拎包入住,绿地21城E区 -花桥,4室2厅 | 166.68平米 | 北 | 精装 | 3层  | 板塔结合 | 联排别墅 ,0人关注 / 2个月以前发布,460,"27,598元/平"
珠江御景186平大平层，精装修自住房，满五年唯一,珠江御景花园 -开发区,4室2厅 | 186平米 | 南 | 精装 | 低楼层(共24层)  | 塔楼,0人关注 / 3个月以前发布,388,"20,861元/平"
