标题,开发商,房子信息,发布信息,售价/万,单价
润城小区126平大三房二卫南向房 证在手满五唯一,润城 -南亚,3室2厅 | 126.83平米 | 西南 | 简装 | 中楼层(共33层)  | 塔楼,0人关注 / 4天以前发布,145,"11,433元/平"
华夏四季 高品质精装洋房 电梯三楼 河边视野开阔,华夏四季 -度假区,4室2厅 | 201.19平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 7天以前发布,500,"24,853元/平"
满二次新小区 高层采光采阳 精装修 户型方正 环境优美,金地悦天下 -西山万达,3室2厅 | 91.91平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,1人关注 / 17天以前发布,140,"15,233元/平"
房子户型房子 精装修采光好无遮挡 东南向地铁口交通方,昆铁盛和家苑 -昆船,3室2厅 | 88.42平米 | 南 | 精装 | 低楼层(共34层)  | 塔楼,1人关注 / 15天以前发布,79,"8,935元/平"
急售产权证满2年精装修度假区近地铁万科银海泊岸洋房,万科银海泊岸 -度假区,3室2厅 | 111.43平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,4人关注 / 10天以前发布,169,"15,167元/平"
金沙小区南向好楼层房东急售此房,金沙小区 -金沙,3室2厅 | 86.73平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 13天以前发布,83,"9,570元/平"
地铁口 二环边 户型方正 实得多 大花园 业主诚售,银海森林 -巫家坝,3室2厅 | 106.43平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 8天以前发布,180,"16,913元/平"
茭菱路 茭菱公寓 三室两厅 南北通透 户型方正 急售,茭菱公寓 -丰宁,3室2厅 | 88.58平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 7天以前发布,112,"12,644元/平"
恒大名都商品房+4号线地铁口生活方便,昆明恒大名都西区 -高新,3室2厅 | 120.39平米 | 东南 | 精装 | 中楼层(共43层)  | 板塔结合,0人关注 / 25天以前发布,155,"12,875元/平"
滇池路 福海站地铁口 南亚风情精装两房急售,南亚风情第壹城星辰苑 -南亚,2室2厅 | 86.48平米 | 东南 | 精装 | 中楼层(共27层)  | 塔楼,0人关注 / 1个月以前发布,120,"13,877元/平"
巫家坝旁  世纪城商圈  海伦国际,海伦国际洛林区 -世纪城,2室2厅 | 91.82平米 | 东南 | 简装 | 低楼层(共33层)  | 塔楼,0人关注 / 27天以前发布,88,"9,584元/平"
此房户型方正  采光采阳好 房东诚心出售,瀚林澜山 -金沙,4室2厅 | 131.53平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,0人关注 / 26天以前发布,155,"11,785元/平"
昆一中 市体育馆旁 两室 户型方正 停车方便,云南省种子公司宿舍 -丰宁,2室2厅 | 55.89平米 | 东 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 17天以前发布,67,"11,988元/平"
南北通透业主诚心急售精装3房好房,华都花园B区 -大商汇,3室1厅 | 91.12平米 | 南 北 | 其他 | 中楼层(共15层)  | 板楼,1人关注 / 16天以前发布,127,"13,938元/平"
客厅朝向好，户型通透 ，，明厨明卫，采光采阳都好,东骧神骏 -金马,3室2厅 | 120.43平米 | 西南 | 精装 | 高楼层(共17层)  | 板楼,1人关注 / 26天以前发布,125,"10,380元/平"
万科经典3室证在手满两年有钥匙 视野开阔位置好急卖,万科魅力之城 -新亚洲,3室1厅 | 81.21平米 | 西 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 20天以前发布,93,"11,452元/平"
万科中天北宸 4室2厅 东南,万科中天北宸 -昆八中,4室2厅 | 126平米 | 东南 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 10天以前发布,167,"13,254元/平"
爱琴海 万达广场 广福城便宜3房 看房子方便,广福城怡福园 -大商汇,3室2厅 | 135平米 | 西北 | 毛坯 | 低楼层(共30层)  | 塔楼,1人关注 / 9天以前发布,125,"9,260元/平"
一楼带花园、一梯两户退台洋房房东急卖,枫林盛景(东区) -新亚洲,4室2厅 | 156.78平米 | 东南 | 精装 | 低楼层(共5层)  | 板楼,1人关注 / 2个月以前发布,210,"13,395元/平"
品质小区，端头房，南北通透，带车位急卖。,润城九重锦 -西山万达,4室2厅 | 146平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 塔楼,8人关注 / 8个月以前发布,245,"16,781元/平"
度假区跃层带露台，观西山滇池，单价1万3多,滇池卫城铂睿 -度假区,4室2厅 | 143.63平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,13人关注 / 3个月以前发布,195,"13,577元/平"
滇池会展畔 滇池边 金科江湖海143平米4房 端头房,金科江湖海 -滇池半岛,4室2厅 | 142.65平米 | 南 | 毛坯 | 18层  | 板楼,6人关注 / 一年前发布,228,"15,984元/平"
