标题,开发商,房子信息,发布信息,售价/万,单价
峰华花苑 4室2厅 南 北,峰华花苑 -银湖科技城,4室2厅 | 158.74平米 | 南 北 | 精装 | 11层  | 板楼,4人关注 / 14天以前发布,210,"13,230元/平"
4号线地铁口，滨江金色黎明，满五，开发商精装入住,金色黎明三期 -笕桥,3室2厅 | 138.92平米 | 南 | 精装 | 16层  | 塔楼,1人关注 / 7天以前发布,620,"44,631元/平"
没有增值税  边套一楼花园洋房  密度低 环境好,华元花涧堂 -临平新城,3室2厅 | 91.57平米 | 南 | 毛坯 | 8层  | 板楼,0人关注 / 7天以前发布,245,"26,756元/平"
房东诚售满五、跃层90方实得170方、视野开阔景观佳,顺发和美家 -钱江世纪城,5室2厅 | 90.03平米 | 南 | 简装 | 低楼层(共36层)  | 塔楼,4人关注 / 23天以前发布,530,"58,870元/平"
大平层 精装修自住 满五年  诚心出售,世茂江滨花园峻景湾 -沿江南,4室2厅 | 259.54平米 | 南 | 精装 | 33层  | 板塔结合,3人关注 / 14天以前发布,560,"21,577元/平"
青山湖科技城花园洋房低总价  近宝龙城市广场和16号线,杭氧和院 -青山湖科技城,3室1厅 | 120.15平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,2人关注 / 18天以前发布,160,"13,317元/平"
社保一个月可，佳源名城，中间楼层，小区中间位置,佳源名城 -崇贤,3室1厅 | 88.38平米 | 南 | 精装 | 25层  | 板楼,0人关注 / 5天以前发布,210,"23,762元/平"
房子中间楼层采光好 精装拎包入住 全明东边套,朝阳西路127号 -临平新城,3室1厅 | 72.2平米 | 南 | 精装 | 6层  | 板塔结合,0人关注 / 11天以前发布,145,"20,084元/平"
满五年，西边套，视野无遮挡，可以看到整个亚运公园,雍荣华庭 -申花,4室1厅 | 87.97平米 | 南 | 简装 | 30层  | 板楼,5人关注 / 11天以前发布,450,"51,154元/平"
纯东边套大面积，好楼层无遮挡，交通便利，看房方便,文苑风情 -高教园区西,4室1厅 | 149.68平米 | 南 | 简装 | 11层  | 板塔结合,2人关注 / 15天以前发布,350,"23,384元/平"
诚心卖 满二唯一 东边套 好位置 好楼层 视野无遮挡,汇高栢悦中心 -东湖,4室2厅 | 120.75平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 14天以前发布,355,"29,400元/平"
三墩老街好房，房东诚心出售，价格可谈,庙前街 -三墩,2室1厅 | 65.35平米 | 南 | 简装 | 6层  | 板楼,0人关注 / 11天以前发布,200,"30,605元/平"
中间楼层，南北通，三房全明东边套,和睦新村 -和睦,3室1厅 | 66.74平米 | 南 | 精装 | 7层  | 板楼,1人关注 / 9天以前发布,250,"37,459元/平"
文海刚需住宅，总价低，房东置换诚心出售,福雷德广场 -高教园区西,3室2厅 | 132.67平米 | 南 北 | 毛坯 | 20层  | 板塔结合,2人关注 / 12天以前发布,290,"21,859元/平"
此房满五唯一，楼层好，位置佳，诚心出售,杭州碧桂园 -大学城北,3室2厅 | 88.65平米 | 南 | 简装 | 33层  | 板楼,2人关注 / 14天以前发布,195,"21,997元/平"
满五年 双地铁口 金地广场西田城旁 南北通格局 诚心卖,铭雅苑东区 -三墩,2室2厅 | 84.67平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 7天以前发布,248,"29,291元/平"
春风里 中间楼层 装修清爽 大入户 满二唯一 诚心出售,竹海水韵春风里 -闲林,3室1厅 | 86.6平米 | 西南 | 精装 | 18层  | 板塔结合,1人关注 / 12天以前发布,240,"27,714元/平"
业主从新装修，全明户型，中间楼层，诚心出售，保养好,金地艺境东区 -乔司,3室2厅 | 87.93平米 | 南 | 精装 | 17层  | 板楼,2人关注 / 15天以前发布,245,"27,864元/平"
十亩田家园，沿河边2室1厅， 中间楼层，满5年，房龄新,十亩田家园 -复兴,2室1厅 | 46.86平米 | 南 | 简装 | 6层  | 板楼,0人关注 / 6天以前发布,186,"39,693元/平"
满二唯一，精装拎包入住，楼层好通风好视野好全天采光,万科名城博园 -勾庄,3室1厅 | 89平米 | 南 | 精装 | 30层  | 板塔结合,0人关注 / 14天以前发布,258,"28,989元/平"
红枫苑好房急售急急急、 三房边套户型、 满五年唯一,金世纪红枫苑 -东湖,3室2厅 | 100.3平米 | 南 | 简装 | 6层  | 板楼,0人关注 / 9天以前发布,180,"17,947元/平"
小区中间位置，满二唯一，价格好谈。,澜颂奥府 -萧山新城区,3室2厅 | 85.58平米 | 南 | 简装 | 27层  | 板楼,2人关注 / 13天以前发布,365,"42,651元/平"
未来科技城 乐山红叶 不靠高架 自主精装 改善好房,赞成乐山红叶 -闲林,4室2厅 | 133.9平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,6人关注 / 13天以前发布,400,"29,874元/平"
万科海上明月 精装交付 拎包入住 满二唯一,万科海上明月 -萧山新城区,3室2厅 | 89.99平米 | 南 | 精装 | 23层  | 板楼,3人关注 / 13天以前发布,415,"46,117元/平"
万科品质，不靠高架，可拎包入住，看房方便,万科紫台 -九堡,3室2厅 | 88.64平米 | 南 | 精装 | 17层  | 板楼,0人关注 / 11天以前发布,335,"37,794元/平"
沿河边，前无遮挡，中高楼层，视野开阔，诚心卖,中南白马湖壹号 -白马湖,3室2厅 | 88.82平米 | 南 | 精装 | 18层  | 板塔结合,2人关注 / 12天以前发布,365,"41,095元/平"
满五唯一，精装跃层，楼层高视野好，带露台诚心出售,万家花城一期 -申花,3室2厅 | 146.55平米 | 南 北 | 精装 | 25层  | 板塔结合,3人关注 / 5天以前发布,698,"47,629元/平"
西湖区精装大平层 楼层好 带中泱空调地暖 房东诚售,坤和和家园 -西溪,4室1厅 | 180.6平米 | 南 | 精装 | 9层  | 板楼,6人关注 / 3天以前发布,730,"40,421元/平"
桥西高品质住宅3房2卫精装修，带地暖，业主诚意出售,名城公馆 -桥西,3室2厅 | 125.32平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 5天以前发布,850,"67,827元/平"
