标题,开发商,房子信息,发布信息,售价/万,单价
二楼户型方正，通风采光好，生活便利,民族里(环城西二路) -象山区,1室1厅 | 46.03平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 5天以前发布,15.8,"3,433元/平"
双层复式，带露台花园，精装修，南北通透,安厦世纪城安怡园 -象山区,4室3厅 | 200.86平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 12天以前发布,140,"6,971元/平"
精装3房中间楼层，采光通风好视野开阔,慧佳城 -临桂区,3室2厅 | 92.57平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 19天以前发布,46.5,"5,024元/平"
大品牌 大三房享有新老城区的配套,奥林匹克花园雅典阳光 -临桂区,3室2厅 | 135平米 | 南 北 | 简装 | 中楼层(共17层)  | 板楼,0人关注 / 16天以前发布,55,"4,075元/平"
此房有证无贷，一梯一户，双阳台，四开间朝南,冠信幸福美地 -临桂区,4室2厅 | 141.29平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 17天以前发布,56,"3,964元/平"
桂林市麓湖国际3房诚心出售，有证，随时可以过户交易,花样年•麓湖国际 -临桂区,3室2厅 | 87.66平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 暂无数据,1人关注 / 17天以前发布,37,"4,221元/平"
湖光山色精装三房。环境优美，生活学习方便。,广汇•湖光山色 -叠彩区,3室1厅 | 97平米 | 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 5天以前发布,70,"7,217元/平"
洋房，楼层好，户型方正，小区绿化好，近会展,联发•悦溪府 -临桂区,5室2厅 | 139.57平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,2人关注 / 8个月以前发布,63.8,"4,572元/平"
八里街工商大院，3房两厅两卫，带车库，杂物间！,工商大院 -灵川,3室2厅 | 105平米 | 北 | 简装 | 高楼层(共7层)  | 板楼,13人关注 / 9个月以前发布,31.7,"3,020元/平"
奥 林 匹 克 简 装 三房出售,奥林匹克花园悉尼蓝湾 -临桂区,3室1厅 | 107.39平米 | 南 | 简装 | 中楼层(共33层)  | 塔楼,0人关注 / 29天以前发布,51,"4,750元/平"
麓湖国际高层三房二卫只要43万,花样年•麓湖国际 -临桂区,3室1厅 | 102.59平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 15天以前发布,43,"4,192元/平"
