标题,开发商,房子信息,发布信息,售价/万,单价
中间楼层，家里很干净，保养好，南北通透,西园一村 -澄江街道,2室2厅 | 94.86平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 7天以前发布,99.8,"10,521元/平"
配套齐全  交通便利   楼层适中  精装修,长江国际 -澄江街道,3室2厅 | 134.57平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,6人关注 / 5个月以前发布,166,"12,336元/平"
天安高层三居室，双阳台  楼层采光好，南北通风,天安城市花园 -高新区,3室2厅 | 126.06平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 8个月以前发布,115.8,"9,187元/平"
大品牌，物业好，精装修省时省力，大楼间距。,江阴碧桂园白鹭湾 -高新区,3室2厅 | 128.49平米 | 南 北 | 精装 | 低楼层(共28层)  | 塔楼,0人关注 / 4个月以前发布,125,"9,729元/平"
精装修 ，四房朝南 采光好，一梯一户，私密性好,碧桂园暨阳府 -澄江街道,4室2厅 | 143.17平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,1人关注 / 4个月以前发布,224,"15,646元/平"
此房满五唯一，装修风格简约可直接拎包入住，户型方正,东恒嘉苑 -高新区,2室2厅 | 133.13平米 | 南 北 | 精装 | 高楼层(共30层)  | 平房,0人关注 / 5个月以前发布,125.8,"9,450元/平"
好房推荐，银城电梯房，三室精装修，好楼层,银城·长江赋 -高新区,3室2厅 | 97.83平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,1人关注 / 21天以前发布,102,"10,427元/平"
户型方正，配套设施齐全，交通便利,花园六村 -澄江街道,2室2厅 | 87.31平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,4人关注 / 8个月以前发布,140,"16,035元/平"
白鹭湾小三室户型 三开间朝南  有钥匙方便看房,江阴碧桂园白鹭湾 -高新区,3室2厅 | 100.93平米 | 南 | 简装 | 低楼层(共30层)  | 塔楼,0人关注 / 2个月以前发布,112,"11,097元/平"
户型方正 南北双阳台 楼层好采光足 看房方便,江阴碧桂园白鹭湾 -高新区,4室2厅 | 143.07平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,142,"9,926元/平"
江南御园房东急售，南北通风，价格可谈,融创江南御园 -高新区,4室2厅 | 112平米 | 南 | 毛坯 | 高楼层(共9层)  | 板塔结合,0人关注 / 10天以前发布,96,"8,572元/平"
天安城市花园、三开间朝南毛坯大三房、上手户带大阳台,天安城市花园 -高新区,3室2厅 | 132.4平米 | 南 | 简装 | 高楼层(共18层)  | 暂无数据,4人关注 / 一年前发布,108,"8,158元/平"
房东诚心出售  有钥匙  好楼层,一方城 -临港经济开发区,2室2厅 | 92.02平米 | 南 | 简装 | 低楼层(共21层)  | 暂无数据,9人关注 / 5个月以前发布,65,"7,064元/平"
"虹桥四村，户型好看房方便,有60平大露台",虹桥四村 -澄江街道,2室2厅 | 82.9平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,7人关注 / 一年前发布,176,"21,231元/平"
阳光假日花园 纯毛坯 户型好 业主诚心出售,阳光假日花园 -澄江街道,2室1厅 | 108.06平米 | 南 | 毛坯 | 低楼层(共27层)  | 板塔结合,1人关注 / 8个月以前发布,138,"12,771元/平"
公园里的小区，两室两厅一卫，楼层好，位置佳,金宸国际花园 -澄江街道,2室2厅 | 94.05平米 | 南 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,129.8,"13,802元/平"
澄堡新装修好房出售看房方便提前约,澄堡 -澄江街道,2室1厅 | 100平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 3个月以前发布,153,"15,300元/平"
朗诗未来街区 3室2厅 南,朗诗未来街区 -临港经济开发区,3室2厅 | 118.63平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,95,"8,009元/平"
三开间朝南，南北通风，视野开阔，精装交付,恒大翡翠华庭 -云亭街道,3室2厅 | 108.69平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,158,"14,537元/平"
城南，翡翠湾，精装修新交付，户型好,碧桂园·翡翠湾 -澄江街道,3室2厅 | 136平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,184.8,"13,589元/平"
一方城大三带装修 采光好 急售,一方城 -临港经济开发区,3室1厅 | 140.02平米 | 南 | 简装 | 低楼层(共21层)  | 板楼,1人关注 / 3个月以前发布,91.8,"6,557元/平"
精装房，视野宽阔。采光充足。交通便利，前后阳台,西景花苑 -澄江街道,2室1厅 | 92.36平米 | 南 | 简装 | 中楼层(共16层)  | 板楼,0人关注 / 2个月以前发布,112,"12,127元/平"
城东高新区，蟠龙山庄，全新精装两居室， 拎包入住,蟠龙山庄 -高新区,2室2厅 | 91.28平米 | 南 | 精装 | 低楼层(共25层)  | 塔楼,0人关注 / 2个月以前发布,89.8,"9,838元/平"
周庄一品城精装俩室俩厅  楼层好 采光好 随时看房,一品城 -周庄镇,2室2厅 | 129.77平米 | 南 | 精装 | 低楼层(共34层)  | 塔楼,7人关注 / 4个月以前发布,72,"5,549元/平"
敔山湾湖景房，低总价，房东急售，随时看房,藏品裕院 -云亭街道,3室2厅 | 94.69平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 塔楼,4人关注 / 1个月以前发布,108,"11,406元/平"
采光好 四开间朝南、南北阳台 、南北通风,碧桂园暨阳府紫宸 -澄江街道,4室2厅 | 142.8平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,1人关注 / 2个月以前发布,205,"14,356元/平"
此房精装交付，南北通透，采光无遮挡，中间楼层~,中梁国宾府 -南闸街道,3室2厅 | 126.75平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,3人关注 / 9个月以前发布,150,"11,835元/平"
地理位置佳，采光充足，视野宽阔，房东诚意出售,盈嘉翰庭 -澄江街道,2室2厅 | 110.07平米 | 南 | 精装 | 低楼层(共13层)  | 塔楼,0人关注 / 2个月以前发布,150,"13,628元/平"
户型方正，阳光充足，视线开阔，空气清新，位置佳,颐新华都 -澄江街道,3室2厅 | 153.47平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 7天以前发布,125,"8,145元/平"
高品质小区，三朝南户型，位置好，小区环境好~,恒大帝景 -澄江街道,3室2厅 | 99.19平米 | 南 北 | 其他 | 中楼层(共22层)  | 塔楼,0人关注 / 19天以前发布,160.5,"16,182元/平"
东华苑 3室2厅 东南,东华苑 -澄江街道,3室2厅 | 143.03平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 10天以前发布,155,"10,837元/平"
外滩边上 风景优美  中间楼层  西边户配套成熟,蔚蓝滨江 -澄江街道,4室1厅 | 160.36平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,208,"12,971元/平"
运河世家二期 毛坯 洋房底复 带院子 带5.4米高地下室,红星运河世家二期 -澄江街道,4室2厅 | 147.85平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,305,"20,630元/平"
弘阳昕悦府 4室2厅 南 北,弘阳昕悦府 -云亭街道,4室2厅 | 143.56平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 6天以前发布,139,"9,683元/平"
恒大东边户长方形户型南北花园阳光充足,恒大帝景 -澄江街道,3室2厅 | 137平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 10天以前发布,200,"14,599元/平"
此房满二，出入方便，配套齐全，采光好，楼层好,白玉新村 -南闸街道,5室2厅 | 137.41平米 | 南 北 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 16天以前发布,140,"10,189元/平"
海岸城C区 3室2厅 南,海岸城C区 -临港经济开发区,3室2厅 | 116.88平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 17天以前发布,92.8,"7,940元/平"
融创江南御园 户型格局合理 中间楼层 三开间朝南,融创江南御园 -高新区,4室2厅 | 108.37平米 | 南 | 毛坯 | 中楼层(共9层)  | 板塔结合,0人关注 / 1个月以前发布,103.8,"9,579元/平"
采光充足 交通便利 配套设施齐全 看房方便,怡江城小区 -澄江街道,3室2厅 | 240平米 | 南 | 毛坯 | 高楼层(共5层)  | 暂无数据,12人关注 / 一年前发布,165,"6,875元/平"
玉兰公馆好房出售看房有密码随时看房,融创玉兰公馆 -澄江街道,4室2厅 | 203.82平米 | 南 | 毛坯 | 低楼层(共8层)  | 暂无数据,1人关注 / 一年前发布,470,"23,060元/平"
蟠龙湾花园 精装三居室 家具家电齐全 可拎包入住,蟠龙湾 -高新区,3室2厅 | 108.64平米 | 南 北 | 精装 | 高楼层(共13层)  | 塔楼,0人关注 / 17天以前发布,135,"12,427元/平"
大品牌，物业好，精装修省时省力大楼间距采光好绿化高,江阴碧桂园白鹭湾 -高新区,3室2厅 | 134.14平米 | 南 | 精装 | 低楼层(共28层)  | 塔楼,0人关注 / 15天以前发布,139.8,"10,422元/平"
长江国际 6室1厅 东南 南,长江国际 -澄江街道,6室1厅 | 170.56平米 | 东南 南 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 17天以前发布,219.8,"12,887元/平"
御龙湾花园二区 4室2厅 南 北,御龙湾花园二区 -云亭街道,4室2厅 | 181.37平米 | 南 北 | 其他 | 低楼层(共6层)  | 塔楼,0人关注 / 3天以前发布,246,"13,564元/平"
房东诚心出售  采光充足    看房方便,壹号公馆 -澄江街道,6室3厅 | 525.58平米 | 南 北 | 简装 | 低楼层(共28层)  | 塔楼,4人关注 / 一年前发布,880,"16,744元/平"
房子位置好，房东自己全屋定制精装，可拎包入住,世新家园 -澄江街道,4室3厅 | 158平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,23人关注 / 一年前发布,226.5,"14,336元/平"
青果花苑精装房，满二，带大阳光房，通透户型,青果花苑 -澄江街道,5室3厅 | 225平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,365,"16,223元/平"
紫金花园 顶楼复式 采光好 有一个阳光房,紫金花园 -南闸街道,5室2厅 | 221.89平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,3人关注 / 3个月以前发布,150,"6,761元/平"
房东急售           看房方便,裕花园 -临港经济开发区,2室2厅 | 94.65平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 9天以前发布,77.8,"8,220元/平"
户型方正，交通便利，一楼有院子，位置挺好的,上丰小区 -澄江街道,2室1厅 | 57.67平米 | 南 | 简装 | 低楼层(共4层)  | 暂无数据,0人关注 / 4天以前发布,99.8,"17,306元/平"
楼层好 采光好 业主精装修 业主诚心卖,丹芙春城 -澄江街道,2室2厅 | 86.75平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 7天以前发布,176,"20,289元/平"
城中朝阳路一弄中楼层，有自行车库，双开朝南采光充足,朝阳路1弄小区 -澄江街道,3室1厅 | 95.62平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 11天以前发布,168,"17,570元/平"
此房视野好，格局通透，生活配套设施齐,花园三村南区 -澄江街道,6室2厅 | 141.24平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 7个月以前发布,210,"14,869元/平"
城南热门两房，楼间距大，绿化高，采光好,金宸国际花园 -澄江街道,5室3厅 | 252平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 1天以前发布,302.8,"12,016元/平"
