标题,开发商,房子信息,发布信息,售价/万,单价
豪庭御都 3室2厅 南 北,豪庭御都 -北湖区,3室2厅 | 158平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 7天以前发布,126,"7,975元/平"
已封阳台 吾悦首府 吾悦广场旁 随时看房 无遮挡,吾悦首府 -北湖区,3室2厅 | 113平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 塔楼,0人关注 / 5天以前发布,115,"10,177元/平"
城投碧桂园天绘 3室1厅 南,城投碧桂园天绘 -北湖区,3室1厅 | 128平米 | 南 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 4天以前发布,141.5,"11,055元/平"
中动长泰蘭园 4室2厅 南,中动长泰蘭园 -济北区,4室2厅 | 150平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 7天以前发布,169,"11,267元/平"
汇翠园三室此房为精装修通风采光好户型合理看房方便,汇翠园A区 -济北区,3室2厅 | 142.98平米 | 南 北 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 4天以前发布,176,"12,310元/平"
优质房源，诚信出售，精装修.....,绿地公馆二期 -万达区,3室2厅 | 113.59平米 | 东南 南 西南 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 16天以前发布,136,"11,973元/平"
吾悦首府 3室1厅 南 北,吾悦首府 -北湖区,3室1厅 | 124平米 | 南 北 | 其他 | 低楼层(共25层)  | 塔楼,0人关注 / 5天以前发布,123,"9,920元/平"
一楼带院  车位储藏室   南北通透,瑞马意墅 -济北区,4室1厅 | 156.67平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,350,"22,340元/平"
济宁孝养城 3室1厅 南,济宁孝养城 -南池区,3室1厅 | 100.72平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 12天以前发布,85,"8,440元/平"
苏州苑小区好房源，户型好，有钥匙，随时看房,苏州苑 -南池区,3室2厅 | 138.97平米 | 南 | 简装 | 高楼层(共6层)  | 塔楼,0人关注 / 10天以前发布,105,"7,556元/平"
方圆忻居 3室1厅 南,方圆忻居 -高新区,3室1厅 | 140平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 9天以前发布,109,"7,786元/平"
急售 天启次顶层 四室两厅 毛坯 随时看房,碧桂园云地天启 -邹城市,4室2厅 | 144平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 15天以前发布,111,"7,709元/平"
正阳小区好楼层三室带南向大车库满五有钥匙,正阳小区 -邹城市,3室2厅 | 105平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 8天以前发布,75,"7,143元/平"
翠都国际城，三居室双卫，有钥匙，随时看房，正楼！,翠都国际城 -济北区,3室2厅 | 143平米 | 南 北 | 简装 | 中楼层(共27层)  | 板楼,1人关注 / 13天以前发布,137,"9,581元/平"
房子精装修 房本满两年 婚房 因外地职业忍痛割爱,海亮公馆 -济北区,3室2厅 | 108.02平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,10人关注 / 4个月以前发布,100,"9,258元/平"
外滩大公馆 4室2厅 南 北,外滩大公馆 -南池区,4室2厅 | 142平米 | 南 北 | 其他 | 中楼层(共25层)  | 板塔结合,0人关注 / 21天以前发布,95,"6,691元/平"
新上房源  薛口育德家园3室1厅1厨1卫,薛口育德家园 -济北区,3室1厅 | 103平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,0人关注 / 5天以前发布,112,"10,874元/平"
属于三室一厅，户型方正，无公摊采光好位置佳方便停车,小河西电业宿舍 -南池区,3室1厅 | 87.14平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2天以前发布,76,"8,722元/平"
*少的复式，通风采光都十足....,开泰花园 -西城区,3室3厅 | 185平米 | 南 北 | 简装 | 高楼层(共15层)  | 板楼,14人关注 / 一年前发布,109,"5,892元/平"
