标题,开发商,房子信息,发布信息,售价/万,单价
四季园著经典小两房格局好，配套设施齐..,荣成四季园著 -一七五,2室1厅 | 48.66平米 | 西 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 17天以前发布,68.6,"14,098元/平"
视线好，通风采光足，看房方便，户型方正,荣昌东方广场 -湘桥湖周边,2室1厅 | 52.93平米 | 北 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,62.5,"11,809元/平"
丽园君悦东边套自住精装3房电梯中层南北通透诚意出售,丽园君悦 -沃尔玛,3室2厅 | 123.65平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,183,"14,800元/平"
厦门西 中骏品质 高层边套 南北双阳台 看湿地公园,中骏四季阳光一期 -角美台商投资区,3室2厅 | 103.52平米 | 南 西 北 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 7个月以前发布,143,"13,814元/平"
前锋新村，龙狮，高楼层，视野开阔，采光好。,前锋新村 -中医院,1室1厅 | 49.25平米 | 东 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 11天以前发布,61.8,"12,549元/平"
909医院 牛庄 商圈 福海阳光,福海阳光 -一七五,3室2厅 | 100.6平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,118,"11,730元/平"
万达广场  融都新界单身公园业主诚意出售,融都新界 -碧湖万达,2室1厅 | 51.04平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,74,"14,499元/平"
高信花园 满五唯一 南北通透 东铺头,高信花园 -市政府,3室2厅 | 118.4平米 | 东 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,142,"11,994元/平"
大唐名门印象 延安广场旁 视野开阔 交通便利,大唐名门印象 -市政府,3室2厅 | 109.44平米 | 南 | 毛坯 | 19层  | 板楼,1人关注 / 9个月以前发布,169,"15,443元/平"
冠成国际 三房两厅两卫  拎包入住，满五唯一,冠成国际 -女排大润发,3室2厅 | 78.6平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,2人关注 / 2个月以前发布,192.57,"24,500元/平"
悦珑庄精装修两房 户型方正 业主诚意出售,悦珑庄 -福隆城商圈,2室1厅 | 78.99平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 11天以前发布,94.8,"12,002元/平"
格林兰庭，精装3房，视野采光充足,正得格林兰庭 -金峰,3室2厅 | 104.53平米 | 东南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,132.9,"12,715元/平"
家芗0596 2室1厅 东 东南,家芗0596 -中医院,2室1厅 | 58平米 | 东 东南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 10天以前发布,103.7,"17,880元/平"
厦门西角美万达一期中层自住精装，满五唯一,万达中央华城1期 -角美台商投资区,4室2厅 | 137.12平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,36人关注 / 7个月以前发布,150,"10,940元/平"
万达广场  万达中央华城精装修3房直接拎包入住,万达中央华城 -碧湖万达,3室2厅 | 93平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,149,"16,022元/平"
东岳新村 低层 南北格局 户型方正 低总价,东岳新村 -一七五,2室1厅 | 56平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,42,"7,500元/平"
天虹旁丽园君悦居家两房 好楼层，证在手，随时过户,丽园君悦 -沃尔玛,2室2厅 | 88.3平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 7天以前发布,141.3,"16,003元/平"
万达客运站边 金茂广场朝南 单身公寓,金茂广场 -沃尔玛,1室1厅 | 36.78平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,1人关注 / 10天以前发布,53.5,"14,546元/平"
西湖片区 惠民花园二期 南北 两房,惠民花园二期 -金峰,2室1厅 | 69.9平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,0人关注 / 2个月以前发布,64.3,"9,199元/平"
都市阳光 高楼层 视野好 3房2厅 复式户型 客厅挑高,都市阳光 -沃尔玛,3室1厅 | 91.73平米 | 东 西 | 其他 | 高楼层(共20层)  | 板楼,0人关注 / 5天以前发布,156,"17,007元/平"
此房满两年，采光好，业主诚意出售，中楼层,万达中央华城3期 -角美台商投资区,3室2厅 | 115.64平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 7天以前发布,118,"10,205元/平"
海峡旁 太武城一期 三房带100左右露台 好房诚售,海湾太武城一期 -港尾镇,3室2厅 | 126平米 | 北 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 22天以前发布,63.5,"5,040元/平"
永鸿国际城 3室2厅 东南,永鸿国际城 -金峰,3室2厅 | 127.62平米 | 东南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 8天以前发布,155,"12,146元/平"
丽园君悦，自住精装三房，保养仔细，拎包入住,丽园君悦 -沃尔玛,3室1厅 | 121.52平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 6天以前发布,181,"14,895元/平"
家芗0596 3室2厅 东南,家芗0596 -中医院,3室2厅 | 108.88平米 | 东南 | 其他 | 中楼层(共27层)  | 板楼,0人关注 / 6天以前发布,145,"13,318元/平"
刚需电梯大四房，南北通透，带入户花园，双阳台,毅达阳光(福晟钱隆学府一期) -蓝田宝龙商圈,4室2厅 | 130.18平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 7天以前发布,109,"8,374元/平"
中骏四季花都 3室1厅 南 北,中骏四季花都 -港尾镇,3室1厅 | 89.49平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 5天以前发布,54.8,"6,124元/平"
地段好 商圈好 据有吞金跃龙门之说住宅,家芗0596 -中医院,2室1厅 | 86.81平米 | 南 北 | 简装 | 高楼层(共34层)  | 板塔结合,0人关注 / 24天以前发布,118,"13,593元/平"
楼层好，视野宽阔，配套齐全，可观江景，交通便利,国贸天成 -碧湖万达,5室2厅 | 173.42平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 28天以前发布,362,"20,875元/平"
万达中央华城 精装修3房未入住 看房方便,万达中央华城 -碧湖万达,3室2厅 | 100.41平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 12天以前发布,162.6,"16,194元/平"
华港花园，一二楼打通带小花园，生活便利，南北通透,华港翠园 -江滨,3室3厅 | 173.57平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,10人关注 / 8个月以前发布,225,"12,964元/平"
三房两个卫生间、卧室全部朝南、小高层一梯两户,敬贤楼 -南滨大道,3室2厅 | 111.12平米 | 南 北 | 简装 | 中楼层(共13层)  | 暂无数据,1人关注 / 2个月以前发布,75,"6,750元/平"
动静分离，明厨明卫，格局方正，品质小区，物业服务好,融信半山云顶 -招商大道,3室2厅 | 93.3平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 一年前发布,88,"9,432元/平"
老城区楼中楼 独立出入 下面车库楼上住宅，还有停车场,元光南路8号 -沃尔玛,3室2厅 | 146.47平米 | 南 北 | 简装 | 低楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,117,"7,988元/平"
香榭花都 高层  小3房 南北通透 双阳 双卫,夏商香榭花都 -一七五,3室2厅 | 102.71平米 | 南 北 | 精装 | 高楼层(共21层)  | 板楼,3人关注 / 6个月以前发布,118.1,"11,499元/平"
假日新天国际一梯一户南北通透，视野开阔无遮挡,假日·新天国际 -漳浦城北,3室2厅 | 122.34平米 | 南 北 | 精装 | 中楼层(共16层)  | 板塔结合,1人关注 / 2个月以前发布,85,"6,948元/平"
漳州开发区  融信半山云顶  精装4房带车位,融信半山云顶 -招商大道,4室2厅 | 115.65平米 | 南 北 | 精装 | 低楼层(共29层)  | 板楼,10人关注 / 一年前发布,120,"10,377元/平"
厦门西，高楼层，视野开阔，可以看厦漳大桥，通风好,阳光城凡尔赛宫二期 -角美台商投资区,3室1厅 | 89.46平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,111,"12,408元/平"
君临天下，电梯好楼层，采光佳 ，自住装修,君临天下 -沃尔玛,3室2厅 | 132.53平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,2人关注 / 一年前发布,189,"14,261元/平"
新小区，幼儿园就在家楼下，视野宽阔，采光充足,保利世茂璀璨滨江 -闽南水乡,3室1厅 | 98.8平米 | 南 | 毛坯 | 中楼层(共20层)  | 板楼,0人关注 / 11天以前发布,146.3,"14,808元/平"
牛庄旁，丹霞名城，正套小两房，明厨明卫，满五唯一,丹霞名城 -一七五,2室1厅 | 62.06平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 6天以前发布,75.7,"12,198元/平"
单价仅11000买市区装修两房 夏商香榭花都  76.54平,夏商香榭花都 -一七五,2室1厅 | 76.54平米 | 东南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 31天以前发布,84.2,"11,001元/平"
蓝山丽景 3室1厅 南,蓝山丽景 -蓝田宝龙商圈,3室1厅 | 95.26平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,0人关注 / 18天以前发布,79,"8,294元/平"
