标题,开发商,房子信息,发布信息,售价/万,单价
龙湖澜岸小区三室两厅两卫，户型方正，适合居住,龙湖澜岸 -华龙区,3室2厅 | 126.36平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,77,"6,094元/平"
房子精装 11层电梯小高层 无遮挡,绿景花园 -华龙区,3室1厅 | 122.4平米 | 东 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 11天以前发布,105,"8,579元/平"
房子精装修，基本没住过，交通便利，采光好，环境优美,公园里 -华龙区,3室2厅 | 97平米 | 南 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 11天以前发布,66,"6,805元/平"
丁香园小区两室两厅，交通便利，小区环境干净舒适，适,阳光丁香园 -华龙区,2室2厅 | 93平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 10天以前发布,74,"7,957元/平"
中原小区四室两厅，交通便利，小区环境干净舒适，适合,中原小区 -华龙区,4室2厅 | 128平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,85,"6,641元/平"
美景新城小区，交通方便，小区环境干净舒适，,美景新城 -华龙区,4室2厅 | 217平米 | 东 | 精装 | 低楼层(共18层)  | 暂无数据,2人关注 / 29天以前发布,105,"4,839元/平"
行理园，69万，117.@平，3－2－1－2卫。,行理园 -清丰县,3室2厅 | 117平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,68,"5,812元/平"
龙城花园 小区环境干净舒适 适合居住,龙城花园北区 -濮阳县,2室2厅 | 80.84平米 | 东南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 24天以前发布,35,"4,330元/平"
房是电梯房，满五唯一六小十八中精装修出入，停车方便,瑞泰花园 -华龙区,3室2厅 | 117平米 | 南 | 其他 | 中楼层(共22层)  | 塔楼,1人关注 / 31天以前发布,93,"7,949元/平"
碧水云天 3室2厅 户型方正 采光好,碧水云天 -华龙区,3室2厅 | 110.92平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,90,"8,114元/平"
此房是步梯4楼，户型好，采光好，南北通透，支持贷款,盟城新区 -华龙区,3室2厅 | 95.96平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,93,"9,692元/平"
城上城，电梯房，精装修，三居室诚心出售,城上城 -华龙区,3室2厅 | 111.04平米 | 南 北 | 其他 | 高楼层(共28层)  | 塔楼,4人关注 / 9个月以前发布,110,"9,907元/平"
步梯二楼  精装修  三室两厅两卫,和谐小区 -华龙区,3室2厅 | 133.14平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,7人关注 / 7个月以前发布,99,"7,436元/平"
诚睦花园小三室，房子满五唯一，精装修房子卫生干净。,诚睦花园 -清丰县,3室2厅 | 100.69平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,47,"4,668元/平"
目前房子满五不唯一，看房子方便随时可看，顶楼复式。,景观城 -华龙区,5室2厅 | 137.63平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,9人关注 / 8个月以前发布,91.5,"6,649元/平"
纪检委家属院、步梯一楼、4室2厅2卫,纪检委家属院 -濮阳县,4室2厅 | 157.2平米 | 南 北 | 简装 | 低楼层(共5层)  | 暂无数据,0人关注 / 5个月以前发布,88,"5,598元/平"
学府世家一楼带院，户型方正楼间距宽，一楼照样采光好,学府世家 -华龙区,4室2厅 | 155平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,158,"10,194元/平"
运和天成 2室1厅 南,运和天成 -华龙区,2室1厅 | 81.8平米 | 南 | 简装 | 高楼层(共26层)  | 暂无数据,0人关注 / 7天以前发布,39,"4,768元/平"
四季果岭精装三楼，带地下室离门口近出入方便,四季果岭 -华龙区,2室2厅 | 75.71平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,62.5,"8,256元/平"
