标题,开发商,房子信息,发布信息,售价/万,单价
11层小高8楼西打头三室两卫 相当于毛坯 满二 随时看房,越秀星汇金沙 -北京中路,3室2厅 | 117.04平米 | 北 西南 | 简装 | 中楼层(共11层)  | 板楼,1人关注 / 7天以前发布,95,"8,117元/平"
通伸西街 3室2厅 南 北,通伸西街 -三站,3室2厅 | 87.97平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 7天以前发布,66,"7,503元/平"
紫金花园，南北通透好楼层，东户，南向三开间,紫金花园 -鱼鸟河,3室1厅 | 134.04平米 | 南 北 | 毛坯 | 中楼层(共12层)  | 板楼,1人关注 / 6天以前发布,75,"5,596元/平"
首院小高层双卫打头房  精装30万  带车位,阳光首院 -首院,3室1厅 | 107.33平米 | 东 南 北 | 精装 | 高楼层(共24层)  | 塔楼,0人关注 / 5天以前发布,102,"9,504元/平"
越秀星汇金沙，全明户型，满两年，北向海景,越秀星汇金沙 -北京中路,3室1厅 | 101.13平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 18天以前发布,94,"9,295元/平"
御龙山一期 精装未住 3居室 嘎嘎新,万科御龙山 -黄海,4室2厅 | 141.8平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 6天以前发布,225,"15,868元/平"
万科假日润园小高层精装三室未住 带20多平平台,万科假日润园 -万科,3室2厅 | 92.32平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,1人关注 / 22天以前发布,79,"8,558元/平"
中海国际社区 3室1厅 南 北,中海国际社区 -科技大道,3室1厅 | 97.81平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 28天以前发布,97,"9,918元/平"
清华苑南北通透大两居，采光好，视野好,清华苑 -工商大街,2室2厅 | 91平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 26天以前发布,72.8,"8,000元/平"
四眼桥低价好房  满五唯一 采光好 方便看房,四眼桥 -上夼,2室1厅 | 70.58平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 20天以前发布,55,"7,793元/平"
德胜凯旋花园好楼层精装修满五看房子方便,德胜凯旋花园 -福海路,3室2厅 | 151.8平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 28天以前发布,138.5,"9,124元/平"
精装修南北通透三居打头户型，户型少有，速来看房,云海香都 -鱼鸟河,3室2厅 | 98.85平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 28天以前发布,68.8,"6,961元/平"
丰金檀珑湾99平精装大二居室 带家具家电 税费各付,丰金檀珑湾 -龙湖,2室1厅 | 99.11平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,2人关注 / 6天以前发布,50,"5,045元/平"
北五路永达街天业盛世景苑三居室，东打头，采光全天,天业·盛世景苑 -北五路,3室2厅 | 102.56平米 | 东 南 北 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 4天以前发布,79,"7,703元/平"
上海滩花园单价8500三室两卫 南北通透 可贷款,大华上海滩花园 -三滩社区,3室2厅 | 146.75平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 5天以前发布,125,"8,518元/平"
益丰小区低楼层，南北通透大三居室,益丰小区 -迎春大街,3室2厅 | 90.37平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 3天以前发布,85,"9,406元/平"
跑道阳台空间大，地市平坦采光无遮挡，早市近,奇山东街 -上夼,3室2厅 | 88.87平米 | 东 南 北 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 5天以前发布,80,"9,002元/平"
带花园43平毛坯随心装修，四居室东打头全明户型,御景观城 -后七夼,4室2厅 | 215.9平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 板楼,1人关注 / 10天以前发布,320,"14,822元/平"
越秀星汇凤凰，精装4室，采光好,越秀星汇凤凰 -凤凰台,4室2厅 | 171.58平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 7天以前发布,200,"11,657元/平"
万科城二期打头三居室 户型全明 拎包入住,万科城 -万科城,3室1厅 | 92.68平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,1人关注 / 7天以前发布,98,"10,575元/平"
河滨好楼层有装修保持好业主诚心卖,河滨小区 -松霞,2室2厅 | 71.74平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,0人关注 / 12天以前发布,52,"7,249元/平"
佰和悦府全明户型南北通透精装修,佰和悦府 -高级中学,2室1厅 | 96.59平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 15天以前发布,128,"13,252元/平"
大成门 2室1厅 南,大成门 -白石,2室1厅 | 92.04平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 10天以前发布,97,"10,539元/平"
南北通透  户型方正 采光好 无遮挡 东打头,城发泰颐新城 -只楚,3室2厅 | 94.62平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 10天以前发布,108,"11,415元/平"
此房产权清晰，通透格局，户型方正，精装修，拎包入住,福海城 -福海路,2室1厅 | 92.71平米 | 南 北 | 精装 | 中楼层(共19层)  | 板楼,1人关注 / 8天以前发布,75,"8,090元/平"
蓁山帝景苑 近三年的精装修 低楼层 东打头全明户型,帝景苑(芝罘) -世回尧,3室1厅 | 96.29平米 | 南 北 东 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 3天以前发布,93,"9,659元/平"
富海新城 3室2厅 南 北,富海新城 -牟平振华,3室2厅 | 101.09平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 13天以前发布,72.8,"7,202元/平"
保利紫薇郡 小高层南北通透 三室中间层采光好 精装修,保利紫薇郡 -黄务,3室1厅 | 99.33平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 12天以前发布,130,"13,088元/平"
中海上和府洋房，精装带露台及车位,中海国际社区 -科技大道,3室2厅 | 115.83平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 3天以前发布,158,"13,641元/平"
天地一品 3居 产证满2年，有车位和小棚,天地一品 -天地广场,3室2厅 | 97.62平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,0人关注 / 28天以前发布,115,"11,781元/平"
