标题,开发商,房子信息,发布信息,售价/万,单价
电力湖心路双阳台户型-一期实用高户型-业主保养好,家和城一期 -白藤头,3室2厅 | 113.31平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 10天以前发布,180,"15,886元/平"
金湾红旗珠光新城朝南阳光三房两卫好房,珠光新城一期 -红旗镇,3室2厅 | 109.49平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 16天以前发布,115,"10,504元/平"
中高层南向 满五 新未入住 附带产权车位,保利香槟国际花园 -航空新城,4室1厅 | 128.07平米 | 东南 | 简装 | 高楼层(共36层)  | 板楼,0人关注 / 3天以前发布,255,"19,911元/平"
八中 精装实用三房， 南北通透，带阁楼天台花园,诚丰名园 -柠溪,3室1厅 | 77.82平米 | 东 南 北 | 精装 | 高楼层(共7层)  | 塔楼,0人关注 / 14天以前发布,143,"18,376元/平"
红旗中芯位置精装三房 一梯两户南北对流采光好,怡景花园(金湾区) -红旗镇,3室2厅 | 89.19平米 | 西南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 9天以前发布,82,"9,194元/平"
富海名苑，大5房，方正明亮，人口多的大家庭改善优选,富海名苑 -三灶镇,5室2厅 | 124.87平米 | 北 | 精装 | 低楼层(共11层)  | 塔楼,0人关注 / 7天以前发布,139.5,"11,172元/平"
拱北摩尔广场 拱运宿舍 光照充足实用三房 有钥匙,拱运宿舍 -吉大,3室2厅 | 84.72平米 | 东南 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,167,"19,712元/平"
湖心路地段春满园精装4房业主急售视野开阔看房,春满园 -白藤头,4室2厅 | 109.11平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 21天以前发布,120,"10,999元/平"
万科品质大四房，南北通透，业主诚心出售，有钥匙看房,万科金域缇香 -兰埔,4室2厅 | 142.24平米 | 东南 西北 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 4天以前发布,350,"24,607元/平"
湖心路 藤业富林广场 精装2房 中间楼层,藤业富林广场一二区 -白藤头,2室2厅 | 64平米 | 南 北 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 19天以前发布,79,"12,344元/平"
蔚蓝堡洋房单边一楼带地下室，湖景单位，靓房笋价,华发蔚蓝堡 -唐家湾镇,4室1厅 | 175.59平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 27天以前发布,450,"25,628元/平"
诚丰新园 3室2厅 南,诚丰新园 -白藤头,3室2厅 | 119.08平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 18天以前发布,138,"11,589元/平"
业主急售 朝南大三房  电梯中层  无抵押,中珠上郡二三期 -红旗镇,3室2厅 | 103.02平米 | 东南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 14天以前发布,127,"12,328元/平"
新精装未入住 3房 高楼层 视野无遮挡 采光好 各付税,华发城建未来荟 -上冲,3室1厅 | 78.2平米 | 西北 | 精装 | 高楼层(共38层)  | 塔楼,0人关注 / 3天以前发布,199,"25,448元/平"
吉大地段出行比较方便的住宅，业主诚心出售,格力广场一期 -吉大,3室2厅 | 168.46平米 | 东南 | 精装 | 高楼层(共31层)  | 塔楼,20人关注 / 一年前发布,505,"29,978元/平"
情侣北路 顶楼复式 买2层+2层 山海大宅,龙腾湾山庄 -唐家湾镇,6室4厅 | 283.45平米 | 东南 南 | 毛坯 | 17层  | 板楼,25人关注 / 7个月以前发布,550,"19,404元/平"
航空城 玖龙府 三房 看房方便 诚心出售,龙光玖龙府 -航空新城,3室2厅 | 97.71平米 | 南 西北 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 3个月以前发布,175,"17,911元/平"
东方润园，世纪名城电梯毛坯四房，业主诚心出售,世纪名城一期 -红旗镇,4室2厅 | 134.18平米 | 西南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 4个月以前发布,165,"12,297元/平"
五洲家园 电梯高层4房 视野开阔 可看到山，湖，海景,五洲家园 -白藤头,4室2厅 | 101.36平米 | 东南 | 精装 | 高楼层(共31层)  | 板塔结合,12人关注 / 6个月以前发布,191,"18,844元/平"
爱琴海购物广场，白藤体育馆，电梯高层4房装修保养好,华兴豪庭 -红旗镇,4室2厅 | 117.51平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,138,"11,744元/平"
126平米的4房，面积实用，电梯中间好楼层,东方润园 -红旗镇,4室2厅 | 126.03平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,183,"14,521元/平"
电梯复式 毛坯南向三房 业主诚心出售,广汇高墅 -白蕉镇,3室2厅 | 93.88平米 | 东 | 毛坯 | 高楼层(共7层)  | 板楼,10人关注 / 一年前发布,78,"8,309元/平"
朝南，采光通风好，看河景，带家私家电，业主诚心出售,招商依云水岸 -白蕉镇,3室2厅 | 86.96平米 | 南 西 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,96,"11,040元/平"
采光好，标准三房，户型方正，朝向好,世纪名城二期 -红旗镇,3室2厅 | 93.54平米 | 东南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 一年前发布,128,"13,684元/平"
业主诚心出售，万威雅仕郡中空复式毛坯房，带两个车位,万威雅仕郡 -白蕉镇,4室2厅 | 133.42平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板塔结合,46人关注 / 一年前发布,118,"8,845元/平"
小区入住率高，绿化好，户型方正。环境优美空气好,万科魅力之城一期 -白蕉镇,3室2厅 | 89平米 | 东南 | 精装 | 低楼层(共30层)  | 板塔结合,12人关注 / 一年前发布,93,"10,450元/平"
楼层好装修保养好领包入住实用3房,东第花园 -白蕉镇,3室2厅 | 86.85平米 | 东南 | 精装 | 中楼层(共19层)  | 塔楼,20人关注 / 一年前发布,83,"9,557元/平"
房子靠山边，前看板樟山后看园，业主诚售，价格便宜！,华发山庄 -前山,4室2厅 | 191.8平米 | 南 | 毛坯 | 低楼层(共16层)  | 塔楼,3人关注 / 4个月以前发布,540,"28,155元/平"
蔚蓝堡精装三房高楼层采光好通风好边户实用高看房方便,华发蔚蓝堡 -唐家湾镇,3室2厅 | 141.53平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,124人关注 / 一年前发布,327,"23,105元/平"
吉大隆城花园，通风好，采光好，交通便利4房精装修,隆城花园 -吉大,4室2厅 | 111.65平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,13人关注 / 一年前发布,198,"17,734元/平"
急售，改善型大三房，电梯次新房，看泳池，直接入住,权晖花园 -夏湾,3室2厅 | 118.47平米 | 东 | 精装 | 中楼层(共11层)  | 塔楼,0人关注 / 7天以前发布,234,"19,752元/平"
时代倾城一期 3室2厅 南 北,时代倾城一期 -白蕉镇,3室2厅 | 111平米 | 南 北 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 6天以前发布,120,"10,811元/平"
岭南世家华景园 电梯朝南 三房两厅 精装修 中高楼层,岭南世家华景园 -柠溪,3室2厅 | 102.33平米 | 东南 | 精装 | 中楼层(共11层)  | 塔楼,0人关注 / 13天以前发布,260,"25,408元/平"
业主诚心出售田德花园精装三房，看房有钥匙,田德花园A区 -前山,3室2厅 | 76.06平米 | 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 10天以前发布,148,"19,459元/平"
安静 湖景房 大客厅 采光好 诚心出售,海怡湾畔 -唐家湾镇,3室2厅 | 120.67平米 | 北 | 简装 | 5层  | 板塔结合,1人关注 / 13天以前发布,245,"20,304元/平"
苹果园 2室1厅 西北,苹果园 -拱北,2室1厅 | 52.91平米 | 西北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 9天以前发布,108,"20,413元/平"
此房满五  客厅出阳台看小区园林 南向采光通风好,蓝溪枫景 -南屏,3室2厅 | 92.84平米 | 东南 | 简装 | 中楼层(共10层)  | 塔楼,0人关注 / 5天以前发布,168,"18,096元/平"
湖心路 时代香海彼岸 精准3房 南向 看小区园林,时代香海彼岸 -白藤头,3室1厅 | 88.2平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 4天以前发布,125,"14,173元/平"
雅景名园，业主诚心出售108万，电梯大三房，户型方正,雅景名园 -白藤头,3室2厅 | 117.84平米 | 南 | 毛坯 | 中楼层(共12层)  | 板楼,1人关注 / 27天以前发布,108,"9,165元/平"
满5唯，新未入住，南北通透，看海景,时代山湖海 -航空新城,4室2厅 | 199.15平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 23天以前发布,355,"17,826元/平"
世荣名筑，158平，5+1房，南北通，精装有钥匙，楼层佳,世荣名筑 -白藤头,6室2厅 | 158.59平米 | 东南 | 精装 | 中楼层(共16层)  | 板楼,6人关注 / 8个月以前发布,205,"12,927元/平"
招商依云水岸3-2-1-2 89.80m²,招商依云水岸 -白蕉镇,3室2厅 | 89.8平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,1人关注 / 6个月以前发布,100,"11,136元/平"
新子未住 精装实用大四房，使用率高 ，看别墅区景观，,五洲家园 -白藤头,4室2厅 | 119.59平米 | 北 | 精装 | 高楼层(共31层)  | 板塔结合,2人关注 / 2个月以前发布,210,"17,560元/平"
东南朝向，采光很好，业主诚心出售,松林街住宅 -老香洲,3室2厅 | 104.75平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,160,"15,275元/平"
