标题,开发商,房子信息,发布信息,售价/万,单价
御龙湾，东上首户型，好楼层，诚心出售。,金鹰御珑湾 -东台市,3室2厅 | 132平米 | 南 北 | 精装 | 低楼层(共26层)  | 塔楼,1人关注 / 15天以前发布,210,"15,910元/平"
市区多层电梯洋房，简装当毛坯卖，满五唯一,东河苑 -东台市,3室2厅 | 109.77平米 | 南 | 简装 | 高楼层(共9层)  | 板塔结合,0人关注 / 23天以前发布,116.8,"10,641元/平"
城南聚龙湖商圈2009庄园，满五唯一交通便利生活方便,2009庄园 -聚龙湖商圈,2室2厅 | 107.61平米 | 南 | 简装 | 高楼层(共17层)  | 板塔结合,0人关注 / 13天以前发布,125,"11,617元/平"
金色水岸 精装三房 满两年 看房方便 诚心出售,金色水岸 -聚龙湖商圈,3室2厅 | 130.16平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 10天以前发布,218,"16,749元/平"
城南品质社区 香苑东园 飞机户型 拎包即住,香苑东园 -中南商圈,3室2厅 | 122.03平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 14天以前发布,202,"16,554元/平"
楼层好，采光好，精装看房方便。,香槟公馆 -麦德龙商圈,3室2厅 | 99.27平米 | 南 | 精装 | 中楼层(共30层)  | 暂无数据,1人关注 / 12天以前发布,136,"13,701元/平"
东上手边户，全天候采光，中上楼层，满五唯一！,西城逸品 -潘黄商圈,3室2厅 | 131.2平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 9天以前发布,143.8,"10,961元/平"
双元路 恒祥公寓 中间楼层 130平精装三房 带车库,恒祥公寓 -永基广场商圈,3室2厅 | 129.54平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 14天以前发布,166,"12,815元/平"
交通便利，环境优美，精装修楼层好,金水湾 -东台市,3室1厅 | 130.35平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,1人关注 / 3个月以前发布,156,"11,968元/平"
"东边户，采光充足，视野开阔, 交通便利，小区环境好",君豪华庭 -东台市,3室2厅 | 122平米 | 南 北 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 14天以前发布,158,"12,951元/平"
何垛桥风光带边三室两厅一厨一卫,新宁住宅小区 -东台市,3室2厅 | 127.52平米 | 南 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 11天以前发布,92.8,"7,278元/平"
