标题,开发商,房子信息,发布信息,售价/万,单价
保利拉菲公馆东区 体育公园 小高层 南北通透 诚心出售,保利拉菲公馆朗菲园二期 -裕兴,3室2厅 | 148.54平米 | 南 北 | 简装 | 低楼层(共17层)  | 板楼,106人关注 / 9个月以前发布,282,"18,985元/平"
裕华路 小高层 阳面一室 看房方便 业主诚心卖,金裕花园 -南长,1室1厅 | 48.9平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,51人关注 / 一年前发布,51,"10,430元/平"
新上三阳开泰小三居，高层观景，诚意出售，随时可看,恒大雅苑 -众美,3室1厅 | 108.96平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 25天以前发布,128,"11,748元/平"
房主急售 精装大三室 无大税 中间楼层 采光好阳面厅,恒大御景半岛 -高营,3室2厅 | 167.59平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 31天以前发布,180,"10,741元/平"
好房推荐， 电梯小高 不临街 平层四室 业主诚心出售,国际城一期 -银通,4室2厅 | 200.2平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,3人关注 / 28天以前发布,365,"18,232元/平"
新火车站，西广场，新石商圈，四楼，76万,第二塑料厂宿舍 -新石,3室1厅 | 73.74平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 29天以前发布,76,"10,307元/平"
万达商圈，南北通透，三室两厅两卫，两梯两户。,万达广场B1北区 -槐北,3室2厅 | 140.8平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 24天以前发布,259,"18,395元/平"
城北世纪花园低密社区，房龄新，绿化好，精装三室....,世纪花园 -藁城市,3室1厅 | 150.1平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,0人关注 / 30天以前发布,132,"8,795元/平"
北国商圈 真正意义上的精装修  随时看房,自由之邦 -冶河镇,3室2厅 | 137.17平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 28天以前发布,119,"8,676元/平"
都反映物业好的小区，西美五洲小区，纯毛坯3室,西美五洲天地 -大马村,3室2厅 | 122.52平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板塔结合,0人关注 / 23天以前发布,260,"21,222元/平"
43旁省委大院丽晶园三阳卧室精装未住过满二年无大税,丽晶园 -裕兴,4室2厅 | 199.83平米 | 北 南 | 简装 | 高楼层(共32层)  | 板楼,0人关注 / 21天以前发布,415,"20,768元/平"
都市晶华红旗大街南二环 通厅户型 本满五 多层小公摊,都市晶华 -西南高校区,3室2厅 | 129.11平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 28天以前发布,167,"12,935元/平"
楼层采光好，视野宽阔，购物方便，生活便利,南简良东区 -简良,2室2厅 | 83.5平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 13天以前发布,78,"9,342元/平"
沁园 3室1厅 东 东南,沁园 -丰收路,3室1厅 | 107.45平米 | 东 东南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 11天以前发布,130,"12,099元/平"
星河盛世城平层大宅，满二，有车位地下室，三米五层高,星河盛世城 -跃进,5室1厅 | 345.1平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,36人关注 / 7个月以前发布,560,"16,228元/平"
H户型，带跳高，北院大，有钥匙，诚心出售,纳帕溪谷 -杜北,4室2厅 | 240.2平米 | 南 北 | 毛坯 | 低楼层(共2层)  | 暂无数据,46人关注 / 7个月以前发布,175,"7,286元/平"
一楼带院，精心装修，正规一室一厅，拎包入住。,村南街宿舍 -南三条,1室1厅 | 40.42平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 8天以前发布,80,"19,793元/平"
此房方正经典小三居，楼层好，社区环境好，交通便利,奥冠奥北公元 -丰收路,3室2厅 | 104.93平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 17天以前发布,145,"13,819元/平"
精装三楼，南北户型，采光好，交通便利,铁路十五宿舍 -二中,2室1厅 | 62.76平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 9天以前发布,87,"13,863元/平"
新上，精装修三室好房，拎包入住，南北通透，客厅朝南,汇君城2期 -天苑,3室2厅 | 117.13平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,0人关注 / 10天以前发布,179,"15,283元/平"
银通小区 南北通透两室 精装修 满五唯一住房 诚心出售,银通小区 -银通,2室2厅 | 100.3平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 16天以前发布,118,"11,765元/平"
大三居，低楼层，户型方正，看房方便！,河北省军区石家庄第一干休所 -北国益庄,3室1厅 | 137.4平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 8天以前发布,179,"13,028元/平"
国际城一期电梯小高层，精装修，楼层好，采光好,国际城一期 -银通,3室2厅 | 158.45平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 12天以前发布,305,"19,249元/平"
新上，万达商圈，位置好，邻儿童医院，满五年唯一住房,恒泰德钰名邸 -东苑,3室2厅 | 145.81平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 25天以前发布,179,"12,277元/平"
市区一室的价格能买这个精装三室两厅两卫，别错过！,龙泉花园东区 -鹿泉市,3室2厅 | 126.07平米 | 东北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 30天以前发布,72,"5,712元/平"
珠峰精装小三居，价格合适，欢迎咨询。,珠峰国际花园 -天山海世界,3室1厅 | 120.81平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,4人关注 / 30天以前发布,142,"11,754元/平"
西苑 省医药管理局宿舍 四楼四室 东门 大客厅,省医药管理局 -合作路,4室1厅 | 77.19平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 23天以前发布,140,"18,138元/平"
蔷薇园，价可谈（真精装）不惧对比凤凰层（大视野）,保利花园 -丰收路,2室2厅 | 95.77平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,3人关注 / 1个月以前发布,158,"16,498元/平"
全天采光，中间楼层，落地阳台，诚心出售,天域嘉园 -赵陵铺,2室2厅 | 88.25平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,0人关注 / 30天以前发布,113.9,"12,907元/平"
鹿泉区和平路 满五年 精装修 两梯四户 南向 诚心卖,瑞泰澜庭 -鹿泉市,2室1厅 | 87.48平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 25天以前发布,73,"8,345元/平"
裕华万达广场小高层，精装修，拎包入住,万达广场B1北区 -槐北,2室2厅 | 89.63平米 | 南 | 精装 | 低楼层(共20层)  | 板楼,1人关注 / 30天以前发布,149,"16,624元/平"
裕东小区一居室，1995年房龄，阳面户型一居室,裕东小区 -裕东,1室1厅 | 41.8平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 29天以前发布,61,"14,594元/平"
田家庄偏门南北通透两居室 满二 采光好 中间楼层,田家庄新区西区 -天苑,2室2厅 | 92.99平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 24天以前发布,85,"9,141元/平"
新苑小区 偏门两室 采光好 满五唯一 随时看房,新苑小区 -赵陵铺,2室1厅 | 63.24平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 23天以前发布,52,"8,223元/平"
益友，海悦，新百商圈，1楼，小区清静，停车便利,省保险公司宿舍 -友谊,3室1厅 | 72平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,0人关注 / 29天以前发布,90,"12,500元/平"
地铁北宋站，精装两室，房龄新，大客厅，看房方便!,石煤机一生活区 -跃进,2室1厅 | 74平米 | 西南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 13天以前发布,83,"11,217元/平"
保利花园，精装，干净整洁，采光好房本满两年诚心出售,保利花园 -丰收路,3室2厅 | 115.53平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,3人关注 / 9天以前发布,185,"16,014元/平"
长安公园旁，偏门通透，有钥匙，2002年房龄,汇景家园·棉二生活区 -广安,2室1厅 | 71.9平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 10天以前发布,90,"12,518元/平"
天苑小区  精装修两室两厅 户型南北通透  中间楼层,天苑生活小区 -天苑,2室2厅 | 82.39平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 26天以前发布,92,"11,167元/平"
国仕山小区，大两室带入户花园，30万精装修,国仕山 -位同,2室2厅 | 113.17平米 | 南 西 北 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 25天以前发布,225,"19,882元/平"
西门旁，独院，二层，出让手续，随时看房,西城巷 -正定县,4室2厅 | 179.76平米 | 南 北 | 简装 | 低楼层(共2层)  | 暂无数据,0人关注 / 25天以前发布,185,"10,292元/平"
精装修，南北通风很好，采光无限，不临街，出行方便,藏龙福地 -大马村,2室2厅 | 114平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,1人关注 / 27天以前发布,163,"14,299元/平"
国际城四期新上中间楼层无遮挡满两年精装,国际城四期 -银通,3室2厅 | 141.42平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 15天以前发布,280,"19,800元/平"
万达好装三室，高楼层楼头户型采光好，满五年且唯一,万达广场B1南区 -槐北,3室2厅 | 128.07平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 17天以前发布,225,"17,569元/平"
新小区一期满二  中低楼层   诚心出售,想象国际 -天山海世界,3室2厅 | 122.25平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 26天以前发布,187,"15,297元/平"
经济适用 精装三室 中间楼层 首付27万,汇君城 -天苑,3室1厅 | 103.41平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 16天以前发布,135,"13,055元/平"
石铁分局五十五宿舍 2室1厅 南 北,石铁分局五十五宿舍 -大郭,2室1厅 | 58.5平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,0人关注 / 7天以前发布,45,"7,693元/平"
