标题,开发商,房子信息,发布信息,售价/万,单价
人民路南华康城 中 央公馆精装两室小区内价格合适一套,中央公馆三期 -立交桥,2室2厅 | 93平米 | 南 | 其他 | 低楼层(共28层)  | 板楼,5人关注 / 8个月以前发布,68,"7,312元/平"
香格里拉国际广场 4室1厅 南 北,香格里拉国际广场 -香格里拉,4室1厅 | 169.22平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 4个月以前发布,85,"5,024元/平"
牡丹新城南区复式，带院，带地上车位，5居室,牡丹新城南区 -牡丹园,5室2厅 | 220平米 | 南 北 | 简装 | 低楼层(共19层)  | 板塔结合,6人关注 / 一年前发布,135.5,"6,160元/平"
怡海花园 房东着急出售 诚心出售中,怡海花园 -三院,4室2厅 | 163.49平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,90,"5,505元/平"
万达旁奥林满两年老证，户型方正，房东急售,奥林花园 -和平南路,2室2厅 | 91.53平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,5人关注 / 一年前发布,71.5,"7,812元/平"
奥林花园 3室1厅 南,奥林花园 -和平南路,3室1厅 | 89平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 26天以前发布,60,"6,742元/平"
人民路立交桥旁 赵王河公园 公园一号 3室1卫 房东急售,公园一号 -立交桥,3室1厅 | 92.49平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 29天以前发布,62.5,"6,758元/平"
公园一号，精装东边户，精致三室，满二老证，可观景,公园一号 -立交桥,3室2厅 | 135.46平米 | 南 北 | 其他 | 高楼层(共32层)  | 板塔结合,18人关注 / 一年前发布,94.5,"6,977元/平"
万达广场 旁 龙燕上下两层 户型好 带储藏室 诚心出售,龙燕·金润嘉园 -和平南路,4室2厅 | 159.28平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,15人关注 / 10个月以前发布,105,"6,593元/平"
赵王河畔、天阔逸城边户老证！可贷款！诚售！,天阔逸城 -立交桥,5室2厅 | 244.88平米 | 南 北 | 其他 | 高楼层(共32层)  | 板楼,2人关注 / 一年前发布,160,"6,534元/平"
视野宽阔、采光充足、配套设施齐全、交通便利,陶然美地 -广州路,3室2厅 | 114平米 | 南 | 其他 | 低楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,68,"5,965元/平"
时代奥城   精装修拎包入住  看房方便  老证可按揭,亿联时代奥城 -二十一中,3室1厅 | 124平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,11人关注 / 9个月以前发布,96,"7,742元/平"
和平人家精装220平大四居，随时看房,和平人家 -和平南路,4室2厅 | 220.82平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,200,"9,058元/平"
牡丹新城南区精装大三居西边户南北通透！,牡丹新城南区 -牡丹园,3室2厅 | 146平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 3天以前发布,96,"6,576元/平"
金桂花园 车位  储藏 室  急售急售  老证,金桂花园 -牡丹园,3室1厅 | 165.41平米 | 西南 | 简装 | 中楼层(共18层)  | 板楼,1人关注 / 6个月以前发布,105,"6,348元/平"
长江路主干道 中达尚城 温馨两居室 精装修 老证,中达尚城 -和平南路,2室2厅 | 92.26平米 | 南 北 | 简装 | 中楼层(共28层)  | 板楼,0人关注 / 一年前发布,72,"7,805元/平"
东城国际 3室1厅 东南 南,东城国际 -广州南路,3室1厅 | 114平米 | 东南 南 | 精装 | 中楼层(共11层)  | 板楼,3人关注 / 5个月以前发布,75,"6,579元/平"
八一街学府旁，精装三室，价格便宜，房东急售,八一商城 -步行街,3室2厅 | 121.21平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,72,"5,941元/平"
交通便利 此房是三室两厅一卫  能按揭,亿联时代奥城 -二十一中,3室2厅 | 97.29平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,4人关注 / 一年前发布,82,"8,429元/平"
龙田名郡 三室两厅两卫 老证 能按揭贷款 带车库,龍田名郡 -北外环,3室2厅 | 130.47平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,9人关注 / 一年前发布,72.8,"5,580元/平"
奥斯卡春城  电梯小高层   全新装修未入住  随时看房,中富奥斯卡春城 -区委,3室2厅 | 123平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,89人关注 / 一年前发布,55,"4,472元/平"
和平南路  公摊小 发展配套设施完善,时代奥林花园北区 -和平南路,3室2厅 | 146.21平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,5人关注 / 一年前发布,119.7,"8,187元/平"
奥斯卡春城多层5楼带阁楼简单装修老证可贷款,中富奥斯卡春城 -区委,4室2厅 | 182.75平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,13人关注 / 一年前发布,90,"4,925元/平"
老证可按揭，客卧朝阳，带储藏室，精装带家具家电,锦绣豪庭(牡丹区) -广州路,2室2厅 | 84.11平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,2人关注 / 3个月以前发布,53,"6,302元/平"
此房老证税费低，楼层好，采光通风都不错，有储20平,水利花苑 -北外环,3室1厅 | 97.34平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 10个月以前发布,54,"5,548元/平"
人民路旁边盛世豪庭大三室边户 ，老证,盛世豪庭 -立交桥,3室2厅 | 148.97平米 | 南 北 | 简装 | 中楼层(共11层)  | 板塔结合,2人关注 / 一年前发布,90,"6,042元/平"
大平层 142平大三室  精装修  马上老证  可按揭,国色天香 -万达广场,3室1厅 | 141平米 | 南 | 精装 | 低楼层(共22层)  | 板楼,0人关注 / 3天以前发布,103,"7,305元/平"
上下双层复式房 大户型中小 学就在附 近特 别方便,帝都花园 -立交桥,6室3厅 | 353平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,275,"7,791元/平"
中南花城花园洋房顶楼复式，精装修，房东急售看房方便,中南花城 -大学城,7室2厅 | 240平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,180,"7,500元/平"
东关鲁商凤凰城碧桂园东邻中南世纪锦城顶层复式,中南世纪锦城 -牡丹园,5室3厅 | 153平米 | 南 | 其他 | 高楼层(共29层)  | 板楼,16人关注 / 一年前发布,103,"6,733元/平"
万象城西区四楼带车位带储藏室138平方,牡丹万象城西区 -西客站,4室2厅 | 138.1平米 | 南 | 简装 | 低楼层(共27层)  | 板楼,3人关注 / 一年前发布,97,"7,024元/平"
户型是落地窗 大阳台 公摊少 采光好客厅和卧室都朝阳,中达金河湾 -二十一中,3室2厅 | 137平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,119.9,"8,752元/平"
火车站  独门独院别墅 诚心出售,天一小区 -惠慈医院,5室3厅 | 328平米 | 南 | 其他 | 3层  | 板塔结合 | 独栋别墅 ,3人关注 / 10个月以前发布,333,"10,153元/平"
曹州江南御景园，四居室，一梯两户，地上停车位、,曹州江南御景园 -香格里拉,4室2厅 | 138.46平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,6人关注 / 一年前发布,95,"6,862元/平"
此房是大市学 四室南北通透，楼层好商圈成熟交通便利,国贸中心B区 -银座,4室2厅 | 163平米 | 南 北 | 简装 | 中楼层(共31层)  | 板楼,5人关注 / 一年前发布,114.9,"7,050元/平"
有证可按揭，房产证满五年，北部新城房源。,景润园 -成武县,3室2厅 | 108.96平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,7人关注 / 一年前发布,36,"3,304元/平"
长不路旁边东城国际三室一楼带30平左右的院子,东城国际 -广州南路,3室2厅 | 108.09平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,114.7,"10,612元/平"
万达旁 温馨两居室  诚心出售 看房方便,中达尚城 -和平南路,2室2厅 | 83.61平米 | 南 北 | 其他 | 高楼层(共26层)  | 板楼,2人关注 / 一年前发布,55.5,"6,638元/平"
万达旁 精装两室 老证 诚心出售,中达尚城 -和平南路,2室2厅 | 80平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,13人关注 / 一年前发布,52.5,"6,563元/平"
人民路上 牡丹公馆 带车位储藏室  看房方便 三室,牡丹公馆 -牡丹园,3室2厅 | 118.46平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,2人关注 / 一年前发布,74.7,"6,306元/平"
长城路 八角阳台 东边户 通透好 中南世纪锦城,中南世纪锦城 -牡丹园,4室2厅 | 140平米 | 南 | 其他 | 高楼层(共31层)  | 板楼,4人关注 / 一年前发布,82,"5,858元/平"
，多层好楼层，视野开阔。交通发达，交通便利,天华·领秀城 -广州路,4室2厅 | 153.35平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,80.5,"5,250元/平"
房子楼层好，视野开阔，采光充足，位置优越,御河丹城 -牡丹园,3室2厅 | 109.14平米 | 南 北 | 其他 | 中楼层(共34层)  | 板楼,0人关注 / 一年前发布,71,"6,506元/平"
精装两室 曹州牡丹园 赵王河公园旁 家具家电齐全！,御河丹城 -牡丹园,3室2厅 | 91.66平米 | 南 | 其他 | 低楼层(共34层)  | 板楼,2人关注 / 一年前发布,65,"7,092元/平"
中华世纪城，三室两厅一厨两卫，业主诚心卖,中华世纪城 -火车站,3室2厅 | 101.62平米 | 南 | 其他 | 中楼层(共28层)  | 板楼,0人关注 / 一年前发布,70,"6,889元/平"
金盾花园 多层一楼 干净美丽明亮 三居室带车库,金盾花园 -西客站,3室2厅 | 113.81平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,7人关注 / 一年前发布,78,"6,854元/平"
大三室   老证   业主诚心出售,华英嘉园 -惠慈医院,3室2厅 | 167.7平米 | 南 | 其他 | 低楼层(共28层)  | 板塔结合,2人关注 / 11个月以前发布,104,"6,202元/平"
御河丹城 两室 老证 自带60平大平台 烧烤日光浴安排了,御河丹城 -牡丹园,2室1厅 | 90平米 | 南 北 | 其他 | 低楼层(共34层)  | 板楼,3人关注 / 11个月以前发布,50,"5,556元/平"
此房满五年老证，没有贷款，过户简单放心快捷，,龍田名郡 -北外环,3室2厅 | 97.64平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,60,"6,146元/平"
此房位置好，户型方正 公摊少出行方便,陶然美地 -广州路,2室1厅 | 92.48平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,61.5,"6,651元/平"
万达旁    环境优美  交通方便,中达御园 -万达广场,2室1厅 | 97平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,3人关注 / 一年前发布,79.9,"8,238元/平"
中 央公馆三期人民路旁 中间楼层三室精装修老证可按揭,中央公馆三期 -立交桥,3室2厅 | 105.68平米 | 南 | 其他 | 中楼层(共34层)  | 板楼,6人关注 / 一年前发布,80,"7,571元/平"
中华路太原路小高层    业主诚心出售   老证可按揭,天泽园御府 -天香公园,3室1厅 | 158.7平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,6人关注 / 一年前发布,130,"8,192元/平"
房产证已满五年，业主诚心出售，看房提前联系！,中达尚城 -和平南路,2室1厅 | 82.69平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,29人关注 / 一年前发布,41,"4,959元/平"
此房简装，三室两厅一卫，有储藏室，无车位,名门世家 -人民南路,3室2厅 | 112平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,7人关注 / 一年前发布,78.5,"7,009元/平"
中华路，火车站，两室朝阳，采光好,金鼎凤凰城 -火车站,5室1厅 | 169.41平米 | 南 西南 | 其他 | 中楼层(共10层)  | 板楼,1人关注 / 一年前发布,114.8,"6,777元/平"
陶然美地 3室2厅 南,陶然美地 -广州路,3室2厅 | 115.02平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 1天以前发布,59,"5,130元/平"
户型方正，全明户型   房东诚心出售,中华世纪城 -火车站,3室2厅 | 100.17平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,4人关注 / 一年前发布,63.8,"6,370元/平"
三角花园 步行街 香格里拉 完小 22中 老证 随时看房,菏建小区 -三角花园,2室1厅 | 76.7平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,4人关注 / 一年前发布,39,"5,085元/平"
人民路赵王河旁精装三居室双阳台，忍痛割爱，诚心出售,中央公馆 -立交桥,3室2厅 | 114.2平米 | 南 北 | 其他 | 高楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,85,"7,444元/平"
观景房 好楼层 大三室 诚心出售 舒适干净 看房方便,水岸嘉苑 -立交桥,3室2厅 | 122平米 | 南 北 | 其他 | 高楼层(共23层)  | 板塔结合,3人关注 / 一年前发布,83,"6,804元/平"
大学路 龙田府 邸 三室的房子 大面积 看房方便,龙田府邸 -牡丹园,3室2厅 | 136.68平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,75,"5,488元/平"
鲁商凤凰城简单装修，有证，可按揭。,鲁商凤凰城 -牡丹园,3室2厅 | 127平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,5人关注 / 一年前发布,74.6,"5,875元/平"
精装修一次人没住，老证可贷款，鲁商凤凰城，全明户型,鲁商凤凰城 -牡丹园,3室2厅 | 114平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,1人关注 / 一年前发布,76.5,"6,711元/平"
交通家园 诚心出售 东边户 好户型,天华交通家园 -广州路,3室1厅 | 127.34平米 | 南 | 其他 | 低楼层(共17层)  | 板楼,0人关注 / 1天以前发布,68,"5,341元/平"
现代城  有证 三室两厅一厨一卫 看房方便,现代城 -区委,3室2厅 | 85.41平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,61,"7,143元/平"
文心花园两室带个大露台房东急售,文心花园 -西客站,2室2厅 | 90平米 | 东南 | 其他 | 高楼层(共6层)  | 塔楼,7人关注 / 一年前发布,43,"4,778元/平"
