标题,开发商,房子信息,发布信息,售价/万,单价
三居室，明室明厅 精装修南北通透 观景房,松林亲水湾 -新城区,3室2厅 | 157.78平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,38人关注 / 一年前发布,143,"9,064元/平"
万达华城C区 大三阳格局 三室 三卫,万达华城C区 -新城区,3室2厅 | 170.38平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,11人关注 / 一年前发布,128,"7,513元/平"
悦府二期如园 精装修三室双卫 无遮挡 视野好 小高层！,中天·悦府二期如园 -新城区,3室2厅 | 111.37平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,0人关注 / 8天以前发布,128,"11,494元/平"
荷枫水岸二期 边户 独立3室全明户型,荷枫水岸二期 -桥北新区,3室2厅 | 100.21平米 | 南 北 | 简装 | 高楼层(共17层)  | 塔楼,0人关注 / 7天以前发布,67,"6,686元/平"
2013年的房子.5楼三室.格局方正.视野宽阔.,龙景小区 -红山区,3室2厅 | 93.14平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 8天以前发布,52.5,"5,637元/平"
阁楼 单价4600！精装硬装！房主诚心卖,水榭花都B区 -新城区,3室2厅 | 92.74平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 25天以前发布,42.6,"4,594元/平"
首地·红山郡 3室2厅 南 北,首地·红山郡 -新城区,3室2厅 | 120.31平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 22天以前发布,96,"7,980元/平"
三步跃层  明厅双卫 3楼 小区好位置 有钥匙 6200,百合花园 -红山区,3室2厅 | 157.56平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 28天以前发布,98,"6,220元/平"
皇 家帝苑二期电梯3楼7124元/平无捆绑小税,皇家帝苑二期C区 -新城区,3室2厅 | 126.33平米 | 南 北 | 简装 | 低楼层(共19层)  | 板楼,0人关注 / 19天以前发布,87,"6,887元/平"
此房满 唯 一，南北通透，楼位置前排 四楼 拎包入住,怡康家园(五道街) -红山区,3室1厅 | 113.1平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 8天以前发布,89,"7,870元/平"
三室明厅格局  收纳更多阳光美景，悠然奢享洁净时光,宇恒·玖玺台 -松山区,3室1厅 | 130.34平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 板塔结合,0人关注 / 7天以前发布,94,"7,212元/平"
香格里拉国际城 3室1厅 南 北,香格里拉国际城 -松山区,3室1厅 | 101.86平米 | 南 北 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 5天以前发布,86,"8,443元/平"
5G覆盖社区 环境好 楼层高 视野开阔 包更名 能贷款,坤厦·悦棠湾 -桥北新区,3室2厅 | 110.55平米 | 东 南 北 | 其他 | 中楼层(共24层)  | 板楼,0人关注 / 27天以前发布,69.6,"6,296元/平"
富河国际C 电梯10楼 精装三室 无捆绑 过户小税,富河国际C区 -新城区,3室1厅 | 102.64平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,1人关注 / 22天以前发布,85,"8,282元/平"
此房小税，房主诚心出售小高层，前后大平台50多平,华睿园 -新城区,3室2厅 | 99.69平米 | 南 北 | 简装 | 高楼层(共13层)  | 板楼,1人关注 / 8天以前发布,54,"5,417元/平"
老腊阳小区(火花路) 2室1厅 南 北,老腊阳小区(火花路) -红山区,2室1厅 | 102.68平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 6天以前发布,63,"6,136元/平"
醉美的路是回家的路、亲水湾精装修电梯中层、无捆绑,松林亲水湾 -新城区,3室1厅 | 124.57平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 21天以前发布,120,"9,634元/平"
