标题,开发商,房子信息,发布信息,售价/万,单价
金兰小区 3室2厅 南,金兰小区 -罗浮广场,3室2厅 | 134.76平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,3人关注 / 25天以前发布,64.8,"4,809元/平"
怡鑫苑精装大三房，采光通透，户型方正,怡鑫苑 -三里坪,3室2厅 | 101平米 | 东南 | 精装 | 高楼层(共12层)  | 暂无数据,0人关注 / 8天以前发布,62,"6,139元/平"
学府雅苑 3室2厅 西南,学府雅苑 -莲花湖,3室2厅 | 107平米 | 西南 | 精装 | 低楼层(共22层)  | 板楼,0人关注 / 7天以前发布,69.8,"6,524元/平"
花园小区，带院停车，装修精美，采光户型好,阳光新城 -三岔路口,3室2厅 | 129平米 | 东南 | 精装 | 低楼层(共8层)  | 板塔结合,0人关注 / 8天以前发布,58.8,"4,559元/平"
宏宇花园 3室1厅 东南,宏宇花园 -金龙大道,3室1厅 | 116平米 | 东南 | 精装 | 中楼层(共26层)  | 塔楼,0人关注 / 3天以前发布,79.8,"6,880元/平"
罗浮阳光 3室2厅 东南,罗浮阳光 -西客站,3室2厅 | 99.46平米 | 东南 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 7天以前发布,43.6,"4,384元/平"
三里坪原装电梯房，采光充足无遮挡,南滨大厦 -三里坪,3室2厅 | 80平米 | 东南 北 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 3天以前发布,47,"5,875元/平"
带花园，户型方正，交通方便，装修精美，采光充足,阳光新城 -三岔路口,4室2厅 | 133平米 | 东南 | 精装 | 低楼层(共8层)  | 板塔结合,0人关注 / 19天以前发布,60,"4,512元/平"
洲际铂雅湾 精装三房双卫  拎包入住,洲际·铂雅湾 -罗浮广场,3室2厅 | 111平米 | 北 | 其他 | 中楼层(共22层)  | 塔楼,0人关注 / 8天以前发布,90,"8,109元/平"
恒阳骊都一期洋房出售，户型方正，视野宽广，自带花园,恒阳骊都一期 -罗浮广场,6室2厅 | 210.9平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,108.5,"5,145元/平"
通川桥头电梯房，户型方正，采光通透,南外镇梧桐梁社区长江居民小区 -三里坪,3室2厅 | 117平米 | 东南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 16天以前发布,50,"4,274元/平"
在西外花园跃层洋房，即买即装修,滨江四季花城2期C区 -罗浮广场,4室2厅 | 97平米 | 南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 10天以前发布,95,"9,794元/平"
升华花园小区 可停车 繁华路段,中迪·国际社区 -南客站,3室2厅 | 102平米 | 东南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 9天以前发布,79.8,"7,824元/平"
交警支队家属院 4室1厅 东南,交警支队家属院 -西客站,4室1厅 | 169平米 | 东南 | 简装 | 高楼层(共9层)  | 板塔结合,0人关注 / 15天以前发布,56,"3,314元/平"
碧桂园旁精装电梯大三房，花园小区户型房子采光通透,花涧林 -三里坪,3室2厅 | 88平米 | 东南 | 精装 | 低楼层(共26层)  | 塔楼,0人关注 / 9天以前发布,73.8,"8,387元/平"
教育花园家当齐户型正采光足价格实惠,东升·教育花园 -南客站,3室2厅 | 120.92平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,43.8,"3,623元/平"
大户型，朝向好，环境好，看房子方便,交警支队家属院 -西客站,4室2厅 | 167.47平米 | 北 | 简装 | 低楼层(共9层)  | 板塔结合,0人关注 / 1个月以前发布,49.9,"2,980元/平"
19年新小区，大平方清水房，直接开发商改合同,石化南苑 -南客站,3室2厅 | 126平米 | 东南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 6天以前发布,63,"5,000元/平"
装修精美，采光户型好，交通方便,邮政家属院 -三里坪,3室2厅 | 75平米 | 东南 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 6天以前发布,37,"4,934元/平"
升华广场 大型新楼盘 花园小区 繁华路段,盛煌·南城国际 -南客站,3室1厅 | 96.9平米 | 东南 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 2天以前发布,83.8,"8,649元/平"
西外 西苑家居 标准3房2卫 看房方便,西苑佳居 -罗浮广场,3室1厅 | 119.78平米 | 东 南 | 精装 | 低楼层(共29层)  | 塔楼,0人关注 / 21天以前发布,92.8,"7,748元/平"
南外升华广场花园小区，地理位置优越,巨林天下城B区 -南客站,3室2厅 | 89平米 | 东南 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 28天以前发布,66.8,"7,506元/平"
花园小区，原装电梯繁华广场，拎包入住,金都景苑 -万达路,3室2厅 | 104.82平米 | 东南 北 | 精装 | 低楼层(共17层)  | 平房,0人关注 / 23天以前发布,63,"6,011元/平"
