标题,开发商,房子信息,发布信息,售价/万,单价
碧桂园  洋房5楼  通透格局 中等装修,通辽碧桂园 -经济技术开发区,3室1厅 | 101.75平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,6人关注 / 一年前发布,66,"6,487元/平"
希望悦圣湾 洋房中层  带车位 全天采光,泽信悦圣湾 -经济技术开发区,3室2厅 | 131.38平米 | 南 北 | 精装 | 中楼层(共9层)  | 暂无数据,1人关注 / 一年前发布,123,"9,363元/平"
檀香湾 三室两卫 精装修 看房方便,檀香湾 -经济技术开发区,3室2厅 | 141.41平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 1天以前发布,99,"7,001元/平"
东方世纪城 6托7 四室两厅两卫 屋里东西都带,东方世纪城 -老城区,4室2厅 | 112平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 30天以前发布,70,"6,250元/平"
凯旋城复式楼 高档小区 位置好 交通方便,凯旋城 -经济技术开发区,4室2厅 | 180平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,180,"10,000元/平"
河畔花园A区 3室2厅 南 北,河畔花园A区 -经济技术开发区,3室2厅 | 135平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 7天以前发布,79,"5,852元/平"
碧桂园·上河郡 3室1厅 南 北,碧桂园·上河郡 -经济技术开发区,3室1厅 | 127平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 5天以前发布,77,"6,063元/平"
水域蓝湾四楼南北通透，125平93万,水域蓝湾C区D区 -经济技术开发区,3室2厅 | 124.11平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,93.5,"7,534元/平"
龙庭秀舍，精装修完没住过，着急卖！看房方便，无大税,龙庭秀舍 -老城区,2室1厅 | 115.87平米 | 南 北 | 精装 | 中楼层(共4层)  | 暂无数据,1人关注 / 一年前发布,95,"8,199元/平"
奥林匹克花园 电梯洋房 三室两厅两卫 南北通透,奥林匹克花园 -老城区,3室1厅 | 146.03平米 | 南 北 | 毛坯 | 低楼层(共8层)  | 板楼,0人关注 / 18天以前发布,102,"6,985元/平"
京汉二期南北通透落地窗干净整洁,京汉新城二期 -经济技术开发区,2室1厅 | 88.2平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 5天以前发布,62,"7,030元/平"
河畔花园 三室一厅 全天采光 看房方便,河畔花园A区 -经济技术开发区,3室1厅 | 97平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2天以前发布,60,"6,186元/平"
金龙苑 两室一厅 三楼 看房方便,金龙苑 -老城区,2室1厅 | 68.09平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1天以前发布,40,"5,875元/平"
富力·尚悦居 3室1厅 南,富力·尚悦居 -经济技术开发区,3室1厅 | 109.5平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,63,"5,754元/平"
东方世纪城 3室2厅 南 北,东方世纪城 -老城区,3室2厅 | 131平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 29天以前发布,86,"6,565元/平"
新天地  电梯9楼  三室两卫  精装修,新天地住宅小区 -经济技术开发区,3室2厅 | 317平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,240,"7,571元/平"
民政小区小区环境好，位置好，业主诚心出售视野开阔,民政小区 -老城区,2室1厅 | 98平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,58.8,"6,000元/平"
成熟小区  交通便利  出行方便,京汉叫来河畔 -经济技术开发区,3室2厅 | 139平米 | 南 北 | 其他 | 高楼层(共23层)  | 暂无数据,0人关注 / 4个月以前发布,93,"6,691元/平"
