标题,开发商,房子信息,发布信息,售价/万,单价
新上优质大四房 高楼层采光好 直望北龙湖 视野好,鑫苑名家 -北站,4室2厅 | 190.77平米 | 南 北 | 简装 | 中楼层(共23层)  | 板塔结合,2人关注 / 9天以前发布,265,"13,892元/平"
二环内 一二楼复式带90平地下室，买两层得三层,美景天城 -世纪欢乐园,5室2厅 | 242.25平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 10天以前发布,310,"12,797元/平"
北龙湖西岸，单价只要八千！附带南北双露台！,琥珀名城 -汽配大世界,4室3厅 | 190.75平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,67人关注 / 一年前发布,159,"8,336元/平"
采光无遮挡，业主诚心卖  离西门比较近,明鸿新城 -枣庄,4室2厅 | 146.77平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,107,"7,291元/平"
此房满五税费少 户型南北通透 配套成熟 5号线地铁口,绿城花园 -兴华南街,4室2厅 | 139.96平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 8天以前发布,128,"9,146元/平"
急售有钥匙随时看房  精装修拎包入住  满五唯一光线好,万科城紫兰苑 -高新万科,3室2厅 | 88.09平米 | 东 北 | 简装 | 低楼层(共34层)  | 塔楼,0人关注 / 4天以前发布,103,"11,693元/平"
亚星盛世家园，纯南户大两房，全天候采光，无贷款,亚星盛世家园 -兴华南街,2室2厅 | 105.82平米 | 南 | 简装 | 高楼层(共17层)  | 板塔结合,0人关注 / 5天以前发布,125,"11,813元/平"
郑州鸿鑫公寓采光好，双气，布局合理，带个固定车位,郑州鸿鑫公寓 -省中医院,3室2厅 | 109.61平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 11天以前发布,120,"10,948元/平"
文博西路25号院 精装 满五 拎包入住,正弘数码公寓 -文博广场,2室1厅 | 73.08平米 | 西南 西北 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 5天以前发布,122,"16,695元/平"
南北通透三房，户型好，采光好，离地铁口近,聚龙城 -黄河南路,3室1厅 | 131平米 | 南 北 | 精装 | 低楼层(共22层)  | 板楼,1人关注 / 31天以前发布,239,"18,245元/平"
多层2楼，带电梯，户型好，看房方便,工人路330-364号 -电力新村,3室2厅 | 111.03平米 | 东 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 18天以前发布,140,"12,610元/平"
电梯小高层，全明户型采光好，成熟配套，生活休闲方便,芙蓉花苑 -二七万达,3室2厅 | 105.56平米 | 南 北 | 简装 | 中楼层(共18层)  | 塔楼,3人关注 / 19天以前发布,95,"9,000元/平"
南侧临河 满五年 30万精装 有钥匙 随时看房,润城时光里 -通泰路,4室2厅 | 136.5平米 | 南 北 | 精装 | 中楼层(共27层)  | 塔楼,0人关注 / 22天以前发布,210,"15,385元/平"
中祥小区2-1-1-1，业主诚心出售。,中祥小区 -中牟城区,2室1厅 | 91.07平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 6天以前发布,37,"4,063元/平"
业主急售好房，满两年，诚心卖，随时可看，精装修,绿地澜庭二期 -滨河国际新城商圈,3室2厅 | 122.34平米 | 南 北 | 精装 | 低楼层(共25层)  | 板塔结合,4人关注 / 10天以前发布,148,"12,098元/平"
万科品质 精装交付未住人  边户户型好   业主诚心急售,万科天伦紫台 -北大学城,4室2厅 | 128.39平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,1人关注 / 7天以前发布,165,"12,852元/平"
精装朝南小三房，中间楼层采光无遮挡,绿都紫荆华庭雅园 -橄榄城,3室2厅 | 89.49平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,1人关注 / 13天以前发布,131,"14,639元/平"
地铁口，双气社区，通透两房，业主诚心出售,石建社区 -幸福港湾,2室2厅 | 85.58平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 8天以前发布,61,"7,128元/平"
此房满五年，房子位置好，楼层佳，交通便利，停车方便,台胞小区 -二七万达,3室2厅 | 105.53平米 | 南 北 | 简装 | 6层  | 板楼,0人关注 / 10天以前发布,72,"6,823元/平"
此房满五唯一 南北通透格局楼层好，采光充足,苗圃小区 -鞋城,3室1厅 | 96.34平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,2人关注 / 11天以前发布,78,"8,097元/平"
三环边，双卫，楼层好，业主诚心出售。,中建大厦 -普罗旺世,3室2厅 | 147.8平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 塔楼,1人关注 / 10天以前发布,148,"10,014元/平"
户型优质，看房方便，精装修 业主诚心出售,文华西区 -省中医院,2室2厅 | 91.12平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 15天以前发布,90,"9,878元/平"
三环内双气，附带大露台和地下室，有钥匙随时看房,绿岛港湾 -万客来,5室2厅 | 191.3平米 | 东南 南 西南 北 | 精装 | 高楼层(共6层)  | 板楼,17人关注 / 3个月以前发布,140,"7,319元/平"
精装自住装修通透四房 高楼层 视野开阔 随时交易过户,正商铂钻 -龙子湖,5室2厅 | 192.01平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 8天以前发布,435,"22,656元/平"
