标题,开发商,房子信息,发布信息,售价/万,单价
同时享受 渝中 九龙坡 两大区域配套 业主诚心出售,保利国宾上院 -袁家岗,6室2厅 | 236.41平米 | 东南 | 精装 | 6层 | 2008年建 | 板楼,5人关注 / 23天以前发布,330,"13,959元/平"
天街旁精装顶跃，近轻轨，门口即是科，巴，业主急售,宝嘉花与山 -大学城,3室2厅 | 69.48平米 | 东南 | 精装 | 高楼层(共27层) | 2013年建 | 塔楼,4人关注 / 18天以前发布,100,"14,393元/平"
鲁能领秀城4街区（北区） 3室1厅 东南,鲁能领秀城4街区（北区） -茶园新区,3室1厅 | 86.7平米 | 东南 | 精装 | 23层  | 塔楼,0人关注 / 10天以前发布,101,"11,650元/平"
天骄公园 3室2厅 东南,天骄公园 -大竹林,3室2厅 | 91.6平米 | 东南 | 毛坯 | 高楼层(共27层)  | 塔楼,35人关注 / 13天以前发布,148,"16,158元/平"
约克郡禧悦 3室1厅 东,约克郡禧悦 -照母山,3室1厅 | 122.39平米 | 东 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 9天以前发布,223,"18,221元/平"
单价九千多金科大三房，中高楼层视野好,金科城幸福里 -蔡家,3室2厅 | 100.8平米 | 西南 | 毛坯 | 高楼层(共27层)  | 板楼,0人关注 / 25天以前发布,100,"9,921元/平"
云水苑精装三房 户型方正 住家清净朝中庭,云水苑 -鱼洞,3室2厅 | 98.94平米 | 东南 | 精装 | 低楼层(共18层) | 2016年建 | 塔楼,3人关注 / 29天以前发布,79.1,"7,995元/平"
朝南 带100平露台 养花种菜等你来栽,中交中央公园和颂 -中央公园,3室2厅 | 95.41平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,5人关注 / 31天以前发布,135,"14,150元/平"
楼盘新，准新房 ，发展潜力大，品质大盘,御林 -西永,3室1厅 | 90.62平米 | 北 | 毛坯 | 高楼层(共33层) | 2018年建 | 塔楼,1人关注 / 31天以前发布,100,"11,036元/平"
歇台子三轨交汇 精装修四房 看房方便 采光好视野开阔,国宾豪庭三期 -大坪,4室2厅 | 85.38平米 | 西南 | 精装 | 33层 | 2014年建 | 塔楼,2人关注 / 24天以前发布,110,"12,884元/平"
近轻轨公园 业主诚心出售 看房有钥匙,金辉中央铭著 -中央公园,4室1厅 | 127平米 | 北 | 毛坯 | 31层  | 塔楼,3人关注 / 27天以前发布,158,"12,441元/平"
恒大精装修，正看小区中庭的，环境优美。,恒大世纪城四期北苑 -照母山,2室2厅 | 85.29平米 | 东南 | 精装 | 低楼层(共20层)  | 塔楼,4人关注 / 28天以前发布,112.5,"13,191元/平"
小区地理位好 板式结构洋房 业主诚心,力帆翡翠华府 -蔡家,4室2厅 | 115.4平米 | 南 | 毛坯 | 中楼层(共8层)  | 板塔结合,3人关注 / 28天以前发布,117,"10,139元/平"
