标题,开发商,房子信息,发布信息,售价/万,单价
正地铁口 精装大四房 位置安静 户型通透格局好,科教新村 -河西大学城,4室2厅 | 145.65平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2天以前发布,150,"10,299元/平"
湖景四居近地铁，小区里目前有价值的房源，诚心出售,中建梅溪湖中心 -梅溪湖北岸,4室2厅 | 185.8平米 | 南 | 简装 | 中楼层(共30层) | 2014年建 | 板塔结合,0人关注 / 4天以前发布,430,"23,144元/平"
中层采光视野好，满五唯一。近一号线大托地铁口。,中建芙蓉嘉苑 -省政府,3室2厅 | 95.17平米 | 南 | 毛坯 | 中楼层(共15层)  | 板塔结合,2人关注 / 7天以前发布,114,"11,979元/平"
洋湖板块 中海国际社区，四房两厅两卫 诚心出售,中海国际社区1期 -含浦,4室2厅 | 124.02平米 | 南 | 其他 | 低楼层(共33层) | 2013年建 | 塔楼,0人关注 / 11天以前发布,134,"10,805元/平"
顺天黄金海岸 4室2厅 南 北,顺天黄金海岸 -开福区政府,4室2厅 | 140.74平米 | 南 北 | 其他 | 低楼层(共33层) | 2008年建 | 塔楼,2人关注 / 12天以前发布,135,"9,593元/平"
白沙世纪家园，地铁口300米，小高层，精装修，安静,白沙世纪园东区 -德思勤,4室2厅 | 180.09平米 | 南 | 精装 | 中楼层(共5层) | 2007年建 | 板楼,0人关注 / 6天以前发布,192,"10,662元/平"
洋房带车位一起急售，看房方便，出价谈,恒生碧水龙庭 -汽车南站,2室1厅 | 89.69平米 | 南 | 毛坯 | 高楼层(共10层)  | 板楼,0人关注 / 8天以前发布,72,"8,028元/平"
此房南北通透，户型好，居家精装看房方便,银桂苑 -省政府,4室1厅 | 151.51平米 | 南 北 | 精装 | 低楼层(共6层) | 2010年建 | 板楼,3人关注 / 6天以前发布,136,"8,977元/平"
上海城二期 南北双阳台 精装居家装修,上海城 -韶山南路,4室2厅 | 132平米 | 南 北 | 精装 | 低楼层(共32层) | 2009年建 | 塔楼,1人关注 / 8天以前发布,145,"10,985元/平"
天园假日 4室2厅 南,天园假日 -汽车东站,4室2厅 | 184.65平米 | 南 | 毛坯 | 中楼层(共14层) | 2012年建 | 板塔结合,0人关注 / 7天以前发布,184,"9,965元/平"
楼层好 采光好 位置好  业主诚心出售,五矿紫湖香醍 -暮云,2室2厅 | 87平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 7天以前发布,78,"8,966元/平"
世锦家和院 3室2厅 南,世锦家和院 -开元路,3室2厅 | 78.56平米 | 南 | 简装 | 中楼层(共33层) | 2016年建 | 板塔结合,0人关注 / 6天以前发布,68.8,"8,758元/平"
金星北时代倾城二期精装三房拎包入住,时代倾城 -金星北,4室2厅 | 115平米 | 南 | 其他 | 中楼层(共34层)  | 板塔结合,0人关注 / 4天以前发布,123,"10,696元/平"
保利麓谷林语B区 正地铁口 精装三房 楼层好 位置好,保利麓谷林语B区 -麓谷西,3室2厅 | 95.67平米 | 南 北 | 精装 | 中楼层(共33层) | 2013年建 | 板塔结合,1人关注 / 5天以前发布,120,"12,544元/平"
空置精装，两梯两户，实用面积大,万家城 -武广新城,3室2厅 | 126.83平米 | 南 北 | 精装 | 中楼层(共17层) | 2013年建 | 板塔结合,0人关注 / 8天以前发布,137.5,"10,842元/平"
优质好房，业主诚心出售，欢迎大家带看,上河国际花园C区 -高桥,3室2厅 | 125.03平米 | 南 北 | 其他 | 中楼层(共23层) | 2007年建 | 板楼,1人关注 / 5天以前发布,124,"9,918元/平"
店长推荐 必是精品 地铁口 月亮岛旁 复式精装,勤诚达新界 -金星北,2室1厅 | 64.72平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,1人关注 / 6天以前发布,50,"7,726元/平"
