标题,开发商,房子信息,发布信息,售价/万,单价
观江府4-2-1-2 118.00m² 房东急售 江景房,观江府 -大兴,4室2厅 | 118平米 | 东南 | 毛坯 | 高楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,88,"7,458元/平"
水岸书香 3室2厅 可看江 小区环境干净舒适 适合居住,水岸书香 -三雅园,3室2厅 | 146.56平米 | 东南 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 5天以前发布,98,"6,687元/平"
金科天宸雅郡4-2-1-2 124.44m²,金科天宸雅郡 -大兴,4室2厅 | 124.44平米 | 西南 | 毛坯 | 中楼层(共10层)  | 暂无数据,0人关注 / 一年前发布,93,"7,474元/平"
诚心出二中旁 沙湾川航小区楼 层巴士 精装修 拎包入住,沙湾川航小区 -姚桥,3室2厅 | 101平米 | 南 北 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 28天以前发布,58,"5,743元/平"
山水城 江景 套四双卫 搭  建面积约15平  得房率99%,康达·山水城 -草坝,4室2厅 | 105.94平米 | 东南 | 毛坯 | 高楼层(共22层)  | 暂无数据,0人关注 / 29天以前发布,46.46,"4,386元/平"
电梯套三双卫清水房，户型好，抢手急售,七彩雅安 -名山区,3室2厅 | 112.32平米 | 南 东南 | 毛坯 | 低楼层(共15层)  | 塔楼,1人关注 / 6个月以前发布,43.8,"3,900元/平"
套三双卫，满二，带大平台，税费低,公馆1981B区小区 -姚桥,3室2厅 | 118平米 | 东 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 31天以前发布,115,"9,746元/平"
大兴很巴适的精装套四洋房还带平台以及车位出售,领地蘭台府云璟 -大兴,4室2厅 | 117平米 | 东南 | 精装 | 低楼层(共10层)  | 暂无数据,0人关注 / 23天以前发布,115,"9,830元/平"
正黄金色雅郡 3室1厅 东南,正黄金色雅郡 -姚桥,3室1厅 | 105.72平米 | 东南 | 毛坯 | 低楼层(共23层)  | 塔楼,0人关注 / 1个月以前发布,58.5,"5,534元/平"
大平层，套四双卫，前后阳台，水电基础装修完成,凯悦天地 -大兴,4室1厅 | 159平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,135,"8,491元/平"
此房满五年 精装套三 拎包入住 房东诚心出售,学府花园 -东城区域,3室2厅 | 99.7平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,4人关注 / 11个月以前发布,55,"5,517元/平"
青江国际花园4-2-1-2交通便利 小区环境干净舒适,青江国际花园 -姚桥,4室2厅 | 146平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,8人关注 / 一年前发布,165,"11,302元/平"
价格美丽，可以讲价.七千多买两梯两户的洋房不香吗,蘭台府一期 -大兴,3室2厅 | 115平米 | 南 东北 | 毛坯 | 高楼层(共17层)  | 暂无数据,6人关注 / 一年前发布,85,"7,392元/平"
凯悦天地一期  套四 户型方正 125平得房率高,凯悦天地 -大兴,4室2厅 | 125平米 | 南 | 毛坯 | 中楼层(共17层)  | 塔楼,19人关注 / 一年前发布,89,"7,120元/平"
十里原湾 江景房 朝向好 看山看水,十里原湾 -上坝区域,3室2厅 | 128平米 | 南 | 毛坯 | 低楼层(共30层)  | 板塔结合,3人关注 / 一年前发布,100,"7,813元/平"
伯爵公馆 套四双卫 小区配 套成 熟 宜居,伯爵公馆 -名山区,4室2厅 | 142平米 | 东 | 毛坯 | 高楼层(共33层)  | 塔楼,3人关注 / 一年前发布,85,"5,986元/平"
彩虹湾 4室2厅 交通便利 小区环境干净舒适 适合居住,彩虹湾 -名山区,4室2厅 | 139.5平米 | 南 西 | 毛坯 | 中楼层(共24层)  | 塔楼,2人关注 / 一年前发布,85,"6,094元/平"
科雅苑 带平台，套三双卫带车位，看房方便,科雅苑 -名山区,3室2厅 | 133平米 | 东 | 毛坯 | 低楼层(共18层)  | 板塔结合,1人关注 / 10个月以前发布,92,"6,918元/平"
大兴品质小区，交通便利、小区环境干净舒适、,观江府 -大兴,3室2厅 | 101平米 | 东南 | 毛坯 | 中楼层(共11层)  | 暂无数据,3人关注 / 一年前发布,67,"6,634元/平"
十里原湾  套三  通透户型  对中庭 楼层巴适,十里原湾 -上坝区域,3室2厅 | 119平米 | 东南 | 毛坯 | 低楼层(共27层)  | 暂无数据,3人关注 / 一年前发布,95,"7,984元/平"
伯爵公馆  套三双卫 精装修 全新未入住,伯爵公馆 -名山区,3室2厅 | 93平米 | 西 | 精装 | 高楼层(共33层)  | 塔楼,4人关注 / 一年前发布,75.6,"8,130元/平"
四季名城跃层带花园 交通便利 小区环境干净舒适,四季名城 -名山区,3室2厅 | 117平米 | 东南 | 毛坯 | 高楼层(共14层)  | 塔楼,3人关注 / 一年前发布,70,"5,983元/平"
房东诚心出售！此房满二无增值税！！！,蘭台府一期 -大兴,3室2厅 | 115平米 | 西南 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 4个月以前发布,85,"7,392元/平"
