标题,开发商,房子信息,发布信息,售价/万,单价
东方明珠三村 中间楼层 精装修 大三房 拎包入住。,东方明珠三村 -江东,3室2厅 | 128.62平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 6天以前发布,198,"15,395元/平"
花山路 电梯房  70年产权 民用水电气  教育资源丰富,金陵公寓 -塘西,2室1厅 | 58.03平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,1人关注 / 11天以前发布,27.8,"4,791元/平"
朝辉首府  南北三房  楼层好  户型佳,朝辉首府 -桃园,3室2厅 | 112.16平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,9人关注 / 4个月以前发布,156,"13,909元/平"
雨韵阁三房 满五唯一 中上楼层 看房有钥匙,雨韵阁 -佳山,3室1厅 | 97.24平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 22天以前发布,92,"9,462元/平"
东湖碧水湾 5室2厅 南,东湖碧水湾 -佳山,5室2厅 | 301.44平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 21天以前发布,361.5,"11,993元/平"
房东急售价格好谈、全新装修拎包入住。中上楼层！,上湖家园 -霍里,2室2厅 | 92.41平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 18天以前发布,73,"7,900元/平"
长江不夜城景区给结婚的小夫妻  婚房装修,滨江花园 -佳山,2室2厅 | 95.05平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 29天以前发布,70,"7,365元/平"
丰收佳苑 2室2厅 南,丰收佳苑 -霍里,2室2厅 | 83.83平米 | 南 | 其他 | 低楼层(共24层)  | 板塔结合,0人关注 / 13天以前发布,48,"5,726元/平"
日照时间长，满两年，可拎包入住,东湖碧水湾 -佳山,3室2厅 | 124.96平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 15天以前发布,138,"11,044元/平"
此房满五唯一  采光好拎包入住 诚信卖,金桥雅苑 -霍里,3室2厅 | 95平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 5天以前发布,63,"6,632元/平"
城东秀山湖一号精装修大三房，居家装修，材料都是环保,秀山湖壹號 -霍里,3室2厅 | 115.16平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 3天以前发布,124,"10,768元/平"
电梯纯洋房 中间楼层 三房两卫 随时可看 南北通透,新城璟玥 -佳山,3室2厅 | 123.27平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 9天以前发布,139.8,"11,341元/平"
碧水湾，满五唯一，带院子，标准三房,东湖碧水湾 -佳山,3室2厅 | 121平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,11人关注 / 4个月以前发布,148.8,"12,298元/平"
雨韵阁，精装修拎包入住，满五唯一，采光好,雨韵阁 -佳山,3室1厅 | 100平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,4人关注 / 6个月以前发布,98.8,"9,880元/平"
中丞国宾府 精装花园洋房，带车位拎包入住,中丞国宾府 -佳山,4室2厅 | 147.49平米 | 南 北 | 其他 | 中楼层(共8层)  | 板塔结合,39人关注 / 10个月以前发布,259,"17,561元/平"
